,title,text,date,rating
10,Atendimento ruim e demorado.,O atendimento piorou e muito. Quase 30 minutos esperando por um chopp que havia pedido. Precisa de mais colaboradores. Demorou tanto que desisti. Triste.,13 de dezembro de 2019,bubble_10
11,Esperava mais,"Fomos para o aniversário de uma amiga e nos arrependemos, as comidas demoravam a chegar e chegavam frias, o atendimento era bom talvez para maquiar a demora, faltaram alguns pratos que chegaram quando estávamos pra ir embora,já foi muito melhor mais de um tempo pra...Mais",17 de novembro de 2019,bubble_30
12,A reforma deixou o restaurante,"A reforma deixou o restaurante muito bonito, entretanto o atendimento piorou muito. Tudo muito demorado, atendente demora a aparecer na mesa, esquece os pedidos, e para piorar a comida chega fria. É um restaurante que frequentava bastante, mas vou parar de ir, uma pena. Um...Mais",15 de novembro de 2019,bubble_30
13,Sempre muito bom,Outback é uma refeição de excelente qualidade. Recomendo. Não tem como errar quando escolhe o Outback.,30 de outubro de 2019,bubble_50
14,Gosto demais!!!,"Tudo muito bom. As vezes vejo comparando fotos, que há diferenças nos tamanhos da costela grande. Batatas uma delícia. Molho de parmesão das asinhas uma delícia. O banheiro que sempre está mais sujo que limpo. Ambiente agora está muito mais aconchegante.",28 de outubro de 2019,bubble_40
15,Niver do Rafa,"Muito bom, só peca na quantidade pequena de garçons . Chopp gelado e costela muito saborosa essa costela nova é um sonho 👍🏿",26 de outubro de 2019,bubble_50
16,dúvida,gostaria de saber se as reformas já acabaram?! fui em agosto e estavam em obras e quero ir novamente sem os encomodos de reformas,17 de outubro de 2019,bubble_50
17,Pior atendimento que já tive.....,"Nunca vi em toda minha vida um restaurante tão bagunçado, sujo🤢 e um atendimento tão ruim na minha vida.
Tive q brigar varias vezes para ser atendido, ambiente extremamente sujo, do chão ao copo q me serviam estava sujo....
A mesa estava só o grude....muito...Mais",14 de outubro de 2019,bubble_10
18,Delicioso,"Espaço bem agradável, com decoração simples mas de bom gosto, lembrando a Austrália, evidentemente. Fomos atendidos muito bem e os pratos estavam ótimos!",24 de setembro de 2019,bubble_50
19,muito bom,"local agradável com bom atendimento e comida boa. Bebidas refil e reposição rápida. acesso fácil,  cheio mas durante a semana é mais fácil obter mesa",22 de setembro de 2019,bubble_40
20,Excelente restaurante,"O Outback do Parkshoping está em excelente localização: no maior shoping do Distrito Federal. Ou seja, dependendo da programação, as pessoas tem uma infinidade de opções para passar o dia em cinemas, compras, diversões e finalizar (ou iniciar) o dia no Outback. Em relação à...Mais",14 de setembro de 2019,bubble_50
21,comidas deliciosas.,"Tem comida para todos gostos.  Se você não gosta de pimenta, lá a comida é bem temperada e com pimenta.  Carnes de gado, de frango, tudo muito bom. O ponto da carne você escolhe.  As sobremesas também são ótimas.   Eu sou suspeita para falar, porque...Mais",10 de setembro de 2019,bubble_50
22,programa familiar,"todos gostaram mt da comida e do atendimento , criancas e adultos . Ate bolo de aniversario recebemos",9 de setembro de 2019,bubble_40
23,Decepção ,"Já fui muitas vezes ao Outback e sempre gostei muito, mas fui ontem domingo 08-09-2019 e tudo foi ruim, desde o atendimento até a comida!...o bife de costela estava cru, fiquei uns 10 minutos esperando o garçom me atender, o arroz estava ""Unidos venceremos"" etc...foi...Mais",9 de setembro de 2019,bubble_20
24,O Melhor Chopp de Brasília,"O Chopp do Outback é excelente. No Happy Hour (17h às 20 h) tem 50% de desconto.
Em relação às comidas, considero que tem tempero muito forte, isto é um pouco ruim porque leva o sabor fica um pouco comprometido.",9 de setembro de 2019,bubble_50
25,"Gostoso, porém fraco de atendimento","Sempre que vou ao Outback o atendimento é demorado, os pratos demoram muito e o gerenciamento de mesas livres não é muito inteligente. A comida é gostosa, mas eu não volto mais.",2 de setembro de 2019,bubble_20
26,Excelente,Vale a pena ir na dose dupla de chopp!!! Ambiente ótimo e atendimento excelente. Sobremesa sensacional.,12 de agosto de 2019,bubble_50
27,Não volto!,"Eu e meu marido somos clientes assíduos desde que abriu. O atendimento nunca foi excelente, sempre foi razoável, já tivemos muitas experiências ruins ao longo dos anos, e nas últimas (várias) vezes que fomos foi péssimo! Os pratos demoraram muito pra chegar, os garçons simplesmente...Mais",12 de agosto de 2019,bubble_10
28,Cebola outback,"Lugar gostoso e aconchegante,tem uma cebola que é maravilhosa, pessoas simpáticas,sempre que dá vou lá .",7 de agosto de 2019,bubble_50
29,Outback Parkshoping,"A vantagem desse restaurante é o happy hour, que o chop tem 50% de desconto e é gelado, além de alguns petiscos com bom preço, apesar de não chegarem quentinhos na mesa. Os garçons são sempre atenciosos!",4 de agosto de 2019,bubble_50
30,The end Outback,"Por escolha de meu filho que queria comer neste lugar fomos ao ""Outback Steakhouse"", e que decepção. Pedimos: The Outbacker Burger, Aussie Grilled Picanha, The Porterhouse, Arroz Pilaf e Arroz Tasmânia. Além de demorar tanto que o refrigerante só esquetou porque tinha gelo, e os...Mais",7 de julho de 2019,bubble_10
31,Delícia!,"Paramos no Outback para almoçar. Nos sentimos confortáveis, o atendimento foi ótimo, a refeição estava saborosa e a porção era bem generosa. 
Ficamos satisfeitos!",27 de junho de 2019,bubble_40
32,Ótimo restaurante,"Outback é o meu restaurante preferido, ambiente muito agradável, comida como sempre saborosa.  Chegamos era por volta de 20h (A fila foi bem rápida não esperamos muito) O atendimento foi muito bom.",21 de junho de 2019,bubble_50
33,Nem parece outback,"Sou cliente fiel do outback, sempre vou com amigos e familiares, portanto, conheço bem a casa. Na minha última visita fiquei decepcionado com o atendimento, parecia de um restaurante comum e pra piorar minha caneca de chopp veio com marca de batom!! Quando chamei o...Mais",20 de junho de 2019,bubble_20
34,Carnes deliciosas,"Comida sempre gostosa. Os preços são um pouco salgados, mas a comida é sempre bem servida e gostosa. Lugar animado e descontraído. Há sempre fila de espera, o local é sempre cheio.",7 de junho de 2019,bubble_40
35,Ótimo restaurante ,Sempre que posso vou neste restaurante. Comida muito boa e atendimento muito bom. Dependendo do dia e horário que for o restaurante está lotado e com fila de espera. Recomendo este restaurante.,5 de junho de 2019,bubble_50
36,Não vale a pena,"Não vale a pena. O outback do shopping não é bom. O estacionamento é caro e longe. Tem SEMPRE fila de espera. O atendimento é demorado...enfim, pelo valor cobrado, não vale à pena...",4 de junho de 2019,bubble_20
37,"É o que mais gosto aqui em Brasília, mas tem vários outros mais próximos, no Plano Piloto, e muito bons também!","O atendimento é cordial, rápido e a comida muito gostosa. Sempre tem aquela entradinha boa que pedimos (Blooming onion - cebola) e o refri/chá de reposição, mas tem o happy hour com pratos exclusivos e desconto em algumas bebidas - de segundas às sextas, das...Mais",25 de maio de 2019,bubble_50
38,Muito bom!,"O atendimento foi excelente, os funcionários são muito atenciosos. A comida como sempre estava uma delícia!!",21 de maio de 2019,bubble_50
39,Já foi bom ,"Atendimento ruim, sem atenção , esquecendo os pedidos  , ribs carregadas no cominho. Não retornaremos .",19 de maio de 2019,bubble_20
40,Para reunir os amigos,"A última visita ocorreu para comemorar o aniversário de um sobrinho... o atendimento é sempre muito bom, atencioso e de qualidade... pelo fato de ser uma segunda-feira, conseguimos juntar uma grande mesa... mas se for mais pro ""fim da semana"" dificilmente não enfrentará uma espera...Mais",7 de maio de 2019,bubble_40
41,Almoço Tão Agradável ,"PONTOS POSITIVOS: Estão gerando cupons ultimamente que sempre nos faz ir la. É maravilhoso!!!!! Rsrs 
Na última vez fomos no almoço, fomos atendidos pela rapidamente. Andeara (excelente atendimento, que garçonete educada, e rápida, nunca vi mais educada ali),  a salada de entrada estava tão gostosa...Mais",26 de abril de 2019,bubble_40
42,Insulto ,"Já frequentei muitos restaurantes e nunca os escolhi pelo preço. Já frequentei restaurantes caros e nem tão bons, quanto restaurantes baratos e bons. Resumindo, não é o preço que determina a qualidade do que é servido. Viemos ao outback do Park Shopping em Brasília e...Mais",20 de abril de 2019,bubble_20
43,Excelente restaurante ,"Adorei minha experiência com o restaurante Outback, pessoal atencioso, excelente pratos, e adoro o chá gelado de cranberry.",15 de abril de 2019,bubble_50
44,Outback,"O pedido demorou a chegar, mas a comida estava ótima e o atendente foi gentil e atencioso. Valeu a ida ao local.",4 de abril de 2019,bubble_40
45,Melhor costelinha!!!,"Fizemos uma visita ao restaurante para minha sogra matar a saudade do Brasil, pois ela está vivendo em Portugal!!! Já fomos ao restaurante muitas vezes, mas até hoje foi o melhor atendimento!!!! Parabéns ao Lucas Macedo, pelo atendimento de excelência!!!",2 de abril de 2019,bubble_50
46,Ótimo atendimento e ambiente ,"O Outback é sempre uma boa pedida para sair com família e amigos! Estivemos no Outback do Park Shopping e fomos atendidos pelo LUCAS, ele é muito atencioso, prático e educado! Recomendo o Outback Park Shopping e o atendimento do LUCAS!",2 de abril de 2019,bubble_50
47,Qualidade Sempre!,Imbatível: costela com batatas fritas. Vc pode escolher e pedir qualquer molho sem custo adicional. Batatas fritas com molho Ranch ficam deliciosas!. Bom atendimento.,31 de março de 2019,bubble_40
48,Restaurante para relaxar!,"Outback é um restaurante com estilo próprio comida com bastante tempero a costelinha é o cargo Cheff a batata é a melhor que já como,os molhos são deliciosos e a sobremesa Brawni com sorvete é uma delícia.
O Outback é referência em agradar os clientes...Mais",24 de março de 2019,bubble_50
49,Boa comida e bebida,"Sempre fui bem atendida nos restaurantes outbacks, as vezes temos que aguardar por mesas, mas eles servem bebidas e petiscos mesmo na espera. Em geral só como a ribs on the barbie e um bom copo de chop. Mesmo quando vou ao restaurante querendo outro...Mais",20 de março de 2019,bubble_50
50,O mais cheio de Brasília!,"Aqui você encontra o padrão Outback, mas com o porém de ser o restaurante mais cheio da rede no Distrito Federal. A comida é bem servida e temperada ao meu gosto e acho que o ideal é ir em grupo para poder diversificar o cardápio.",20 de março de 2019,bubble_40
51,Ganancia dos Empresários do Outback - ParkShopping comprometem a qualidade e o atendimento dos clientes.,"Outback Steakhouse - Conheço e já tive a oportunidade de visitar muitos restaurantes com a bandeira ""Outback"" em várias cidades americanas, inclusive nessa última semana em Orlando-FL.   
Minha experiência e de minha família no restaurante foi de sacrifício e quase tortura, vivida no calor de...Mais",19 de março de 2019,bubble_10
52,Não gostei muito da salada ceasar com frango,"Já tinha ido nesse restaurante em outra oportunidade e tudo correu bem, mas dessa vez não gostei muito. Pedi uma salada ceasar com frango, e o pedaço de frango era bem pequeno, mas o pior é que a salada veio absurdamente gelada, como se estivesse...Mais",18 de março de 2019,bubble_30
53,Almoço de Domingo,"Esse todos conhecem. Uma ótima dica para almoço de Domingo, delicioso e com ótimas opções. 
Minha pedida foi uma pasta deliciosa com pedaços e filé e para as crianças mini hambúrgueres 😋",17 de março de 2019,bubble_50
54,Bom para relaxar após o trabalho,Ótimo lugar para relaxar com amigos após o trabalho. Também aproveitamos a promoção de bebidas até às 20 horas. O atendentes são muito agradáveis e a comida muito gostosa.,11 de março de 2019,bubble_50
55,Complexo.,"Sou apaixonada por esse restaurante. Porém, na ultima vez que fui passei um pouco de raiva. Lotado, como de sempre, aguardando mesa e pedimos aperitivo e bebida na área de espera. Pois bem, precisei reclamar pois mais de 40 minutos e não veio nem bebida...Mais",4 de março de 2019,bubble_30
56,Atendimento,"-Não tem o quê falar da comida já que é padrão e muito boa. 
-O problema desta unidade é o atendimento cheio é horrível e o pior vazio nem se fala.
-Parece que o Outback não sabe contratar quem vai ficar na recepção, outra unidade...Mais",2 de março de 2019,bubble_20
57,Jantar com a Família,"Ótimo lugar para um jantar, atendimento excelente, ambiente acolhedor, decoração típica australiana de bom muito gosto! O que explica estar sempre lotado.",13 de fevereiro de 2019,bubble_50
58,Sempre uma boa opção,"O local está sempre cheio, principalmente no final de semana. Sempre tem fila de espera e nem sempre se consegue uma mesa agradável, mas é tipo pegar ou largar. A ambientação é agradável, parece um velho pub. O banheiro masculino ta quase sempre sujo, molhado...Mais",13 de fevereiro de 2019,bubble_40
59,Adoro,"O Outback é meu restaurante preferido, lá tem uma boa comida australiana e um atendimento excelente!",12 de fevereiro de 2019,bubble_50
60,Feedback ,"Gostaria de deixar registrado o nosso muito obrigado pelo excelente atendimento, há pouco, dos colaboradores: Fernando, Bruno, Paulo e o Gerente da casa 👍🏻! Parabéns !

Mas precisamos dar o Feedback referente à Bloomin Onion que nos serviram: estava “passada”, fritaram d+++++!",6 de fevereiro de 2019,bubble_40
61,Será que vai precisar alguém se acidentar?,"Uma decepção. O piso muito sujo e MEGA ESCORREGADIO. Podre. Tive que pedir ajuda para ir ao banheiro e mesmo assim escorreguei varias vezes. Nunca vi nada igual.  Constrangedor. Muito. Quando alguém cair e machucar ou te morrer aí sim eles tomaram providência. 

Outback nunca...Mais",24 de janeiro de 2019,bubble_10
62,Ótima experiência ,"Adoro o padrão de excelência do pessoal do outback. Lugar bacana e descontraído,os garçons sempre solícitos e educados. Ótimo lugar para ir com a galera ou com o love aproveitar os petiscos e o chopp geladinho.",21 de janeiro de 2019,bubble_50
63,Chegue cedo,"Local sempre cheio. Mas vale a pena chegar um pouco mais cedo umas 17hs para garantir aquele happy hour com os amigos. Peça um frozen que é feito lá com morango, pêssego e limão... perfeito",19 de janeiro de 2019,bubble_40
64,Decepcionante ,"Outback parkshoping que sempre elogiei hoje deixou aquele sentimento de que era melhor ter ficado em casa e de que fui lesado .
O atendimento dos garçons é sempre bom , mas precisam ter mais cuidado com o que servem ;
A costela veio com...Mais",11 de janeiro de 2019,bubble_10
65,Maravilhoso,"Fomos, eu minha mãe e meu noivo. Ambiente super agradável, boa iluminação, som ambiente, atendimento maravilhoso e comida, nossa..sem palavras! Pedimos a onion e duas costela Jr e deu para nós três suficiente, ficamos saciados! A partir das 17h tem promoção do Chopp, pela metade...Mais",7 de janeiro de 2019,bubble_50
66,Amo!,"Eu amo esse restaurante! Pratos e bebidas deliciosos, atendimento excelente, local bastante agradável! Gosto demais do chá gelado de lá, que além de gostoso tem um ótimo custo-benefício, pois tem refil! O trio de margueritas também é ótimo! Eu não como carne vermelha, mas eles...Mais",2 de janeiro de 2019,bubble_50
67,Decepção ,"O melhor atendimento que já tivemos na rede (incluindo filiais de RJ e SP) com o preço já conhecido mas com um gosto de que fomos servidos com comida aquém da qualidade conhecida do Outback. 
As carnes oferecidas estavam com um gostinho de carne que...Mais",27 de dezembro de 2018,bubble_20
68,Sobremesa cinnamon oblivion é a melhor!,"Costumo pedir a costelinha com batatas fritas para mime meu esposo, é a quantidade ideal, não sobra nem falta.
Quanto as sobremesas, a última que provei foi a Havana, é boa, mas fica o registro de que a sobremesa ""cinnamon oblivion"" definitivamente é a melhor...Mais",16 de dezembro de 2018,bubble_40
69,Excelente atendimento,"A comida é maravilhosa, comemos a costela com molho barbecue, o melhor prato!! O atendimento foi excelente a moça nos explicou tudo e foi super educada, atendimento de primeira.",13 de dezembro de 2018,bubble_50
70,Muito bom,"Como toda a rede, este restaurante tem um atendimento diferenciado e a comida é sempre muito saborosa. Boa opção para happy hour!",11 de dezembro de 2018,bubble_50
71,Excelente,"Funcionários muito bem treinados, sempre me impressiona tamanha educação e cordialidade. Comida excelente e sobremesas fantásticas",11 de dezembro de 2018,bubble_50
72,Péssimo serviço ,"Fui com minha família, o local estava muito movimentado o que evidenciou que o quadro de funcionários não suporta a demanda.
Fizemos pedidos que não foram atendidos, a demora de mais de 20 min para trazer um catchup, refil de refrigerante demorava 15 min, além...Mais",11 de dezembro de 2018,bubble_10
73,Insisto no erro,"Após longa espera por uma mesa, aguardamos os pratos por 45 minutos (tempo sugerido de espera era de15 min). Obviamente que um dos pratos veio frio! Os atendentes são solícitos mas a gestão do Outback não muda: passa característica de bagunçados, descoordenados e sem chefia!",2 de dezembro de 2018,bubble_10
74,Pimenta no olho dos outros é refresco,"Desisti de comer no Outback. Qualquer pedido que se faça, seja carne de boi, frango, peixe, batatas têm o mesmo tempero. E o tempero é 99% pimenta do reino! Haja estômago para suportar tanta pimenta. Além disso, para um restaurante que se diz ""aussie"", não...Mais",21 de novembro de 2018,bubble_20
75,Sempre uma boa opção,"Esse é o tipo de restaurante que cai bem em qualquer situação, a comida e o atendimento são bons e o preço é razoável. O único problema é que está sempre lotado!",13 de novembro de 2018,bubble_40
76,Clássico dos restaurantes ,"Um bom lugar para ir no happy hour com os amigos.
O ambiente é bem descontraído, apesar de sempre estar muito cheio.",8 de novembro de 2018,bubble_40
77,Almoço,"Adoro o almoço no outback, pois o preço fica bem acessível. Pois possuem a promoção entrada + prato principal, por um preço muito bom.
O happy our tb é muito bom, só tem que chegar cedo, para não ficar na fila de espera.",6 de novembro de 2018,bubble_40
78,Happy our,"Muito bom o lançamento do chopp apia no happy our,é muito gostoso, acompanhado com os petiscos servidos é delicioso.",6 de novembro de 2018,bubble_50
79,Aniversário,"Meu restaurante predileto, amo ir ao Outback. Tudo perfeito principalmente a unidade do Park shopping.",4 de novembro de 2018,bubble_50
80,Bom para almoço em familia,Sempre com um bom atendimento e bastante espaço para quem tem carrinho de criança é uma excelente escolha. Bom demais para fins de semana e você aproveita o shopping.,2 de novembro de 2018,bubble_50
81,Happy hour,"Outback é sempre uma boa opção. Mas se quer chegar e conseguir um lugar, é bom vir cedo, senão a fila de espera é grande.  Atendimento sempre muito bom! E estão sempre lançando novidades no cardápio. Tem happy hour.",1 de novembro de 2018,bubble_50
82,Péssimo,"Péssimo atendimento , se perderam com o tempo. Pra ficar ruim tería de melhorar uns 60% , está péssimo e chopp mediano para os padrões de preço. Coisas que acontecem aqui , atendimento cai gradativamente.",30 de outubro de 2018,bubble_10
83,Bem legal,"Ótimo atendimento, comida sempre boa, ambiente agradável. Pude manter minha dieta enquanto os amigos se esbaldavam na costelinha. Pense numa salada boa 👏🏼👏🏼",23 de outubro de 2018,bubble_40
84,Mudou a administração???,"Domingo, 13h, almoço em família, garçons sempre muito educados porém hoje pouco atentos aos clientes. 
Estamos numa mesa onde, até o presente momento, nenhum garçom veio até nós se apresentar e anotar o pedido. Tudo que consumimos até agora foi pedido enquanto aguardávamos uma mesa....Mais",14 de outubro de 2018,bubble_30
85,Bom pero no mucho ,"O outback tem o padrão de qualidade muito elevado, atendimento de primeira, produtos e ambientes muito agradáveis. No entanto cobrar 11 reais por uma lata de refrigerante é algo totalmente fora do normal aceitável.",9 de outubro de 2018,bubble_40
86,Sabor exclusivo,"Restaurante lotado, fila de espera, mas tivemos o suporte para q o tempo esperando não fosse o problema. Só o pedido q demorou p chegar à mesa, mas o sabor da comida estava perfeito!! Então vá sem pressa...",2 de outubro de 2018,bubble_40
87,Experiência Australiana,"Restaurante com temática australiana, bem decorado, serviço muito acolhedor. As carnes são as melhores opções junto com as sobremesas enormes. Todos os pratos são muito bem servidos. Experimente a cebola, famosa e deliciosa!!!!",2 de outubro de 2018,bubble_50
88,Péssimo,"Serviço péssimo! O garçom Lucas não passava na mesa, não trazia os pedidos, nem os pratos ele colocava. Tínhamos que pedir duas vezes para as coisas chegarem. Foi uma noite péssima! Nunca mais volto nessa unidade.",2 de outubro de 2018,bubble_10
89,Muito bom!,"Tudo tranquilo, teve espera, assim como em qualquer outback, porém tudo chegou certo, atendentes todos dispostos a ajudar, lá dentro também foi tudo certinho. Perfeito.",24 de setembro de 2018,bubble_50
90,Já foi melhor... :/,"Já fui várias vezes, mas o padrão tem caído bastante. Ontem tive a pior experiência de todas. Esperar a fila é o padrão, mas vi várias mesas vazias por mais de 20 minutos, sem que fossem liberadas... Quando finalmente fomos chamados, demoraram para limpar a...Mais",21 de setembro de 2018,bubble_20
91,Super decepcionada ,"Fomos comemorar o aniversário da minha filha, de 23 anos, ela escolheu o restaurante... pedimos chopp, entrada, éramos 4 e cada um pediu um prato.(R$ 440,00) O atendimento a princípio foi muito bom, mas minha filha ganhou um upgrade na sobremesa recebido por e-mail, pedimos...Mais",20 de setembro de 2018,bubble_10
92,Ótimo lugar,"Ambiente gostoso, o comida é muito boa e o preço é razoável.
Não deixe de experimentar as costelas e suco de morango.",13 de setembro de 2018,bubble_50
93,Happy Hour com amigos,Excelente o atendimento do Outback Park Shopping. Fomos atendidos de forma rápida e muito atenciosa! A gerente Vanessa foi muito gentil e cortês conosco. Chopp dose dupla no padrão caneca nevada do Outback! As quesadillas estavam deliciosas! Parabéns!,30 de agosto de 2018,bubble_50
94,Decepção,"Sempre vou ao Outback, mas as últimas vezes foram decepcionantes. Estava cheio, como sempre, mas tudo demorava horrores. De bebidas prontas a comidas. Os garçons estavam sem graça com a demora, pediam desculpas o tempo todo.  Falta administração.",28 de agosto de 2018,bubble_30
95,Falta de qualidade,"Adoro o Outback, vou pq o chopp é gelado, os garçons são atenciosos, porém a qualidade do estátua está sendo servido está deixando a desejar. Fui 2x la esse mês e nas duas tive problema, um dia com o firecracker que estava frio e as...Mais",27 de agosto de 2018,bubble_20
96,Aperitivos top ,Excelente presente do Outback nos disponibilizar esses deliciosos aperitivos. Preço muito justo e super saborosos. Atendimento excelente da unidade ParkShopping.,27 de agosto de 2018,bubble_50
97,Sempre uma boa pedida!,"Comida e serviço ótimos, boa localização. Mas sempre bem cheio, mais tranquilo no horário do almoço.",27 de agosto de 2018,bubble_50
98,"Bom, mas muito barulhento ",Estamos acostumados a frequentar o restaurante e conhecemos vários locais  inclusive no exterior. Mantém o padrão de atendimento que é sempre cordial e os pratos sempre nos agradam. Porém o que percebemos e chega a incomodar muito e faz com que o tempo no local...Mais,26 de agosto de 2018,bubble_30
99,Happy hour,"Muito bom o happy hour, o chopp é geladíssimo e a caneca bem grande. A comida é excelente, a costela, a batata...tudo muito bom!!!",22 de agosto de 2018,bubble_50
100,"Bom como sempre, vomo sempre cheio.","Bom, bonito e justo, a casa é antiga e tem história pra contar, já se foram tantos aniversários ali que até perdi a conta, o que sempre enche um pouco o saco é a espera por uma mesa, mas enfim... Nem tudo é perfeito.",19 de agosto de 2018,bubble_40
101, Comemorar e sabor,"Seja pra comemorar ou para uma boa conversa, acertou na escolha, além de um ambiente gostoso, bom atendimento e  deliciosos pratos pra saborear.",10 de agosto de 2018,bubble_40
102,Comida Fabulosa,"Sempre que vou ao Outback término comendo mais do que deveria, pois além do ambiente mais próximo de um bar introspectivo com suas nuances de iluminação, tem pratos realmente deliciosos. Principalmente, a costelinha.",9 de agosto de 2018,bubble_50
103,Carnes e sobremesas incríveis.,"O Outback é excelente para ir com amigos Final de tarde, inicio da noite o happy hour é garantido com muita gente entornando cervejas e chopps. A qualidade de suas carnes é indiscutível e as super sobremesas dá para o grupo inteiro. Delicia!",6 de agosto de 2018,bubble_50
104,SHOW!,"lugar excelente para encontro com amigos, o happy é bem em conta.
para aqueles apaixonados, o ambiente é propicio também!",6 de agosto de 2018,bubble_50
105,Carne de qualidade entradas maravilhosas,"Além da carne gostosa, ao ponto maravilhoso-  caracteristica do OUT  BACK, ainda tem aquelas delicias e gulosidades de entrada! Entrou em promoção  emagosto 2018 por tempolimitado um prato  degustação com os principais entradas! para quem gosta é imperdível. Eu vou!",6 de agosto de 2018,bubble_50
106,Parada obrigatória,"Lugar com comida boa e ambiente agradável. Equipe muito atenciosa e dedicada, como em todo lugar de grande demanda existe a espera, talvez essa seja a parte menos agradável.",31 de julho de 2018,bubble_50
107,Comida boa mas lotado...,"A comida é ótima, mas prepare-se para esperar. Ou então chegue bem cedo. No mais, é igual aos outros. O prêmio para os aniversariantes é  legal, mas leve a identidade para comprovar....",30 de julho de 2018,bubble_40
108,Outback Park Shopping,"Esse é  um restaurante muito apreciado por mim e minha família.  Geralmente vamos lá para comemorar o aniversário de alguém. Ambiente agradável, amplo, boa cômica e ótimo atendimento. Recomendo.",23 de julho de 2018,bubble_50
109,Unir o útil ao agradável !!!,Se vc precisa que fazer algumas compras no Shopping nada melhor que aproveitar para fazer uma refeição ou Happy hour no mesmo local .,23 de julho de 2018,bubble_40
110,Atendimento falho e lento,"Sou cliente assíduo do Outback e é triste ver um atendimento tão falho e devagar! Nessa última visita, demoraram quase 15 minutos para aparecerem na mesa, erraram nosso pedido quando pedimos carne “ao ponto” e veio “crua”, e no fechamento ainda erraram a conta! Outback...Mais",22 de julho de 2018,bubble_40
111,jantar com a familia,"muito gostosa a comida, ambiente super bonito e agradável, limpinho, e garçons sempre à disposição, comida exelente de boa!",21 de julho de 2018,bubble_50
