,Book_name,Author_name,price
61,"Stop Negative Thinking: How To Control Your Thoughts, Stop Overthinking, And Transform Your Mental Habits (English)",Nick Trenton,214.0
62,101 Essays That Will Change The Way You Think,Brianna Wiest,383.0
63,One Arranged Murder,Chetan Bhagat,200.0
64,"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,231.0
65,Miracles of Your Mind,Dr. Joseph Murphy,130.0
66,Operation Payback,Aditi Mathur Kumar,215.0
67,The Quick And Easy Way To Effective Speaking,Dale Carnegie,119.0
68,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,138.0
69,The Quick And Easy Way To Effective Speaking,Dale Carnegie,119.0
70,Chanakya Neeti,Radhakrishnan Pillai,248.0
71,The Monk Who Sold His Ferrari,Robin Sharma,198.0
72,The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma,299.0
73,The Importance of Being Earnest,Oscar Wilde,109.0
74,Great Truths That Set Us Free,Dr. Joseph Murphy,119.0
75,The Pickpocket and the Gargoyle,Lindsay Eagar,281.0
76,MTG International General Knowledge Olympiad (IGKO) Workbook for Class 4 - MCQs & Achievers Section - SOF IGKO Olympiad Preparation Books For 2024-2025 Exam,RAGHAV SINGH,100.0
77,1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,299.0
78,My First 365 Coloring Book: Jumbo Coloring Book For Kids (With Tear Out Sheets),Wonder House Books,199.0
79,The Performance Paradox: How to Learn and Grow Without Compromising Results,Eduardo Briceno,195.0
80,101 Essays That Will Change The Way You Think,Brianna Wiest,383.0
81,The Compound Effect,Darren Hardy,256.0
82,How to Change Your Life,Jake Humphrey,139.0
83,Wings Of Fire An Autobiography,Arun Tiwari,347.0
84,BlackBook of English Vocabulary May 2024 by Nikhil Gupta,Nikhil Gupta,264.0
85,"LEADING THROUGH INFLATION, RECESSION AND STAGFLATION",Ram Charan,92.0
86,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King,289.0
87,The Science of Getting Rich with The Science of Being Great,Wallace D. Wattles,129.0
88,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,138.0
