,Book_name,book_summaries
13,Success Through A Positive Mental Attitude,"?What the mind of man can conceive and believe?the mind of man can achieve . . . ?By helping you recognize the important person that you are and making you believe that you can change your world, this book helps you discover and unleash the power of your mental attitude. It guides you through the secret of getting things done, motivating yourself, motivating others, finding satisfaction in your job, raising your energy level, enjoying a good and healthy life and attracting happiness. A timeless self-improvement classic, Success Through a Positive Mental Attitude has helped millions of people discover their hidden powers and achieve success. It continues to lead its readers towards their maximum potential."
14,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics","Bhagat Singh is a name that became synonymous with revolution in India’s struggle for independence. This young boy brought about a change in the way people thought about freedom. He was well read and fought extensively for rights – his own, his comrades’ and his countrymen’s. A discussion with a friend soon turned into a matter of self-assessment for Bhagat Singh, leading to a discourse on why he chose to be an atheist. Even in the face of death at a very young age, his uncanny observation leads to his putting forth some pertinent questions. On another occasion, he was disappointed with his father’s plea in Court for his innocence and chose to write a letter to him. This book is a collection of eighteen of his valued writings from within the walls of prison and outside it, which show us the resolve in his words, and the bravery in his acts subsequently."
15,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,"A collection of world's timeless classics, this box set includes the four greatest bestsellers, which have inspired readers for generations. Packed with wisdom and time-tested principles that are as relevant in modern times as ever before, these inspirational books are a must-read for all those aspiring for personal growth and wealth."
16,11 Rules For Life: Secrets to Level Up,"If one book can change your life, this is it."
17,The Theory Of Everything,"Seven lectures by the brilliant theoretical physicist have been compiled into this book to try to explain to the common man, the complex problems of mathematics and the question that has been gripped everyone all for centuries, the theory of existence. Undeniably intelligent, witty and childlike in his explanations, the narrator describes every detail about the beginning of the universe. He describes what a theory that can state the initiation of everything would encompass. Ideologies about the universe by Aristotle, Augustine, Hubble, Newton and Einstein have all been briefly introduced to the reader. Black holes and Big Bang has been explained in an unsophisticated manner for anyone to understand. All these events and individual theories may be strung together to create a theory of the origin of everything and the author strongly believes that the origin might not necessarily be from a singular event. He advocates the idea of a multi-dimensional origin with a no-boundary condition to remain true to the theories of modern physics and quantum physics. The book provides a clear view of the world through Stephen’s mind where he respectfully dismisses the belief that the Universe conforms by a supernatural and all-powerful entity. About the Author Stephen Hawking: An English cosmologist, theoretical physicist, author as well as the Director of Research at the Centre for Theoretical Cosmology under the University of Cambridge, Stephen Hawking is a scholar with more than a dozen of honorary degrees. In was in 1963 that Stephen Hawking contracted a rare motor neuron disorder which gave him just two years to live, yet he went to Cambridge to become what he is today."
18,The Satvic Revolution: 7 Life-Changing Habits to Discover Peak Health and Joy,"If you are looking for a practical guide to help you achieve peak health, increased energy in your day, optimal weight and a calm mindset even amidst chaos, then"
19,Win Your Inner Battles,"Do you want to change your career? Start a business? Stop losing sleep over a deadline? End your relationship? Or maybe, just live a fulfilling life? Everyone has goals and ambitions in life. But we often don't pursue our inner desires because of one thing: Fear and a lack of self-confidence.

In Win Your Inner Battles, I will show you how to destroy fear and live your life with a sense of purpose.

You'll learn how to:
Conquer fearImprove self-confidenceStop worryingAnd live life on YOUR termsI wrote this book based on my own experiences. No matter how bad your situation is, there is always a way out."
20,The Girl Who Drank the Moon,"THE NO 1 NEW YORK TIMES BESTSELLER AND NEWBERY MEDAL WINNER 'This beautifully written, darkly funny coming-of-age story will enchant and entertain' Daily Mail Every year, the people of the Protectorate leave a baby as an offering to the witch who lives in the forest. They hope this sacrifice will keep her from terrorizing their town. But the witch in the Forest, Xan, is in fact a good witch who shares her home with a wise Swamp Monster and a Perfectly Tiny Dragon. Xan rescues the children and delivers them to welcoming families on the other side of the forest, nourishing the babies with starlight on the journey. One year, Xan accidentally feeds a baby moonlight instead of starlight, filling the ordinary child with extraordinary magic. Xan decides she must raise this girl, whom she calls Luna, as her own. As Luna's thirteenth birthday approaches, her magic begins to emerge - with dangerous consequences. Meanwhile, a young man from the Protectorate is determined to free his people by killing the witch. Deadly birds with uncertain intentions flock nearby. A volcano, quiet for centuries, rumbles just beneath the earth's surface. And the woman with the Tiger's heart is on the prowl . . . The Newbery Medal winner from the author of the highly acclaimed novel The Witch's Boy."
21,How to Win Friends and Influence People : Original Edition | Premium Paperback,"""Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions. """
22,The Psychology of Money,"Timeless lessons on wealth, greed, and happiness doing well with money isn?t necessarily about what you know. It?s about how you behave. And behavior is hard to teach, even to really smart people. How to manage money, invest it, and make business decisions are typically considered to involve a lot of mathematical calculations, where data and formulae tell us exactly what to do. But in the real world, people don?t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In the psychology of money, the author shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life?s most important matters."
23,The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,""""
24,The Monk Who Sold His Ferrari,"A renowned inspirational fiction, The Monk Who Sold His Ferrari is a revealing story that offers the readers a simple yet profound way to live life. The plot of this story revolves around Julian Mantle, a lawyer who has made his fortune and name in the profession. A sudden heart-attack creates havoc in the successful lawyer?s life. Jolted by the sudden onset of the illness, his practice comes to a standstill. He ponders over material success being worth it all, renounces all of it and leaves for India. A visit to India about a spiritual awakening that opens up new vistas and Julian begins to view life in a different perspective. He decides to live his life once again but in a way that is much more fulfilling and meaningful than before. In the book, the reader goes through a spiritual journey and into a very old culture that has gathered much wisdom over the millennia. The book advocates about how to live happily, think deep and rightly, value time and relationships, be more disciplined, follow the heart?s call and live every moment of the life. Written in simple words, the book has turned out to be a bestseller and is more than just an endearing story. Through storytelling, Robin Sharma showcases the miracles and wonders of living a fulfilling life. In the process, the book introduces readers to enlightening yet simple principles that vouch to make life better, happier and more meaningful. A bestselling novel, what readers all over the globe appreciate about this book is its deft amalgam of the philosophies from both western and eastern worlds. The book has been followed by important personalities around the world. About the Author Robin Sharma, the bestselling author of 'The Monk Who Sold His Ferrari', first published in 1999, is an International Leadership Professional Guru who is credited with having written 15 books on leadership. He has been guiding people to live a better life, by drawing inspiration from his own life experiences. The Leader Who Had No Title, The Leader Who Had No Title, The Greatness Guide and The Saint and The Saint are among his best books. He heads the Sharma Leadership International Inc, a firm that trains people in leadership. A former litigation lawyer, Robin holds a law degree from Dalhousie Law School, Canada. This book along with The Greatness Guide has been among the world?s bestsellers and has been translated in as many as 70 languages all over the world."
25,Chanakya Neeti,"Strategies for Success“An action contemplated shouldn’t ever be advertised; But kept a secret like a mantra, and revealed in time.”We all feel stuck at times. There could be many reasons for this—issues at work, unhappy family life, financial troubles or embarrassing social situations. Most of us could use a little advice in these circumstances. Chanakya Neeti provides precisely that guidance to face life’s many daunting challenges. Chanakya, the great thinker and teacher, is well-known for his insights into the needs of both the privileged and the masses. The original Chanakya Neeti was written over two thousand years ago, but its brilliant verses are still applicable today because the basic quests of man remain the same—peace, prosperity and happiness. In this volume, Radhakrishnan Pillai offers a modern interpretation of Chanakya’s crisp and practical maxims in his characteristic easy-to-follow and elegant prose. Imbibe Chanakya’s wisdom to break loose from the web of troubles and create the life you desire on your terms.Radhakrishnan Pillai is the bestselling author of Corporate Chanakya, Chanakya’s 7 Secrets of Leadership, Chanakya in You, Katha Chanakya and Thus Spoke Chanakya. He has a Master’s degree in Sanskrit and has done his PhD in Kautilya’s Arthashastra. A renowned management consultant and speaker, he is the Deputy Director of the Chanakya International Institute of Leadership Studies (CIILS) at the University of Mumbai. He tweets using the handle @rchanakyapillai and is also active on other major social media platforms."
26,How to Stop Worrying and Start Living by Dale Carnegie,"A transformative guide to conquering the grip of anxiety and embracing a life filled with positivity. Through insightful anecdotes and practical advice, Carnegie offers strategies to overcome worry and stress, enabling readers to lead more fulfilling lives. This timeless classic empowers individuals to take control of their thoughts and emotions, teaching them to navigate challenges with resilience and a newfound sense of calm. By imparting invaluable wisdom, this book equips readers with tools to break free from worry's chains and embark on a journey towards greater well-being and serenity."
27,Success Through A Positive Mental Attitude,"?What the mind of man can conceive and believe?the mind of man can achieve . . . ?By helping you recognize the important person that you are and making you believe that you can change your world, this book helps you discover and unleash the power of your mental attitude. It guides you through the secret of getting things done, motivating yourself, motivating others, finding satisfaction in your job, raising your energy level, enjoying a good and healthy life and attracting happiness. A timeless self-improvement classic, Success Through a Positive Mental Attitude has helped millions of people discover their hidden powers and achieve success. It continues to lead its readers towards their maximum potential."
28,"How to Stop Worrying and Start Living [Original Edition (Complete), Premium Paperback]","In How to Stop Worrying and Start Living, bestselling author Dale Carnegie helps you break the destructive habit of worrying and teaches you how to live a happier, stress-free life. This book will tell you how to: ? Analyze and solve worrisome situations ? Develop a positive mental attitude ? Overcome depression ? Banish boredom ? Battle fatigue and feel more energized With practical advice, helpful suggestions and important facts about worry and its causes, this book provides sure-shot ways to banish all your blues."
29,"THE SILENT PATIENT [Paperback] Michaelides, Alex","WITH OVER THREE MILLION COPIES SOLD, read the Sunday Times and No.1 New York Times bestselling, record-breaking thriller that everyone is talking about - soon to be a major film.
'The perfect thriller' AJ FINN
'Terrific' - THE TIMES Crime Book of the Month
'Smart, sophisticated suspense' - LEE CHILD
'Compelling' - OBSERVER
'Absolutely brilliant' - STEPHEN FRY
'A totally original psychological mystery' - DAVID BALDACCI
'One of the best thrillers I've read this year' - CARA HUNTER
'The pace and finesse of a master' - BBC CULTURE
Alicia Berenson lived a seemingly perfect life until one day six years ago.When she shot her husband in the head five times.
Since then she hasn't spoken a single word.It's time to find out why.
THE SILENT PATIENT is the gripping must-read thriller of the year - perfect for fans of THE FAMILY UPSTAIRS by Lisa Jewell, BLOOD ORANGE by Harriet Tyce and PLAYING NICE by JP Delaney."
30,Jaico Publishing House The 5 Am Club,"Part manifesto for mastery, part playbook for genius-grade productivity and part companion for a life lived beautifully, the 5 am club is a work that will transform your life. Forever.Legendary leadership and elite performance expert Robin Sharma introduced The 5 AM Club concept over twenty years ago, based on a revolutionary morning routine that has helped his clients maximize their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.Now, in this life-changing book, handcrafted by the author over a rigorous four year period, you will discover the early-rising habit that has helped so many accomplish epic results while upgrading their happiness, helpfulness and feelings of aliveness.Through an enchanting?and often amusing?story about two struggling strangers who meet an eccentric tycoon who becomes their secret mentor, The 5 AM Club will walk you through:? How great geniuses, business titans and the world?s wisest people start their mornings to produce astonishing achievements? A little-known formula you can use instantly to wake up early feeling inspired, focused and flooded with a fiery drive to get the most out of each day ? A step-by-step method to protect the quietest hours of daybreak so you have time for exercise, self-renewal and personal growth? A neuroscience-based practice proven to help make it easy to rise while most people are sleeping, giving you precious time for yourself to think, express your creativity and begin the day peacefully instead of being rushed? ?Insider-only? tactics to defend your gifts, talents and dreams against digital distraction and trivial diversions so you enjoy fortune, influence and a magnificent impact on the world"
31,As a Man Thinketh,"Discover the timeless wisdom of James Allen's ""As a Man Thinketh."" This powerful book explores the connection between thoughts and personal achievement, inspiring readers to harness the power of their minds for positive transformation and success."
32,How to Develop Self-Confidence & Influence People By Public Speaking,"If public speaking frightens you and you?re gripped by anxiety when asked to stand up and speak, then this book is right for you! It holds the key to fight away your fears.?Is there the faintest shadow of a reason why you should not be able to think as well in a perpendicular position before an audience as you can when sitting down? Surely you know there is not.?From ways to develop self-confidence and become a good public speaker to the secrets of memory power and good delivery, natural laws of remembering and the essential elements in successful speaking, this book discusses the ways of opening and closing a talk and keeping the audience interested.With timeless techniques that will help you overcome your fear and valuable insights on how famous speakers prepared their address, Dale Carnegie?s How to Develop Self-Confidence and Influence People by Public Speaking continues to help people speak confidently, effectively and efficiently."
33,Beyond Good And Evil,"Explore Friedrich Nietzsche's philosophical masterpiece, Beyond Good and Evil, with this thought-provoking edition. Delve into Nietzsche's examination of morality, power, and the human condition, offering profound insights and challenging conventional beliefs. A must-read for philosophy enthusiasts and seekers of intellectual stimulation."
34,How to Win Friends and Influence People: Original Classic Edition | Premium Paperback,"If you have an intense desire and a keen determination to increase your ability to deal with people, this is the book for you. “You can make more friends in two months by becoming interested in other people than you can in two years by trying to get other people interested in you.” from the fundamental techniques in handling people to the various ways to make them like you, This book offers insights on how to Win people to your way of thinking; how to increase your ability to get things done; the ways to be a leader and change people without arousing resentment; and how to make friends quickly. A timeless bestseller, Dale Carnegie’s how to Win Friends & influence People has been an inspiration for many of those who are now famous and successful. With principles that stand as relevant in modern times as ever before, it continues to help people on their way to success."
35,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius","The International Bestseller: DO IT TODAY

Are you also tired of putting off your dreams until ""tomorrow?"" Guess what! Tomorrow never comes. Am I right?
I've procrastinated and putt off my desire to write a book for a decade. I always came up with excuses like, ""it's not the right time."" Or, ""I need to do more research.""
But in 2015 I got tired of this endless procrastination, and finally took action. Six months later, my first book was published.
Look, we all have limited time on our hands. And we're getting closer to death every single minute. That shouldn't scare. That should motivate you!
Time is limited, that's why we must do the things we want: Today."
36,"Deep Work: Rules for Focused Success in a Distracted World [Paperback] Newport, Cal","Cal Newport discusses in his new book, Deep Work: Rules For Focused Success In A Distracted World, about how professionals of today have started valuing quantity over quality; and how this has turned young professionals of today into puppets who try to indulge in extensive multitasking, dealing with multiple emails and projects. This prevents them from doing 'deep work'; which is focused work free from all other distractions. This also means that the professionals of today should sort out their priorities."
37,The Housemaid : An addictive psychological thriller with mind-bending twists,"""Welcome to the family,"" Nina Winchester says as I shake her elegant, manicured hand. I smile politely, gazing around the marble hallway."
38,The Compound Effect,"In The Compound Effect, Darren Hardy, reveals the core principles that drive success. and presents a distillation of the fundamental principles that have guided the most phenomenal successes in business, relationships, and beyond. This is an easy-to-use, step-by-step, no gimmicks, no hyperbole, no magic bullet operating system that allows you to multiply your success, chart your progress, and achieve anything you desire. It is based on the principle that decisions shape your destiny and how little, everyday decisions will, by default, either take you to the life you desire or to disaster. If you're serious about living an extraordinary life, use the power of The Compound Effect to create the success you want. This book will teach you: . How to win?every time. Eradicating your bad habits, some of which even you might be unaware of. how to get yourself to do things you don?t feel like doing. Capturing the elusive, awesome force of momentum. The acceleration secrets of super achievers etc., among other things."
39,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,"Reclaim your focus in 48 hours or less. Do you keep procrastinating? Do you feel restless and unable to focus on your work? Do you have trouble getting excited about major goals? If so, you might need a dopamine detox. In today’s world where distractions are everywhere, the ability to focus has become more and more difficult to achieve. We are constantly being stimulated, feeling restless, often without knowing why. When the time comes to work, we suddenly find an excess of other things to do. Instead of working toward our goals, we go for a walk, grab a coffee, or check our emails. Everything seems like a great idea—everything except the very things we should be doing. Do you recognize yourself in the above situation? If so, don’t worry. You’re simply overstimulated. Dopamine Detox will help you lower your level of stimulation and regain focus in 48 hours or less,so that you can tackle your key tasks. More specifically, in Dopamine Detox you’ll discover: what dopamine is and how it works; the main benefits of completing a dopamine detox; 3 simple steps to implement a successful detox in the next 48 hours; practical exercises to eliminate distractions and boost your focus; simple tools and techniques to avoid overstimulation and help you stay focused, and much more. Dopamine Detox is your must-read, must-follow guide to help you remove distractions so you can finally work on your goals with ease. If you like easy-to-understand strategies, practical exercises, and no-nonsense teaching, you will love this book."
40,Autobiography of A Yogi,"Inspiring stalwarts like the Beatles, Steve Jobs and Ravi Shankar, Autobiography of a Yogi is an immensely gratifying spiritual read that has altered and enriched the lives of millions across the world, since it was first published in 1946. An originative text that tells the story of Paramhansa Yogananda, this book has been revered for its memorable, incisive and instructive teachings. This spiritual autobiography will take you on an incredible journey of Indian mysticism and spirituality and deliver humbling, comforting truths about life and existence.A book that deserves a place in every home.."
41,The Alchemist,"Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and inspiring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried in the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself"
42,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,"Reclaim your focus in 48 hours or less. Do you keep procrastinating? Do you feel restless and unable to focus on your work? Do you have trouble getting excited about major goals? If so, you might need a dopamine detox. In today’s world where distractions are everywhere, the ability to focus has become more and more difficult to achieve. We are constantly being stimulated, feeling restless, often without knowing why. When the time comes to work, we suddenly find an excess of other things to do. Instead of working toward our goals, we go for a walk, grab a coffee, or check our emails. Everything seems like a great idea—everything except the very things we should be doing. Do you recognize yourself in the above situation? If so, don’t worry. You’re simply overstimulated. Dopamine Detox will help you lower your level of stimulation and regain focus in 48 hours or less,so that you can tackle your key tasks. More specifically, in Dopamine Detox you’ll discover: what dopamine is and how it works; the main benefits of completing a dopamine detox; 3 simple steps to implement a successful detox in the next 48 hours; practical exercises to eliminate distractions and boost your focus; simple tools and techniques to avoid overstimulation and help you stay focused, and much more. Dopamine Detox is your must-read, must-follow guide to help you remove distractions so you can finally work on your goals with ease. If you like easy-to-understand strategies, practical exercises, and no-nonsense teaching, you will love this book."
43,"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha","So often, it's the simplest acts of courage that touch the lives of others. Sudha Murty-through the exceptional work of the Infosys Foundation as well as through her own youth, family life and travels-encounters many such stories... And she tells them here in her characteristically clear-eyed, warm-hearted way. She talks candidly about the meaningful impact of her work in the devadasi community, her trials and tribulations as the only female student in her engineering college and the unexpected and inspiring consequences of her father's kindness. From the quiet joy of discovering the reach of Indian cinema and the origins of Indian vegetables to the shallowness of judging others based on appearances, these are everyday struggles and victories, large and small. Unmasking both the beauty and ugliness of human nature, each of the real-life stories in this collection is reflective of a life lived with grace."
44,THE BLUE UMBRELLA,"The Umbrella was like a flower, a great blue flower that had sprung up on the dry brown hillside.'In exchange for her lucky leopard's claw pendant, Binya acquires a beautiful blue umbrella that makes her the envy of everyone in her village, especially Ram Bharosa, the shop-keeper. Ruskin Bond's short and humorous novella, set in the picturesque hills of Garhwal, perfectly captures life in a village, where both heroism and redemption can be found."
45,The Monk Who Sold His Ferrari,"A renowned inspirational fiction, The Monk Who Sold His Ferrari is a revealing story that offers the readers a simple yet profound way to live life. The plot of this story revolves around Julian Mantle, a lawyer who has made his fortune and name in the profession. A sudden heart-attack creates havoc in the successful lawyer?s life. Jolted by the sudden onset of the illness, his practice comes to a standstill. He ponders over material success being worth it all, renounces all of it and leaves for India. A visit to India about a spiritual awakening that opens up new vistas and Julian begins to view life in a different perspective. He decides to live his life once again but in a way that is much more fulfilling and meaningful than before. In the book, the reader goes through a spiritual journey and into a very old culture that has gathered much wisdom over the millennia. The book advocates about how to live happily, think deep and rightly, value time and relationships, be more disciplined, follow the heart?s call and live every moment of the life. Written in simple words, the book has turned out to be a bestseller and is more than just an endearing story. Through storytelling, Robin Sharma showcases the miracles and wonders of living a fulfilling life. In the process, the book introduces readers to enlightening yet simple principles that vouch to make life better, happier and more meaningful. A bestselling novel, what readers all over the globe appreciate about this book is its deft amalgam of the philosophies from both western and eastern worlds. The book has been followed by important personalities around the world. About the Author Robin Sharma, the bestselling author of 'The Monk Who Sold His Ferrari', first published in 1999, is an International Leadership Professional Guru who is credited with having written 15 books on leadership. He has been guiding people to live a better life, by drawing inspiration from his own life experiences. The Leader Who Had No Title, The Leader Who Had No Title, The Greatness Guide and The Saint and The Saint are among his best books. He heads the Sharma Leadership International Inc, a firm that trains people in leadership. A former litigation lawyer, Robin holds a law degree from Dalhousie Law School, Canada. This book along with The Greatness Guide has been among the world?s bestsellers and has been translated in as many as 70 languages all over the world."
46,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty","Memories of a grandparent spinning tales around animals and mysterious characters have kept many of us rapt till date. Sudha Murty's Grandmas Bag of Stories is simply delightful. The story starts with Anand, Krishna, Raghu and Meena arriving at their grandparents house in Shiggaon. Overjoyed Ajji and Ajja(Grandmother and grandfather in Kannada) get the house ready, while Ajji prepares delicious snacks for children. Finally, times comes when everyone gathers around Ajji, as she opens her big bag of stories. She tells stories of kings and cheats, princesses and onions, monkeys and mice and scorpions and hidden treasures."
47,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors","Speed read people, decipher body language, detect lies, and understand human nature. ""Read People Like a Book"" isn’t a normal book on body language or facial expressions. Yes, it includes all of those things, as well as new techniques on how to truly detect lies in your everyday life, but this book is more about understanding human psychology and nature. It reminds us that we are who we are because of our experiences and pasts, and this guides our habits and behaviors more than anything else. It helps us to: Take a look inside yourself and others; understand the subtle signals that you are sending out and increase your emotional intelligence; learn the keys to influencing and persuading others; learn how to become a “mind reader” and forge deep connections."
48,How to Win Friends and Influence People : Original Edition | Premium Paperback,"""Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions. """
49,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics","Bhagat Singh is a name that became synonymous with revolution in India’s struggle for independence. This young boy brought about a change in the way people thought about freedom. He was well read and fought extensively for rights – his own, his comrades’ and his countrymen’s. A discussion with a friend soon turned into a matter of self-assessment for Bhagat Singh, leading to a discourse on why he chose to be an atheist. Even in the face of death at a very young age, his uncanny observation leads to his putting forth some pertinent questions. On another occasion, he was disappointed with his father’s plea in Court for his innocence and chose to write a letter to him. This book is a collection of eighteen of his valued writings from within the walls of prison and outside it, which show us the resolve in his words, and the bravery in his acts subsequently."
50,"How to Stop Worrying and Start Living [Original Edition (Complete), Premium Paperback]","In How to Stop Worrying and Start Living, bestselling author Dale Carnegie helps you break the destructive habit of worrying and teaches you how to live a happier, stress-free life. This book will tell you how to: ? Analyze and solve worrisome situations ? Develop a positive mental attitude ? Overcome depression ? Banish boredom ? Battle fatigue and feel more energized With practical advice, helpful suggestions and important facts about worry and its causes, this book provides sure-shot ways to banish all your blues."
