Customer_Name,REVIEW_TITLE,Color,REVIEW_DATE,COMMENTS,RATINGS
Ritwik,"Generic piece , don't expect much .",Black,25-Apr-22,"Won't even last 8 months , these companies are deliberately making this ear phones to wear out in less than year so that they can have a steady demand . Its always the same problem no matter what brand you buy, one ear piece would stop working in less than a year. Its the agreed upon business model by earphone cartel",2
Swagat Sourabh,Nice,Spirit Lime,25-Nov-21,I have oily inner ears. So i alwaysprefer such ear phines. I got it in sale for good price. The quality is really good. But bass and noise cancellation is not the best feature as this is a regular build earphone. But its good for low price and sound quality. Also does not hurt your ear.,5
Mohammad Bilal,Read before you buy,Iguana,19-Jul-21,"Built quality 10 10Sound quality 20 10 yes that goodI knew boats would do a good job in terms of sound clarity and quality but since I only prefer half in ear earphones I didn't expect it to give this good outcome in a half in ear earphone. Super impressed quality, clarity and bass yes bass in a half in ear earphone you read it right. Go for it guys and fall in love with the old school most comfortable earphone style ever.",5
Ivy,Doesn't clog ears. Voice clartiy could have been better.,White,13-Sep-21,"Earphones which came with my Oppo phone got damaged so i bought this one. Compared to that earphones, the Boat earphones have slightly lesser voice clarity, but its wires are thicker so less likely to crack. I like this ear buds design as it doesn't clog ears unlike the buds which tightly snug into ear and block airflow. But it would have been better if Boat instead of paying to celebrities would have spent the resources on improving voice clarity.",5
Arjun C,Value for the price,White,18-Sep-21,"Reviewing after about 1month use. We cannot compare it with premium ones, but quality is worth the price..Pros 1. Good and comfortable design, especially for whom bud type is uncomfortable. 2. Sound quality not that bad.Cons 1. After the button, the matrrial is normal rubber and chances of break is there.",5
Sagar Bhandare,Apple design but poor mic and average sound quality,White,11-Jan-22,"Only look is fantastic same like Apple earphone. But sound quality and mic quality is not so good. It's average. For cheap 399 earphone this is expected. Better go for good quality earphones. Only design is best rest all not useful much.Sound is not clear, it spreads.",4
Amazon Customer,Good value for money,White,06-Sep-21,"Received product is great packing secured packing to know my earphone were original and earphone are very sturdy, durable..I liked them as my usage is very rough and I washed earphone cable as well to clean them...After washing cable, it s still working great.. Update After using for 6 months it has started to malfunction...sometimes mic is not working or sound is not coming...",4
Utkrisht Upadhyay,"It's not a bad piece, but far from the best in its class.",Iguana,21-Nov-21,"I'm a constant user of Boat, buying their earphones every few months because earphone cables can be surprisingly delicate . . , and this was my latest experiment , so as to say. While they aren't necessarily bad earphones, they're fairly lackluster. The volume only goes so high, noise cancellation is nonexistent and the hard plastic hurts your ears when wearing something over it. But hey, it's a personal listening device for 400. I guess there's not much to complain about. Still, in that same 400, you can go for a 102 or 100 instead. They're truly good earphones. This is just an okay one, but it's an okay I won't say no to.",4
SANDIP TIVARI,BoAt .. You are becoming G.O.A.T.,Iguana,06-Jul-21,"I have never seen an Indian market can compare in tech world. But BoAt, you are energetically competing. Product is awesome. wired and color combination for this earphone is quite unique. and the sound quality... Mashallah...Price is in range for audio quality and wired earphone. Thanks for making this product.",5
Manish Sutradhar,Sound Quality is okaish type,Black,22-Dec-21,"bass quality 3 stars treble Quality 3 stars Sound Quality 3.5 starsoverall if you need and earphone just to take some calls and if you are on tight budget then you can go for it because in this price range boat is providing a decent earphone like this.if you can add 200 more , go with boat 255 wired earphone worth Rs499, its worthy and am using it too since past 4 years obviously i changed it like 2 times",4
AC,Like it,Black,24-Dec-21,"Good sound quality. . Only don't like the ear plugs....hard plastic and big....should have soft ear plugs. Wire is covered with some thread material unlike plain plastic....hence more durable, doesn't get tangled nor gets stretched.",3
JANANI S,WIRED EARPHONE ALWAYS BOAT,Black,20-Jan-22,IAmA boAthead always. My old one was lost so got this boat wired. Its more than my expectation. As i always lik plastic ear head than rubber ones this one is so perfect fr the ones like me. Especially the quality of the sound is first class.,5
Gokul Nair,Great half in ear earphones,White,31-Jan-22,I like how it feels while using it. Doesn t cause much trouble like the earphones with silicone buds. Mic sensitivity is as expected. I m using it for work. Looks like a good buy to me. However since its a wired earphone I won t recommend it for workouts. Wireless ones work better when your aim is to move around more rather than sit in front of a laptop or computer,5
Kanakaraj,Good product,White,19-Feb-22,Purchased on December 2021.Fits comfortably in the ear.Tangle free wires are awesome.Good for attending online classes for longer duration with minimal discomfort.Noise cancellation is good.Go for it. Worth the money.,4
Bhavesh,bad sound balance. already replaced times.,Blue,27-Nov-21,Not good for long term use.Bass is ok but not so good.Audio balance on L R was really bad even after getting it replaced 3 times from Boat service centre.Not loud enough.Wire seems good.Not a good fit in ear.Edit. Replacement for the 3rd time. Yet having same issue. Audio balance shifts to left after 2 weeks of use. Not a good model.Please get some other models.,1
Priyanka,My earphones got spoiled within one month.,Spirit Lime,23-Feb-22,"I have purchased 3 earphones of this same variety, different colours in October. Within one month one earphone is not working properly giving a buzzing sound. Another one for spoiled in 2 months. Earphones are good. But lifeline is not something expected from Boat.Also i am extremely careful with my earphones and i don't use them roughly or keep dropping them.It has 6 months warranty. But no details available to claim the warranty. Should i blame Amazon for it",1
Ananya,Overall good choice but no volume control,White,03-Mar-22,"The earphones work quite good. The cord connecting the aux to the mic is fabric wrapped so that saves a lot of hassle regarding fraying and tearing. The sound quality as really well, and at high volumes it does act as noise cancelling although that wouldn t be healthy for the ears . The only big downside for me was the lack of volume control with the mic. I watch my study videos, movies and listen to music quite regularly so the volume control is a big convenience for me. Apart from this point, overall it s a good choice.",4
Rajkumar,NOT AT ALL GOOD A DISASTER,White,23-Mar-22,Bought with expectations as the Punch line is SUPER EXTRAAA BASS but the ground reality is total opposite. It delivers a mono sound only. I really wonder how the maker can brand the Product as Super extraaa bass when there is hardly any. There s no stereo effects too. I have burnt my fingers.,1
Hemant Maurya,"Stereo doesn't work, No bass on this bassheads",Spirit Lime,25-Aug-21,"Stero not working, damn, even a 50 rupees earphone gives that.Absolutely No bass, why the have given name BASSHEADS It doesn't fit in earphone jack on MI Mobiles at least, it comes out in 2 3 minutes...",2
shreeram k.,Muffled Music,Spirit Lime,17-Jul-21,I wasn't expecting this from boAt. People buy earphones for the music experience and this doesn't let you have that experience.The music is muffled and every tone feels so suppressed. I didn't find many alternatives for half in ear design so went for this one. The only good thing is that it has the braided cable.If you don't care about the rubber tip design or half in ear design PLEASE do not buy this one.,3
Vinod,Misleading Product Description Earphones are not fully braided,Black,20-Jan-22,"Tried boAt earphones for the first time, but deeply disappointed felt betrayed. The product description offers that, the ear phones are braided, but not fully. They are braided only below the mic area, where as the most vulnerable ones are left un braided. Unfortunately there is only replacement policy offered by boAt, but no cancellation. Would surely not recommend this product.",1
Simran ,"The length of the wire from where the wire splited, should have been longer",Black,17-Sep-21,"Overall, this earphone is really good. Good quality audio. Good wiring of left and right. And a good range of Hz.Except a little expensive for what it offers.And, the splitter would be really close to my face.",4
Deepak k.,Cheapp product,White,29-Oct-21,"Thought that it would work for at least short span .But this product by boat is just complete waste It lowered the volume on its own and suddenly played high volume music on its own, 3 times Really unexpected this wass",1
Stark,It s worth for the price,Blue,05-Dec-21,It actually looks good and the quality seems great. Since it is an INEAR design I don t think it is comfortable for everyone. Been using for almost 3 months I could tell it is worth the price. The audio quality is great. You could still hear the background noises while listening to music or just increase the volume. Bass might be a bit low still does the job. Great for an Rs 400 worth earphone. I would easily recommend it to anyone for this price.,4
SreeAni,"Not good for calls ,i recommend real me headphone for this price",Spirit Lime,27-Jul-21,"Most of the time it wont get connected to the jack correctly.Voice is having bass so we will have ear pain after phone calls.Real me was 100 better than this.Unofrtunately ,I forgot to return this item.For listening to music ,it is good",2
Sanjana Sahi ,Wouldn't recommend buying it,White,18-Nov-21,"Ears hurt a lot, so can't wear them for a long timeSound quality is quite Mediocre very heavy Wouldn't recommend for people who aren't into heavy BASS music, want to make calls your voice will be heavy",2
Guru,After months,Spirit Lime,07-Sep-21,"It was working good for 2 months, then the right side sound got low and off balance. Never dropped it or unpluggged it from my laptop, still the sound in one side got lower. Worth for the money, but not for longevity.",1
Harshit,Best buds on budget,Iguana,15-Nov-21,See if you are the one who doesn't like those rubber earphones and want something old skool the one's we used to get with our old nokia phones I get the design is apple like but it's good. In you won't regret buying these. And if u want heavy bass ones go for 225 or something like that.,5
Tejas Parit,Not suitable for pixel phones,Spirit Lime,22-Sep-21,I always heard static voice while using it for calls. Replaced 1st item as I thought its faulty product. But same thing happened with replaced product. Plus my volume started to increase to highest automatically during calls. Returned product after that.,1
Subu,Just like the earphone of road side shop,White,01-Feb-22,"Nothing to mention about this. 1.Very low quality. 2.No left or right ear mentioned. This type of item is available within rs 125 instead , boat demanding rs340 rs40 delivery charge. Don't go for it.",2
HARISANKAR A,Best product,Black,01-Jul-21,I was using bassheads 100 when I purchased this. Definitely bass is a lot more and you can feel the depth of sound. Voice and other instruments sounds more clear.120 cm cable length. 3.5 mm Jack. Comes with one year manufacturer warranty,5
Ira M.,Great value of money,White,15-Sep-21,The earphones I first got were not good but I exchanged it and now I really like them. The sound is great and clear and the earphone has a woven thread cover on the wire which reduces tangling and chances of breakage. I recommend these and they are half in ear so they are great for those who don't like rubber in ear earphones,5
Nikhil.S,No adequate bass and sound quality.,Black,23-Oct-21,"I am returning it now as it is not upto my expectations bass ,sound quality eww it's like a 50 rs market earphones just buy a boat sports one which is 399 price tag now my cousin has it .. it has good dept bass and sound quality..so dont even think of getting this ....... my review is done here so its u r wish to buy it or not k ..",3
CHINMAY CHAITANYA,Pathetic build quality,Blue,02-Oct-21,"The sound quality and design was decent considering the price. But the build quality is Pathetic. I had kept the earphones in bag. The next morning I see the wire is broken from between. Even worse, this happened on the 8th day of buying the product and the return replacement policy for this product is only for 7 days. duped",1
Pratik,Good but doesn't fit in everyone's ears.,White,14-Mar-22,"It is a good product quality and sound wise given its selling price. But a major drawback is its design, it is not suitable for everyone's ears. It just didn't fit well into my ears and kept on coming out of the ears due to which I couldn't experience the best audio out of it and also it causes pain in the ears just after 30 mins of usage. Better to go with earphones that have silicon based buds.",3
Krishna Kumar,Stopped working after . months of usage,Blue,22-Nov-21,It was a decent earphone for the price but given that it stopped working after 2.5 months. Now the audio is heard very feebly in the earpieces and I have to raise my devices' volume to the maximum to hear what the other person is saying. Disappointed,1
Balakrishna,Best in price,White,11-Apr-22,The wire will not get a knot. You can fold and put in your pocket easily and when you want to use them take out without a single wire know. Sound quality is good. All I can say is this is best in it's price segment. Wire is long enough. What I thought is mic saegment should have been close to our mouth.,4
Amar,Value for money product.,Iguana,06-Jan-22,A value for money product. Not too good sound but according to the price there is quality.The main advantage is THIS PRODUCT IS REALLY STRONG INTANGIBLE DESIGN.you can go for it.,4
Richi,Built Quality is Very Low,Iguana,17-Sep-21,"from purchased with in a 2 weeks Coting on the wire peeled of, build quality is very low, Sound is Good and Comfortable in ear. boAt had replaced the product Thanks to boAt",3
MADHUSMITA KAR ,st time disappointed with Amazon product.,White,30-Apr-22,Nonsense product. As soon as I plug in my earphone the sound automatically increases and decreases. I don't know what's the reason. I can't even return as the return window closed.,1
Monika,Perfect,Black,20-Jun-21,I liked this product...Best stereo type earphone i ever got with 1 year warrant coverage.there's no nip and tuck competitor of this earphone... Every earphone brandsame as this model have high price or 6 month warrant coverage. Sound quality is good. Noise cancellation relatively average.. Value for money who's searching this model..,4
Chandra,Loved it,Spirit Lime,16-Sep-21,"Fit my ears perfectly. If you have issues fitting the bullet earphone in your ears, these earphones are for you The sound is amazing with good bass. Looks cool and sturdy",5
Dr Vinod Chebbi,"The left ear speaker is dying, and there is lot of echo",Blue,03-Dec-21,"To begin with it worked great. Within a month I found the following There is huge echo you hear your own voice getting back at you in full sentence And now, the left speaker has reduced its output and is feeble despite in full volume. Not a promising product.",1
Amazon Customer,Umm....,Black,18-Sep-21,"Even after 2 boat product broken just after 1 year ,i still buy this due to affordability and worked smoothly till then. Where all others had poor sound quality. So at this price good buy but no durability.",4
Amruta Uttekar,Good and comfortable for long use of phone calls,Black,15-Jun-21,Good and descent product for long term phone calls meetings as the design is little comfortable for both the ears. Please do not go for sound quality it will not satisfy your need.,4
Sai,Defect piece,White,01-Feb-22,"I have purchased Boat headphones on Dec 7th 2021 I believe and it's almost 2 months I'm using it forSuddenly I'm facing low sound issue in right side of the earphone, however left one is working fine.I didn't expect this type of issue from boat within this short period",1
DP,Bad product quality,Black,05-Jul-21,In less than 20 days the headset is not working. It's not broken or shows absolutely no visible damage. It's not a good product as it doesn't last long.,1
Richie Johnson,Worst product,Blue,10-Jul-21,Its not good product first time i ordered it had also low sound problem not hearing then i replaced this item. First time sound is ok but after i checked my recording quality it has low sound not hearing. I fully on my phone sound i couldn't hear loudly.,1
Ketul Gandhi,Not happy,Black,29-Jun-21,Not satisfied with products received poor quality don't buy it please it's request to allThanks for itBoat products always good but this is not as per expectationsSound quality not good,1
Sai Radha Krishna,Good product,White,16-Nov-21,"Pros Good quality for the priceNice sound quality and bassFit is perfect for someone who loves a half ear designlightweightenough lengthThe white color looks good, not cheap don't know about other colorsCons Only half the cable is braided other half is left normal...",4
Manjunath,Good quality ear headphones,Blue,03-Jan-22,In ear headphones generally cause pain in the ears during long time use. However this headphone is perfect for long duration usage during conference calls meetings.,4
Adarshya,Great product and amazing sound quality,Blue,04-Sep-21,"These earphones are great at such a low price At 17 20 volume, I can hear crystal clear. Amazing choice for anyone who wants half in earphones I don't like the one with buds . It's super comfortable doesn't hurt ears like the metal ones . It has a long, protected cable.The only issues I have are that the color is not as advertised I ordered the blue one, but it isn't as dark , and it doesn't have the volume up and down buttons.",5
Kunal suri,Mic Does Not Work Properly,White,28-Mar-22,Mic does not work properly. You have to keep it very close to your mouth so that the other person can hear you properly plus it will not cancel the background noise like chinese earphones. It captures more background voice then your voice. Waste of money for both music and calling purpose.,1
Renjith.R,I have one year warranty on my head set..need to replace as one side not working,Black,04-Mar-22,One side it's not working. .1 year warranty available.. need replacement,1
Nitul Jain,waste of money as no return available,Blue,03-Jun-22,"i tried to cancel order immediately after placing the order,cancellation doesn't work. product delivered.Now, It's not working on my phone and no return available for this product, only replacement option available. so you can't get your money back, if it's don t work.",1
Anuraag Ghosh,Doesn't match the name,Iguana,12-Sep-21,"Its is good product if you don't compare it with others, bass is ok not super or clear beats.Overall it is good.Tangle free indeed but plastic quality is not premium.",3
Aviraj Jagdale,Pathetic,Spirit Lime,03-Jan-22,"Within a week of the earphones delivery left ear stopped working.Went to boat service center, returned the earphone and after 6 days got a so called replaced version .AndAgain after a week, the left ear stopped working.Worst possible experience",1
Bharanidharan,Please stop scamming people,White,12-Apr-22,"Purchased this earphone on Amazon a couple of weeks ago. It was working flawlessly for the first 10 days. Now, the sound quality has stooped so low and the left earphone has stopped working completely. And the window period for returning the product also got over a few days ago. So, stop scamming people with the beta version of these kid of earphones.",1
Sreeraj,Very disappointed.,Black,29-Oct-21,I cannot hear properly while calling.. even the person on the other line also hear a lot many disturbances during the call.. my only intention while purchasing this earphone was to attend calls properly.. very disappointed with the purchase.. is there any way I can get a replacement.. was a huge fan of boat.. but this was the worst purchase I ever made..,1
Rupali jain,waste of money don't buy,Black,29-Jan-22,"Waste of money,poor quality don't buy Poor quality, was not able to return as didn't checked after delivery..a noise keep.on coming waste of money don't buy",1
Hiranya D.,Just what I needed,Black,03-Feb-22,"I wanted an earphone that did not go inside the ear making them feel violated , and a pair that did not bear hug the head either.. For me, after many weeks of searching, this was the best one in terms of fit and comfort, sound and bass quality, and budget.",5
Ammutti,Good product,Spirit Lime,31-Jan-22,Good product but i used it just few days got one earphone damaged. I think should improve the quality. All other features are good. Affordable prize also.,4
Ashok,Sound and Bass boosted when compared to other reputed brand.,White,14-Feb-22,Loved Tangled free wire feature. Sound quality is superb. Really having good base experience. It will be good if it has little sharpness in the audio.,4
umesh pandey,STRICTLY DO NOT BUY,Iguana,05-Jan-22,Guys this is a super faulty product of boat. Malfunctioning is prime feature of this handset. Irritating disturbing sound. Replace twice as it is in warranty but same earphone they returned me after sometime. How it is possible that all peice of this model can be faulty.,1
Nischal MN,It's fine,White,10-Sep-21,You don't get ear buds or this obviouslyThe plastic in ear piece kinda looks cheap and its sorta painful in ears only while adjusting in the earsOnce overn it's very light weightThe cable used in the lower half has patterns and super tangle free but consen on the durability.Sound quality is average1 year warranty no manufacturer is providing this,4
Avinash Devadiga,Must buy at this price range,Iguana,01-Jun-22,The media could not be loaded. I will be completely honest. 3 months back I had bought realme buds neo 2. That was worth 1500 rupee around. This one is much much better than that.,5
manash,Wasted my money. cant return too,White,14-Sep-21,"Wasted my money. i bought it by looking at brand name. but just after the return window closed ,one side of thw earphone does not give much sound . i cant return now too since the return period is only for 20days. dont buy",1
namrata m.,Sturdy,Black,17-Aug-21,Best headphones ever Sturdy and with good sound quality . Posting after one month of use.Bought another set for my dad,5
Krist Frost,Genuine product with lower price,White,13-Sep-21,"Boat Basshead 105....is a good earphone at its price point ,build quality is great, sound also really good with phone, much better with laptop ..what i really like about this earphone is that its easy to used and light weight,its really fits well in my ear. So i recommend this Boat earphone if you are looking for Good quality with lower price.",4
Prakhar,Great earphones for the price it holds.,Blue,25-Dec-21,"The latest trend of noise cancellation in ear earphones doesn't suit my ears. Thus I was looking for an earphone with conventional design. Luckily I found this. Must say, great product for the price it holds. Like the sound, bass, clarity and even the design.",5
Shilja,Amazing,White,06-Feb-22,"I have no words to describe. Its simply amazing. Go for it if you are someone who likes using this model and design, which is different from the plug in.",5
