num_overall,num_within_season,title,airdate,ingredients,dish,winner,season,guest1,guest2,guest3,contestant1,contestant2,judge1,judge2,judge3
29,7,"""Heat in the Street""","December 18, 2014",pancetta,pork chop,Bobby Flay,3,Scott Conant,Alex Guarnaschelli,,Damien O'Donnell,Adrian Leon,Phillip Lee,Ariane Daguin,Ivan Orkin
30,8,"""Roll the Dice""","December 25, 2014",pork tenderloin,lobster roll,John Miele,3,Michael Voltaggio,Simon Majumdar,,Evan Hennessey,John Miele,Ken Friedman,Ed McFarland,Donald Brophy
31,9,"""Pot Calling the Kettle Beat""","January 1, 2015",goat cheese,chicken pot pie,Bobby Flay,3,Jonathan Waxman,Aaron Sanchez,,Herb Wilson,Robin King,Wylie Dufresne,Anita Lo,Josh Capon
32,10,"""New Kids on the Butcher Block""","January 8, 2015",ground beef,BLT,Bobby Flay,3,Jeff Mauro,Justin Warner,,Malcolm Mitchell,Daniela D'Ambrosio,Joey Campanaro,Madison Cowan,Mike Birnbaum
33,11,"""Clash of the Culinary Titans""","January 15, 2015",pizza dough,steak and eggs,Victor Albisu,3,Sunny Anderson,Ted Allen,,Eddie Tangredi,Victor Albisu,Michael Stillman,Ariane Daguin,George Motz
34,12,"""Defend the House""","January 29, 2015",hanger steak,biscuits & gravy,Bobby Flay,3,Alton Brown,Alex Guarnaschelli,,Alina Eisenhauer,Joe Dobias,Sam Talbot,Aliya Leekong,Alex Garcia
35,13,"""Fry Me a River""","February 5, 2015",tomatoes,chicken wings,Bobby Flay,3,Scott Conant,Geoffrey Zakarian,,Robert Hesse,Michael Jenkins,Corby Kummer,Terrance Brennon,Drew Nieporent
36,1,"""Foreign Relations""","March 5, 2015",porterhouse steak,pot stickers,Taichi Kitamura,4,Giada De Laurentiis,Michael Symon,,David Decastro,Taichi Kitamura,Ed Schoenfeld,Kristin Sollenne,Harold Dieterle
37,2,"""Fire in the Hole""","March 12, 2015",chickpeas,paella,Bobby Flay,4,Alex Guarnaschelli,Katie Lee,,Chris Lamphier,Jen Biesty,George Mendes,Aliya Leekong,Drew Nieporent
38,3,"""To Contend and Serve""","March 19, 2015",italian sausage,catfish po' boy,Bobby Flay,4,Anne Burrell,Geoffrey Zakarian,,Noah Schwartz,Carla Harris,Ed McFarland,Lourdes Castro,Rick Moonen
39,4,"""Culinary Validation""","March 26, 2015",kielbasa,arroz con pollo,Bobby Flay,4,Scott Conant,Natalie Morales,,Adam Halberg,Joe Adorno,Jeff Zalaznick,Kristin Sollenne,Rick Moonen
40,5,"""Raising the Bar""","April 2, 2015",shiitake mushrooms,meat arepas,Kelvin Fernandez,4,Sunny Anderson,Allison Sweeney,,Chris Kobayashi,Kelvin Fernandez,Ivan Orkin,Roberto Treviño,Ming Tsai
41,6,"""No Training Wheels""","April 9, 2015",feta cheese,fried fish tacos,Johnny Zone,4,Alex Guarnaschelli,David Burtka,,Jumoke Jackson,Johnny Zone,Luke Holden,Mary Sue Milliken,Suvir Saran
42,7,"""Best Laid Plans""","April 16, 2015",sardines,cedar plank salmon,Bobby Flay,4,Katie Lee,Simon Majumdar,,Keri Moser,Clark Frasier,Donal Brophy,Tricia WIlliams,Ken Friedman
43,8,"""East Coast's Finest""","April 23, 2015",mussels,veal milanese,Bobby Flay,4,Curtis Stone,Michael Symon,,Luke Venner,Antonio Franco,Frank Pellegrino Jr.,Laura Vitale,Michael Psilakis
44,9,"""Out on a Limb""","April 30, 2015",fluke,lamb chops,Bobby Flay,4,Ted Allen,Tamron Hall,,John Wassil,Katherine Humphus,Harold Moore,Ariane Daguin,Todd Coleman
45,10,"""Any Given Sunday""","May 7, 2015",bacon,croque-monsieur,Bobby Flay,4,Chris Santos,Geoffrey Zakarian,,Kathy Cary,Shanna O'Hea,Michael Ferraro,Susan Ungaro,Terrance Brennan
46,11,"""Homeland""","May 14, 2015",oranges,bibimbap,Thoa Nguyen,4,Anne Burrell,Scott Conant,,Jason Hippen,Thoa Nguyen,David Massoni,Anita Lo,Ivan Orkin
47,12,"""Humble Beginnings""","May 21, 2015",fresh mozzarella,étouffée,Bobby Flay,4,Sunny Anderson,Simon Majumdar,,Eugene Jones,Christopher Wall,Ed McFarlnd,Alexander Smalls,Frank Prisinzano
48,13,"""Getting Grilled""","May 28, 2015",chicken,steak and potatoes,Bobby Flay,4,Michael Symon,Debi Mazar,,Dominic Zumpano,Angelo Sosa,Michael Stillman,Hugh Mangum,Michael Lomonaco
49,1,"""No Fear""","June 4, 2015",halibut,corn-beef hash,Bobby Flay,5,Damaris Phillips,Alex Guarnaschelli,,Lawrence Males,Will Gilson,Roberto Treviño,Lourdes Castro,Hugh Mangum
50,2,"""Who's Your Daddy?""","June 11, 2015",lobster,sausage & peppers,Sam Marvin,5,Scott Conant,Haylie Duff,,Gregory Torrech,Sam Marvin,Frank Prisinzano,Roberto Treviño,April Bloomfield
51,3,"""No Formalities""","June 18, 2015",littleneck clams,pork roulade,Bobby Flay,5,Sunny Anderson,Giada de Laurentiis,,Sarah Acconcia,Tre Wilcox,Andrew Carmellini,Tracy Weiss,Josh Capon
52,4,"""Mavericks""","June 25, 2015",jumbo lump crab meat,thai green curry,Bobby Flay,5,Daphne Oz,Michael Symon,,Sylvia Casares,Braden Wages,Ivy Stark,Corby Kummer,Leah Cohen
53,5,"""Stars and Stripes""","July 2, 2015",watermelon,burger,Bobby Flay,5,Rachael Ray,Jessica Seinfeld,,Brian Cartenuto,Matt O'Neil,Glenn Harris,Susan Ungaro,Ken Freidman
54,6,"""Rollin' Deep""","July 9, 2015",fennel,meatballs,Kenny Johnson,5,Katie Lee,Geoffrey Zakarian,,Linda Hamel,Kenny Johnson,Charlie Parker,Tracy Weiss,Frankie Pelegrino Jr.
55,7,"""Worst Case Scenario""","July 16, 2015",hen of the woods mushroom,bratwurst sandwich,Bobby Flay,5,Amanda Freitag,Alex Guarnaschelli,,Kouri Killmeier,Jared Case,Michael Lomonaco,Franklin Becker,Michael Psilakis
56,8,"""Rise to the Occasion""","July 23, 2015",apples,lasagne,Bobby Flay,5,Ted Allen,Debi Mazar,,Mike Friedman,Gio Osso,Aliya Leekong,Jeff Zalaznick,Laura Vitale
57,9,"""Do or Die""","July 30, 2015",pomegranates,chili relleno,Bobby Flay,5,Scott Conant,Geoffrey Zakarian,,Peter Morris,Gregory Webb,Harold Dieterle,Ivy Stark,Jason Birchard
58,10,"""The Heat is On""","August 6, 2015",rib-eye steak,mussels frites,Jeanie Roland,5,Katie Lee,Robert Irvine,,Becca Richards,Jeanie Roland,Susan Feniger,Ed Brown,Susan Ungaro
59,11,"""Sticking to Your Guns""","August 13, 2015",russet potatoes,liver & onions,Bobby Flay,5,Sunny Anderson,Curtis Stone,,Peter McAndrews,Clark Barlowe,Andrew Carmellini,Madison Cowan,April Bloomfield
60,12,"""Arrivals and Departures""","August 20, 2015",swordfish,jerk chicken,Michael Walters,5,Donatella Arpaia,Alex Guarnaschelli,,Lisa Nakamura,Michael Walters,Franklin Becker,Candice Kumai,Madison Cowan
61,13,"""Culinary Tornado""","August 27, 2015",New York strip steak,ribs,Bobby Flay,5,Anne Burrell,Simon Majumdar,,Brian Hill,Miguel Trinidad,Leah Cohen,Hugh Mangum,Devin Alexander
62,1,"""Unfinished Business""","October 1, 2015",cherrystone clams,pork enchiladas,Bobby Flay,6,Scott Conant,Jonathan Scott,Drew Scott,Blythe Beck,Angelo Sosa,Ivy Stark,Josh Capon,Elizabeth Karmel
63,2,"""Settling the Score""","October 8, 2015",rack of lamb,pasta carbonara,Bruce Kalman,6,Sunny Anderson,Jeff Mauro,,Jordan Andino,Bruce Kalman,Frank Prisinzano,Laura Vitale,Harold Moore
64,3,"""Frenemies""","October 15, 2015",portobello mushroom,pierogi,Bobby Flay,6,Michael Symon,Debi Mazar,,Michael Jenkins,Natasha Pogrebinsky,Ed McFarland,Tom Birchard,Andrew Friedman
65,4,"""Back with a Vengeance""","October 22, 2015",kale,moqueca,Bobby Flay,6,Daphne Oz,Geoffrey Zakarian,,Tre Wilcox,Anthony Lamas,Franklin Becker,Lourdes Castro,Julien Medina
66,5,"""Trick or Sweet""","October 26, 2015",coconut,pumpkin trifle,Bobby Flay,6,Simon Majumdar,Debi Mazar,,Tommy Juliano,Justin Burke-Samson,Paulette Goto,Johnny Iuzzini,Jennifer Yee
67,6,"""It's a Family Secret""","November 4, 2015",flat iron steak,potato latkes,Ric Orlando,6,Anne Burrell,Spike Mendelsohn,,Kiran Verma,Ric Orlando,Jason Birchard,Maneet Chauhan,Madison Cowan
68,7,"""She's a Lady""","November 11, 2015",chicken thighs,shrimp mofongo,Bobby Flay,6,Katie Lee,Alex Guarnaschelli,,Jennifer Bajsel,Giovanna Huyke,Roberto Treviño,Aliya Leekong,Hugh Mangum
69,8,"""Let's Talk Turkey""","November 18, 2015",acorn squash,turkey sandwich,Bobby Flay,6,Michael Symon,Geoffrey Zakarian,,Jeff Haskel,Nick Rabar,Susan Ungaro,Michael Ferraro,Sarah Simmons
70,9,"""Hook, Line and Sinker""","December 2, 2015",rainbow trout,Dutch baby pancake,Roy Breiman,6,Scott Conant,Willie Geist,,Vaughn Crenshaw,Roy Breiman,Ken Friedman,Anita Lo,Glenn Harris
71,10,"""Roasting on an Open Fire""","December 9, 2015",chestnuts,filet mignon,Ariane Duarte,6,Alex Guarnaschelli,Penn Jillette,,Adil Fawzi,Ariane Duarte,Michael Lomonaco,Candice Kumai,Phillipe Massoud
72,11,"""Poking and Prodding""","December 16, 2015",polenta,lamb shish kebab,Bobby Flay,6,Katie Lee,Judy Gold,,Alex Stratta,Houman Gohary,Marco Moreira,Maneet Chauhan,Jean-Paul Bourgeouis
73,12,"""Rules are Meant to be Broken""","January 6, 2016",fresh tuna,pork tostado,Bobby Flay,6,Ted Allen,Margaret Cho,,Ian Russo,Diane DiMeo,Jason Debriere,Ivy Stark,David Massoni
74,13,"""Live From the Food Carpet""","January 13, 2016",bell peppers,fish curry,Bobby Flay,6,Rachael Ray,Ross Mathews,,Gavin Fine,K.N. Vinod,Frank Prisinzano,Missy Robbins,Suvir Saran
75,1,"""Strike While the Iron's Hot""","January 20, 2016",peanuts,pad thai,Tim Freeman,7,Amanda Freitag,Geoffrey Zakarian,,"Steve ""Nookie"" Postal",Tim Freeman,Kristin Sollenne,Dale Talde,Candice Kumai
76,2,"""A Cut Above""","January 27, 2016",flank steak,beef Wellington,Bobby Flay,7,Simon Majumdar,Jet Tila,,Terry Sargent,John Tesar,Michael Stillman,Madison Cowan,Jean-Paul Bourgeouis
77,3,"""Touchdown!""","February 3, 2016",avocado,pork nachos,Bobby Flay,7,Anne Burrell,Laila Ali,,Zane Holmquist,Deji Oduwole,Ben Ford,Tricia Williams,Pete Levin
78,4,"""Sweet and Spicy""","February 10, 2016",chocolate & chillies,chicken mole,Bobby Flay,7,Katie Lee,Damaris Phillips,,Steven Scalesse,Carlos Baez,Susan Feniger,Richard Sandoval,Pamela Morgan
79,5,"""A Feather in Your Cap""","February 17, 2016",duck breast,seafood lo mein,Mohan Ismail,7,Alex Guarnaschelli,Sunny Anderson,,Nicole Roarke,Mohan Ismail,Wylie Dufresne,Ed Schoenfeld,Frank Pellegrino
80,6,"""The Boys Are Back""","February 24, 2016",jarred tuna,steak torta,Brian Archibald,7,Michael Symon,Michael Voltaggio,,Todd Hall,Brian Archibald,Julian Medina,Tricia Williams,Franklin Becker
81,7,"""Always Expect the Unexpected""","March 2, 2016",sirloin steak,vegetarian moussaka,Bobby Flay,7,Ted Allen,Kelsey Nixon,,Matt Levin,Sanaa Abourezk,Michael Psilakis,Corby Kummer,Jeremy Spector
82,1,"""Turning the Tables""","March 17, 2016",spinach,lobster Newberg,Alex Guarnaschelli,8,Katie Lee,,,Michael Symon,Alex Guarnaschelli,Michael Lomonaco,April Bloomfield,Wylie Dufresne
83,2,"""Pie in the Sky""","March 24, 2016",striped bass,shepherd's pie,Bobby Flay,8,Maria Menounos,Scott Conant,,Damon Gordon,Branden Levine,Donal Brophy,Michael Lomonaco,Pete Levin
84,3,"""Time to Get Schooled""","March 31, 2016",asparagus,seafood risotto,Bobby Flay,8,Anne Burrell,Curtis Stone,,Stacie Vande Wetering,Cindy Wolf,Jean-Paul Bourgeouis,Cedric Vongerichten,Franklin Becker
85,4,"""Something Sweet""","April 7, 2016",cherry,cream puffs,Bobby Flay,8,Bobby Deen,Sunny Anderson,,Ty Leon,Caprial Pence,Johnny Iuzzini,Paulette Goto,Zac Young
86,5,"""Have Merci!""","April 14, 2016",artichoke hearts,coq au vin,Kevin Ashade,8,Alex Guarnaschelli,Josh Capon,,Gui Alinat,Kevin Ashade,Marco Moreira,Aliya Leekong,Alain Allegretti
87,6,"""Just Act Natural""","April 21, 2016",piquillo pepper,chicken shawarma,Bobby Flay,8,Ina Garten,Neil Patrick Harris,,Thomas John,Gail Arnold,Richie Notar,Madhur Jaffrey,Jehangir Mehta
88,7,"""Riding the Wave""","April 28, 2016",lamb tenderloin,lobster bisque,Bobby Flay,8,Katie Lee,Simon Majumdar,,Shaymus Alwin,Jeremy Sewall,Jamie Bissonnette,Keri Glassman,Ed McFarland
89,8,"""Fully Baked""","May 5, 2016",plantain,beef empanada,Aaron Rivera,8,Geoffrey Zakarian,Scott Conant,,Robert Vasquez,Aaron Rivera,Michael Laiskonis,Ivy Stark,Roberto Santibáñez
90,9,"""Hall of Shame""","May 12, 2016",okra,chicken & dumplings,Kenny Gilbert,8,Giada De Laurentiis,Jerome Bettis,,Jordan Wakefield,Kenny Gilbert,Tom Birchard,Lisle Richards,Ken Friedman
91,10,"""Star Power""","May 19, 2016",Dover sole,tortilla soup,Bobby Flay,8,Jeff Mauro,Eddie Jackson,,Jesse Schenker,Danny Mena,Julian Medina,Rosanna Scotto,Madison Cowan
92,11,"""Ring of Fire""","May 26, 2016",mahi-mahi,steak au poivre,Bobby Flay,8,Jeff Mauro,Anthony Anderson,,Adrianne Calvo,Ben Thomas,Michael Lomonaco,Tracy Weiss,Brian Duffy
93,12,"""Fingerlings Crossed!""","June 2, 2016",fingerling potato,chili,George Rodrigues,8,Geoffrey Zakarian,Diane Guerrero,,Philippe Corbet,George Rodrigues,Roberto Santibáñez,Paulette Goto,Brian Mazza
94,13,"""A Little Bit Country""","June 5, 2016",bay scallop,country fried steak,Bobby Flay,8,Alex Guarnaschelli,Trisha Yearwood,,Joe Wolfson,Lee Frank,Hugh Mangum,Elizabeth Karmel,Marc Murphy
95,1,"""Fancy Meeting You Here""","June 12, 2016",prosciutto,cheesecake,Anne Burrell,9,Sunny Anderson,,,Scott Conant,Anne Burrell,Ken Oringer,Susan Ungaro,Jacques Torres
96,2,"""Breaking Food News""","June 19, 2016",mackerel,lamb gyro,Bobby Flay,9,Michael Symon,Katie Couric,,Alyssa Gorelick,Michael Ginor,Michael Psilakis,Leah Cohen,George Mendes
97,3,"""Red, White, and BBQ""","June 26, 2016",chicken wings,pulled pork sliders,Brother Luck,9,Katie Lee,Elvis Duran,,Matt Bolus,Brother Luck,Raquel Pelzel,Corby Kummer,Elizabeth Karmel
98,4,"""Green with Envy""","July 7, 2016",silken tofu,stuffed peppers,Bobby Flay,9,Scott Conant,Perrey Reeves,,Vikki Krinsky,Pankaj Pradhan,Michael Schulson,Keri Glassman,Sal Scognamillo
99,5,"""Dancing With the Devil""","July 14, 2016",veal cutlet,shrimp scampi,Robbie Jester,9,Lance Bass,Michael Voltaggio,,James Laird,Robbie Jester,Frank Pellegrino,Tricia Williams,Stratis Morfogen
100,6,"""Ladies Night""","July 21, 2016",romanesco,tortelloni,Bobby Flay,9,Katie Lee,Laura Vitale,,Eric Levine,Jannifer Janinski,Raquel Pelzel,Richie Natar,Kristin Sollene
101,7,"""Stop Drop and Roll""","July 28, 2016",cannellini beans,stuffed cabbage rolls,Kevin Naderi,9,Geoffrey Zakarian,Donny Deutsch,,Mark Vecchitto,Kevin Naderi,Maneet Chauhan,Franklin Becker,Dorothy Cann Hamilton
102,8,"""So many obstacles""","August 4, 2016",couscous,meat pizza,Bobby Flay,9,Anne Burrell,Apolo Ohno,,Brian Miller,Michele Castelli,Christian Petroni,Rosanna Scotto,Alex Garcia
103,9,"""Who's Got This in the Bag""","August 11, 2016",ground lamb,fish en papillote,Bobby Flay,9,Jet Tila,Debi Mazar,,Christopher Covelli,Mark Gaier,Ed Brown,Candice Kumai,Vikas Khanna
104,10,"""Age is Just a Number""","August 18, 2016",blue cheese,wonton soup,Jenny Dorsey,9,Sunny Anderson,Kimberly Schlapman,,Kevin Des Chenes,Jenny Dorsey,Cobi Levy,Anita Lo,Hugh Mangum
105,11,"""Get in the Zone""","August 25, 2016",Yukon gold potatoes,chilaquiles,Bobby Flay,9,Alex Guarnaschelli,Kenny Mayne,,Jeff Williams,Kevin Templeton,David Massoni,Lourdes Castro,Jason Debriere
106,12,"""Bobby's DMV Appointment""","September 1, 2016",guanciale,soft-shell crab sandwich,Bobby Flay,9,Curtis Stone,Haylie Duff,,Serge Pambo,Todd Gray,Michael Psilakis,Tracy Weiss,Hugh Mangum
107,13,"""Dark Horses Still Kick""","September 8, 2016",branzino,chicken bánh mì,Bobby Flay,9,Geoffrey Zakarian,Debi Mazar,,Kunal Lamba,Ed Hardy,Hari Nayak,Dorothy Cann Hamilton,Hung Huynh
108,1,"""Comforts of Home""","September 22, 2016",ground pork,cannelloni,Bobby Flay,10,Scott Conant,Bethenny Frankel,,Matteo Boffo,Jackie Rothong,Frank Prisinzano,Jody Adams,Salvatore Coppola
109,2,"""Shore Fire Strategy""","September 29, 2016",squab,lobster thermidor,Bobby Flay,10,Anne Burrell,Mario Cantone,,Geoff Johnson,Martin Rios,Ed Brown,Clodagh McKenna,Craig Samuel
110,3,"""Howdy Halloween""","October 6, 2016",blood oranges,devil's food cake,Katherine Clapner,10,Sunny Anderson,Laura Vitale,,Joe Baker,Katherine Clapner,David Lebovitz,Nicole Friday,Zac Young
111,4,"""Bobby-Bing Bobby-Boom!""","October 13, 2016",kalamata olives,meatball sandwich,Bobby Flay,10,Anthony Carrino,John Colaneri,Alex Guarnaschelli,Toni Sapienza,Rodney Murillo,Nick Defonte,[13] Kristin Sollenne,Dale Talde
112,5,"""Che-Sing Glory""","October 20, 2016",country ham,ramen,Bobby Flay,10,Geoffrey Zakarian,Michael Che,,Andres Dangond,Tony Nguyen,Judy Joo,Ivan Orkin,Ivy Stark
113,6,"""Hold on for One More Flay""","October 27, 2016",butchery brioche,samosas,Vijay Sadhu,10,Katie Lee,Carnie Wilson,,Jeremy Nolen,Vijay Sadhu,Aliya Leekong,Edi Frauneder,Julie Sahni
114,7,"""Surprise Surprise""","November 3, 2016",haddock,pork fried rice,Bobby Flay,10,Curtis Stone,Sandra Lee,,Katie Chin,Pat Sheerin,Michel Nischan,Anita Lo,Hung Huynh
115,8,"""Country Boys in the Big City""","November 10, 2016",black beans,jambalaya,Bobby Flay,10,Ted Allen,Anne Burrell,,Justin Gaines,Mike Johnson,Jean Paul Bourgeois,Candice Kumai,Michael Psilakis
116,9,"""Thanks But No Thanksgiving""","November 17, 2016",butternut squash,turkey cacciatore,Ed Cotton,10,Martha Stewart,Scott Conant,,Omar Zerrei,Ed Cotton,Madison Cowan,Marcie Turney,Felipe Donnelly
117,10,"""You've Got to be Kidding Me!""""","November 30, 2016",cheddar cheese,chicken fingers,Bobby Flay,10,Carla Hall,Aubrey Anderson-Emmons,Quvenzhane Wallis,Chris Scott,Line Pelletier,Chris Ekpiken,Sabrina Richard,Taylor Moxey
118,11,"""Back to School""","December 8, 2016",strawberries,Napoleon,Francois Payard,10,Ted Allen,Rowan Blanchard,,Zac Young,Francois Payard,Olivia Oshiro,David Pines,Elizabeth Oakes
119,12,"""Whiz Kids""","December 15, 2016",corn flakes,beef quesadillas,Bobby Flay,10,Gibson Boreli,Tyler Zager,Sunny Anderson,Claud Beltran,Brian Santos,Lauren Zilberman,Finn Skerlj,Emily Waters
120,13,"""Like Father Like Daughter""","December 22, 2016",bowtie pasta,grilled cheese,Bobby Flay,10,Scott Conant,Aila Conant,,Max Hardy,Lee Knoeppel,Hunter Zampa,Julep Knowlton,Tatiana Cicciarella
121,1,"""All at Stake""","January 4, 2017",Canadian bacon,salisbury steak,Todd Erickson,11,Amanda Freitag,Carla Hall,,Charles Bauer,Todd Erickson,Jeremy Spector,Michael Ferraro,Dorothy Cann Hamilton
122,2,"""Better Late Than Never""","January 11, 2017",parsnip,chicken flautas,Bobby Flay,11,Giada De Laurentiis,Alex Guarnaschelli,,Jen Royle,Melissa Mayer,Jason DeBriere,Sara Gore,Ken Oringer
123,3,"""Bro-Down Showdown""","January 18, 2017",sunchokes,surf & turf,Bobby Flay,11,Michael Voltaggio,Bryan Voltaggio,,Patrick Feury,Terence Feury,Jason Hicks,Raquel Pelzel,Michael Vignola
124,4,"""Too Biggs to Fail""","January 25, 2017",rock shrimp,seafood burrito,Sam Gorenstein,11,Katie Lee,Jason Biggs,,David Vargas,Sam Gorenstein,Roberto Santibanez,Alison Roman,Ed McFarland
125,5,"""The Grid Iron Chef""","February 1, 2017",jalapeno,cheesesteak,Bobby Flay,11,Alex Guarnaschelli,Josh Capon,,Lee Chizmar,Mark Allen Moller,Robbie Schultz,Katie Quinn,Michael Lomonaco
126,6,"""She Loves Me ....Not""","February 8, 2017",red wine,eggs benedict,Bobby Flay,11,Daphne Oz,Lara Spencer,,Eric Adjepong,Frank Otte,Susan Ungaro,Glenn Harris,Angie Mar
