SuggestionDate,SuggestionText,CharCount,SuggestionCategory,Upvotes,ReportedToDevs
4/7/2022,"Suggestion: Builders unite! I suggest that when placing foundations, the ground under it flattens a bit. Our bases sometimes end up with little dirt mounds protruding through the foundations.",191,Feature,52,TRUE
4/8/2022,i just think that there should be a lady bug shield of pill bug shield since they are really strong and I think would be tougher than an ant or weevil,150,Item,14,FALSE
4/8/2022,I think a Pupa leather couch that 2 people could sit on at a time would be a great lore friendly bit of furniture and would be something that’s a bit higher level to use,169,Feature,40,TRUE
4/8/2022,"I'm gonna keep this suggestion pretty vague, as there are many ways this can be done, but it's just the main idea I want to get across. Plugging the gas canister is proving to be a big part of the story of the game and can easily take the game in many directions. What I want to suggest is that the choice can lead to a split path in the endgame. What I suggest is a late game area that if chosen to plug the haze, is covered in fungus and infected creatures and fungi, but if choosing to keep the haze as it is, is completely different. This can add replayability to the game and really give the feel of the player making an impact on the backyard. In reality not many unique resources could be in either place, maybe a unique boss either way, but as I said I'm keeping this suggestion vague as this can really be taken any direction.",835,Feature,24,FALSE
4/8/2022,"We have orb weaver juniors but it would be interesting to see other bugs have smaller versions that can drop less parts and travel areas a lot less freely. It would be interesting to potentially see young travelling with their elders, potentially making the elders more aggressive and protective. Wolf spider juniors would be interesting to patrol very close to the oak tree, and they could potentially be neutral due to a lack of understanding of hostility. If you were to attack one it would be cool if it would cause a regular sized one would come out to investigate and check if it's ok? I'm not sure how that would work with other bugs but I'd love to see it in grounded",675,Feature,15,FALSE
4/8/2022,"Mushroom brick floor,stairs,everything like grass and weed but using mushroom brick",83,Item,20,FALSE
4/8/2022,Hey! I have one suggestion that I think would be cool too see. I’d love to see a terrain shovel as when I am building my base the dirt on the floor sticks through and it looks kinda ugly and can get in the way. As at the moment I can’t put anything on one side of my base on the bottom floor. I think that this should be made from: Bug Gloop x4 Bombadier parts X2 Roly Poly Shell x1 I am aware this has already been suggested I’m just putting it in a different way! Thanks!,473,Item,18,FALSE
4/8/2022,Hey new here but I think about grounded way to much in every day life. I'm a solo player and it's sucks.. But what would help would be a way to send resources to new locations down ziplines. Like a supply create you craft and fill and boom you can build a base faster without so much tracking over the map alone.... Also what about crafting a tool belt. Aka extra slots for just tools.. Hope these are good fresh ideas that grounded never knew it needed.,454,Feature,37,TRUE
4/9/2022,"considering how little uses the coal chunks have (just the oven, and coaltana/its repairs) i suggest that a new tier of shield, made with pupa leather, coal chunks, and antlion parts. it would be a shield that does a small amount of spicy damage to enemies on a perfect block. It would give players a reason to get this more costly shield instead of just using an easy to repair black ant one.",393,Item,25,FALSE
4/9/2022,"Making new types of beds and sleeping mechanics in the game can be a cool thing to put into the game. Like the only bed you have right now allows you to skip 8 hours of the night and the upgraded version of this can be a Crooked Weed plant bed that allows the player to skip 10 hours or 9. So on and so forth. Then the third tier bed allows you to skip the entire night always wake up at morning, and gives the player a buff that lasts for 3 minutes after waking up that gives the player hyper stamina and the quickness effect. Tier I bed (The one we have today) same stats. Tier II bed lowers the food and water depletion by 10% and gives the buffs for 1.5 minutes. Tier III bed lowers the food and water depletion by 15% and gives the buffs for 3 minutes.",757,Item,13,FALSE
4/9/2022,"After doublechecking to see if I was the only one or not about the garden or vegetable patch, I saw this suggestion! > https://discord.com/channels/675491639804035089/786708112978477076/958305927897952276 I’d like to add onto it as a potential add-in for new creatures. Praying Mantis Aggressive, Daytime Active (Potentially a miniboss or harder/equivalent enemy compared to wolf spiders) • T4 Weapon - Scythe that has a heavy attack that deals some AoE. Slashing type Damage • T4 Armor Provides piece bonus with new ability: Intimidation - Smaller bugs such as Ants, Mites, & Larva are less likely to engage you on sight. (Infected are unaffected) Provides New Set Bonus: Hanglider - Increase maneuverability and air time with the Dandelion Glider (and future gliding equipment) Earwig Aggressive, Fossorial (Burrowing/Primarily Tunnel spawns) • T4 Weapon - Dual Daggers (Individual Crafted) Individual Equip gives Slowed Movement to Enemies Both Equipped in Strong/Weak hand gives Weapon Set Bonus of Cripple Effect. • T4 Armor Provides Piece Bonus: +Max Health Provides Set Bonus: Increased Effect of Healing Items (Similar to Eyepatch) Lacewing Passive, Evening - Night Time Active. Weak, but Fast. Flying, Uncommon Spawn. Can be lured with Aphid Honeydew or Nectar. • No Weapon • Glider Backpiece Only Better Glider than Dandelion, Travel further distances (Not true flight) Downfall is not much better durability to glider (maybe) ",1437,Item,38,TRUE
4/9/2022,"plastic armor, an acid thrower from the bombardier beetle, a plastic Katana in the colour you want (recipe: 2pupa leather and 5 plastic brick.) to get the plastic you need to go under the big lego brick in the sandbox or in the trashcans and you need a tier 3 hammer to break it and then u get plastic chunks then smelt it and you get plastic bricks. the colours can be different u can get armor in the colour you want.",419,Item,5,FALSE
4/9/2022,What if there is a Big pidgeon boss that you shoot with arrows but to spawn the boss you need to go steal an egg and then the boss spawns. maybe a Ladybug saddle will help to fly and shoot. and that there is a pidgeon feather glider and a beak hammer.,251,Feature,5,FALSE
4/10/2022,what about adding a garden snake and if you were to get eaten it would be like another area of the game and you can collect snake parts from inside the snake,157,Feature,13,FALSE
4/10/2022,"I think tier three salt, spicy, and mint shards would be great. Example: there would be a wooden bin full of safety salt that the TERMITES have chewed into. You could harvest them with the BLACK OX HAMMER to make SALT JEWELS. I know the dev's want to spread this stuff around the map but it would still be hard to get since it is guarded by the TERMITES and DUSTMITES",367,Item,14,FALSE
4/10/2022,"Difficulty setting to give more information on what you might experience in-game. Example: Easy: Bugs deal less damage, hunger and thirst depletion is decreased, and item durabilities are increased. Normal: Bugs deal regular damage, hunger and third depletion is normal, and item durabilities are normal. Hard: Bugs deal more damage than normal, huger and thirst depletion rate is increased, item durabilities are decreased, and bugs have more health. (Idea) Infestation: Bugs deal critical damage, bugs have extra health, hunger and thirst depletes quickly, day/night cycle is increased, item durabilities are half than normal, and bugs spawn more often.",655,Feature,20,FALSE
4/10/2022,some way to up your save's difficulty,37,Feature,16,FALSE
4/10/2022,you should be able to upgrade armour but it only increases the durability,73,Feature,20,FALSE
4/10/2022,i have an idea for a new resource type aswell as a new cutscene arrow and dagger type glass shards glass shards are a rare resource that can be harvested from chinese marbles these would require a black ox hammer how to get chinese marbles chinese marbles will appear in a jar near the house on the porche i think not sure what it is but they will be unavaliable to the player due to the fact that they are sealed in a jar how to make them harvestable the player will have to use 3 splatburst to knock the jar down therefor breaking it. shards for the jar itself wont be harvestable but instead will damage the player if you step on them uses you can make many types of weapons from glass shards including glass throwing knives glass daggers and glass arrows glass dagger the glass dagger will be a tier 3 dagger that can be used for chopping down grass throwing knives glass throwing knives are a throwable item that costs 1 glass shard they deal the damage of 1 hit from the glass dagger,989,Item,13,FALSE
4/10/2022,"New ""compatibility"" upgrades: Quick heads up, I am aware that new upgrades have been suggested before. All of which been new damage type suggestions (such as sweet and sour and seasoned) and I don't believe any of them have covered the idea that I have for how these could work. How it'd work: I won't go into too many details so the devs can implement it however they want but essentially, it would be a lower level, more early game version of the current ""candy enhancement forges"". We would be able to coat a weapon or tool in a substance that would allow it to function in a way that it previously couldn't on top of it's current use. How we'd do this this wether it be a new crafting station or a new tab in the upgrade station is entirely up to the devs. The Waterproof Gel/Marble: This would allow tools or weapons to function underwater at the cost of a large nerf in damage and speed, higher level upgrades would have it perform better underwater than it does on land, the higher upgrades would be exclusive to players who have gotten past the pond lab to keep players from skipping the intended pond weapons. The lesser upgrades are made with gel and the greater ones are made with marble. The gel: 5 wax, 3 eelgrass, 1 algae The marble: 3 waterproof gel, 2 sunken bone, 1 muscle sprout (so it can't be made before the lab is done) This is unfortunately only one example of what I'd like to suggest, sizzle/antlion gels that improve weapons when you enter the sandbox or grill. Berry/sap gels for the hedge and tree. Feather gels for increased attack range. Fuzz gels for increased attack speed are all things this suggestion originally contained but unfortunately do not fit within 1900 characters.",1709,Item,12,FALSE
4/11/2022,"This is genuinely not a joke suggestion I want a toenail sword, it will be one handed, 1.5 bars above black ant sword on damage and will have a special ability Infection, this will be similar to poison but it will grow in damage every tick, topping off at 100 damage a tick, starting at 1 damage a tick, it will also buff poison by 25% meaning this+broodmask would be cracked. Recipe 5 toenail shards (broken with t3 hammer in the ashtray) 3 lint rope 3 roly poly parts 3 pupa leather",484,Item,49,TRUE
4/11/2022,"I think there should be a mount in the game called a cricket and there should be many things you can do with it. You could tame it with special treats and make a saddle to mount it and the saddle could cost 5 spider chunks, 5 berry leather, 3 silk string, and 4 quartized globs. You could kill it for the parts to make new things like boots that allow to jump higher it could cost 4 cricket parts(the common part) and 2 cricket legs(the rare part).",448,Feature,13,FALSE
4/11/2022,Every update free raw science respawns and mint Mohlers reapawns!,65,Feature,17,FALSE
4/11/2022,"water heater: As many of us know, there is a hot spring in the grill scorch zone which restores health (and, in my opinion, is the best feature in the entire game) which is pretty understandable considering it's one of the only sources of health in an environment where you are constantly taking damage. What I don't understand however, is why the devs went out of their way to make a new status effect, new particles and a new map landmark for this only to use it once and not have them all over the map or better yet, wherever the player decides. Introducing, the water heater: The build: The water heater would only be buildable in small shallow puddles (so not the pond or flooded zones). It'd be a relatively cheap item, it'd be made from approximately 4 clay, 1 boiling gland and maybe even some dry grass. It'd resemble a really small oven and would function like one too (by heating the water with fire) The fuel for the item, however would not be so cheap. It would require an item called kindling The item: Kindling would cost: 5 sap and 15 dry grass in a workbench for 1 kindling 8 splinters in a grinder for 5 kindling 1 charcoal in a grinder for 5 kindling How it'd work: The heater would only be buildable only in water. It'd require somewhere between 10-15 kindling per heater to keep it active for about 5 in game days (about 2•5 hours irl) and would make said puddle restore health making it perfect for the sandbox oasis. It'd also be possible to use this in the pond or flooded zones so to fix that, they only cover water that's 30cm or less away from the heater.",1582,Item,50,TRUE
4/11/2022,you should add a progression bar to mutations,45,Feature,55,TRUE
4/11/2022,"my idea for a new bug is the boxelder bug it will add a new mechanic to the game the box elder bug will mostly be found on the porch they would fly and then you can attack them is when they land which happens when they run out of flight stamina. flight stamina takes about 2 miutes to refill there flight stamina bar. they would drop boxelder bug wings, boxelder bug part, and box elder bug head. the wings would be used to create a parachute the body parts wings and head would be used to create armor and a new weapon im not sure about how many ingredients would go into the armor, parachute, or the weapon so I will let you decide.",634,Feature,9,FALSE
4/11/2022,"So, my Idea is a new area: Under the porch. it would be a giant area with no light exept some holes in the ceiling. you would have to bring a torch at all times to see something there, and it would be something new and fresh in contrast to the bright and sunny rest of the backyard. the only dark areas we have now are Caves and Anthills, that are both clausthrophobicly small, so having a giant dark area would be cool. And as we speak of cool, this could be the chance to indroduce the opposite to the Sizzling system, the Cold System (or something like that) that would go up if you are under the Porch without any Source of Light. this would also be a place for ""Creatures of the dark"" like Cockroaches and Silverfish",721,Feature,38,TRUE
4/11/2022,Rideable Bugs,13,Feature,11,FALSE
4/11/2022,"I'd like to suggest being able to play with your pet. Either a fetch quest for something simple or literally using them to play with. Like American football with an Aphid or basketball with either pet, soccer with weevils.",222,Feature,25,FALSE
4/12/2022,Steam Points Shop - Game Profiles for each of the teens (and maybe even BURG.L and Wendell?),92,Steam,46,TRUE
4/12/2022,Make it so when you Upgrade an Item at the smithing station you don't have to re-add it to the Hot Pouch,104,Feature,72,TRUE
4/12/2022,allow running while relocating furniture and work stations its annoying to travel with pallets full of weed stems or grass without being able to run,148,Feature,57,TRUE
4/13/2022,In the very bottom of each ant hill you can fight the queen ant of the ant hill. Ants that interact with other ants from different colonies will begin to attack each other.,172,Feature,25,FALSE
4/13/2022,"So, every Tier has it's own Rope, like Tier 1: Crude Rope; Tier 2: Silk Rope; Tier 3: Lint Rope. and if the Devs plan on introducing Tier 4, they'll need a Rope. introducing my suggestion: the Dog hair Rope. It would be made out of 2 Dog Fur; which could be harvested from Crusty Lint Clumps, which would have an 25% chance of spawning instead of regular Lint Clumps, on the Doormat of the Porch, which could be harvested with a tier 3 hammer. the drops of the Crusty Lint would look something like: Lint (1-3) Clay (0-3) Plant Fiber (1-4) and, the only unique Item: Dog Fur (1-2) this would make sense, as all over the backyard we can see Footprints of the Dog, and the Crusty Lint would be a Product of the Dog going Back in the House, leaving behind some mud, clay and Fur. this Fur could then be woven together at an spinning wheel for the Tier 4 Rope",855,Item,16,FALSE
4/13/2022,"Suggestion: New sprites for level 7 and level 9 weapons, along with new perks to reward going all the way. Examples are as such Club of the Mother Demon: Sharper spikes level 7 that cause bleeds, fangs at level 9 that breaks willpower, lowering bug attack damage. Bee spear: Split spearhead at level 7, enabling an occasional extra hit with 25% damage, sharp spearhead with 3 stingers curling at the base at level 9, increasing defense penetration. Crow Crossbow: Double bow heads at level 7, increasing arrow velocity, feather shield/sight at the head at level 9, allowing sighted aim and damage reduction while aiming. Honestly, these are just examples that can be changed at any time. I'd be fine if upgraded sprites were cosmetic only.",739,Feature,26,FALSE
4/13/2022,i think it would be useful if you could create some sort of container for ziplines that carrys resourcesand sends them to the bottom of the zipline,147,Feature,30,FALSE
4/13/2022,"Bugs with mutations: Imagine if you could find bugs with mutations from raw science exposure? Unique mutations that can't be acquired anywhere or anyway else. What if you got to hunt down and fight those bugs to steal their mutation? That's basically the whole premise of this suggestion, enjoy. Electrified mutation: This mutation would be found on one of the black soldier ants (in the black ant hill), this soldier ant would be easily identifiable by the fact that it glows blue, has electricity arcing from it's mandibles and has bright blue eyes instead of red. It'd be a mutation with only one level and would increase your stun damage by 75% but also restore the health of robots so don't use it to fight ark.Rs or tayz.Ts. Glass cannon mutation: This mutation would be found an orb weaver (in the bottom of the hedge, near the hits of crashed lab), the orb weaver would be identifiable by being somewhat translucent and looks like glass, the mutation would give you an amazing 175% damage increase but remove 75% of your max health making it incredibly high risk, high reward. These are only a few examples of what I had in mind, I was thinking of an antlion with an ""armoured"" mutation or a diving bell spider that's has a ""scientist"" mutation that increases raw science gain (the diving bell would be glowing with raw science). Most of these ideas just didn't fit within 1900 characters though. I'm also aware that this has been suggested before but most of the time, the suggestions failed to really detail the mutated bugs.",1535,Feature,25,FALSE
4/14/2022,A grappling hook would be a cool thing to get from a tier three burgl chip. The grappling hook would be made with silver fish parts and lint rope. If they dont add silver fish spiky burrs would be good to. You could use it like a temporary zipline that would go up and down but it can only go as far as 50 cm in all directions. Your ammunition,343,Item,16,FALSE
4/14/2022,"Battering Ram (Tier III) Description: It looks like a shield with Black Ox Beetle Horns on the front of it. It would also be made of strong Pupa Leather for effectiveness and Ladybird Parts for even more strength. How It Works: The player would charge up an attack and then you would sprint forward holding the Battering Ram Shield in front. If an enemy is hit they would take some damage but a lot of stun. If you miss however you would be stunned if you hit something solid, you would just stop sprinting if you don't hit anything. This item also doubles as a shield so that's nice. Crafting: 3 Pupa Leather, 3 Black Ox Horns, 4 Ladybird Parts I think this would be a nice item for building up stun on harder or faster enemies to get more hits but have one downfall so it's not too overpowered. Hope you enjoyed!",814,Item,11,FALSE
4/14/2022,"New arrow type crafted with mosquito beaks. These arrows would do similar damage, maybe less, but would be special due to being able to shoot straight in the direction shot and fly much further ignoring gravity for a decent amount of time before falling like regular arrows. These would be good for 2 reasons: 1. It would help shoot down flying creatures like bees 2. They would give another use to mosquito beak as those things are almost useless currently and pile up quick in storage.",487,Item,26,FALSE
4/14/2022,"New landmark: (not a biome, just a small landmark) I was originally thinking of new giant food items like the (billert hoogs or the appy bits) when I came to the realization that most of my ideas probably wouldn't be items that'd be half bitten and thrown away So I did some thinking And I came up with a solution that I honestly thinks works out best for both the lore and the gameplay Important details: •this would not be a map location due to it's small size. Would probably have a burg.l ""explorer quest"" though •the food bits do respawn and are supposed to look fresh rather than half eaten like the other large foods •the cashew food would restore 75% hunger, cherry restores 50% hunger 25% water and the cocktail sausage bits are the same as the cashews •I am not going to add a specific location or design of the lunchbox so the devs can decide whatever they want Pedestrian's lunchbox: This lunchbox would be found just before the grill, it'd require a tier 3 hammer to open (which fortunately, means there are black ox beetles nearby where the hammer and that the hammer finally has a use) and would contain several unique food items once opened that can be harvested with a tier 2 axe or tier 2 hammer Rewards: Food: Cherry innards. A grotesque but delicious hunk of a once majestic cherry. Cashew bits. A delicious and crunchy cashew part. Vaguely looks like a biscuit. Cocktail sausage part: A fresh sausage that finally isn't a hotdog. Mint shards (obviously these are already in game and have a written description) Tools/crafting ingredients Cherry tarp: Used to make ""red rug"" (a decoration) and ""small dew collector"" (can be built without needing quartzite, rope and weeds) Cashew spike: A dangerously sharp spike only go be used in a pinch, has very impressive damage and even better stun but breaks immediately",1831,Feature,14,FALSE
4/14/2022,"I think a granola bar you can make on the go would be cool, kind of like stardew valleys field snack 4 acorn bits 2 Sap And for a fruity variant add 2 berry chunks It would heal ⅓ of your hunger and the berry chunk one would heal a little bit of thirst, it would be good to stockpile them for boss battles If meals take too long or you don't have an oven",354,Item,33,FALSE
4/14/2022,"can we get curved mushroom half wall crenellated, because it would look amazing on a round tower, having a medieval style. but sadly, it doesn't exist",150,Item,19,FALSE
4/14/2022,Crow glider that can be used To travel far distances fastly and moving safely across hig terrain. building materials: X2 crow feathers X4 bug gloop X1 roly poly part X3 black ant parts. repair cost can be. X2 bug gloop X1 crow feathers X2 black ant parts. It may be slower then ziplines but faster then walking.,311,Item,18,FALSE
4/15/2022,"On the pick if table make the players able to destroy the very small jars of glass and the large jars be able to push off the table to fall off and smash for ""Glass Shards"" a crafting item that can make a ""Glass Halberd"" Stats: Damage: 3.5 Bars Stun: 0.5 Bars Speed: 6 bars Tier: III Damage Type: Jab (Stabbing)(Physical) Has a chance to cause the ""Bleeding effect that reduces the enemy's heal effect by 25% and looses small amount of HP for a short time. Crafting Ingredients: Silk Ropes 5x Glass Shards 4x Berry Leather 2x Weed Stem 3x Durability: Above Average Weapon Type: Spear",583,Item,15,FALSE
4/15/2022,"In a previous suggestion I mentioned silver fish parts so here I am going to explane it. Inside the barbecue there would be a new biome which would be the sinder blocks. I big pile of cinder blocks that was shown in one of the official trailers for grounded would be home to many creatures including the silver fish. Kill it would grant you with a couple of things such as silver fish parts , silver fish whiskers , and silver fish meat. These items would be used to make four things that are the grappling hook , silver fish armor , silver fish trident , and silver fish jerky. The silver fish trident would be the first and only tier three under water weapon which would help you with the upper pond.",702,Feature,12,FALSE
4/15/2022,"Hey! I bet you hate the broodmother's screaming ability why not get earplugs! I'm not sure what material they will be made out of but they could muffle the screams of the broodmother to make you immune to it! It could have some debuffs or not, whatever obsidian thinks.",269,Item,11,FALSE
4/15/2022,Make meals less expensive to make no one has a oven at the start of the game 😦,79,Tweak,1,FALSE
4/15/2022,"A communicator to talk to BURG.L without having to run/zipline all the way to the Oak Tree. This has always been a big problem for me personally, since everytime I want to build a base my first thought is to build near BURG.L, and I have practically no free-thinking of where to build. Also, BURG.L is guarded by like 3 spiders, which sometimes makes it a challenge just to get INTO the lab.",391,Item,14,FALSE
4/15/2022,"Change to the termite chestplate: I'm juts gonna go right out and say it, this armour piece is completely useless. You can work hard to go all the way to take on the termite king just to get a rubbish piece of armour that is useless compared to grass master and rock cracker. My idea consists of this: When wearing the armour, all grass blades, weeds, mushrooms and burrs drop 1.5-2 times the original amount. This would be a decent reward for progressing through all the content at the moment, and could push players to build large bases by removing the boring aspect of it, the gathering. There's also no way to exploit this, unless you for some reason want to tame 1 million weevils.",686,Tweak,27,FALSE
4/15/2022,"Adding a easter egg from ""Honey I shrunk the kids"" somewhere on the back yard so that people can find it. :0",108,Feature,20,FALSE
4/16/2022,Remove or at least lower the durability lost when respawning because it makes it too annoying to repair and loose so much useful items when trying again.,153,Tweak,14,FALSE
4/16/2022,A black ant club Require the same as the red ant club but with black ant parts Does 20% more damage and 20% more stun than red ant club,135,Item,9,FALSE
4/16/2022,"i think a quiver should be added to the game in order to allow people to store more arrows in there inventory, maybe it could be made from lint. i want it to be added to save inventory spaces becuse of the amount of arrows in the game.",235,Item,23,FALSE
4/16/2022,A tool you could use to glide more than the dandelion,53,Item,25,FALSE
4/16/2022,"I want a Doormat in the game, thats just a decor, or a marker like the trail marker, made of Lint, Lint Rope and Mite Fuzz with a Red text saying ""WELCOME"" (Red because of the Mite Fuzz) idk why I want this but this seems cool and something the devs would add",259,Item,24,FALSE
