,Unnamed: 0,Reviews,Airline,Lowercase,PunctuationsRemoved,OtherTextsRemoved,StopWordsRemoved
98,98,"✅ Trip Verified | We returned from St-Lucia yesterday night, December 19th. It’s been 3 years now since we have flown with Air Canada. Due to our last few very bad experiences, we tried to avoid them at all costs. This time, we had no other choice than Air Canada to fly to Saint-Lucia. Three days before our return to Ottawa via Toronto, we notice on the AC application that our return flight will be delayed 2 hours, thus missing our connection in Toronto for Ottawa. They changed our flight to another time that was still impossible to catch. Arriving in Toronto late on Saturday night, the Air Canada employee was immediately firm about telling us they are not providing a hotel and meal voucher as they pretend it is ""out of their control"", they seem to have all the freedom to lie about what’s in or out of their control. To be honest we saw it coming, having experienced their completely non-existent customer relations in the past and after talking with some of their former employees (management level), it was our fear that we would face their abuse once more. Any other airline in the world would have treated this issue fairly (from experience). I am sure all Canadians would love to feel pride in our main airline and feel appreciated and be respected by a company that carries our flag around the globe. In reality, this airline is absolutely shameful, it abuses its customers every single day, and by the looks of it none of their employees are proud to represent this company either. As a Canadian that travelled around the world, the lack of service, appreciation and fairness from Air Canada is very obvious when comparing to any other airline. We strongly recommend to everyone to seek any other options possible prior to resulting in flying with this miserable company.",Air Canada,"✅ trip verified | we returned from st-lucia yesterday night, december 19th. it’s been 3 years now since we have flown with air canada. due to our last few very bad experiences, we tried to avoid them at all costs. this time, we had no other choice than air canada to fly to saint-lucia. three days before our return to ottawa via toronto, we notice on the ac application that our return flight will be delayed 2 hours, thus missing our connection in toronto for ottawa. they changed our flight to another time that was still impossible to catch. arriving in toronto late on saturday night, the air canada employee was immediately firm about telling us they are not providing a hotel and meal voucher as they pretend it is ""out of their control"", they seem to have all the freedom to lie about what’s in or out of their control. to be honest we saw it coming, having experienced their completely non-existent customer relations in the past and after talking with some of their former employees (management level), it was our fear that we would face their abuse once more. any other airline in the world would have treated this issue fairly (from experience). i am sure all canadians would love to feel pride in our main airline and feel appreciated and be respected by a company that carries our flag around the globe. in reality, this airline is absolutely shameful, it abuses its customers every single day, and by the looks of it none of their employees are proud to represent this company either. as a canadian that travelled around the world, the lack of service, appreciation and fairness from air canada is very obvious when comparing to any other airline. we strongly recommend to everyone to seek any other options possible prior to resulting in flying with this miserable company.", Trip Verified | We returned from StLucia yesterday night December 19th Its been 3 years now since we have flown with Air Canada Due to our last few very bad experiences we tried to avoid them at all costs This time we had no other choice than Air Canada to fly to SaintLucia Three days before our return to Ottawa via Toronto we notice on the AC application that our return flight will be delayed 2 hours thus missing our connection in Toronto for Ottawa They changed our flight to another time that was still impossible to catch Arriving in Toronto late on Saturday night the Air Canada employee was immediately firm about telling us they are not providing a hotel and meal voucher as they pretend it is out of their control they seem to have all the freedom to lie about whats in or out of their control To be honest we saw it coming having experienced their completely nonexistent customer relations in the past and after talking with some of their former employees management level it was our fear that we would face their abuse once more Any other airline in the world would have treated this issue fairly from experience I am sure all Canadians would love to feel pride in our main airline and feel appreciated and be respected by a company that carries our flag around the globe In reality this airline is absolutely shameful it abuses its customers every single day and by the looks of it none of their employees are proud to represent this company either As a Canadian that travelled around the world the lack of service appreciation and fairness from Air Canada is very obvious when comparing to any other airline We strongly recommend to everyone to seek any other options possible prior to resulting in flying with this miserable company, Trip Verified | We returned from StLucia yesterday night December 19th Its been 3 years now since we have flown with Air Canada Due to our last few very bad experiences we tried to avoid them at all costs This time we had no other choice than Air Canada to fly to SaintLucia Three days before our return to Ottawa via Toronto we notice on the AC application that our return flight will be delayed 2 hours thus missing our connection in Toronto for Ottawa They changed our flight to another time that was still impossible to catch Arriving in Toronto late on Saturday night the Air Canada employee was immediately firm about telling us they are not providing a hotel and meal voucher as they pretend it is out of their control they seem to have all the freedom to lie about whats in or out of their control To be honest we saw it coming having experienced their completely nonexistent customer relations in the past and after talking with some of their former employees management level it was our fear that we would face their abuse once more Any other airline in the world would have treated this issue fairly from experience I am sure all Canadians would love to feel pride in our main airline and feel appreciated and be respected by a company that carries our flag around the globe In reality this airline is absolutely shameful it abuses its customers every single day and by the looks of it none of their employees are proud to represent this company either As a Canadian that travelled around the world the lack of service appreciation and fairness from Air Canada is very obvious when comparing to any other airline We strongly recommend to everyone to seek any other options possible prior to resulting in flying with this miserable company,Trip Verified | We returned StLucia yesterday night December 19th Its 3 years since flown Air Canada Due last bad experiences tried avoid costs This time choice Air Canada fly SaintLucia Three days return Ottawa via Toronto notice AC application return flight delayed 2 hours thus missing connection Toronto Ottawa They changed flight another time still impossible catch Arriving Toronto late Saturday night Air Canada employee immediately firm telling us providing hotel meal voucher pretend control seem freedom lie whats control To honest saw coming experienced completely nonexistent customer relations past talking former employees management level fear would face abuse Any airline world would treated issue fairly experience I sure Canadians would love feel pride main airline feel appreciated respected company carries flag around globe In reality airline absolutely shameful abuses customers every single day looks none employees proud represent company either As Canadian travelled around world lack service appreciation fairness Air Canada obvious comparing airline We strongly recommend everyone seek options possible prior resulting flying miserable company
99,99,"Not Verified |  My wife and I booked flights through Flight Network but chose Air Canada as the carrier. We had to cancel our flight due to COVID-19 back in June. We went back and forth with Flight Network to try and get our Air Canada travel voucher (we were owed). Even Air Canada customer relations told us we had to go through the 3rd party provider to collect the voucher that Air Canada had already sent to them. We made a final plea with Air Canada to please cancel the travel voucher they sent to Flight Network and send directly to us. Air Canada came through. The customer service agent was very understanding and really came through for us. No more booking through Flight Network. We will book directly through Air Canada now. It really comes down to how Air Canada treated us. And although they've sometimes received bad reviews in the past, we really think they're turning a corner. Post COVID-19 when everyone in the world wants to travel like crazy, look out for Air Canada. Their planes will be full with customer service like we received. ",Air Canada,"not verified | my wife and i booked flights through flight network but chose air canada as the carrier. we had to cancel our flight due to covid-19 back in june. we went back and forth with flight network to try and get our air canada travel voucher (we were owed). even air canada customer relations told us we had to go through the 3rd party provider to collect the voucher that air canada had already sent to them. we made a final plea with air canada to please cancel the travel voucher they sent to flight network and send directly to us. air canada came through. the customer service agent was very understanding and really came through for us. no more booking through flight network. we will book directly through air canada now. it really comes down to how air canada treated us. and although they've sometimes received bad reviews in the past, we really think they're turning a corner. post covid-19 when everyone in the world wants to travel like crazy, look out for air canada. their planes will be full with customer service like we received.",Not Verified |  My wife and I booked flights through Flight Network but chose Air Canada as the carrier We had to cancel our flight due to COVID19 back in June We went back and forth with Flight Network to try and get our Air Canada travel voucher we were owed Even Air Canada customer relations told us we had to go through the 3rd party provider to collect the voucher that Air Canada had already sent to them We made a final plea with Air Canada to please cancel the travel voucher they sent to Flight Network and send directly to us Air Canada came through The customer service agent was very understanding and really came through for us No more booking through Flight Network We will book directly through Air Canada now It really comes down to how Air Canada treated us And although theyve sometimes received bad reviews in the past we really think theyre turning a corner Post COVID19 when everyone in the world wants to travel like crazy look out for Air Canada Their planes will be full with customer service like we received ,Not Verified |  My wife and I booked flights through Flight Network but chose Air Canada as the carrier We had to cancel our flight due to COVID19 back in June We went back and forth with Flight Network to try and get our Air Canada travel voucher we were owed Even Air Canada customer relations told us we had to go through the 3rd party provider to collect the voucher that Air Canada had already sent to them We made a final plea with Air Canada to please cancel the travel voucher they sent to Flight Network and send directly to us Air Canada came through The customer service agent was very understanding and really came through for us No more booking through Flight Network We will book directly through Air Canada now It really comes down to how Air Canada treated us And although theyve sometimes received bad reviews in the past we really think theyre turning a corner Post COVID19 when everyone in the world wants to travel like crazy look out for Air Canada Their planes will be full with customer service like we received ,Not Verified | My wife I booked flights Flight Network chose Air Canada carrier We cancel flight due COVID19 back June We went back forth Flight Network try get Air Canada travel voucher owed Even Air Canada customer relations told us go 3rd party provider collect voucher Air Canada already sent We made final plea Air Canada please cancel travel voucher sent Flight Network send directly us Air Canada came The customer service agent understanding really came us No booking Flight Network We book directly Air Canada It really comes Air Canada treated us And although theyve sometimes received bad reviews past really think theyre turning corner Post COVID19 everyone world wants travel like crazy look Air Canada Their planes full customer service like received
100,100,"✅ Trip Verified |  Air Canada cancelled our flights just two days after our booking citing COVID reasons, saying the route would no longer be flown, and then charged us over $USD800 in non-refundable cancellation fees. They cited the small print in their contract, but this flight was advertised as offering 'new flexibility' for passengers due to the uncertainty of COVID. They should not have sold tickets if they had not confirmed their capacity to fly to Australia and they are making money of passengers stranded in unfortunate circumstances due to the pandemic. Their in-house customer advocate reviewed the claim and declined our request for a full refund. ",Air Canada,"✅ trip verified | air canada cancelled our flights just two days after our booking citing covid reasons, saying the route would no longer be flown, and then charged us over $usd800 in non-refundable cancellation fees. they cited the small print in their contract, but this flight was advertised as offering 'new flexibility' for passengers due to the uncertainty of covid. they should not have sold tickets if they had not confirmed their capacity to fly to australia and they are making money of passengers stranded in unfortunate circumstances due to the pandemic. their in-house customer advocate reviewed the claim and declined our request for a full refund.", Trip Verified |  Air Canada cancelled our flights just two days after our booking citing COVID reasons saying the route would no longer be flown and then charged us over USD800 in nonrefundable cancellation fees They cited the small print in their contract but this flight was advertised as offering new flexibility for passengers due to the uncertainty of COVID They should not have sold tickets if they had not confirmed their capacity to fly to Australia and they are making money of passengers stranded in unfortunate circumstances due to the pandemic Their inhouse customer advocate reviewed the claim and declined our request for a full refund , Trip Verified |  Air Canada cancelled our flights just two days after our booking citing COVID reasons saying the route would no longer be flown and then charged us over USD800 in nonrefundable cancellation fees They cited the small print in their contract but this flight was advertised as offering new flexibility for passengers due to the uncertainty of COVID They should not have sold tickets if they had not confirmed their capacity to fly to Australia and they are making money of passengers stranded in unfortunate circumstances due to the pandemic Their inhouse customer advocate reviewed the claim and declined our request for a full refund ,Trip Verified | Air Canada cancelled flights two days booking citing COVID reasons saying route would longer flown charged us USD800 nonrefundable cancellation fees They cited small print contract flight advertised offering new flexibility passengers due uncertainty COVID They sold tickets confirmed capacity fly Australia making money passengers stranded unfortunate circumstances due pandemic Their inhouse customer advocate reviewed claim declined request full refund
101,101,"✅ Trip Verified | This is by far the worst airline I’ve ever dealt with aside from Spirit. Their service at the airport moves at a glacial pace, they do absolutely nothing over the phone. And they don’t provide refunds on flights they’ve canceled! This company is an absolute joke. I’ve spoken to dozens of reps over the past ten months trying to get a refund and they simply don’t care. Please never fly with this horrendous airline.",Air Canada,"✅ trip verified | this is by far the worst airline i’ve ever dealt with aside from spirit. their service at the airport moves at a glacial pace, they do absolutely nothing over the phone. and they don’t provide refunds on flights they’ve canceled! this company is an absolute joke. i’ve spoken to dozens of reps over the past ten months trying to get a refund and they simply don’t care. please never fly with this horrendous airline.", Trip Verified | This is by far the worst airline Ive ever dealt with aside from Spirit Their service at the airport moves at a glacial pace they do absolutely nothing over the phone And they dont provide refunds on flights theyve canceled This company is an absolute joke Ive spoken to dozens of reps over the past ten months trying to get a refund and they simply dont care Please never fly with this horrendous airline, Trip Verified | This is by far the worst airline Ive ever dealt with aside from Spirit Their service at the airport moves at a glacial pace they do absolutely nothing over the phone And they dont provide refunds on flights theyve canceled This company is an absolute joke Ive spoken to dozens of reps over the past ten months trying to get a refund and they simply dont care Please never fly with this horrendous airline,Trip Verified | This far worst airline Ive ever dealt aside Spirit Their service airport moves glacial pace absolutely nothing phone And dont provide refunds flights theyve canceled This company absolute joke Ive spoken dozens reps past ten months trying get refund simply dont care Please never fly horrendous airline
102,102,✅ Trip Verified | A warning to those thinking of purchasing a ticket with Air Canada. They are in the practice of refusing to refund the purchase price even after they choose to cancel the flight. In these Covid days flights are frequently cancelled through lack of passenger capacity. Air Canada would have been aware of this before they posted the flight. They claim that this practice is consistent with other airlines policies. This is totally untrue. They also claim that the cancellation is due to uncontrollable circumstances. This is also totally untrue. Air Canada chose to cancel the flight. In any civilised country an action like this would be considered fraud but apparently not in Canada. Shame on you all.,Air Canada,✅ trip verified | a warning to those thinking of purchasing a ticket with air canada. they are in the practice of refusing to refund the purchase price even after they choose to cancel the flight. in these covid days flights are frequently cancelled through lack of passenger capacity. air canada would have been aware of this before they posted the flight. they claim that this practice is consistent with other airlines policies. this is totally untrue. they also claim that the cancellation is due to uncontrollable circumstances. this is also totally untrue. air canada chose to cancel the flight. in any civilised country an action like this would be considered fraud but apparently not in canada. shame on you all., Trip Verified | A warning to those thinking of purchasing a ticket with Air Canada They are in the practice of refusing to refund the purchase price even after they choose to cancel the flight In these Covid days flights are frequently cancelled through lack of passenger capacity Air Canada would have been aware of this before they posted the flight They claim that this practice is consistent with other airlines policies This is totally untrue They also claim that the cancellation is due to uncontrollable circumstances This is also totally untrue Air Canada chose to cancel the flight In any civilised country an action like this would be considered fraud but apparently not in Canada Shame on you all, Trip Verified | A warning to those thinking of purchasing a ticket with Air Canada They are in the practice of refusing to refund the purchase price even after they choose to cancel the flight In these Covid days flights are frequently cancelled through lack of passenger capacity Air Canada would have been aware of this before they posted the flight They claim that this practice is consistent with other airlines policies This is totally untrue They also claim that the cancellation is due to uncontrollable circumstances This is also totally untrue Air Canada chose to cancel the flight In any civilised country an action like this would be considered fraud but apparently not in Canada Shame on you all,Trip Verified | A warning thinking purchasing ticket Air Canada They practice refusing refund purchase price even choose cancel flight In Covid days flights frequently cancelled lack passenger capacity Air Canada would aware posted flight They claim practice consistent airlines policies This totally untrue They also claim cancellation due uncontrollable circumstances This also totally untrue Air Canada chose cancel flight In civilised country action like would considered fraud apparently Canada Shame
103,103,"Not Verified |  We booked a flight through Air Canada for our honeymoon for 10/26. We received a flight change email from Air Canada that they changed our flight to 10/24, our wedding date! So of course we could not make this change. They then emailed us and told us they completely cancelled the flight. We tried calling them multiple times to address this and kept getting a busy tone. Due to time constraints and not missing our honeymoon, we booked through another airline. We finally got a hold of customer support and they said that they can’t refund us because it was a “schedule change”. They cancelled the whole flight! That is not a schedule change that’s a cancellation. We are now almost $2k in the hole because Air Canada robbed us. Most unbelievable customer service I have ever experienced. Customers do not come first in their business model.",Air Canada,"not verified | we booked a flight through air canada for our honeymoon for 10/26. we received a flight change email from air canada that they changed our flight to 10/24, our wedding date! so of course we could not make this change. they then emailed us and told us they completely cancelled the flight. we tried calling them multiple times to address this and kept getting a busy tone. due to time constraints and not missing our honeymoon, we booked through another airline. we finally got a hold of customer support and they said that they can’t refund us because it was a “schedule change”. they cancelled the whole flight! that is not a schedule change that’s a cancellation. we are now almost $2k in the hole because air canada robbed us. most unbelievable customer service i have ever experienced. customers do not come first in their business model.",Not Verified |  We booked a flight through Air Canada for our honeymoon for 1026 We received a flight change email from Air Canada that they changed our flight to 1024 our wedding date So of course we could not make this change They then emailed us and told us they completely cancelled the flight We tried calling them multiple times to address this and kept getting a busy tone Due to time constraints and not missing our honeymoon we booked through another airline We finally got a hold of customer support and they said that they cant refund us because it was a schedule change They cancelled the whole flight That is not a schedule change thats a cancellation We are now almost 2k in the hole because Air Canada robbed us Most unbelievable customer service I have ever experienced Customers do not come first in their business model,Not Verified |  We booked a flight through Air Canada for our honeymoon for 1026 We received a flight change email from Air Canada that they changed our flight to 1024 our wedding date So of course we could not make this change They then emailed us and told us they completely cancelled the flight We tried calling them multiple times to address this and kept getting a busy tone Due to time constraints and not missing our honeymoon we booked through another airline We finally got a hold of customer support and they said that they cant refund us because it was a schedule change They cancelled the whole flight That is not a schedule change thats a cancellation We are now almost 2k in the hole because Air Canada robbed us Most unbelievable customer service I have ever experienced Customers do not come first in their business model,Not Verified | We booked flight Air Canada honeymoon 1026 We received flight change email Air Canada changed flight 1024 wedding date So course could make change They emailed us told us completely cancelled flight We tried calling multiple times address kept getting busy tone Due time constraints missing honeymoon booked another airline We finally got hold customer support said cant refund us schedule change They cancelled whole flight That schedule change thats cancellation We almost 2k hole Air Canada robbed us Most unbelievable customer service I ever experienced Customers come first business model
104,104,"✅ Trip Verified |  The Boeing 787 seat pitch and size of seats are miserable. Seats are so cramped, passengers have no place to stretch. Some of the seats are close to lavatories that passengers are uncomfortably close.",Air Canada,"✅ trip verified | the boeing 787 seat pitch and size of seats are miserable. seats are so cramped, passengers have no place to stretch. some of the seats are close to lavatories that passengers are uncomfortably close.", Trip Verified |  The Boeing 787 seat pitch and size of seats are miserable Seats are so cramped passengers have no place to stretch Some of the seats are close to lavatories that passengers are uncomfortably close, Trip Verified |  The Boeing 787 seat pitch and size of seats are miserable Seats are so cramped passengers have no place to stretch Some of the seats are close to lavatories that passengers are uncomfortably close,Trip Verified | The Boeing 787 seat pitch size seats miserable Seats cramped passengers place stretch Some seats close lavatories passengers uncomfortably close
105,105,"✅ Trip Verified | I have 3 flights booked with Air Canada for Oct 2020. Because of the Pandemic I'm not aloud to leave my country. I had a 5 month trip planned starting 1st Aug that included 21 flights. Air Canada are the only airline not refunding my money back and are profiting from me during the 2020 Pandemic. It's disgraceful and unfair. Singapore Airlines, Finnair, Icelandair, Swiss, United, Hawaiian Air, Alaska Air, Delta and American Airlines are refunding back in full. Air Canada are deciding to profit from their customers instead.",Air Canada,"✅ trip verified | i have 3 flights booked with air canada for oct 2020. because of the pandemic i'm not aloud to leave my country. i had a 5 month trip planned starting 1st aug that included 21 flights. air canada are the only airline not refunding my money back and are profiting from me during the 2020 pandemic. it's disgraceful and unfair. singapore airlines, finnair, icelandair, swiss, united, hawaiian air, alaska air, delta and american airlines are refunding back in full. air canada are deciding to profit from their customers instead.", Trip Verified | I have 3 flights booked with Air Canada for Oct 2020 Because of the Pandemic Im not aloud to leave my country I had a 5 month trip planned starting 1st Aug that included 21 flights Air Canada are the only airline not refunding my money back and are profiting from me during the 2020 Pandemic Its disgraceful and unfair Singapore Airlines Finnair Icelandair Swiss United Hawaiian Air Alaska Air Delta and American Airlines are refunding back in full Air Canada are deciding to profit from their customers instead, Trip Verified | I have 3 flights booked with Air Canada for Oct 2020 Because of the Pandemic Im not aloud to leave my country I had a 5 month trip planned starting 1st Aug that included 21 flights Air Canada are the only airline not refunding my money back and are profiting from me during the 2020 Pandemic Its disgraceful and unfair Singapore Airlines Finnair Icelandair Swiss United Hawaiian Air Alaska Air Delta and American Airlines are refunding back in full Air Canada are deciding to profit from their customers instead,Trip Verified | I 3 flights booked Air Canada Oct 2020 Because Pandemic Im aloud leave country I 5 month trip planned starting 1st Aug included 21 flights Air Canada airline refunding money back profiting 2020 Pandemic Its disgraceful unfair Singapore Airlines Finnair Icelandair Swiss United Hawaiian Air Alaska Air Delta American Airlines refunding back full Air Canada deciding profit customers instead
106,106,Not Verified |  Montreal to Vancouver with Air Canada. I was very pleased by the amount of care I received from the staff. I needed assistance and the staff went beyond and above for caring. The food was good and there was lots of attention to hygiene and cleanliness.,Air Canada,not verified | montreal to vancouver with air canada. i was very pleased by the amount of care i received from the staff. i needed assistance and the staff went beyond and above for caring. the food was good and there was lots of attention to hygiene and cleanliness.,Not Verified |  Montreal to Vancouver with Air Canada I was very pleased by the amount of care I received from the staff I needed assistance and the staff went beyond and above for caring The food was good and there was lots of attention to hygiene and cleanliness,Not Verified |  Montreal to Vancouver with Air Canada I was very pleased by the amount of care I received from the staff I needed assistance and the staff went beyond and above for caring The food was good and there was lots of attention to hygiene and cleanliness,Not Verified | Montreal Vancouver Air Canada I pleased amount care I received staff I needed assistance staff went beyond caring The food good lots attention hygiene cleanliness
107,107,"✅ Trip Verified |  Had booked a flight for mid April to fly to Ecuador. The flight was from Vancouver to Toronto, Toronto to Quito. COVID happened so they cancelled our flight from Toronto to Quito and back, There was no refund. We cancelled the new flight (we didn't want to go to Toronto for two weeks) and never got our money back. We took a $500 hit for cancelling but were still owed $900- we have a receipt saying this money would be sent to us. This was at the end of March. It is now the end of September. I have multiple times spent the 2+ hours on hold with them only to be told ""the money is coming"" and being given random numbers like ""in 51 business days"" or some other such nonsense. I get COVID happened and airlines had a whole bunch of people to reroute and refund and deal with but it has been 6 months. No emails have been answered and no phone calls have led to clear answers.",Air Canada,"✅ trip verified | had booked a flight for mid april to fly to ecuador. the flight was from vancouver to toronto, toronto to quito. covid happened so they cancelled our flight from toronto to quito and back, there was no refund. we cancelled the new flight (we didn't want to go to toronto for two weeks) and never got our money back. we took a $500 hit for cancelling but were still owed $900- we have a receipt saying this money would be sent to us. this was at the end of march. it is now the end of september. i have multiple times spent the 2+ hours on hold with them only to be told ""the money is coming"" and being given random numbers like ""in 51 business days"" or some other such nonsense. i get covid happened and airlines had a whole bunch of people to reroute and refund and deal with but it has been 6 months. no emails have been answered and no phone calls have led to clear answers.", Trip Verified |  Had booked a flight for mid April to fly to Ecuador The flight was from Vancouver to Toronto Toronto to Quito COVID happened so they cancelled our flight from Toronto to Quito and back There was no refund We cancelled the new flight we didnt want to go to Toronto for two weeks and never got our money back We took a 500 hit for cancelling but were still owed 900 we have a receipt saying this money would be sent to us This was at the end of March It is now the end of September I have multiple times spent the 2 hours on hold with them only to be told the money is coming and being given random numbers like in 51 business days or some other such nonsense I get COVID happened and airlines had a whole bunch of people to reroute and refund and deal with but it has been 6 months No emails have been answered and no phone calls have led to clear answers, Trip Verified |  Had booked a flight for mid April to fly to Ecuador The flight was from Vancouver to Toronto Toronto to Quito COVID happened so they cancelled our flight from Toronto to Quito and back There was no refund We cancelled the new flight we didnt want to go to Toronto for two weeks and never got our money back We took a 500 hit for cancelling but were still owed 900 we have a receipt saying this money would be sent to us This was at the end of March It is now the end of September I have multiple times spent the 2 hours on hold with them only to be told the money is coming and being given random numbers like in 51 business days or some other such nonsense I get COVID happened and airlines had a whole bunch of people to reroute and refund and deal with but it has been 6 months No emails have been answered and no phone calls have led to clear answers,Trip Verified | Had booked flight mid April fly Ecuador The flight Vancouver Toronto Toronto Quito COVID happened cancelled flight Toronto Quito back There refund We cancelled new flight didnt want go Toronto two weeks never got money back We took 500 hit cancelling still owed 900 receipt saying money would sent us This end March It end September I multiple times spent 2 hours hold told money coming given random numbers like 51 business days nonsense I get COVID happened airlines whole bunch people reroute refund deal 6 months No emails answered phone calls led clear answers
108,108,"✅ Trip Verified | Man beside me refused to wear his mask properly the entire flight. He would simply slip it back on whenever the stewardess was looking. Eventually he fell asleep and I managed to point out that he was not properly wearing it (or even remaining in his own seat) and the stewardess said “he’s sleeping so..” then shrugged and walked away. So I got to spend my flight with a mask-less man invading my space and taking a full open mouth nap. Just know if you fly with Air Canada, your safety is not their number one priority. In my case, the safety of myself and other people on my flight was less important than one mans nap.",Air Canada,"✅ trip verified | man beside me refused to wear his mask properly the entire flight. he would simply slip it back on whenever the stewardess was looking. eventually he fell asleep and i managed to point out that he was not properly wearing it (or even remaining in his own seat) and the stewardess said “he’s sleeping so..” then shrugged and walked away. so i got to spend my flight with a mask-less man invading my space and taking a full open mouth nap. just know if you fly with air canada, your safety is not their number one priority. in my case, the safety of myself and other people on my flight was less important than one mans nap.", Trip Verified | Man beside me refused to wear his mask properly the entire flight He would simply slip it back on whenever the stewardess was looking Eventually he fell asleep and I managed to point out that he was not properly wearing it or even remaining in his own seat and the stewardess said hes sleeping so then shrugged and walked away So I got to spend my flight with a maskless man invading my space and taking a full open mouth nap Just know if you fly with Air Canada your safety is not their number one priority In my case the safety of myself and other people on my flight was less important than one mans nap, Trip Verified | Man beside me refused to wear his mask properly the entire flight He would simply slip it back on whenever the stewardess was looking Eventually he fell asleep and I managed to point out that he was not properly wearing it or even remaining in his own seat and the stewardess said hes sleeping so then shrugged and walked away So I got to spend my flight with a maskless man invading my space and taking a full open mouth nap Just know if you fly with Air Canada your safety is not their number one priority In my case the safety of myself and other people on my flight was less important than one mans nap,Trip Verified | Man beside refused wear mask properly entire flight He would simply slip back whenever stewardess looking Eventually fell asleep I managed point properly wearing even remaining seat stewardess said hes sleeping shrugged walked away So I got spend flight maskless man invading space taking full open mouth nap Just know fly Air Canada safety number one priority In case safety people flight less important one mans nap
109,109,"✅ Trip Verified | First long haul flight since Covid impacted travel. Check in smooth at T2 at Heathrow. Service on board to Vancouver was outstanding. The crew were professional, helpful, attentive and friendly throughout the journey. I was very impressed. Food satisfactory given the circumstances. Air Canada's IFE could be better with an improved selection of movies. However, overall, a very pleasant flight with an excellent in-flight crew.",Air Canada,"✅ trip verified | first long haul flight since covid impacted travel. check in smooth at t2 at heathrow. service on board to vancouver was outstanding. the crew were professional, helpful, attentive and friendly throughout the journey. i was very impressed. food satisfactory given the circumstances. air canada's ife could be better with an improved selection of movies. however, overall, a very pleasant flight with an excellent in-flight crew.", Trip Verified | First long haul flight since Covid impacted travel Check in smooth at T2 at Heathrow Service on board to Vancouver was outstanding The crew were professional helpful attentive and friendly throughout the journey I was very impressed Food satisfactory given the circumstances Air Canadas IFE could be better with an improved selection of movies However overall a very pleasant flight with an excellent inflight crew, Trip Verified | First long haul flight since Covid impacted travel Check in smooth at T2 at Heathrow Service on board to Vancouver was outstanding The crew were professional helpful attentive and friendly throughout the journey I was very impressed Food satisfactory given the circumstances Air Canadas IFE could be better with an improved selection of movies However overall a very pleasant flight with an excellent inflight crew,Trip Verified | First long haul flight since Covid impacted travel Check smooth T2 Heathrow Service board Vancouver outstanding The crew professional helpful attentive friendly throughout journey I impressed Food satisfactory given circumstances Air Canadas IFE could better improved selection movies However overall pleasant flight excellent inflight crew
110,110,"Not Verified | My luggage was not taken off the flight while I was stuck in immigration. I was not notified until 6 hours after my flight had left that my luggage was flown to Edmonton airport. I was not given an incident report to fill out, immigration at Toronto took my boarding passes from me! I am home 3 days now and am getting absolutely no information about my luggage. I know it is at Edmonton International airport!  This is the second time my luggage has gone missing with Air Canada. ",Air Canada,"not verified | my luggage was not taken off the flight while i was stuck in immigration. i was not notified until 6 hours after my flight had left that my luggage was flown to edmonton airport. i was not given an incident report to fill out, immigration at toronto took my boarding passes from me! i am home 3 days now and am getting absolutely no information about my luggage. i know it is at edmonton international airport! this is the second time my luggage has gone missing with air canada.",Not Verified | My luggage was not taken off the flight while I was stuck in immigration I was not notified until 6 hours after my flight had left that my luggage was flown to Edmonton airport I was not given an incident report to fill out immigration at Toronto took my boarding passes from me I am home 3 days now and am getting absolutely no information about my luggage I know it is at Edmonton International airport  This is the second time my luggage has gone missing with Air Canada ,Not Verified | My luggage was not taken off the flight while I was stuck in immigration I was not notified until 6 hours after my flight had left that my luggage was flown to Edmonton airport I was not given an incident report to fill out immigration at Toronto took my boarding passes from me I am home 3 days now and am getting absolutely no information about my luggage I know it is at Edmonton International airport  This is the second time my luggage has gone missing with Air Canada ,Not Verified | My luggage taken flight I stuck immigration I notified 6 hours flight left luggage flown Edmonton airport I given incident report fill immigration Toronto took boarding passes I home 3 days getting absolutely information luggage I know Edmonton International airport This second time luggage gone missing Air Canada
