#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0069,Bellsprout,"GRASS
POISON",300,50,75,35,70,30,40
0070,Weepinbell,"GRASS
POISON",390,65,90,50,85,45,55
0071,Victreebel,"GRASS
POISON",490,80,105,65,100,70,70
0072,Tentacool,"WATER
POISON",335,40,40,35,50,100,70
0073,Tentacruel,"WATER
POISON",515,80,70,65,80,120,100
0074,Geodude,"ROCK
GROUND",300,40,80,100,30,30,20
0074,"Geodude
Alolan Geodude","ROCK
ELECTRIC",300,40,80,100,30,30,20
0075,Graveler,"ROCK
GROUND",390,55,95,115,45,45,35
0075,"Graveler
Alolan Graveler","ROCK
ELECTRIC",390,55,95,115,45,45,35
0076,Golem,"ROCK
GROUND",495,80,120,130,55,65,45
0076,"Golem
Alolan Golem","ROCK
ELECTRIC",495,80,120,130,55,65,45
0077,Ponyta,FIRE,410,50,85,55,65,65,90
0077,"Ponyta
Galarian Ponyta",PSYCHIC,410,50,85,55,65,65,90
0078,Rapidash,FIRE,500,65,100,70,80,80,105
0078,"Rapidash
Galarian Rapidash","PSYCHIC
FAIRY",500,65,100,70,80,80,105
0079,Slowpoke,"WATER
PSYCHIC",315,90,65,65,40,40,15
0079,"Slowpoke
Galarian Slowpoke",PSYCHIC,315,90,65,65,40,40,15
0080,Slowbro,"WATER
PSYCHIC",490,95,75,110,100,80,30
0080,"Slowbro
Mega Slowbro","WATER
PSYCHIC",590,95,75,180,130,80,30
0080,"Slowbro
Galarian Slowbro","POISON
PSYCHIC",490,95,100,95,100,70,30
0081,Magnemite,"ELECTRIC
STEEL",325,25,35,70,95,55,45
0082,Magneton,"ELECTRIC
STEEL",465,50,60,95,120,70,70
0083,Farfetch'd,"NORMAL
FLYING",377,52,90,55,58,62,60
0083,"Farfetch'd
Galarian Farfetch'd",FIGHTING,377,52,95,55,58,62,55
0084,Doduo,"NORMAL
FLYING",310,35,85,45,35,35,75
0085,Dodrio,"NORMAL
FLYING",470,60,110,70,60,60,110
0086,Seel,WATER,325,65,45,55,45,70,45
0087,Dewgong,"WATER
ICE",475,90,70,80,70,95,70
0088,Grimer,POISON,325,80,80,50,40,50,25
0088,"Grimer
Alolan Grimer","POISON
DARK",325,80,80,50,40,50,25
0089,Muk,POISON,500,105,105,75,65,100,50
0089,"Muk
Alolan Muk","POISON
DARK",500,105,105,75,65,100,50
0090,Shellder,WATER,305,30,65,100,45,25,40
0091,Cloyster,"WATER
ICE",525,50,95,180,85,45,70
0092,Gastly,"GHOST
POISON",310,30,35,30,100,35,80
0093,Haunter,"GHOST
POISON",405,45,50,45,115,55,95
0094,Gengar,"GHOST
POISON",500,60,65,60,130,75,110
0094,"Gengar
Mega Gengar","GHOST
POISON",600,60,65,80,170,95,130
0095,Onix,"ROCK
GROUND",385,35,45,160,30,45,70
0096,Drowzee,PSYCHIC,328,60,48,45,43,90,42
0097,Hypno,PSYCHIC,483,85,73,70,73,115,67
0098,Krabby,WATER,325,30,105,90,25,25,50
0099,Kingler,WATER,475,55,130,115,50,50,75
0100,Voltorb,ELECTRIC,330,40,30,50,55,55,100
0100,"Voltorb
Hisuian Voltorb","ELECTRIC
GRASS",330,40,30,50,55,55,100
0101,Electrode,ELECTRIC,490,60,50,70,80,80,150
0101,"Electrode
Hisuian Electrode","ELECTRIC
GRASS",490,60,50,70,80,80,150
0102,Exeggcute,"GRASS
PSYCHIC",325,60,40,80,60,45,40
0103,Exeggutor,"GRASS
PSYCHIC",530,95,95,85,125,75,55
0103,"Exeggutor
Alolan Exeggutor","GRASS
DRAGON",530,95,105,85,125,75,45
0104,Cubone,GROUND,320,50,50,95,40,50,35
0105,Marowak,GROUND,425,60,80,110,50,80,45
0105,"Marowak
Alolan Marowak","FIRE
GHOST",425,60,80,110,50,80,45
0106,Hitmonlee,FIGHTING,455,50,120,53,35,110,87
0107,Hitmonchan,FIGHTING,455,50,105,79,35,110,76
0108,Lickitung,NORMAL,385,90,55,75,60,75,30
0109,Koffing,POISON,340,40,65,95,60,45,35
0110,Weezing,POISON,490,65,90,120,85,70,60
0110,"Weezing
Galarian Weezing","POISON
FAIRY",490,65,90,120,85,70,60
0111,Rhyhorn,"GROUND
ROCK",345,80,85,95,30,30,25
0112,Rhydon,"GROUND
ROCK",485,105,130,120,45,45,40
0113,Chansey,NORMAL,450,250,5,5,35,105,50
0114,Tangela,GRASS,435,65,55,115,100,40,60
0115,Kangaskhan,NORMAL,490,105,95,80,40,80,90
0115,"Kangaskhan
Mega Kangaskhan",NORMAL,590,105,125,100,60,100,100
0116,Horsea,WATER,295,30,40,70,70,25,60
0117,Seadra,WATER,440,55,65,95,95,45,85
0118,Goldeen,WATER,320,45,67,60,35,50,63
0119,Seaking,WATER,450,80,92,65,65,80,68
0120,Staryu,WATER,340,30,45,55,70,55,85
0121,Starmie,"WATER
PSYCHIC",520,60,75,85,100,85,115
0122,Mr. Mime,"PSYCHIC
FAIRY",460,40,45,65,100,120,90
0122,"Mr. Mime
Galarian Mr. Mime","ICE
PSYCHIC",460,50,65,65,90,90,100
0123,Scyther,"BUG
FLYING",500,70,110,80,55,80,105
0124,Jynx,"ICE
PSYCHIC",455,65,50,35,115,95,95
0125,Electabuzz,ELECTRIC,490,65,83,57,95,85,105
0126,Magmar,FIRE,495,65,95,57,100,85,93
0127,Pinsir,BUG,500,65,125,100,55,70,85
0127,"Pinsir
Mega Pinsir","BUG
FLYING",600,65,155,120,65,90,105
0128,Tauros,NORMAL,490,75,100,95,40,70,110
0128,"Tauros
Combat Breed",FIGHTING,490,75,110,105,30,70,100
0128,"Tauros
Blaze Breed","FIGHTING
FIRE",490,75,110,105,30,70,100
0128,"Tauros
Aqua Breed","FIGHTING
WATER",490,75,110,105,30,70,100
0129,Magikarp,WATER,200,20,10,55,15,20,80
0130,Gyarados,"WATER
FLYING",540,95,125,79,60,100,81
0130,"Gyarados
Mega Gyarados","WATER
DARK",640,95,155,109,70,130,81
0131,Lapras,"WATER
ICE",535,130,85,80,85,95,60
0132,Ditto,NORMAL,288,48,48,48,48,48,48
0133,Eevee,NORMAL,325,55,55,50,45,65,55
0133,"Eevee
Partner Eevee",NORMAL,435,65,75,70,65,85,75
0134,Vaporeon,WATER,525,130,65,60,110,95,65
0135,Jolteon,ELECTRIC,525,65,65,60,110,95,130
0136,Flareon,FIRE,525,65,130,60,95,110,65
0137,Porygon,NORMAL,395,65,60,70,85,75,40
0138,Omanyte,"ROCK
WATER",355,35,40,100,90,55,35
0139,Omastar,"ROCK
WATER",495,70,60,125,115,70,55
0140,Kabuto,"ROCK
WATER",355,30,80,90,55,45,55
0141,Kabutops,"ROCK
WATER",495,60,115,105,65,70,80
0142,Aerodactyl,"ROCK
FLYING",515,80,105,65,60,75,130
0142,"Aerodactyl
Mega Aerodactyl","ROCK
FLYING",615,80,135,85,70,95,150
0143,Snorlax,NORMAL,540,160,110,65,65,110,30
0144,Articuno,"ICE
FLYING",580,90,85,100,95,125,85
0144,"Articuno
Galarian Articuno","PSYCHIC
FLYING",580,90,85,85,125,100,95
0145,Zapdos,"ELECTRIC
FLYING",580,90,90,85,125,90,100
0145,"Zapdos
Galarian Zapdos","FIGHTING
FLYING",580,90,125,90,85,90,100
0146,Moltres,"FIRE
FLYING",580,90,100,90,125,85,90
0146,"Moltres
Galarian Moltres","DARK
FLYING",580,90,85,90,100,125,90
0147,Dratini,DRAGON,300,41,64,45,50,50,50
0148,Dragonair,DRAGON,420,61,84,65,70,70,70
0149,Dragonite,"DRAGON
FLYING",600,91,134,95,100,100,80
0150,Mewtwo,PSYCHIC,680,106,110,90,154,90,130
0150,"Mewtwo
Mega Mewtwo X","PSYCHIC
FIGHTING",780,106,190,100,154,100,130
0150,"Mewtwo
Mega Mewtwo Y",PSYCHIC,780,106,150,70,194,120,140
0151,Mew,PSYCHIC,600,100,100,100,100,100,100
0152,Chikorita,GRASS,318,45,49,65,49,65,45
0153,Bayleef,GRASS,405,60,62,80,63,80,60
0154,Meganium,GRASS,525,80,82,100,83,100,80
0155,Cyndaquil,FIRE,309,39,52,43,60,50,65
0156,Quilava,FIRE,405,58,64,58,80,65,80
0157,Typhlosion,FIRE,534,78,84,78,109,85,100
0157,"Typhlosion
Hisuian Typhlosion","FIRE
GHOST",534,73,84,78,119,85,95
0158,Totodile,WATER,314,50,65,64,44,48,43
0159,Croconaw,WATER,405,65,80,80,59,63,58
0160,Feraligatr,WATER,530,85,105,100,79,83,78
0161,Sentret,NORMAL,215,35,46,34,35,45,20
0162,Furret,NORMAL,415,85,76,64,45,55,90
0163,Hoothoot,"NORMAL
FLYING",262,60,30,30,36,56,50
0164,Noctowl,"NORMAL
FLYING",452,100,50,50,86,96,70
0165,Ledyba,"BUG
FLYING",265,40,20,30,40,80,55
0166,Ledian,"BUG
FLYING",390,55,35,50,55,110,85
0167,Spinarak,"BUG
POISON",250,40,60,40,40,40,30
0168,Ariados,"BUG
POISON",400,70,90,70,60,70,40
0169,Crobat,"POISON
FLYING",535,85,90,80,70,80,130
0170,Chinchou,"WATER
ELECTRIC",330,75,38,38,56,56,67
0171,Lanturn,"WATER
ELECTRIC",460,125,58,58,76,76,67
0172,Pichu,ELECTRIC,205,20,40,15,35,35,60
0173,Cleffa,FAIRY,218,50,25,28,45,55,15
0174,Igglybuff,"NORMAL
FAIRY",210,90,30,15,40,20,15
0175,Togepi,FAIRY,245,35,20,65,40,65,20
0176,Togetic,"FAIRY
FLYING",405,55,40,85,80,105,40
0177,Natu,"PSYCHIC
FLYING",320,40,50,45,70,45,70
0178,Xatu,"PSYCHIC
FLYING",470,65,75,70,95,70,95
0179,Mareep,ELECTRIC,280,55,40,40,65,45,35
0180,Flaaffy,ELECTRIC,365,70,55,55,80,60,45
0181,Ampharos,ELECTRIC,510,90,75,85,115,90,55
0181,"Ampharos
Mega Ampharos","ELECTRIC
DRAGON",610,90,95,105,165,110,45
0182,Bellossom,GRASS,490,75,80,95,90,100,50
0183,Marill,"WATER
FAIRY",250,70,20,50,20,50,40
0184,Azumarill,"WATER
FAIRY",420,100,50,80,60,80,50
0185,Sudowoodo,ROCK,410,70,100,115,30,65,30
0186,Politoed,WATER,500,90,75,75,90,100,70
0187,Hoppip,"GRASS
FLYING",250,35,35,40,35,55,50
0188,Skiploom,"GRASS
FLYING",340,55,45,50,45,65,80
0189,Jumpluff,"GRASS
FLYING",460,75,55,70,55,95,110
0190,Aipom,NORMAL,360,55,70,55,40,55,85
0191,Sunkern,GRASS,180,30,30,30,30,30,30
0192,Sunflora,GRASS,425,75,75,55,105,85,30
0193,Yanma,"BUG
FLYING",390,65,65,45,75,45,95
0194,Wooper,"WATER
GROUND",210,55,45,45,25,25,15
0194,"Wooper
Paldean Wooper","POISON
GROUND",210,55,45,45,25,25,15
0195,Quagsire,"WATER
GROUND",430,95,85,85,65,65,35
0196,Espeon,PSYCHIC,525,65,65,60,130,95,110
0197,Umbreon,DARK,525,95,65,110,60,130,65
0198,Murkrow,"DARK
FLYING",405,60,85,42,85,42,91
0199,Slowking,"WATER
PSYCHIC",490,95,75,80,100,110,30
0199,"Slowking
Galarian Slowking","POISON
PSYCHIC",490,95,65,80,110,110,30
0200,Misdreavus,GHOST,435,60,60,60,85,85,85
0201,Unown,PSYCHIC,336,48,72,48,72,48,48
0202,Wobbuffet,PSYCHIC,405,190,33,58,33,58,33
0203,Girafarig,"NORMAL
PSYCHIC",455,70,80,65,90,65,85
0204,Pineco,BUG,290,50,65,90,35,35,15
0205,Forretress,"BUG
STEEL",465,75,90,140,60,60,40
0206,Dunsparce,NORMAL,415,100,70,70,65,65,45
0207,Gligar,"GROUND
FLYING",430,65,75,105,35,65,85
0208,Steelix,"STEEL
GROUND",510,75,85,200,55,65,30
0208,"Steelix
Mega Steelix","STEEL
GROUND",610,75,125,230,55,95,30
0209,Snubbull,FAIRY,300,60,80,50,40,40,30
0210,Granbull,FAIRY,450,90,120,75,60,60,45
0211,Qwilfish,"WATER
POISON",440,65,95,85,55,55,85
0211,"Qwilfish
Hisuian Qwilfish","DARK
POISON",440,65,95,85,55,55,85
0212,Scizor,"BUG
STEEL",500,70,130,100,55,80,65
0212,"Scizor
Mega Scizor","BUG
STEEL",600,70,150,140,65,100,75
0213,Shuckle,"BUG
ROCK",505,20,10,230,10,230,5
0214,Heracross,"BUG
FIGHTING",500,80,125,75,40,95,85
0214,"Heracross
Mega Heracross","BUG
FIGHTING",600,80,185,115,40,105,75
0215,Sneasel,"DARK
ICE",430,55,95,55,35,75,115
0215,"Sneasel
Hisuian Sneasel","FIGHTING
POISON",430,55,95,55,35,75,115
0216,Teddiursa,NORMAL,330,60,80,50,50,50,40
0217,Ursaring,NORMAL,500,90,130,75,75,75,55
0218,Slugma,FIRE,250,40,40,40,70,40,20
0219,Magcargo,"FIRE
ROCK",430,60,50,120,90,80,30
0220,Swinub,"ICE
GROUND",250,50,50,40,30,30,50
0221,Piloswine,"ICE
GROUND",450,100,100,80,60,60,50
0222,Corsola,"WATER
ROCK",410,65,55,95,65,95,35
0222,"Corsola
Galarian Corsola",GHOST,410,60,55,100,65,100,30
0223,Remoraid,WATER,300,35,65,35,65,35,65
0224,Octillery,WATER,480,75,105,75,105,75,45
0225,Delibird,"ICE
FLYING",330,45,55,45,65,45,75
0226,Mantine,"WATER
FLYING",485,85,40,70,80,140,70
0227,Skarmory,"STEEL
FLYING",465,65,80,140,40,70,70
0228,Houndour,"DARK
FIRE",330,45,60,30,80,50,65
0229,Houndoom,"DARK
FIRE",500,75,90,50,110,80,95
0229,"Houndoom
Mega Houndoom","DARK
FIRE",600,75,90,90,140,90,115
0230,Kingdra,"WATER
DRAGON",540,75,95,95,95,95,85
0231,Phanpy,GROUND,330,90,60,60,40,40,40
0232,Donphan,GROUND,500,90,120,120,60,60,50
0233,Porygon2,NORMAL,515,85,80,90,105,95,60
0234,Stantler,NORMAL,465,73,95,62,85,65,85
0235,Smeargle,NORMAL,250,55,20,35,20,45,75
0236,Tyrogue,FIGHTING,210,35,35,35,35,35,35
0237,Hitmontop,FIGHTING,455,50,95,95,35,110,70
0238,Smoochum,"ICE
PSYCHIC",305,45,30,15,85,65,65
0239,Elekid,ELECTRIC,360,45,63,37,65,55,95
0240,Magby,FIRE,365,45,75,37,70,55,83
0241,Miltank,NORMAL,490,95,80,105,40,70,100
0242,Blissey,NORMAL,540,255,10,10,75,135,55
0243,Raikou,ELECTRIC,580,90,85,75,115,100,115
0244,Entei,FIRE,580,115,115,85,90,75,100
0245,Suicune,WATER,580,100,75,115,90,115,85
0246,Larvitar,"ROCK
GROUND",300,50,64,50,45,50,41
0247,Pupitar,"ROCK
GROUND",410,70,84,70,65,70,51
0248,Tyranitar,"ROCK
DARK",600,100,134,110,95,100,61
0248,"Tyranitar
Mega Tyranitar","ROCK
DARK",700,100,164,150,95,120,71
0249,Lugia,"PSYCHIC
FLYING",680,106,90,130,90,154,110
0250,Ho-oh,"FIRE
FLYING",680,106,130,90,110,154,90
0251,Celebi,"PSYCHIC
GRASS",600,100,100,100,100,100,100
0252,Treecko,GRASS,310,40,45,35,65,55,70
0253,Grovyle,GRASS,405,50,65,45,85,65,95
0254,Sceptile,GRASS,530,70,85,65,105,85,120
0254,"Sceptile
Mega Sceptile","GRASS
DRAGON",630,70,110,75,145,85,145
0255,Torchic,FIRE,310,45,60,40,70,50,45
0256,Combusken,"FIRE
FIGHTING",405,60,85,60,85,60,55
0257,Blaziken,"FIRE
FIGHTING",530,80,120,70,110,70,80
0257,"Blaziken
Mega Blaziken","FIRE
FIGHTING",630,80,160,80,130,80,100
0258,Mudkip,WATER,310,50,70,50,50,50,40
0259,Marshtomp,"WATER
GROUND",405,70,85,70,60,70,50
0260,Swampert,"WATER
GROUND",535,100,110,90,85,90,60
0260,"Swampert
Mega Swampert","WATER
GROUND",635,100,150,110,95,110,70
0261,Poochyena,DARK,220,35,55,35,30,30,35
0262,Mightyena,DARK,420,70,90,70,60,60,70
0263,Zigzagoon,NORMAL,240,38,30,41,30,41,60
0263,"Zigzagoon
Galarian Zigzagoon","DARK
NORMAL",240,38,30,41,30,41,60
0264,Linoone,NORMAL,420,78,70,61,50,61,100
0264,"Linoone
Galarian Linoone","DARK
NORMAL",420,78,70,61,50,61,100
0265,Wurmple,BUG,195,45,45,35,20,30,20
0266,Silcoon,BUG,205,50,35,55,25,25,15
0267,Beautifly,"BUG
FLYING",395,60,70,50,100,50,65
0268,Cascoon,BUG,205,50,35,55,25,25,15
0269,Dustox,"BUG
POISON",385,60,50,70,50,90,65
0270,Lotad,"WATER
GRASS",220,40,30,30,40,50,30
0271,Lombre,"WATER
GRASS",340,60,50,50,60,70,50
0272,Ludicolo,"WATER
GRASS",480,80,70,70,90,100,70
0273,Seedot,GRASS,220,40,40,50,30,30,30
0274,Nuzleaf,"GRASS
DARK",340,70,70,40,60,40,60
0275,Shiftry,"GRASS
DARK",480,90,100,60,90,60,80
0276,Taillow,"NORMAL
FLYING",270,40,55,30,30,30,85
0277,Swellow,"NORMAL
FLYING",455,60,85,60,75,50,125
0278,Wingull,"WATER
FLYING",270,40,30,30,55,30,85
0279,Pelipper,"WATER
FLYING",440,60,50,100,95,70,65
0280,Ralts,"PSYCHIC
FAIRY",198,28,25,25,45,35,40
0281,Kirlia,"PSYCHIC
FAIRY",278,38,35,35,65,55,50
0282,Gardevoir,"PSYCHIC
FAIRY",518,68,65,65,125,115,80
0282,"Gardevoir
Mega Gardevoir","PSYCHIC
FAIRY",618,68,85,65,165,135,100
0283,Surskit,"BUG
WATER",269,40,30,32,50,52,65
0284,Masquerain,"BUG
FLYING",454,70,60,62,100,82,80
0285,Shroomish,GRASS,295,60,40,60,40,60,35
0286,Breloom,"GRASS
FIGHTING",460,60,130,80,60,60,70
0287,Slakoth,NORMAL,280,60,60,60,35,35,30
0288,Vigoroth,NORMAL,440,80,80,80,55,55,90
0289,Slaking,NORMAL,670,150,160,100,95,65,100
0290,Nincada,"BUG
GROUND",266,31,45,90,30,30,40
0291,Ninjask,"BUG
FLYING",456,61,90,45,50,50,160
0292,Shedinja,"BUG
GHOST",236,1,90,45,30,30,40
0293,Whismur,NORMAL,240,64,51,23,51,23,28
0294,Loudred,NORMAL,360,84,71,43,71,43,48
0295,Exploud,NORMAL,490,104,91,63,91,73,68
0296,Makuhita,FIGHTING,237,72,60,30,20,30,25
0297,Hariyama,FIGHTING,474,144,120,60,40,60,50
0298,Azurill,"NORMAL
FAIRY",190,50,20,40,20,40,20
0299,Nosepass,ROCK,375,30,45,135,45,90,30
0300,Skitty,NORMAL,260,50,45,45,35,35,50
0301,Delcatty,NORMAL,400,70,65,65,55,55,90
0302,Sableye,"DARK
GHOST",380,50,75,75,65,65,50
0302,"Sableye
Mega Sableye","DARK
GHOST",480,50,85,125,85,115,20
0303,Mawile,"STEEL
FAIRY",380,50,85,85,55,55,50
0303,"Mawile
Mega Mawile","STEEL
FAIRY",480,50,105,125,55,95,50
0304,Aron,"STEEL
ROCK",330,50,70,100,40,40,30
0305,Lairon,"STEEL
ROCK",430,60,90,140,50,50,40
0306,Aggron,"STEEL
ROCK",530,70,110,180,60,60,50
0306,"Aggron
Mega Aggron",STEEL,630,70,140,230,60,80,50
0307,Meditite,"FIGHTING
PSYCHIC",280,30,40,55,40,55,60
0308,Medicham,"FIGHTING
PSYCHIC",410,60,60,75,60,75,80
0308,"Medicham
Mega Medicham","FIGHTING
PSYCHIC",510,60,100,85,80,85,100
0309,Electrike,ELECTRIC,295,40,45,40,65,40,65
0310,Manectric,ELECTRIC,475,70,75,60,105,60,105
0310,"Manectric
Mega Manectric",ELECTRIC,575,70,75,80,135,80,135
0311,Plusle,ELECTRIC,405,60,50,40,85,75,95
0312,Minun,ELECTRIC,405,60,40,50,75,85,95
0313,Volbeat,BUG,430,65,73,75,47,85,85
0314,Illumise,BUG,430,65,47,75,73,85,85
0315,Roselia,"GRASS
POISON",400,50,60,45,100,80,65
0316,Gulpin,POISON,302,70,43,53,43,53,40
0317,Swalot,POISON,467,100,73,83,73,83,55
0318,Carvanha,"WATER
DARK",305,45,90,20,65,20,65
0319,Sharpedo,"WATER
DARK",460,70,120,40,95,40,95
0319,"Sharpedo
Mega Sharpedo","WATER
DARK",560,70,140,70,110,65,105
0320,Wailmer,WATER,400,130,70,35,70,35,60
0321,Wailord,WATER,500,170,90,45,90,45,60
0322,Numel,"FIRE
GROUND",305,60,60,40,65,45,35
0323,Camerupt,"FIRE
GROUND",460,70,100,70,105,75,40
0323,"Camerupt
Mega Camerupt","FIRE
GROUND",560,70,120,100,145,105,20
0324,Torkoal,FIRE,470,70,85,140,85,70,20
0325,Spoink,PSYCHIC,330,60,25,35,70,80,60
0326,Grumpig,PSYCHIC,470,80,45,65,90,110,80
0327,Spinda,NORMAL,360,60,60,60,60,60,60
0328,Trapinch,GROUND,290,45,100,45,45,45,10
0329,Vibrava,"GROUND
DRAGON",340,50,70,50,50,50,70
0330,Flygon,"GROUND
DRAGON",520,80,100,80,80,80,100
0331,Cacnea,GRASS,335,50,85,40,85,40,35
0332,Cacturne,"GRASS
DARK",475,70,115,60,115,60,55
0333,Swablu,"NORMAL
FLYING",310,45,40,60,40,75,50
0334,Altaria,"DRAGON
FLYING",490,75,70,90,70,105,80
0334,"Altaria
Mega Altaria","DRAGON
FAIRY",590,75,110,110,110,105,80
0335,Zangoose,NORMAL,458,73,115,60,60,60,90
0336,Seviper,POISON,458,73,100,60,100,60,65
0337,Lunatone,"ROCK
PSYCHIC",460,90,55,65,95,85,70
0338,Solrock,"ROCK
PSYCHIC",460,90,95,85,55,65,70
0339,Barboach,"WATER
GROUND",288,50,48,43,46,41,60
0340,Whiscash,"WATER
GROUND",468,110,78,73,76,71,60
0341,Corphish,WATER,308,43,80,65,50,35,35
