country,location_name,condition_text,air_quality_PM2.5,air_quality_PM10
Panama,Panama City,Moderate or heavy rain shower,2.3,2.7
Papua New Guinea,Port Moresby,Partly cloudy,4.2,4.8
Paraguay,Pasto,Sunny,6.8,6.9
Peru,Lima,Sunny,21.5,40.0
Philippines,Manila,Partly cloudy,42.4,63.7
Poland,Warsaw,Sunny,3.3,3.9
Portugal,Lisbon,Partly cloudy,1.4,3.7
Qatar,Doha,Sunny,30.2,121.4
Romania,Bucharest,Sunny,2.9,3.7
Russia,Moscow,Sunny,5.0,7.0
Rwanda,Kigali,Partly cloudy,3.6,6.0
Saint Kitts and Nevis,Basseterre,Partly cloudy,1.2,3.8
Saint Lucia,Castries,Partly cloudy,1.2,3.8
Saint Vincent and the Grenadines,Kingstown,Partly cloudy,3.8,14.6
Samoa,Apia,Moderate rain,1.6,3.2
San Marino,San Marino,Partly cloudy,13.8,26.6
Belgium,'S Gravenstaffel,Overcast,1.8,2.1
Saudi Arabia,Riyadh,Sunny,27.1,110.4
Senegal,Dakar,Partly cloudy,12.1,70.8
Serbia,Belgrade,Partly cloudy,2.7,3.1
Seychelles Islands,Victoria,Partly cloudy,2.0,5.9
Sierra Leone,Freetown,Partly cloudy,1.9,3.0
Singapore,Singapore,Partly cloudy,19.0,23.6
Slovakia,Bratislava,Light rain,1.7,2.0
Slovenia,Ljubljana,Partly cloudy,1.6,1.9
Solomon Islands,Honiara,Patchy rain nearby,0.5,0.6
Somalia,Mogadishu,Partly cloudy,4.1,10.9
South Africa,Pretoria,Sunny,23.0,39.3
South Korea,Seoul,Clear,21.1,25.7
Sudan,Juba,Sunny,23.8,118.7
Spain,Madrid,Sunny,0.5,0.9
Sri Lanka,Colombo,Moderate rain,3.0,4.9
Sudan,Khartoum,Sunny,17.6,75.5
Suriname,Paramaribo,Partly cloudy,1.4,2.3
Sweden,Stockholm,Sunny,3.7,4.6
Switzerland,Bern,Moderate rain,1.1,1.2
Syria,Damascus,Sunny,7.0,9.2
Tajikistan,Dushanbe,Patchy light rain with thunder,5.0,9.5
Tanzania,Dodoma,Partly cloudy,1.3,2.6
Thailand,Bangkok,Partly cloudy,150.8,212.3
Timor-Leste,Dili,Patchy rain nearby,0.6,1.5
Bulgaria,Lom,Sunny,3.6,3.8
Tonga,Nuku`Aloia,Light rain,2.2,6.4
Trinidad and Tobago,Port Of Spain,Overcast,2.2,7.1
Tunisia,Tunis,Partly cloudy,5.3,10.6
Turkey,Ankara,Partly cloudy,1.4,1.6
Turkmenistan,Ashgabat,Moderate or heavy rain with thunder,7.5,15.8
Tuvalu,Funafuti,Light rain,0.5,0.8
Uganda,Kampala,Partly cloudy,6.2,10.0
Ukraine,Kyiv,Patchy rain nearby,1.7,2.1
United Arab Emirates,Abu Dhabi,Sunny,31.8,98.5
United Kingdom,London,Partly cloudy,2.3,2.7
United States of America,Washington Park,Sunny,7.8,8.8
Uruguay,Montevideo,Sunny,21.1,35.3
Uzbekistan,Tashkent,Sunny,2.3,2.8
Vanuatu,Port Vila,Partly cloudy,3.9,11.2
Venezuela,Caracas,Partly cloudy,4.9,6.8
Vietnam,Hanoi,Clear,219.1,258.1
Yemen,Sanaa,Patchy rain nearby,29.2,115.2
Zambia,Lusaka,Sunny,8.0,13.5
Zimbabwe,Harare,Sunny,7.6,9.8
Afghanistan,Kabul,Patchy rain nearby,8.3,18.1
Albania,Tirana,Sunny,18.7,56.2
Algeria,Algiers,Sunny,11.7,20.4
Andorra,Andorra La Vella,Thundery outbreaks in nearby,0.5,0.6
Angola,Luanda,Sunny,20.8,45.1
Antigua and Barbuda,Saint John's,Overcast,1.8,5.1
Argentina,Buenos Aires,Partly cloudy,2.3,3.5
Armenia,Yerevan,Partly cloudy,0.5,0.6
Australia,Canberra,Overcast,0.5,0.6
Austria,Vienna,Light rain shower,1.6,2.5
Azerbaijan,Baku,Partly cloudy,1.0,1.2
Bahamas,Nassau,Partly cloudy,15.9,24.2
Bahrain,Manama,Clear,19.5,59.7
Bangladesh,Dhaka,Clear,20.0,30.1
Barbados,Bridgetown,Partly cloudy,2.3,11.0
Belarus,Minsk,Sunny,4.2,4.8
Belgium,Brussels,Light rain,1.2,1.7
Belize,Belmopan,Partly cloudy,9.9,21.6
Benin,Porto-Novo,Partly cloudy,2.6,5.5
Bhutan,Thimphu,Patchy rain nearby,15.8,18.4
Bolivia,Sucre,Sunny,5.7,9.7
Bosnia and Herzegovina,Sarajevo,Sunny,10.5,21.7
Botswana,Gaborone,Clear,19.6,32.8
Brazil,Bras,Light rain shower,0.5,0.5
Brunei Darussalam,Bandar Seri Begawan,Partly cloudy,2.1,2.4
Bulgaria,Sofia,Partly cloudy,7.6,11.7
Burkina Faso,Ouagadougou,Partly Cloudy,23.7,107.5
Burundi,Bujumbura,Partly cloudy,5.0,13.6
Madagascar,Ivory,Clear,0.5,1.0
Cape Verde,Praia,Partly cloudy,3.4,14.0
Cambodia,Phnom Penh,Partly cloudy,30.6,42.5
Cameroon,Yaounde,Partly cloudy,4.3,6.8
Canada,Ottawa,Partly cloudy,3.2,3.9
Central African Republic,Bangui,Partly cloudy,0.5,0.9
Chad,N'djamena,Overcast,32.1,146.8
Chile,Santiago,Partly cloudy,220.0,264.2
China,Beijing,Clear,221.9,265.9
Bulgaria,Bogot,Cloudy,3.7,4.7
Comoros,Moroni,Clear,1.8,6.9
Congo,Brazzaville,Mist,16.8,44.4
Costa Rica,San Juan,Partly cloudy,50.5,51.4
Croatia,Zagreb,Sunny,1.9,2.7
Cuba,Havana,Partly cloudy,2.3,6.5
Cyprus,Nicosia,Sunny,7.1,15.4
Czech Republic,Prague,Light rain,3.0,3.5
Democratic Republic of Congo,Kinshasa,Mist,16.8,44.4
Denmark,Copenhagen,Sunny,5.5,6.1
Djibouti,Djibouti,Clear,11.5,23.7
Dominica,Roseau,Partly cloudy,1.2,3.1
Dominican Republic,Santo Domingo,Partly cloudy,14.2,17.6
Ecuador,Quito,Patchy rain nearby,42.2,45.5
Egypt,Cairo,Sunny,6.0,15.5
El Salvador,San Salvador,Partly cloudy,12.0,15.2
Equatorial Guinea,Malabo,Partly cloudy,0.9,1.2
Eritrea,Asmara,Clear,15.4,49.0
Estonia,Tallinn,Sunny,6.1,6.7
Swaziland,Mbabane,Clear,14.9,24.0
Ethiopia,Addis Ababa,Partly cloudy,27.5,111.1
Fiji Islands,Suva,Partly cloudy,1.8,2.2
Finland,Helsinki,Sunny,12.9,15.5
France,Paris,Moderate rain,1.4,2.0
Gabon,Libreville,Partly cloudy,43.9,53.6
Gambia,Banjul,Sunny,34.2,129.1
Georgia,Tbilisi,Sunny,0.6,0.8
Germany,Berlin,Sunny,2.8,3.2
Ghana,Accra,Partly cloudy,8.4,11.8
Greece,Athens,Light rain,14.3,19.7
Grenada,Saint George's,Partly cloudy,3.2,13.2
Guatemala,Guatemala City,Partly cloudy,26.2,31.2
Guinea,Conakry,Light rain,11.6,19.9
Guinea-Bissau,Bissau,Sunny,15.3,63.1
Guyana,Georgetown,Light rain,1.4,1.7
Haiti,Port-Au-Prince,Partly cloudy,15.3,27.0
Vatican City,Vatican City,Sunny,6.3,8.5
Honduras,Tegucigalpa,Partly cloudy,2.4,3.7
Hungary,Budapest,Moderate or heavy rain shower,5.6,6.5
Iceland,Grindavik,Overcast,0.5,0.7
India,New Delhi,Mist,49.7,83.7
Indonesia,Jakarta,Mist,798.5,1002.2
Iran,Tehran,Partly cloudy,4.4,9.5
Iraq,Baghdad,Clear,7.7,23.9
Ireland,Dublin,Partly cloudy,11.9,18.1
Israel,Jerusalem,Sunny,4.7,7.6
Italy,Rome,Sunny,6.3,8.5
Jamaica,Norman Gardens,Partly cloudy,2.7,5.5
Japan,Tokyo,Clear,36.8,45.1
Jordan,Amman,Mist,5.4,8.8
Kazakhstan,Astana,Partly cloudy,9.1,9.9
Kenya,Nairobi,Partly cloudy,135.7,195.4
Kiribati,Tarawa,Thundery outbreaks in nearby,0.5,1.0
Kuwait,Kuwait City,Clear,70.3,139.9
Kyrghyzstan,Bishkek,Clear,2.9,3.3
Indonesia,Laos,Mist,14.8,24.4
Latvia,Riga,Sunny,10.0,11.3
Lebanon,Beirut,Sunny,6.6,11.4
Lesotho,Maseru,Clear,12.1,27.1
Liberia,Monrovia,Partly cloudy,0.7,4.6
Thailand,Nan,Patchy rain nearby,5.6,7.1
Liechtenstein,Vaduz,Partly cloudy,0.9,0.9
Lithuania,Vilnius,Sunny,6.8,11.2
Luxembourg,Luxembourg,Heavy rain at times,0.9,1.0
Madagascar,Antananarivo,Partly cloudy,6.5,15.0
Malawi,Lilongwe,Clear,0.8,2.4
Malaysia,Kuala Lumpur,Partly cloudy,94.3,121.1
Maldives,Felidhoo,Light rain shower,1.9,5.4
Mali,Bamako,Partly cloudy,2.0,5.1
Malta,Valletta,Sunny,7.5,21.9
Marshall Islands,Majuro,Overcast,3.5,12.3
Mauritania,Nouakchott,Sunny,13.7,74.3
Mauritius,Port Louis,Partly cloudy,3.3,15.8
Mexico,Mexico City,Sunny,75.1,97.8
Micronesia,Palikir,Moderate rain,0.5,0.8
Iran,Chi Chi Khvar,Sunny,5.7,6.7
Monaco,Monaco,Partly cloudy,1.6,1.9
Mongolia,Ulaanbaatar,Partly cloudy,5.4,6.2
Montenegro,Podgorica,Partly cloudy,31.1,138.3
Mozambique,Maputo,Clear,13.4,37.4
Myanmar,Pathein,Clear,2.1,5.2
Namibia,Windhoek,Sunny,13.6,18.1
Turkey,Yaren,Sunny,24.9,26.2
Nepal,Kathmandu,Partly cloudy,54.9,95.7
Netherlands,Amsterdam,Partly cloudy,8.5,10.7
New Zealand,Wellington,Partly cloudy,1.3,6.0
Nicaragua,Managua,Partly cloudy,26.3,29.2
Niger,Niamey,Sunny,50.7,229.4
Nigeria,Abuja,Sunny,3.6,6.7
North Korea,Pyongyang,Clear,39.7,61.3
Macedonia,Skopje,Partly cloudy,11.6,28.0
Norway,Oslo,Sunny,3.7,4.2
Oman,Muscat,Clear,54.5,88.8
Pakistan,Islamabad,Clear,29.6,62.3
Palau,Meyungs,Partly cloudy,2.0,4.5
Bolivia,National,Sunny,0.5,0.5
Panama,Panama City,Partly cloudy,2.5,3.0
Papua New Guinea,Port Moresby,Partly cloudy,5.0,6.1
Paraguay,Pasto,Overcast,0.7,0.7
Peru,Lima,Partly Cloudy,10.7,22.6
