Season,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),plot
1,11,11,"""The Pancake Batter Anomaly""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Stephen Engel,"March 31, 2008",3T6610,8.68,"Penny returns from visiting family in Nebraska, but mentions while picking up mail from Leonard that most of her relatives became sick. Sheldon, a germophobe according to Leonard, freaks out and becomes sick, becoming demanding on top of his already obnoxious personality. Familiar with Sheldon being sick, Leonard and the guys hide from him at a Planet of the Apes series marathon, leaving Penny to care for Sheldon. However, Leonard breaks his glasses in the cinema and has to retrieve his spare pair from the apartment, piloted by Howard and Raj using a laptop, an endoscope, and a Bluetooth helmet camera worn by the short-sighted Leonard. Penny intercepts him and abandons him to his fate with Sheldon. Leonard tries to escape, but runs into a wall and nearly knocks himself out. In the end, injured Leonard and sick Sheldon sit miserably on the couch. Title reference: Sheldon's urine measuring cup, which is the same cup Leonard uses to mix pancake batter."
1,12,12,"""The Jerusalem Duality""",Mark Cendrowski,Story by : Jennifer Glickman & Stephen EngelTeleplay by : Dave Goetsch & Steven Molaro,"April 14, 2008",3T6611,7.69,"Sheldon becomes envious when he meets 15-year-old child prodigy Dennis Kim, who was accepted for doctoral studies at the university, and soon realizes that not only is Kim similar to himself (an obnoxious and arrogant child prodigy), but is even smarter than he. Sheldon loses faith in his own research and annoys his friends by criticizing their work more than ever and forcing his own contributions on them. Finding his physics work useless, he aims for the Nobel Peace Prize by attempting to solve all Middle East conflicts, but he annoys everyone, including a Jewish professor, with his proposal that an exact duplicate of Jerusalem be built in the Mexican desert. The others, tired of Sheldon's behavior, decide to distract Kim with girls of the same age. Their plan unexpectedly works at Kim's welcome party, and Kim leaves with a blonde 15-year-old. Sheldon resumes his research while the others are perplexed at how easily Kim was able to get a girl. Title reference: Sheldon's proposed duplication of Jerusalem."
1,13,13,"""The Bat Jar Conjecture""",Mark Cendrowski,Story by : Stephen Engel & Jennifer GlickmanTeleplay by : Bill Prady & Robert Cohen,"April 21, 2008",3T6612,7.51,"The guys decide to compete in a university quiz called physics bowl after the strong competitors drop out, but Sheldon's showboating is too much, and they eject him from the team. Sheldon, upset, vows to form his own team and compete against them. The guys, in need of a fourth member, ask Leslie Winkle. She at first declines, but accepts on hearing they are opposing Sheldon, who has often criticized her research and gender. The guys name themselves PMS (Perpetual Motion Squad, an unintentional pun on premenstrual syndrome). Sheldon's team is named AA (Army Ants, an unintentional pun on Alcoholics Anonymous), and comprises Sheldon (who forbids answers from his teammates), the 3rd floor janitor, the lunch lady, and her son (or possibly her butcher). PMS win when Sheldon, unable to answer the last question, refuses to accept the janitor's answer, which is actually correct: he explains that despite working as a janitor in America, he was a physicist in the former Soviet Union. Title reference: The Batman cookie jar (""Bat Jar"") given to Sheldon when he is kicked out of the original team."
1,14,14,"""The Nerdvana Annihilation""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Stephen Engel & Steven Molaro,"April 28, 2008",3T6613,8.07,"In an online auction, Leonard buys a full-sized replica of the time machine from the 1960 film The Time Machine, believing it to be a miniature. The men's efforts to move the cumbersome object into the apartment cause Penny to lose a work shift, and she lashes out at them for their obsession with childish memorabilia. This upsets Leonard, who decides to sell all his collectibles. His friends try to dissuade him, but they also want his collectibles and argue over who should get what. Sheldon later accuses Penny of hypocrisy, pointing out her own love of such things as Hello Kitty or Care Bears. Penny apologizes to Leonard and dissuades him from abandoning the things he loves. His hope of a relationship with her is thus very briefly renewed until her current boyfriend Mike appears and pulls her into her apartment. Sheldon later has nightmares of being attacked by Morlocks, and persuades Leonard to return the time machine replica. Title reference: Leonard getting rid of his collectibles, which Howard refers to as ""Nerdvana""."
1,15,15,"""The Shiksa Indeterminacy""[24]""The Pork Chop Indeterminacy""[25]",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Lee Aronsohn & Bill Prady,"May 5, 2008",3T6614,7.38,"Sheldon introduces his twin sister Missy to the guys, and all are attracted to her. Raj decides to take part in a drug trial to cure his inability to talk to women, and Leonard insists Missy stay with them at the apartment. Predictably, the men all awkwardly flirt with her, so Penny comes to her rescue. Leonard, hoping for an advantage over Howard and Raj, convinces Sheldon he is Missy's guardian as concerns her choice of partner. Sheldon deems all three guys to be unsuitable for her. On learning of Sheldon's plan to find her a suitable mate, Missy confronts her brother, and after she kicks him in the groin he agrees she can date whoever she likes. She turns down Leonard, and then Howard, who fails to charm her with simple conjuring tricks. Finally Raj goes to talk to Missy, who shows interest in him, but the drug wears off and he is unable to speak to her, forcing Raj to leave defeated. Title reference: Howard saying he would kill his rabbi with a pork chop to be with Missy, who was not Jewish (hence a shiksa)."
1,16,16,"""The Peanut Reaction""",Mark Cendrowski,Story by : Bill Prady & Lee AronsohnTeleplay by : Dave Goetsch & Steven Molaro,"May 12, 2008",3T6615,7.79,"Penny learns that Leonard has never had a birthday party, as his parents did not believe in celebrating anything other than achievements. She decides to throw him a surprise party, and blackmails Sheldon to join in by threatening to draw a smiley face on each of his mint condition comic books. However, on the day of the party, Penny discovers Sheldon has not yet bought a present, so she has to drive him to a computer store to buy one. Meanwhile, Howard has the task of keeping Leonard out of his apartment before the party. Howard pretends to eat a peanut bar, to which he is allergic, so that Leonard will drive him to the emergency room. However, Sheldon's lack of focus at the computer store means Howard has to distract Leonard even longer, and he eventually actually eats the peanut bar, swelling up in a severe allergic reaction. After several hours at the hospital, Howard and Leonard arrive back at the apartment to find the party has ended, though Penny does kiss Leonard. Title reference: Howard's serious peanut allergy."
1,17,17,"""The Tangerine Factor""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Lee Aronsohn & Steven Molaro,"May 19, 2008",3T6616,7.34,"Penny ends up breaking up with Mike, which starts furiously after he posts details of their sex life on his blog. Meanwhile, Sheldon, determined to prove that the Chinese restaurant uses oranges instead of tangerines in their ""Tangerine chicken"", asks Howard to teach him Mandarin. When Penny laments her choice of men, Leonard awkwardly asks her out. After a few days, both worry that this relationship could ruin their friendship; and each seeks the advice of Sheldon, who uses the ""Schrödinger's cat"" thought experiment to explain that the date has both ""good"" and ""bad"" possible outcomes, and the only way to determine which outcome is to go on the date. When Leonard arrives to pick up Penny, he mentions the thought experiment and kisses her passionately. She concludes that ""the cat is alive"" and they leave for dinner. Leonard and Penny go to the Chinese restaurant, but not before seeing Sheldon arguing with the owner in very bad Mandarin, disturbing the patrons. Title reference: The Chinese Tangerine chicken which Sheldon believed was actually prepared with oranges."
2,18,1,"""The Bad Fish Paradigm""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Dave Goetsch & Steven Molaro,"September 22, 2008",3T7351,9.36,"After Leonard and Penny return home from their first date, Penny admits to Sheldon that she lied to Leonard about graduating from community college, feeling he would not want to date a woman who is not smart, and makes Sheldon promise not to tell him. Sheldon cannot easily keep secrets, and moves out of the apartment to escape his inner conflict. He first stays with Raj, but after Sheldon criticizes Aishwarya Rai, comparing her unfavorably to Madhuri Dixit, Raj leaves him at Howard's house. Sheldon talks instead of sleeping, so Howard gives him Valium, which fails to work, and finally takes him back to the apartment. The drugged Sheldon tells Leonard the secret. The next morning, Leonard suggests Penny should join Pasadena City College, but after she asks, says he does not mind dating someone who is not smart, at which she slams her door in his face. Title reference: Howard calling Leonard a ""bad fish"" in his relationship with Penny."
2,19,2,"""The Codpiece Topology""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Lee Aronsohn,"September 29, 2008",3T7352,8.76,"After the guys return from a Renaissance fair and see Penny with her new boyfriend Eric, Leonard is approached in the Caltech canteen by Leslie Winkle, who proposes renewing their one-time ""relationship"". As she has grown out of one-night stands she suggests they take it slowly and get to know each other first. Penny dumps Eric after unsuccessfully using him to make Leonard jealous (including a competitive make-out session between Penny and Eric and Leonard and Leslie; Leslie helping Leonard make his point). Sheldon tells Penny he is uncomfortable with Leonard dating his arch enemy Leslie, but on Penny's advice he accepts the relationship. Almost immediately, however, Sheldon deliberately provokes an argument with Leslie over the validity of loop quantum gravity, which Leslie supports, and string theory, which Sheldon favors. Leslie expects Leonard to back her beliefs, but when he supports Sheldon, Leslie dumps Leonard, to Sheldon's relief. Sheldon then comforts Leonard with the fact that it is only nine months until Comic-Con. Title reference: Sheldon stating that the Renaissance Fair was just an excuse to wear a codpiece."
2,20,3,"""The Barbarian Sublimation""",Mark Cendrowski,Story by : Nicole LorreTeleplay by : Steven Molaro & Eric Kaplan,"October 6, 2008",3T7353,9.33,"Sheldon lets Penny wait for the locksmith in his apartment after she accidentally locks herself out. Penny, frustrated at making no progress in her acting career and not having had sex for six months, becomes curious on seeing Sheldon play Age of Conan. He helps Penny get started; she buys the game and soon succumbs to video game addiction, annoying Sheldon by persistently asking him for game tips night and day. In desperation he asks Leonard for help, who tries to talk with her in her apartment, but she practically ignores him. Leonard then tries approaching her character within the game, but she merely beheads his character. After listening to Leslie in the Caltech canteen, Sheldon is convinced that Penny needs to have sex to relieve her stress and restore her regular life. Sheldon attempts to fix Penny a date with the aid of an online dating service, but fails. In the end, Penny is horrified to realize she has accepted a virtual date with Howard, and promptly stops playing, thus overcoming her addiction. Title reference: Penny becoming addicted to playing the computer game Age of Conan set in Robert E. Howard's universe of Conan the Barbarian."
2,21,4,"""The Griffin Equivalency""",Mark Cendrowski,Story by : Bill Prady & Chuck LorreTeleplay by : Stephen Engel & Tim Doyle,"October 13, 2008",3T7354,9.36,"Raj is included in People magazine's ""30 Visionaries Under 30 Years Old to Watch"" list for his discovery of the trans-Neptunian object 2008 NQ17, making his friends jealous, though Leonard finds that they should be happy for him. Raj becomes arrogant after receiving star treatment from Dr. Gablehauser and being given an assistant, so all the guys ditch him, and he invites Penny to his People reception. After the party, a very intoxicated Raj returns home with Penny, and via webcam he introduces her to his parents as his girlfriend. His parents object that she is not Indian, though his father likes Penny's resolute nature. She denies being Raj's girlfriend, and escapes after he becomes sick from overdrinking. The following morning, a sober and shy Raj attempts to give Penny a written apology, but she forces him to utter a barely audible ""sorry"" before forgiving him. Title reference: Sheldon wanting a griffin as his ideal pet and considering a substitute for Raj as a friend."
2,22,5,"""The Euclid Alternative""",Mark Cendrowski,Story by : Bill Prady & Steven MolaroTeleplay by : Lee Aronsohn & Dave Goetsch,"October 20, 2008",3T7355,9.28,"For several days Leonard works on an experiment involving a free-electron laser which is only available at night, so he cannot drive Sheldon to the university as usual. In succession, Sheldon asks Penny, Howard and Raj to drive him, but each in turn ejects him from the vehicle for being annoying. The group finally stage an intervention and tell Sheldon to get a driver's license and learn to drive. After a trip to the DMV results in Sheldon getting his learner's permit, the group sets up a driving simulator for him in the living room. However, Sheldon turns out to be an appalling driver, claiming to be too highly evolved to learn to drive, so he decides to live in his university office to avoid having to commute. Leonard finally reveals he actually finished his experiment a week earlier than he stated, but kept up the pretence to avoid having to drive Sheldon to work. Title reference: The Euclid Avenue that Sheldon is afraid of passing through on his way to work."
2,23,6,"""The Cooper–Nowitzki Theorem""",Mark Cendrowski,Story by : Stephen Engel & Daley HaggarTeleplay by : Tim Doyle & Richard Rosenstock,"November 3, 2008",3T7356,9.67,"After a lecture by Leonard and Sheldon, a graduate student named Ramona Nowitzki is so impressed by Sheldon that she insinuates herself into his life as his platonic girlfriend/assistant/manager, to the puzzlement of Penny and the guys. Ramona proves to be a helpful influence on Sheldon's work, even bettering his rival Leslie Winkle in a verbal confrontation, but Ramona moves into his apartment to control him, prohibiting his usual recreational activities and forcing him to concentrate solely on his research. Eventually Sheldon realizes that he is in ""some sort of relationship"" with Ramona, and unsuccessfully seeks help from Penny and Leonard to get rid of her. Sheldon eventually makes a research breakthrough he tells Ramona he would never have achieved without her, and gratefully asks how he can repay her. She suggests they share credit for his discovery by calling it ""The Cooper-Nowitzki Theorem"". Upon hearing this, he angrily ejects her. After another student reads a preprint of the new theorem, she approaches Sheldon in the same way Ramona initially did. Title reference: Ramona Nowitzki's suggested name for the theorem that Sheldon develops."
2,24,7,"""The Panty Piñata Polarization""",Mark Cendrowski,Story by : Bill Prady & Tim DoyleTeleplay by : Jennifer Glickman & Steven Molaro,"November 10, 2008",3T7357,10.01,"When Penny's TV cable is blocked after she fails to keep up with her monthly payments, she goes to the guys' apartment to watch America's Next Top Model, to Sheldon's despair and Howard's and Raj's delight. However, she accidentally touches Sheldon's onion rings and sits on his spot on the couch, thus scoring ""three strikes"" including an earlier offense, so he banishes her from his apartment. She later refuses to serve him at the Cheesecake Factory. Their dispute escalates, with Sheldon blocking Penny's Wi-Fi access and Penny sabotaging Sheldon's laundry night. Eventually, after Sheldon hangs her clean underwear on an outdoor telephone wire, Leonard gives Penny Sheldon's mother's phone number, ""Sheldon's kryptonite"", so Penny can complain to her about Sheldon. His mother forces him to apologize to Penny and give back her laundry. Meanwhile, Howard finds out that the models in America's Next Top Model are in a house in Los Angeles. Determined to enter the house, he and Raj search for it using all available technologies, legal and otherwise, and actually find it. Howard and Raj finally get in by posing as cable guys. Title reference: Sheldon hanging Penny's laundry from a wire and taunting her to play Panty Piñata."
2,25,8,"""The Lizard–Spock Expansion""",Mark Cendrowski,Story by : Bill PradyTeleplay by : Dave Goetsch & Jennifer Glickman,"November 17, 2008",3T7358,9.76,"Howard meets Dr. Stephanie Barnett at a bar and invites her to the Jet Propulsion Laboratory to drive the Mars rover, but his plan fails when the rover gets stuck in a Martian ditch; he has Leonard smuggle his unauthorized lady visitor out of the building. She immediately likes Leonard, much preferring him to Howard, and makes out with him in his car. Howard subsequently destroys all security tapes and hard drives relating to the mission. Later, Stephanie tells Howard that she has started dating Leonard, but Howard forgives the pair when she invites him to meet her friend Lisa on a double date. In the end, Howard hears on TV news that the rover found water on Mars at the bottom of the ditch, but because he had all the security data destroyed, it could not be determined who was responsible for the discovery. Meanwhile, Sheldon and Raj play a game of rock-paper-scissors-lizard-Spock, ""The Lizard-Spock Expansion"" of the traditional rock-paper-scissors game, to decide who gets to watch what on TV, but they both choose Spock. They, along with Howard, then play the game for Leonard's dumpling. When, again, all choose Spock, they conclude that someone must stop playing Spock. They try to determine who by playing the game but, yet again, all choose Spock. Title reference: Sheldon's proposal to use the game ""Rock-paper-scissors-lizard-Spock"", an expanded form of the game ""Rock-paper-scissors""."
2,26,9,"""The White Asparagus Triangulation""",Mark Cendrowski,Story by : Dave Goetsch & Steven MolaroTeleplay by : Stephen Engel & Richard Rosenstock,"November 24, 2008",3T7359,10.19,"Sheldon regards medical doctor Stephanie as the only ""tolerable"" girlfriend Leonard ever had, and also the ideal doctor for Sheldon's Enterprise crew, so he tries to help Leonard with his relationship, fearing Leonard will ruin it. However, Sheldon dismays Leonard by joining the couple when they have a romantic dinner and go to the movies. Believing that Leonard is losing Stephanie, Sheldon wants Leonard to open a recalcitrant jar of white asparagus in Stephanie's presence to emphasize his physical strength. However, Leonard accidentally shatters the jar, cutting himself. Stephanie gives him the necessary stitches at her hospital and later tells him she will not be sleeping with him that night as planned, as he needs rest. At home, Leonard finds Sheldon hacked his Facebook account and changed his status to ""In a relationship"" and yells at him for attempting to intervene in a relationship in which he has no experience. Howard says this, after only two weeks, makes Leonard appear desperate, but Raj then discovers Stephanie apparently changed her status to ""Stephanie Barnett is in a relationship with Leonard Hofstadter"". Sheldon, delighted at the improved developments in Leonard's and Stephanie's relationship at his intervention, proclaims ""Dr. Sheldon Cooper for the win."" Title reference: The content of the jar that Leonard breaks, and the relationship triangle (Leonard-Stephanie-Sheldon) that features prominently."
2,27,10,"""The Vartabedian Conundrum""",Mark Cendrowski,Story by : Chuck Lorre & Steven MolaroTeleplay by : Bill Prady & Richard Rosenstock,"December 8, 2008",3T7360,10.8,"Stephanie effectively moves into Leonard's and Sheldon's apartment, though Leonard does not acknowledge this until Sheldon and Penny point it out; Penny then searches Leonard's room with him, discovering various signs that Stephanie is indeed living with him. After Stephanie buys Leonard new clothes that he later hates, he realizes that his relationship with Stephanie is moving too fast for him. He repeatedly tries to tell Stephanie to move out, but each time she diverts him by initiating sex. Meanwhile, Stephanie gives Sheldon a physical examination when he complains about his tinnitus. After Sheldon sneaks into the hospital to test himself, Stephanie diagnoses Sheldon with a fake larynx inflammation and instructs him not to speak at all, a procedure she calls a ""Sheldonectomy"". Title reference: Sheldon cannot understand why the third-floor neighbor, Mrs. Vartabedian, dislikes him."
2,28,11,"""The Bath Item Gift Hypothesis""",Mark Cendrowski,Story by : Bill Prady & Richard RosenstockTeleplay by : Stephen Engel & Eric Kaplan,"December 15, 2008",3T7361,11.42,"Leonard meets visiting researcher and fellow experimental physicist Dr. David Underhill. Though Leonard envies David for being handsome and a more successful physicist than himself, he jumps at David's offer to help him in his research. Things come to a halt when David meets Penny and the two start dating - though they quickly break up when Penny discovers nude photos of his wife on his phone. Leonard only learns this when he comes to Penny's apartment to yell at her about their own on-off relationship. When he realizes his mistake, he and Penny cuddle each other to comfort each other. Meanwhile, Sheldon worries about the approaching Christmas holidays and his indecision about what to buy for Penny, as he needs it to match the value of her gift to him. After deciding on a basket of bath items he discovers a large selection, so not knowing what Penny will get him, he buys the entire range to cover all contingencies. Penny's gift to Sheldon is a napkin both autographed and used by Leonard Nimoy. Sheldon, overwhelmed since he now possesses Nimoy's DNA and can grow his own Leonard Nimoy, gives Penny all the gift baskets and also a rare ""Sheldon"" hug. Title reference: The gift that Sheldon gives to Penny and part of a line from the episode."
2,29,12,"""The Killer Robot Instability""",Mark Cendrowski,Story by : Bill Prady & Richard RosenstockTeleplay by : Steven Molaro & Daley Haggar,"January 12, 2009",3T7362,11.81,"Howard designs a combat robot, M.O.N.T.E. (Mobile Omnidirectional Neutralization and Termination Eradicator) for the ""Southern California Robot Fighting League Round Robin Invitational"", which the guys plan to enter. When Penny arrives at the apartment, Howard begins to flirt with her but pushes it too far, and she furiously lashes out at him with some uncomfortable truths. Hurt and depressed, Howard returns home and remains in his room, refusing to leave the house. Leonard persuades Penny to go to Howard's house and apologize. Howard tells Penny about all his failed romances, and she consoles him by saying that he is a good guy at heart and he just tries too hard to get girls. He thereupon tries to kiss Penny, who intercepts him with a punch that breaks his nose. Howard is left happy, feeling he is halfway to ""pity sex"". Meanwhile, the guys' co-worker Barry Kripke, who is also entering the competition, challenges Sheldon and the guys to a one-on-one fight between their robots. Sheldon accepts, but Kripke's robot turns out to be far superior to M.O.N.T.E. and, with engineer Howard indisposed, Barry can easily win. Sheldon refuses to concede defeat, and M.O.N.T.E. is destroyed by Kripke's robot. Title reference: The killer robot created by the guys."
