Country Name,2018,2017,2016,2015,2014
Ireland,0.49%,0.34%,0.01%,-0.29%,0.18%
Iraq,0.37%,0.18%,0.56%,1.39%,2.24%
Latvia,2.53%,2.93%,0.14%,0.17%,0.62%
Thailand,1.06%,0.67%,0.19%,-0.90%,1.90%
Ethiopia,13.83%,10.68%,6.63%,9.57%,6.89%
Kuwait,0.54%,2.17%,3.20%,3.27%,2.91%
Bolivia,2.27%,2.82%,3.62%,4.06%,5.77%
India,3.95%,3.33%,4.95%,4.91%,6.65%
Norway,2.76%,1.88%,3.55%,2.17%,2.04%
Jordan,4.46%,3.32%,-0.78%,-0.88%,2.90%
Peru,1.32%,2.80%,3.59%,3.55%,3.25%
Poland,1.81%,2.08%,-0.66%,-0.87%,0.05%
Qatar,0.26%,0.39%,2.68%,1.81%,3.35%
Chad,4.27%,-1.54%,-0.79%,4.38%,1.68%
Seychelles,3.70%,2.86%,-1.02%,4.04%,1.39%
Mali,0.30%,1.76%,-1.80%,1.45%,0.88%
Nicaragua,4.95%,3.85%,3.52%,4.00%,6.04%
"Congo, Dem. Rep.",0.00%,0.00%,2.89%,0.74%,1.24%
Greece,0.63%,1.12%,-0.83%,-1.74%,-1.31%
China,2.07%,1.59%,2.00%,1.44%,1.92%
,,,,,
St. Lucia,1.94%,0.12%,-3.09%,-0.98%,3.52%
Mozambique,3.91%,15.11%,17.42%,3.55%,2.56%
Sierra Leone,16.03%,18.22%,10.88%,6.69%,4.65%
Yemen,0.00%,0.00%,0.00%,0.00%,8.10%
Japan,0.98%,0.47%,-0.12%,0.79%,2.76%
Lebanon,6.08%,4.32%,-0.78%,-3.75%,1.85%
Burkina Faso,1.96%,1.48%,0.44%,0.72%,-0.26%
Djibouti,0.15%,0.57%,2.74%,-0.85%,1.34%
Myanmar,6.87%,4.57%,6.93%,9.45%,4.95%
Uruguay,7.61%,6.22%,9.64%,8.67%,8.88%
Iran,18.01%,8.04%,7.25%,12.48%,16.61%
Eswatini,4.82%,6.22%,7.85%,4.95%,5.68%
St. Vincent And The Grenadines,2.32%,2.15%,-0.15%,-1.73%,0.19%
