title,author,description,genres,pages,rating
Surprised by Joy: The Shape of My Early Life,C.S. Lewis,"Surprised by Joy: The Shape of My Early Life is a partial autobiography describing Lewis' conversion to Christianity. The book overall contains less detail concerning specific events than typical autobiographies. This is because his purpose in writing wasn't primarily historical. His aim was to identify & describe the events surrounding his accidental discovery of & consequent search for the phenomenon he labelled ""Joy"". This word was the best translation he could make of the German idea of Sehnsucht, longing. That isn't to say the book is devoid of information about his life. He recounts his early years with a measure of amusement sometimes mixed with pain. However, while he does describe his life, the principal theme of the book is Joy as he defined it. This Joy was a longing so intense for something so good & so high up it couldn't be explained with words. He's struck with ""stabs of joy"" throughout life. He finally finds what it's for at the end. He writes about his experiences at Malvern College in 1913, aged 15. Though he described the school as ""a very furnace of impure loves"" he defended the practice as being ""the only chink left thru which something spontaneous & uncalculating could creep in."" The book's last two chapters cover the end of his search as he moves from atheism to theism & then from theism to Christianity. He ultimately discovers the true nature & purpose of Joy & its place in his own life. The book isn't connected with his unexpected marriage in later life to Joy Gresham. The marriage occurred long after the period described, though not long after the book was published. His friends were quick to notice the coincidence, remarking he'd really been ""Surprised by Joy"". ""Surprised by Joy"" is also an allusion to Wordsworth's poem, ""Surprised by Joy-Impatient As The Wind"", relating an incident when Wordsworth forgot the death of his beloved daughter.","{'Theology', 'Christian', 'Memoir', 'Religion', 'Christianity', 'Biography', 'Nonfiction'}","185 pages, Paperback",4.06
The Shack,William Paul Young,"Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his Great Sadness, Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend. Against his better judgment he arrives at the shack on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change Mack's world forever.In a world where religion seems to grow increasingly irrelevant The Shack wrestles with the timeless question, ""Where is God in a world so filled with unspeakable pain?"" The answers Mack gets will astound you and perhaps transform you as much as it did him. You'll want everyone you know to read this book!","{'Christian Fiction', 'Spirituality', 'Inspirational', 'Religion', 'Fiction', 'Faith', 'Christian'}","294 pages, Kindle Edition",3.81
The Abolition of Man,C.S. Lewis,"Alternative cover for ISBN: 978-0060652944The Abolition of Man, Lewis uses his graceful prose, delightful humor, and keen understanding of the human mind to challenge our notions about how to best teach our children--and ourselves--not merely reading and writing, but also a sense of morality.","{'Theology', 'Religion', 'Classics', 'Philosophy', 'Nonfiction', 'Christianity', 'Christian'}","113 pages, Paperback",4.10
The Holy Bible: King James Version,Anonymous,"An Award or Presentation Bible in the King James Version: ideal as a gift or to keep The full text of the Popular size King James or Authorized Version Bible, in a straightforward black imitation leather hardback binding.","{'Reference', 'Religion', 'Philosophy', 'Christianity', 'Nonfiction', 'History', 'Christian'}","1590 pages, Hardcover",4.43
"The Lion, the Witch and the Wardrobe",C.S. Lewis,"Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.","{'Childrens', 'Adventure', 'Middle Grade', 'Fantasy', 'Fiction', 'Classics', 'Young Adult'}","206 pages, Paperback",4.23
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"At one time Corrie ten Boom would have laughed at the idea that there would ever be a story to tell. For the first fifty years of her life nothing at all out of the ordinary had ever happened to her. She was an old-maid watchmaker living contentedly with her spinster sister and their elderly father in the tiny Dutch house over their shop. Their uneventful days, as regulated as their own watches, revolved around their abiding love for one another. However, with the Nazi invasion and occupation of Holland, a story did ensue. Corrie ten Boom and her family became leaders in the Dutch Underground, hiding Jewish people in their home in a specially built room and aiding their escape from the Nazis. For their help, all but Corrie found death in a concentration camp. The Hiding Place is their story.","{'Memoir', 'Classics', 'Nonfiction', 'Biography', 'History', 'Holocaust', 'Christian'}","242 pages, Mass Market Paperback",4.45
Knowing God,J.I. Packer,"For over 40 years, J. I. Packer's classic has been an important tool to help Christians around the world discover the wonder, the glory and the joy of knowing God. In 2006, Christianity Today voted this title one of the top 50 books that have shaped evangelicals. This edition is updated with Americanized language and spelling and a new preface by the author. Stemming from Packer's profound theological knowledge, Knowing God brings together two important facets of the Christian faith: 1. Knowing about God and 2. Knowing God through the context of a close relationship with the person of Jesus Christ. Written in an engaging and practical tone, this thought-provoking work seeks to transform and enrich the Christian understanding of God. Explaining both who God is and how we can relate to him, Packer divides his book into three sections: The first directs our attention to how and why we know God, the second to the attributes of God and the third to the benefits enjoyed by a those who know him intimately. This guide leads readers into a greater understanding of God while providing advice to gaining a closer relationship with him as a result.","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","286 pages, Paperback",4.31
The Imitation of Christ,Thomas à Kempis,"Only the Bible has been more influential as a source of Christian devotional reading than The Imitation of Christ. This meditation on the spiritual life has inspired readers from Thomas More and St. Ignatius Loyola to Thomas Merton and Pope John Paul I. Written by the Augustinian monk Thomas à Kempis between 1420 and 1427, it contains clear instructions for renouncing wordly vanities and locating eternal truths. No book has more explicitly and movingly described the Christian ideal:","{'Spirituality', 'Theology', 'Religion', 'Classics', 'Christianity', 'Nonfiction', 'Christian'}","242 pages, Paperback",4.20
The Weight of Glory,C.S. Lewis,"The classic Weight of Glory by C.S. Lewis, the most important Christian writer of the 20th century, contains nine sermons delivered by Lewis during World War Two. The nine addresses in Weight of Glory offer guidance, inspiration, and a compassionate apologetic for the Christian faith during a time of great doubt.","{'Theology', 'Christian', 'Religion', 'Classics', 'Christianity', 'Philosophy', 'Nonfiction'}","208 pages, Paperback",4.37
Radical: Taking Back Your Faith from the American Dream,David     Platt,"What is Jesus worth to you?It's easy for American Christians to forget how Jesus said his followers would actually live, what their new lifestyle would actually look like. They would, he said, leave behind security, money, convenience, even family for him. They would abandon everything for the gospel. They would take up their crosses daily...But who do you know who lives like that? Do you?In Radical , David Platt challenges you to consider with an open heart how we have manipulated the gospel to fit our cultural preferences. He shows what Jesus actually said about being his disciple--then invites you to believe and obey what you have heard. And he tells the dramatic story of what is happening as a ""successful"" suburban church decides to get serious about the gospel according to Jesus.Finally, he urges you to join in The Radical Experiment--a one-year journey in authentic discipleship that will transform how you live in a world that desperately needs the Good News Jesus came to bring.","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","230 pages, Paperback",4.18
The Prodigal God: Recovering the Heart of the Christian Faith,Timothy J. Keller,"Newsweek called renowned minister Timothy Keller ""a C. S. Lewis for the twenty-first century"" in a feature on his first book, The Reason for God. In that book, he offered a rational explanation of why we should believe in God. Now, in The Prodigal God, he uses one of the best-known Christian parables to reveal an unexpected message of hope and salvation.Taking his trademark intellectual approach to understanding Christianity, Keller uncovers the essential message of Jesus, locked inside his most familiar parable. Within that parable Jesus reveals God's prodigal grace toward both the irreligious and the moralistic. This book will challenge both the devout and skeptics to see Christianity in a whole new way.Look out for Timothy Keller's latest book, The Songs of Jesus, coming from Viking on November 10, 2015.","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","139 pages, Hardcover",4.41
The Practice of the Presence of God,Brother Lawrence,"Alternative cover edition of ISBN 0883681056 can be found hereBrother Lawrence was a man of humble beginnings who discovered the greatest secret of living in the kingdom of God here on earth. It is the art of “practicing the presence of God in one single act that does not end.” He often stated that it is God who paints Himself in the depths of our souls. We must merely open our hearts to receive Him and His loving presence. As a humble cook, Brother Lawrence learned an important lesson through each daily chore: The time he spent in communion with the Lord should be the same, whether he was bustling around in the kitchen—with several people asking questions at the same time—or on his knees in prayer. He learned to cultivate the deep presence of God so thoroughly in his own heart that he was able to joyfully exclaim, “I am doing now what I will do for all eternity. I am blessing God, praising Him, adoring Him, and loving Him with all my heart.” This unparalleled classic has given both blessing and instruction to those who can be content with nothing less than knowing God in all His majesty and feeling His loving presence throughout each simple day.","{'Spirituality', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","95 pages, Paperback",4.31
Desiring God: Meditations of a Christian Hedonist,John      Piper,"Scripture reveals that the great business of life is to glorify God by enjoying Him forever. In this paradigm-shattering classic, newly revised and expanded, John Piper reveals that the debate between duty and delight doesn't truly Delight is our duty. Readers will embark on a dramatically different and joyful experience of their faithThe pursuit of pleasure is not optional. It is essential.Scripture reveals that the great business of life is to glorify God by enjoying Him forever. In this paradigm-shattering work, John Piper reveals that the debate between duty and delight doesn’t truly Delight is our duty. Join him as he unveils stunning, life-impacting truths you saw in the Bible but never dared to believe.","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","369 pages, Paperback",4.16
Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,"God designed men to be dangerous, says John Eldredge. Simply look at the dreams and desires written in the heart of every boy: To be a hero, to be a warrior, to live a life of adventure and risk. Sadly, most men abandon those dreams and desires-aided by a Christianity that feels like nothing more than pressure to be a ""nice guy."" It is no wonder that many men avoid church, and those who go are often passive and bored to death. In this provocative book, Eldredge gives women a look inside the true heart of a man and gives men permission to be what God designed them to be-dangerous, passionate, alive, and free!","{'Christian Living', 'Spirituality', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","236 pages, Kindle Edition",3.93
Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,"From the internationally bestselling author of No god but God comes a fascinating, provocative, and meticulously researched biography that challenges long-held assumptions about the man we know as Jesus of Nazareth. Two thousand years ago, an itinerant Jewish preacher and miracle worker walked across the Galilee, gathering followers to establish what he called the “Kingdom of God.” The revolutionary movement he launched was so threatening to the established order that he was captured, tortured, and executed as a state criminal. Within decades after his shameful death, his followers would call him God. Sifting through centuries of mythmaking, Reza Aslan sheds new light on one of history’s most influential and enigmatic characters by examining Jesus through the lens of the tumultuous era in which he lived: first-century Palestine, an age awash in apocalyptic fervor. Scores of Jewish prophets, preachers, and would-be messiahs wandered through the Holy Land, bearing messages from God. This was the age of zealotry—a fervent nationalism that made resistance to the Roman occupation a sacred duty incumbent on all Jews. And few figures better exemplified this principle than the charismatic Galilean who defied both the imperial authorities and their allies in the Jewish religious hierarchy. Balancing the Jesus of the Gospels against the historical sources, Aslan describes a man full of conviction and passion, yet rife with contradiction; a man of peace who exhorted his followers to arm themselves with swords; an exorcist and faith healer who urged his disciples to keep his identity a secret; and ultimately the seditious “King of the Jews” whose promise of liberation from Rome went unfulfilled in his brief lifetime. Aslan explores the reasons why the early Christian church preferred to promulgate an image of Jesus as a peaceful spiritual teacher rather than a politically conscious revolutionary. And he grapples with the riddle of how Jesus understood himself, the mystery that is at the heart of all subsequent claims about his divinity. Zealot yields a fresh perspective on one of the greatest stories ever told even as it affirms the radical and transformative nature of Jesus of Nazareth’s life and mission. The result is a thought-provoking, elegantly written biography with the pulse of a fast-paced novel: a singularly brilliant portrait of a man, a time, and the birth of a religion.","{'Audiobook', 'Spirituality', 'Religion', 'Christianity', 'Biography', 'History', 'Nonfiction'}","296 pages, Hardcover",3.85
The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy J. Keller,"Renowned pastor of New York’s Redeemer Presbyterian Church and author of The Songs of Jesus, Timothy Keller with his wife of 36 years, delivers The Meaning of Marriage, an extraordinarily insightful look at the keys to happiness in marriage that will inspire Christians, skeptics, singles, long-time married couples, and those about to be engaged.Modern culture would make you believe that everyone has a soul-mate; that romance is the most important part of a successful marriage; that your spouse is there to help you realize your potential; that marriage does not mean forever, but merely for now; that starting over after a divorce is the best solution to seemingly intractable marriage issues. All those modern-day assumptions are, in a word, wrong.Using the Bible as his guide, coupled with insightful commentary from his wife of thirty-six years, Kathy, Timothy Keller shows that God created marriage to bring us closer to him and to bring us more joy in our lives. It is a glorious relationship that is also the most misunderstood and mysterious. With a clear-eyed understanding of the Bible, and meaningful instruction on how to have a successful marriage, The Meaning of Marriage is essential reading for anyone who wants to know God and love more deeply in this life.","{'Relationships', 'Theology', 'Marriage', 'Christian', 'Christianity', 'Faith', 'Nonfiction'}","288 pages, Hardcover",4.48
Forgotten God: Reversing Our Tragic Neglect of the Holy Spirit,Francis Chan,"A follow up to the profound message of Crazy Love , Pastor Francis Chan offers a compelling invitation to understand, embrace, and follow the Holy Spirit’s direction in our lives. In the name of the Father, the Son, and … the Holy Spirit. We pray in the name of all three, but how often do we live with an awareness of only the first two? As Jesus ascended into heaven, He promised to send the Holy Spirit—the Helper—so that we could be true and living witnesses for Christ. Unfortunately, today’s church has admired the gift but neglected to open it. Breakthrough author Francis Chan rips away paper and bows to get at the true source of the church’s power—the Holy Spirit. Chan contends that we’ve ignored the Spirit for far too long, and we are reaping the disastrous results. Thorough scriptural support and compelling narrative form Chan’s invitation to stop and remember the One we’ve forgotten, the Spirit of the living God.","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","167 pages, Paperback",4.12
Life Together: The Classic Exploration of Christian Community,Dietrich Bonhoeffer,"After his martyrdom at the hands of the Gestapo in 1945, Dietrich Bonhoeffer continued his witness in the hearts of Christians around the world. His Letters and Papers from Prison became a prized testimony to Christian faith and courage, read by thousands. Now in Life Together we have Pastor Bonheoffer's experience of Christian community. This story of a unique fellowship in an underground seminary during the Nazi years reads like one of Paul's letters. It gives practical advice on how life together in Christ can be sustained in families and groups. The role of personal prayer, worship in common, everyday work, and Christian service is treated in simple, almost biblical, words. Life Together is bread for all who are hungry for the real life of Christian fellowship. 'When I think of Dietrich Bonhoeffer, some words Gorky used of Tolstoy come into my mind---'Look what a wonderful man is living on the earth.''---MALCOM MUGGERIDGE, author of Jesus","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","122 pages, Paperback",4.26
My Utmost for His Highest,Oswald Chambers,"For nearly seventy-five years, countless millions of Christians the world over have trusted the spiritual companionship of Oswald Chambers’s daily devotional, My Utmost for His Highest. These brief scripture-based readings—by turns comforting and challenging—will draw you into God’s presence and form you as a disciple of the Risen Lord. You’ll treasure their insight, still fresh and vital. And you’ll discover what it means to offer God your very best for His greatest purpose—to truly offer Him your utmost for His highest. This edition includes Chambers’s text, updated by editor James Reimann, along with helpful subject and scripture indexes.","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","400 pages, Paperback",4.38
Celebration of Discipline: The Path to Spiritual Growth,Richard J. Foster,"Hailed by many as the best modern book on Christian spirituality, Celebration of Discipline has helped more than one million seekers discover a richer spiritual life infused with joy, peace, and a deeper understanding of God. Celebration of Discipline explores the 'classic disciplines,' or central spiritual practices, of the Christian faith. Along the way, Foster shows that it is only by and through these practices that the true path to spiritual growth can be found. Dividing the disciplines into three movements of the Spirit, Foster shows how each of these areas contribute to a more balanced spiritual life. The inward disciplines of meditation, prayer, fasting, and study offer avenues of personal examination and change. The outward disciplines of simplicity, solitude, submission, and service help prepare us to make the world a better place. The corporate disciplines of confession, worship, guidance, and celebration bring us nearer to one another and to God. Foster provides a wealth of examples demonstrating how these disciplines can become part of our daily activities--and how they can help us shed our superficial habits and 'bring the abundance of God into our lives.' He offers crucial new insights on simplicity, demonstrating how the biblical view of simplicity, properly understood and applied, brings joy and balance to our inward and outward lives and 'sets us free to enjoy the provision of God as a gift that can be shared with others.' The discussion of celebration, often the most neglected of the disciplines, shows its critical importance, for it stands at the heart of the way to Christ. Celebration of discipline will help motivate Christians everywhere to embark on a journey of prayer and spiritual growth.","{'Christian Living', 'Spirituality', 'Theology', 'Christian', 'Christianity', 'Faith', 'Nonfiction'}","227 pages, Hardcover",4.19
"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas,"As Adolf Hitler and the Nazis seduced a nation, bullied a continent, and attempted to exterminate the Jews of Europe, a small number of dissidents and saboteurs worked to dismantle the Third Reich from the inside. One of these was Dietrich Bonhoeffer--a pastor and author, known as much for such spiritual classics as ""The Cost of Discipleship ""and ""Life Together,"" as for his 1945 execution in a concentration camp for his part in the plot to assassinate Adolf Hitler.In the first major biography of Bonhoeffer in forty years, ""New York Times"" best-selling author Eric Metaxas takes both strands of Bonhoeffer's life―the theologian and the spy―to tell a searing story of incredible moral courage in the face of monstrous evil. In a deeply moving narrative, Metaxas uses previously unavailable documents―including personal letters, detailed journal entries, and firsthand personal accounts―to reveal dimensions of Bonhoeffer's life and theology never before seen.In ""Bonhoeffer: Pastor, Martyr, Prophet, Spy""―""A Righteous Gentile vs the Third Reich,"" Metaxas presents the fullest accounting of Bonhoeffer's heart-wrenching 1939 decision to leave the safe haven of America for Hitler's Germany, and using extended excerpts from love letters and coded messages written to and from Bonhoeffer's Cell 92, Metaxas tells for the first time the full story of Bonhoeffer's passionate and tragic romance.Readers will discover fresh insights and revelations about his life-changing months at the Abyssinian Baptist Church in Harlem and about his radical position on why Christians are obliged to stand up for the Jews. Metaxas also sheds new light on Bonhoeffer's reaction to Kristallnacht, his involvement in the famous Valkyrie plot and in ""Operation 7,"" the effort to smuggle Jews into neutral Switzerland.""Bonhoeffer"" gives witness to one man's extraordinary faith and to the tortured fate of the nation he sought to deliver from the curse of Nazism. It brings the reader face to face with a man determined to do the will of God radically, courageously, and joyfully―even to the point of death. ""Bonhoeffer"" is the story of a life framed by a passion for truth and a commitment to justice on behalf of those who face implacable evil.","{'Theology', 'Religion', 'Nonfiction', 'Christianity', 'Biography', 'History', 'Christian'}","608 pages, Hardcover",4.21
What's So Amazing About Grace?,Philip Yancey,"Original Cover Edition for ISBN 0310245656In 1987, an IRA bomb buried Gordon Wilson and his twenty-year-old daughter beneath five feet of rubble. Gordon alone survived. And forgave. He said of the bombers, ' I have lost my daughter, but I bear no grudge . . . I shall pray, tonight and every night, that God will forgive them.' His words caught the media's ears  and out of one man's grief, the world got a glimpse of grace. Grace is the church's great distinctive. It's the one thing the world cannot duplicate, and the one thing it craves above all else  for only grace can bring hope and transformation to a jaded world. In What's So Amazing About Grace? award-winning author Philip Yancey explores grace at street level. If grace is God's love for the undeserving, he asks, then what does it look like in action? And if Christians are its sole dispensers, then how are we doing at lavishing grace on a world that knows far more of cruelty and unforgiveness than it does of mercy? Yancey sets grace in the midst of life's stark images, tests its mettle against horrific 'ungrace.' Can grace survive in the midst of such atrocities as the Nazi holocaust? Can it triumph over the brutality of the Ku Klux Klan? Should any grace at all be shown to the likes of Jeffrey Dahmer, who killed and cannibalized seventeen young men? Grace does not excuse sin, says Yancey, but it treasures the sinner. True grace is shocking, scandalous. It shakes our conventions with its insistence on getting close to sinners and touching them with mercy and hope. It forgives the unfaithful spouse, the racist, the child abuser. It loves today's AIDS-ridden addict as much as the tax collector of Jesus' day. In his most personal and provocative book ever, Yancey offers compelling, true portraits of grace's life-changing power. He searches for its presence in his own life and in the church. He asks, How can Christians contend graciously with moral issues that threaten all they hold dear? And he challenges us to become living answers to a world that desperately wants to know, What's So Amazing About Grace?","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","300 pages, Paperback",4.18
"Seeking Allah, Finding Jesus: A Devout Muslim Encounters Christianity",Nabeel Qureshi,"An Unexpected Journey from Islam to Christianity In Seeking Allah, Finding Jesus, Nabeel Qureshi describes his dramatic journey from Islam to Christianity, complete with friendships, investigations, and supernatural dreams along the way. Providing an intimate window into a loving Muslim home, Qureshi shares how he developed a passion for Islam before discovering, almost against his will, evidence that Jesus rose from the dead and claimed to be God. Unable to deny the arguments but not wanting to deny his family, Qureshi's inner turmoil will challenge Christians and Muslims alike. Engaging and thought-provoking, Seeking Allah, Finding Jesus tells a powerful story of the clash between Islam and Christianity in one man's heart---and of the peace he eventually found in Jesus.","{'Christian', 'Religion', 'Christianity', 'Islam', 'Biography', 'Faith', 'Nonfiction'}","304 pages, Paperback",4.55
