Book,Num_Ratings,Genres
"Eat, Pray, Love","1,679,022","['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Romance', 'Chick Lit', 'Spirituality']"
"Interview with the Vampire (The Vampire Chronicles, #1)","558,083","['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Classics', 'Gothic']"
The Canterbury Tales,"213,591","['Classics', 'Fiction', 'Poetry', 'Literature', 'School', 'Medieval', 'Short Stories']"
On the Road,"392,511","['Classics', 'Fiction', 'Travel', 'Literature', 'Novels', 'American', 'Adventure']"
The Art of War,"444,197","['Classics', 'Nonfiction', 'Philosophy', 'History', 'War', 'Politics', 'Business']"
Aesop's Fables,"123,172","['Classics', 'Fiction', 'Short Stories', 'Childrens', 'Fantasy', 'Literature', 'Mythology']"
The Screwtape Letters,"412,586","['Fiction', 'Christian', 'Classics', 'Religion', 'Christianity', 'Fantasy', 'Theology']"
Fight Club,"562,202","['Fiction', 'Classics', 'Contemporary', 'Thriller', 'Novels', 'Mystery', 'Adult']"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"127,381","['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']"
Dr. Jekyll and Mr. Hyde,"524,523","['Classics', 'Horror', 'Fiction', 'Science Fiction', 'Mystery', 'Gothic', 'Fantasy']"
Gulliver's Travels: Travels into Several Remote Nations of the World.,"263,452","['Classics', 'Fiction', 'Fantasy', 'Adventure', 'Literature', 'Novels', '18th Century']"
"The Godfather (The Godfather, #1)","397,516","['Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels']"
Robinson Crusoe,"291,140","['Classics', 'Fiction', 'Adventure', 'Literature', 'Historical Fiction', 'Novels', '18th Century']"
Walden,"181,278","['Classics', 'Philosophy', 'Nonfiction', 'Nature', 'Memoir', 'Literature', 'Biography']"
The Origin of Species,"110,730","['Science', 'Nonfiction', 'Classics', 'Biology', 'Evolution', 'Philosophy', 'History']"
Invisible Man,"179,610","['Classics', 'Fiction', 'Literature', 'Race', 'Historical Fiction', 'African American', 'Novels']"
Emma,"823,278","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Prince,"315,451","['Classics', 'Philosophy', 'Nonfiction', 'Politics', 'History', 'Literature', 'Political Science']"
Sophie's World,"246,309","['Philosophy', 'Fiction', 'Classics', 'Young Adult', 'Novels', 'Fantasy', 'Literature']"
The Complete Grimm's Fairy Tales,"153,282","['Classics', 'Fantasy', 'Fiction', 'Fairy Tales', 'Short Stories', 'Childrens', 'Literature']"
The Trial,"294,038","['Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia']"
The Time Machine,"492,030","['Classics', 'Science Fiction', 'Fiction', 'Time Travel', 'Fantasy', 'Dystopia', 'Literature']"
"Watchmen (Watchmen, #1-12)","537,909","['Graphic Novels', 'Comics', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Comic Book']"
Roots: The Saga of an American Family,"157,178","['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'African American', 'Africa', 'Race']"
Candide,"263,371","['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Humor', 'French Literature']"
