country,code,region,political_regime
Trinidad and Tobago,TTO,North America,Electoral democracy
Jamaica,JAM,North America,Electoral democracy
Argentina,ARG,South America,Electoral democracy
Peru,PER,South America,Electoral democracy
Kuwait,KWT,Asia,Electoral autocracy
Armenia,ARM,Asia,Electoral democracy
Bahrain,BHR,Asia,Closed autocracy
Indonesia,IDN,Asia,Electoral democracy
Thailand,THA,Asia,Electoral autocracy
Albania,ALB,Europe,Electoral democracy
Brazil,BRA,South America,Electoral democracy
Oman,OMN,Asia,Closed autocracy
Dominican Republic,DOM,North America,Electoral democracy
Kazakhstan,KAZ,Asia,Electoral autocracy
Moldova,MDA,Europe,Electoral democracy
Mexico,MEX,North America,Electoral democracy
Bosnia and Herzegovina,BIH,Europe,Electoral democracy
Vietnam,VNM,Asia,Closed autocracy
Ukraine,UKR,Europe,Electoral autocracy
South Africa,ZAF,Africa,Electoral democracy
Paraguay,PRY,South America,Electoral democracy
Russia,RUS,Europe,Electoral autocracy
Belarus,BLR,Europe,Electoral autocracy
Saudi Arabia,SAU,Asia,Closed autocracy
Colombia,COL,South America,Electoral democracy
Suriname,SUR,South America,Liberal democracy
Botswana,BWA,Africa,Electoral democracy
Philippines,PHL,Asia,Electoral autocracy
Ecuador,ECU,South America,Electoral democracy
Jordan,JOR,Asia,Closed autocracy
Mongolia,MNG,Asia,Electoral democracy
Guyana,GUY,South America,Electoral democracy
Namibia,NAM,Africa,Electoral democracy
Sri Lanka,LKA,Asia,Electoral democracy
Azerbaijan,AZE,Asia,Electoral autocracy
Kyrgyzstan,KGZ,Asia,Electoral autocracy
Turkey,TUR,Asia,Electoral autocracy
Morocco,MAR,Africa,Closed autocracy
El Salvador,SLV,North America,Electoral autocracy
Ghana,GHA,Africa,Electoral democracy
Tunisia,TUN,Africa,Electoral autocracy
Uzbekistan,UZB,Asia,Closed autocracy
Guatemala,GTM,North America,Electoral democracy
Senegal,SEN,Africa,Electoral democracy
India,IND,Asia,Electoral autocracy
Cuba,CUB,North America,Closed autocracy
Honduras,HND,North America,Electoral democracy
Bolivia,BOL,South America,Electoral democracy
Turkmenistan,TKM,Asia,Closed autocracy
Kenya,KEN,Africa,Electoral democracy
Algeria,DZA,Africa,Electoral autocracy
Nepal,NPL,Asia,Electoral democracy
Rwanda,RWA,Africa,Electoral autocracy
Lebanon,LBN,Asia,Electoral autocracy
Tajikistan,TJK,Asia,Electoral autocracy
Nicaragua,NIC,North America,Electoral autocracy
Laos,LAO,Asia,Closed autocracy
Tanzania,TZA,Africa,Electoral autocracy
Cambodia,KHM,Asia,Electoral autocracy
Gabon,GAB,Africa,Closed autocracy
Egypt,EGY,Africa,Electoral autocracy
Djibouti,DJI,Africa,Electoral autocracy
Benin,BEN,Africa,Electoral autocracy
Bangladesh,BGD,Asia,Electoral autocracy
Malawi,MWI,Africa,Electoral democracy
Iran,IRN,Asia,Closed autocracy
Zambia,ZMB,Africa,Electoral democracy
Comoros,COM,Africa,Electoral autocracy
Uganda,UGA,Africa,Electoral autocracy
Papua New Guinea,PNG,Oceania,Electoral autocracy
Equatorial Guinea,GNQ,Africa,Electoral autocracy
Lesotho,LSO,Africa,Electoral democracy
Togo,TGO,Africa,Electoral autocracy
Eswatini,SWZ,Africa,Closed autocracy
Burkina Faso,BFA,Africa,Closed autocracy
Pakistan,PAK,Asia,Electoral autocracy
Madagascar,MDG,Africa,Electoral autocracy
Liberia,LBR,Africa,Electoral democracy
Zimbabwe,ZWE,Africa,Electoral autocracy
Iraq,IRQ,Asia,Electoral autocracy
Guinea,GIN,Africa,Closed autocracy
Nigeria,NGA,Africa,Electoral autocracy
Myanmar,MMR,Asia,Closed autocracy
Sierra Leone,SLE,Africa,Electoral autocracy
Venezuela,VEN,South America,Electoral autocracy
Libya,LBY,Africa,Closed autocracy
Cameroon,CMR,Africa,Electoral autocracy
Congo,COG,Africa,Electoral autocracy
Mozambique,MOZ,Africa,Electoral autocracy
Mali,MLI,Africa,Closed autocracy
Niger,NER,Africa,Closed autocracy
Ethiopia,ETH,Africa,Electoral autocracy
Mauritania,MRT,Africa,Electoral autocracy
Angola,AGO,Africa,Electoral autocracy
Haiti,HTI,North America,Closed autocracy
Burundi,BDI,Africa,Electoral autocracy
Sudan,SDN,Africa,Closed autocracy
Syria,SYR,Asia,Closed autocracy
Eritrea,ERI,Africa,Closed autocracy
Chad,TCD,Africa,Closed autocracy
Somalia,SOM,Africa,Closed autocracy
Afghanistan,AFG,Asia,Closed autocracy
Central African Republic,CAF,Africa,Electoral autocracy
Yemen,YEM,Asia,Closed autocracy
South Sudan,SSD,Africa,Closed autocracy
