review,rating
"The sign was a gift - my friend really seems to love it.  Would have been 5 stars if it were just the sign alone.  The customer service is less than friendly and shipping time is not accurate - much longer than expected and because it was a gift, the tardiness became an issue.",3
The seller was very helpful and polite before the transaction and the knobs look GREAT!!!  Just got them yesterday and everyone loved them.  Even my cabinet builder was impressed.  Thank you!,5
Absolutely love it. Or was exactly as pictured,5
Too cute!,5
I think I ordered the wrong thing from the wrong vendor.  I thought I was getting a custom mat.  What I got was a custom piece of paper between to laminate sheets that are not completely sealed.  Big disappointment.,2
"So cute! Bought for in laws and everyone comments on how cute it is! Well made and adorable! Arrived quickly, even in the Christmas rush!",5
Very nice rustic sign. Exactly what we were looking for!,5
Sorry didn't realize it was a print on top of wood. I thought it would be stained w painted lettering. Not useable at our Venue. It looks too fake,1
"Bought those signs for a second time, just perfect!",5
"Very nice, but only ""HE IS RISEN"" is easily readable. However it is nice enough that I will purchase again! My purpose in purchasing it was to make it my control joystick tip on my electric wheelchair. Works great !!!!!!!",5
"I bought this for my parents for Christmas for my kids to give to them 
, it's hard to find things with mimi and pop pop on them spelled exactly like that  cause most people have papa or pop on there items and my dad likes it spelled pop pop so I was excited went I found this! It was made very well too !",5
Good looking sign. It arrived well packaged. Thank you.,5
Terrible customer service.  Order placed 2/9 and sign received 2/27.  A free knob and 10 % discount on next order doesn't compensate for this.  I will never order again.,1
Well packed and as described. Thank you.,5
just as described very nice thanks,5
just as described very nice thanks,5
just as described very nice thanks,5
just as described very nice thanks,5
Super cute and packaged nicely!,4
"Drawer pull is beautiful, nicely made. This one came out just a bit paler than in the picture, which is *perfect* for my application. Love it.",5
"Beautiful! Just as pictured, and nicely made.",5
This is the 2nd cat mat I've ordered.  Love both of them.  Shipped on time and shop is very easy to work with.,5
I really like these placemats. Having them laminated is a great idea. Thank you!,5
"Communication. I purchased this just shy of a month in advance and yes, I understand things can go wrong but then it should be shipped with different shipping to ensure it is on time. I did contact the seller and I was responded to with an automated general message. Completely unprofessional and disrespectful to their customers.",3
Just as described.  Cute sign.,5
I had two missing knobs on my dresser. These work beautifully. Thank you,5
I purchased this for a friend as a housewarming/Christmas gift.  She loves it!,4
I love the sign it was a little smaller than I expected but overall it was beautiful.,5
My grandparents loved it!!,5
Ordered and paid jan 18th got it feb 6th. The string is very thin not like what is pictured,3
This sign turned out great! Shipped quickly and arrived in perfect condition.,5
"These are lovely knobs, and definitely add a vintage appeal to the cabinets.",5
Prompt arrival and so cute,5
Prompt arrival and so cute,5
Excellent mat for my black cat's food dish. The laminate is nice and thick and the quality on the image itself is great. Exactly what I was looking for. :),5
"Excellent seller, excellent items, will be doing more purchases in the future.",5
Made this for my aunty and uncle and when they received it I  was told my aunty was so happy she cried.,5
"This sign was perfect for my childs room! He loves science so this sign was a hit! Well made, just as pictured!",5
Sign itself was great. My in laws love it.  Took way too long to ship. Gave me a ship by date and it was incorrect. Wasn’t impressed by that.,4
Didn’t ship when said. The mat is very small. Not worth the money.,2
"I ordered signs on January 6th. I sent an email on January 14th because my items had not shipped yet. I received a response on January 15th it was  a general generated response that didn’t answer my question. I emailed them again on the 21st.  It is January 29th and I still have not received my items. It shows they still have not been shipped. If it was for me I could  be more flexible, but these are gifts that will not be on time. The shipping is unnecessary long.  I should have read the reviews from other customers in reference to shipping. I’m quite frustrated at this point.",1
"I ordered signs on January 6th. I sent an email on January 14th because my items had not shipped yet. I received a response on January 15th it was  a general generated response that didn’t answer my question. I emailed them again on the 21st.  It is January 29th and I still have not received my items. It shows they still have not been shipped. If it was for me I could  be more flexible, but these are gifts that will not be on time. The shipping is unnecessary long.  I should have read the reviews from other customers in reference to shipping. I’m quite frustrated at this point.",1
My 3 year old grandson loves seeing his name on his bedroom door. It is darling and was very fast delivery. I would've given 5 stars except that I wish the wood was just a little more thick with finished edges.,4
Great sale and seller! Matches my set perfectly.,5
"My mom and dad loves their sign we have them as a Christmas gift, wonderful quality and work and fast shipping. Very pleased!",5
We are absolutely satisfied with the service we received and the item purchased,5
I live in  a retirement center where the kitchens have white walls and appliances so  I have added colorful tiles and pictures.  Your wooden sign is the perfect addition.  Thanks so much.  Carol,5
I had asked the shop to the sign say “fortunate accident” and they had agreed but upon arrival sign still read “happy accident”,1
Paid for rush delivery and received a day late :(,3
"We ordered this for our daughter's grand parents they LOVED IT!!!
It's beautiful and very well made!!  ORDERING MORE SOON..
I DEFINITELY RECOMMEND THEIR PRODUCTS. thank you WOODLANDCREW",5
My items both came broken and I immediately contacted the shop on which they still have not contacted me back on what to do a week later after multiple emails! Their customer service from the get go was horrendous I should have steered clear from them but unfortunately did not ...learn through me and stay away from them!! ABSOLUTELY HORRIBLE CUSTOMER SERVICE!!!!!! I will chalk it up to a loss but will not recommend them to anyone and obviously will NEVER purchase from them again!!!,1
"The knobs are absolutely stunning!! 
The craftsmanship is beyond beautiful!! We are remodeling or we would put a pic in the review!! 

You sent 3 free ones!! Thank you!!
Be blessed! 
Dan and Jamie",5
"i love this sign so much!  it really is perfect.  thank u so much, love the quality of the item!!!   good packaging too and also great communication.  thank u!!",5
My items both came broken and I immediately contacted the shop on which they still have not contacted me back on what to do a week later after multiple emails! Their customer service from the get go was horrendous I should have steered clear from them but unfortunately did not ...learn through me and stay away from them!! ABSOLUTELY HORRIBLE CUSTOMER SERVICE!!!!!! I will chalk it up to a loss but will not recommend them to anyone and obviously will NEVER purchase from them again!!!,1
"Awful customer service. Waited until after product was supposed to be shipped to ask about shipping and received automated responses. Told them I was going to open a case, my email was immediately blocked. Only received item after opening a case. Had to replace the string it came on as it was all frayed and looked disgusting.",1
"Cute design, looks nice under my cat's food dish :)",5
"super cute sign, quick shipping!",5
"So cute!! I love them. Oh yes, I'll be back.",5
"I love it and my kids too, thank you so much",5
Perfect and super cute,5
Nice and big! Letters are a bit pixelated and the string is very thin but it'll do the job!,4
"Perfect gift for my friend who loves zombies and coffee! 
Packaged really well (could easily withstand apocalypse).",5
Lovely item. Shipping took quite awhile though.,4
My parents love this sign. My mom hung it up right away - Christmas wasn’t even over yet and it was hanging. Thanks for quick shipping and a great product.,5
"The sign is beautiful but I’m frustrated with the shop. I ordered this sign with 5-7 day shipping. It was supposed to arrive December 27th, in time to give it to my parents. I waited and waited and finally contacted the shop in which they told me they were behind on orders so it would take a little longer. I finally received the sign on January 10. What upsets me is they didn’t even bother to let me know what was going on until I contacted them. the people I was giving this too are now back home and I have to spend money shipping it to them. The shop offered a 10% discount.. really?? Won’t be ordering again.",2
My order was late and incorrect. But they reshipped the correct product.,2
My order was Late and incorrect. But they reshipped correct order.,3
It was a perfect gift for my sister in law. She lived it.,4
It’s exactly what I ordered and I do love it. Shipping took way longer than expected. I ordered an item “ready to ship” Dec 10th but didn’t receive until almost a month later.  Just make sure you give plenty of time for shipment.,4
This setting is absolutely amazing! They are so helpful and will customize things just how you want them. They will make everything perfect. I recommend them 100%,5
Such a cute gift for my parents from their grandkids!,5
Very nicely made. Grandparents really loved it. Thank you.,5
This sign was exactly what I expected and I love it! It was a gift for Christmas and was late on shipping but the shop did communicate the delay and I do understand it was Christmas time. Wonderful product and I would absolutely order again! Thank you!,5
"I should have received my item by now, but it hasn't even been shipped. The seller has been contacted twice and my item hasn't shipped, despite having a 7-9 business day shipping time. I ordered this item several weeks ago as a Christmas present. Despite the quality of the item(when I finally receive it) I will not be purchasing anything else from this seller.",1
Terrible service. Will never buy again because of how slow they are.,1
"My son loved his sign and its hanging on his door.  Beautiful,  high quality item.  Thank you!",5
Great quality and exactly as described.,5
Exactly as pictured and helping to prevent unwanted trash in the recycling!,5
Said it would be shipped on December 24th. Now December 30th and still has not been shipped and hasn’t gotten back to me about my order,1
"Christmas gift for my nephew, he loved it so 5 stars!!! Beauty shipping took way longer. Didn't get here by Christmas.",5
It was perfect! Exactly what I asked for,5
"It made a perfect
Gift",5
My parents love it. I even made  changes to my order and  they responded  rather quickly and it arrived perfectly. My mom even cries when she opened it on Christmas,5
My son absolutely loved the sign! Beyond happy with it!,5
Well I would love to review this product but I don’t have it yet. I paid expedited shipping to have it by Christmas and this company didn’t ship it as promised. I then asked twice to have my shipping refunded and was ignored both times. This is the first time I have ever had an issue with a seller on Etsy. So bummed that my in-laws didn’t get their Christmas gift in time.,1
It made my parents cry. What a beautiful sign!!,5
Exactly as pictured and shipped on time. Very happy!,5
Excellent service and fast delivery.  Would definitely recommend and buy again from this seller!,5
It's beautiful! Came quickly and great quality!!!,5
"So very cute and exactly as shown in image. Seller was very quick to respond when I had a question and shipped very quickly. 

Would purchase from again.",5
This is perfect for my son's STEAM teacher. Customer service was wonderful - they worked with me to ensure it arrived in time for the holidays.,5
Looks exactly like the photo,5
Nice quality and arrived quickly. My parents are going to love it. Thanks!,5
This is the best gift for a loved Grandma and Grandpa!!! Excellent price & quality. Thank you!,5
My item shipped on time. I am very satisfied with order.,5
I know my grandson will love this!,5
Great quality. Perfect gift.,5
Thank you so much! Quick Shipping! My parents are going to love this sign for there Christmas gift. There first grandchild will be born a few days after Christmas The sign is very nice and the perfect length!,5
"I like it, but it took over two weeks to receive, so I arrived past the date I needed it for.",4
great Job just what I expected,5
"Beautiful sign! Purchased as a gift, and the recipient was thrilled. My order was quickly processed and delivered. I would definitely order from this shop again!",5
The sign looks great! Can’t wait to give it to my parents for Christmas!,5
It’s perfect! Very very cute!! Thanks!,5
"Absolutely perfect! I had to request a custom order and did pay for the rush, still arrived faster than expected and exactly what I wanted! The small extra cost for the custom work and rush order was 100% worth it. Thanks for the great gift!",5
"Extremely disappointed with this company. Horrible customer service. I ordered this item and 5 minutes later I tried to cancel it- they refused to let me do so. I ordered a sign that said “Gigi and pops house” and unfortunately our pops had passed away 1 month ago, and I wanted to only get a sign that only said GiGis house. I explained this to the owner and she told me that there was no way to refund me or at least let me exchange even tho the sign didn’t ship till 4 days later. All I was asking was for a different item- they were still going to get my money...

I begged and pleaded with them, but got absolutely no where. 
Do not order from here. I’ve never had a worse experience on Etsy.",1
"Very cute sign, great Christmas present!",5
"Got the package alot sooner than I thought, Very cute sign!",5
"The order I placed with Woodland Crew was received yesterday and it’s just GREAT!  It reflects such terrific craftsmanship in addition to excellent customer service and they turned out this Order perfectly, in just a week’s time.  I am extremely pleased.  The sign is a Christmas gift for my Grandson who has a new clubhouse and this creation will be a big hit.  I rate Woodland Crew an A+ in all categories. Much appreciated!",5
Love it! Thanks so much!,5
"Got this for my friend’s son for Christmas. He is very into gaming and I didn’t know what to get him, turns out this was his favorite early Christmas gift!",5
I love my sign!!!,5
I love my sign!!!!,5
I love these! So colorful and each is different and a complement to the others.  Ideal kitchen magnets for a wine lover.,5
Love this wine stopper! Quick order fulfillment and arrived safely.,5
"My nephew really liked his placemat.  Perfect for the fall, and since they are laminated, they are very durable.  My sister loved that when she first saw the placemat.  Be sure to get the personalization.",5
Huge hit with my niece!  Very festive for the fall.  Love that they are personalized.,5
This is amazing! My daughter loves it!,5
it is adorable and whimsical.,5
Love it!!,5
"I LOVE my nurse sign! Professional yet pretty, too! Would buy again.",5
Just lovely,5
Much smaller than anticipated but very nice! It will make a great gift for my grandparents.,5
Wonderful sign that shipped within hours of purchase! What an excellent experience!,5
Absolutely perfect.  Thank you so much!,5
"He’s gonna love this, it’s awesome! Thank you!!",5
So cute. Great price and well made. Can’t wait to give this to my parents on Christmas.,5
Wonderful!  Thank you!  My friend is going to love it-,5
Love it!  Thank you!,5
I love it so much,5
The sign is as described. My mistake was not reading the full description. This is not painted as I had assumed by the looks of the picture.  It is a “sticker type/decal layover. I’m not thrilled with the actual product but the seller did nothing wrong. Shipped and received in a very timely manner.,3
Item is exactly as pictured. Absolutely perfect! I can’t wait to give it to my son for Christmas.,5
Great xmas gift. Fast shipping.,5
"This is a cute little sign, I cannot wait to give it to my boyfriend's Mom and Dad!",5
"My son was delighted!!  The print is bold and it really ""pulls the room together""!",5
"This sign was so popular in my wreaths last year, I had to have more. It is super cute. Shipped and packaged well!!",5
I recommend this seller for any signs you have in mind. Sally is so professional to work with. She sends pictures to make sure you are happy with your custom order. Thank you for creating a one of a kind sign for me.,5
I love this distressed Valentine’s a day sign. It’s so cute!! Packaged and shipped well.,5
"I loved opening this sign you created for me, it was even prettier in person. Loved the details in it.",5
WOW!! I am so impressed with the quality of these beautiful signs. Sally did an outstanding job working on a new design for me. Thank you so much for your talent!,5
Beautiful work.,5
Beautiful work.,5
"Thank you, this horseshoe will look great on my Ireland gallery wall!",5
Perfect for my designs I wanted and made sold right away nice seller highly recommend!!!,5
well worth the weight. the knobs are beautiful and look just like what i wanted!! thank you!!!,5
"The lovely, little blue and white tile arrived in perfect condition, looking better than its picture.",5
Wonderful! We love it!! Great communication and fast shipping. :),5
Wonderful! We love it!! Great communication and fast shipping. :),5
Great quality item and customer service!,5
Great quality item and customer service!,5
My little garbage man will love this.,5
Best quality!,5
LOVE this sign. Will be a great reminder for my son. Thanks for the extra too! Will be back for more. Love this shop. Always fantastic service and quality!,5
This item came and it is so beautiful! The little girl I gave it to was so ecstatic and loves it so much! I highly recommend!,5
These are so great that I'm purchasing them for the second time!  Perfect to use for Christmas gifts.,5
Nice tags that I'll use to create personalized tags for some of my items.,5
These will make a great Christmas gift!,5
"Love their signs, and I'm extra excited about this one! Got it personalized with ""Mad Science in Progress"" to hang outside my office at work (I'm a research scientist).",5
Love their signs! Got this one to hang above my recycle bins.,5
"Honestly......I don't think these adorable pet mats could be any cuter.  I ordered 3 different designs and my only regret is that I didn't order more!!  Very well made, super durable and wonderfully unique. And I received them in a sturdy, oversized cardboard envelope so as not to crush them. Thanks so much for sharing your talents with us.",5
"Perfect for the table, love the colors and the simplicity!",5
Excellent quality and very fast shipping!,5
Just love the crafting in this shop.  Well-made and always well-liked.  Thanks you.,5
These are so unique.  Came in a great bag and shipped promptly.  Thanks.,5
"I am never disappointed when shopping from this seller.  Such unique products, with very affordable price tags.  Thanks.",5
"My cat loves his personalised mat! All good. Thanks a lot!
Didn't realise I'd ordered mat from U.S. initially, so be aware of postage costs to UK.",5
"Repeat purchase from this shop - quality items and excellent service, as always. Buy with confidence.",5
I love these tags; love the country look!  VERY well made and SO pretty!!  Great customer service and fast shipping!,5
These are such pretty cards!  Love the colors!!  Beautiful work!  Great customer service and fast shipping!,5
I love these tags; love the country look!  VERY well made and SO pretty!!  Great customer service and fast shipping!,5
We love our Mimi and Papaw sign. Looks great and very happy with it.,5
Delivery was a little slow but it is cute as can be.,5
Incredible!  These coasters are very well crafted and took practically no time to arrive.  I truly appreciate the care they took to make these as well as their concern with packaging to make sure they arrived safely.  Thank you!,5
Cute as can be.,5
Perfect!! I will order again!,5
Love that I could have this personalized!! Thank you!!!,5
Love it!!! Thank you so much!,5
Super cute - took a little while getting here but it’s what I wanted.,5
"Great product, slow shipping of product.",4
The item was perfect but even more important was the customer service was top shelf. Would recommend the seller all day long. They deserve it!,5
these came out awesome thank you,5
As with the first one I bought they customized to exact colors I requested. Gift was very much loved and appreciated!,5
Perfect. Even changed the color of the print to what I requested! Thanks so much.,5
"Cute little sign, can’t wait to give this to my parents as a Christmas gift from my daughter.",4
Beautifully crafted and unique.  Very happy.  Thank you.,5
Worth the wait.  Very cool.  Thank you.,5
"Not happy with the quality. the label has a wrinkle , ragged edge where wood was sanded.I believe the quality should be better for the price",2
High quality sign that came out exactly as promised from the photos and description!,5
Shipped on time and all the signs I ordered were consistent in quality.,5
"Sign is fine.  After purchasing on a Sunday, and paying extra for shipping in 3-5 business days (so, M, T, W, Th, F, right?) I contacted again on the following Monday.  While the seller was very communicative in the planning phase, at this point I only got responses that sounded like a bot.  First they created a shipping label, which does not tell you that it shipped.  Finally on Wednesday I got a response which simultaneously said it had shipped and that they would add free priority shipping (not possible if it had already shipped!).  Received 10 business days after order.  Do not order if time is a consideration.",2
"Update: Following my disappointing experience with one of the company's representatives, the chief compliance officer of the company reached out to personally resolve the issue and make things right.  The experience showed this company cares when a mistake is made.  Would recommend buying from them.

-------------------------------

When placing my order I requested holes not be punched into the wooden signs, which they ignored.  After receiving the signs I contacted the seller.  Even though the notes to not punch holes were recorded in the order, they would not admit their mistake and instead required me to pay to ship the signs back to them as well as pay shipping on a new set of signs they would make. On a positive side, the signs are well made.  I just wish the customer service would match the product.",5
"Perfect! I got this for a friend that loves dragonflies and wine.  This was a great gift, so pretty and shipped quickly. I’m a repeat customer and have been for years! I can always find great gifts with Woodland Crew!!!",5
I have several of this shops coasters around my house and working in the veterinary field these are perfect.  Great quality and shipped in the the time frame I expected. Love this shop!!!,5
Beautiful work thank you!,5
Beautifully made and to my request of color change. It took a little bit longer than expected to ship out so if your purchasing and need it sooner I would pay the extra for expedited shipping. Beautiful work Thank you,5
It is 15 business days since I ordered my product and I haven't received. I messaged the shop and get a response it will be shipped. I keep checking tracking and it says pre-transit. My present is now late.,1
Received in the time frame that was expected.  Although colors were slightly different than picture I expected some slight differences.  Mine came on the smaller fishing knobs with undercolor of a reddish color which was brighter than I would of liked.  I didn’t see where you had a color option on that.  Also the screws that were sent did not fit on larger or smaller knobs that I ordered.,4
The sign was damaged and customer service let me know that they would be sending me a new one!,5
This was not really close to picture as far as color.  It showed three different colors. It came as grey with light and dark faded tones and looked same as number 2 camping knob.  Would of liked that they were different as advertised.  Also screws did not fit any of knows I received.,3
"Looks great, thank you!",5
Sign is not made of wood the sign is a sticker on a plank of wood. Don’t appreciate the dishonesty with the picture compared to the actually product. As well the sticker ripped and had a hole on one of the letters and it’s a gift... pretty disappointed.,1
These took quite a while to ship but now that they have arrived I am very pleased.,4
"I love the sign - it's exactly what I wanted. I took 1 star off because shipping was slow. I ordered the sign on July 22 and the item specified shipping in 7-9 business days, so I expected the item to ship by August 2. The item did not ship until August 10. Customer service could have also been a bit more responsive and personalized (when I messaged to ask about shipping, responses were slow and seemed automated). Otherwise, I'm pleased with the sign and the transaction.",4
It’s perfect for my 16 year old grandson!,5
"I ordered a customized wooden sign on July 22. At the time of purchase I was given an estimate of 7-9 business days for completion. On August 5 I was contacted with an update that my order would be delivered (not shipped) between August 8-12. It is now August 14 and my order still has not arrived. I am very disappointed in the turnaround time and that my order did not arrive on time. I will not be doing business with this shop in the future. Simply from my personal experience with this shop... if you want something to be done in timely fashion, shop elsewhere.",1
"I love my new sign! It looks just as described, and they centered the font perfectly even though my request was longer than the example. It got here very quickly too! The only thing I would change is it would be nice if it were hand-painted rather than screen-printed as I'm sure the pritning will fade or come off over time, but that would make it MUCH more expensive!  This is a great purchase!",5
Beautiful! I got these as a gift for a friend but may end up keeping them! Great quality and service!!!,5
