id,premise,hypothesis,lang_abv
01699b0a8c,"I know everyone, I want to tell you that everyone is busy, very anxious, there are many problems, people don't just sit, you know, they don't just talk and know that everything will be fine.",Only a few people will talk about their problems.,zh-cn
c148198cdc,"In addition to LNL and Allenbrand-Drews, Gary Allenbrand and Loren Drews, directors of Allenbrand-Drews. Developer or contractor R.L.",Allenbrand and Drews are currently being sued.,es
ea68ca4d71,"It is important for the American public to be deeply aware of the dangers to its health, including the risk of mortality and consumption of fish due to mercury exposure from the ingestion of microscopic particles.",The American public is still unaware of the health risks of inhaling small particles.,en
83d32253ff,"But as he got older, he didn't admit that he was wrong, but changed his behavior.",He never changed his behavior.,sw
f2ce237405,"After initially rejecting Hashmi's loan application, the admin agreed to allow a $ 5,000 transfer through the admin's bank account.",The manager did not allow Hazmi to use her bank account at all.,zh-cn
a357a4c329,"With this jump, the mirror usually does not lock up too much information.",Common crystals are not very important for encoding.,es
e7ca02b50f,"The tourist office has tried again to transform the L'Estre area, but even the strongest of the group need a direct and anticipated translation of the DL of Eastern Quebec Canton.","According to travel experts, the area needs a better name because ancient words are unknown.",tr
c342fd39ac,John twisted the man's wrist.,John left the man alone.,en
979182c092,"This will be the court! """,This will be insignificant.,en
408628f5b2,"We may not have what we want or what no one else sees, but it makes sure we have what we need.",We have what we dream of.,el
828b2dc89f,"In fact, this was the culmination of a series of protests and riots during the bus hunt in the 1970s.",There were protests in the 1970s,ur
0abb490273,Chapter 1 provides general background information on emission control technology.,Part 1 contains general information,en
479c4ad2a4,"He jumped, put his hand on the loading horse and came up with a violent pickaxe.",He threw his ax at the monster to stabilize it.,en
923e58ba4a,"Pull the suit out with your hand, if you have melt, it will be five times the size of your hand.","If you were on the moon, your hand would suddenly multiply and you would pull it out of your suit.",de
c00048993c,But I saw five more bodies tortured.,This is the first body to descend in this way.,en
0fbe18afe1,"Some unnecessary requirements include those who are able to pay, but refuse to seek a lawyer due to uncertainty about lawyers’ fees and fear of career.",All participants have a lot of money.,en
07f3f542b2,Think of Poirot for a few minutes.,Poirot paid close attention to his thoughts.,en
981c6f5c15,He is a bloodthirsty man.,He does not eat blood.,vi
4acb0d0a7f,"Opium use continued openly in Hong Kong until 1946. In mainland China, the communist government abolished it from power in 1949.",Smoking is allowed in Hong Kong and mainland China.,en
b31af3320b,"And I asked him, you know I can do this, you want me to stay tonight and what? Or okay, I can finish it tomorrow.",I know there is still work to be done.,th
fda0623fa0,He wrote that this was the first time he added such a song.,This is the first time he has added a song like this.,en
7c94437b29,"After the exhaustion of the visitors, only a few of them remained on Dzima Island in Nagasaki Bay.","After the bag, there are only a handful of visitors to Dajima Island.",en
0540817ced,"In 1847, violent riots known as the ""Dangerous War"" saw Mayan rebels kill white people and take control of nearly two-thirds of the peninsula.",Sheath is very calm.,zh-cn
740c34dec2,"Comparing our experience with the acid rain program with the SIP NOx appeal and the Section 126 appeal shows the benefits of having some key issues decided by Congress, rather than letting it comply with the rules of the National Assembly. law agency.",Congress has better rulership than institutional rules.,en
f25d51d911,"Today, the effects of pollution are causing enormous damage to the monuments of Agra.","Despite the pollution, Agra's monuments are still intact.",en
d64a31ab7d,Figure 1: Distribution section at stations,The third figure shows the station presentation marks.,en
0407d5179a,"According to eyewitnesses, representation of interests stopped as soon as the foreigner left the country.",The alien is very scary.,ru
7c76ea83c6,"The French government has evacuated about 72,000 inhabitants of the high-cost volcanic region.",The French government paid the first month's rent to relocate the inhabitants of the volcanic region.,en
159528bbfd,so you can travel in the light,You can travel in the light.,en
f0e07080aa,"And uh, if you buy him a lawn mower, it will probably take a lot less time, but I like to do it, I like to do it.",It is best to use an old lawn mower as it works faster as an electric lawn mower.,en
6499d4440e,Merlot was very happy.,Mallorca suffered.,en
15265af8f0,"In this case, shareholders can pay twice for the crimes of others.",Shareholders can pay double for crimes committed by other people.,en
9c0b597928,I am his ambassador in these barbarous places and a close relative of Lord Sunderland.,He has a messenger and I am one of them.,el
033527da61,"Yes, it all sounds familiar to me. Apparently BT is not mine either. Apparently BT is not mine either. Apparently BT is not mine either. Apparently BT is not mine either. Apparently BT is not mine either. You can't.",Jumping is a privacy invasion.,en
8e3b08c730,Allegations of corruption among government officials in Rau town in 1995 also paved the way for a comeback.,"In general, the municipal government of Rau is corrupt.",en
48efbfd63b,I am the only one and run the control unit for testing on small towers.,I don't want to be the only one implementing the anti-testing policy.,th
c0df00a780,"Yes, it says it has an address, I don't know.",I don't care if I have an address.,zh-cn
5e71fd08db,"Ah yes, so maybe he will go to jail and the problem is that he has a three-year warranty, so if he plays or not, he has to pay a million dollars if","He will probably lose his form in prison and will be released from the first team for a whole year, so he is basically paid to do anything.",en
f77a7c7667,"It means a lot, I mean sure, I mean over time it turns into a closed wave pattern and you put it there and you want to fix it and then you know you're trying to do it. smooth waves, so you definitely need a lot.",You don't need anything.,en
be5bd6ee12,"While the Freedom of Information Act, the Business Privacy Act, and other laws may protect certain types of information from the organization's disclosure to the public, these protections do not protect the confidentiality of the information by GAO.","The Freedom of Information Act requires that all people share all information with each other, regardless of the cause.",en
c4c5a04a19,The police said they dismissed the suspicion that Joan Bennett’s siblings were not in the city when the crime occurred.,The stepsister of John Bennett Ramsey had good reason to prove that she was not in the city when the crime occurred.,zh-cn
cca0f4d671,"Thus, inequality in the number of mail exchanges exacerbates the effects of high tariffs in these countries.",It comes in addition to the final email.,en
a653810d2a,"I will practice watching old French women who are happy to see some old form, and then when I get to grips with it, I will slowly move on to major tournaments.",I will use this look for younger women after looking better.,en
6c6c2a0a50,"Other attractions include hot springs, the nearby Olda and forest market, and ski slopes.",There is no more interesting argument here than just seeing.,en
11a8bb1532,"The main shops and trails are the luxurious Passeig de Gracia, a version of the champions in Barcelona, ​​and the pedestrian area of ​​La Rambla, Rambla de Catalunya.",The central part of Rambla has shopping areas.,fr
d670f34bde,"However, according to her, this is still what has been and is being done during these three years. But now he calls it sad, without his previous contempt.",She happily talks about her adventures and personality.,es
76f97a920d,"If Godzilla is suitable when associated with the main species adjacent to these species, then that species ceases to exist in the bud and is replaced by Godzilla.",Godzilla can destroy other species on this planet.,fr
8788719e7c,"Although Edinburgh ceased to be the political capital in 1707 (when Scotland joined England to form Great Britain), it remained at the forefront of academic debates.",Edinburgh lost political and intellectual contact in the early 18th century.,en
335c1cafdc,"Each year, more than 500 million people cross the U.S. border at legal points of entry, of which about 330 million are non-residents.",More than half a billion people are fleeing to Mexico in the United States.,ur
65913a9534,He stepped carefully on his golden beard.,His face is very clean.,ru
a60fe1058c,What is the best way? He asked.,He wants to know if there is another good way.,sw
053cd47aa3,It's not in the agreement.,It is not included in the agreement.,es
00a76a81a2,Because the cold air just stuck in the ground and could not escape,The wind stopped for a long time.,en
b93041378a,Lovely egg cows,The cows were happy.,en
f93367edb3,Whether the combination of facts and assumptions is a valid reason for objection is very important.,The event made further contributions to the demonstration.,el
8153e32f1e,"In the nineteenth century, when Kashmir was the strangest hill station ever built, the British Maharaja banned the purchase of land there, so he found a great alternative to building a barge designed . It was originally built on Lake Srinagar.",The British created alternative freighters. But it's no wonder,en
3f3579f61d,"At the Temple Bar, the Photography Library has numerous photographic publications, and Flying Pig is a historic bookstore.","There is a library that sells more than 1,000 books.",en
454d5e0a59,"Apparently, Aix has contacted donors from his state government, but there is no evidence yet that anyone else wants money in a federal building.",There is evidence that many people have requested money from a federal building.,en
f7bf792d7d,Good luck to those who worry me.,"Because of the past weather, I worry about others.",el
9226c99298,"In recent years, literacy and statistics have emerged as a major problem not only in industrialized countries such as the Third World, but (even more so).",Poor countries are lagging behind,ur
fe7d510298,"Since shrinking and expanding, ever since Roe, pro-life posters and brochures have portrayed isolated fetuses.",All the brochures about Roe's biography after the disaster feature isolated fetuses.,en
bd4ebcf1d4,Acquaintance,An introduction often comes to this conclusion.,en
07f3fb3328,NIT semi-finals will be held tonight,The NIT semi-finals will be held in the early morning of September 1.,en
f9eaae9673,"Meanwhile, AILA joined the ACLU and other organizations in requesting the Freedom of Information Act to find out where and why Mohammed was detained. But the reasons for detaining immigrants were not immediately clear. Sometimes there are side effects",EPA joined the ACLU in requesting information.,en
ae5cd61d9e,"The truth is, no matter how functional, constructed, or beautiful the building is, people don't sympathize with the way the dressing is done, which is not only old-fashioned but also ridiculous.",A building that cannot be entered by people with disabilities cannot be beautiful.,tr
18bdd19ffe,"Popular dishes include baked beans (beans with tomato sauce), Fried Eggplant (fried eggplant with olive oil and garlic) and various salads.","It is made from beans, lamb, and various spices.",en
1d28db6c9a,"Maybe you are learning to read and write to adults, maybe you know the article, maybe you know you know how to volunteer, you know, this is on the teacher's line, or from elementary school to help with homework or tell me, 'Oh my God, I have more than one child, right?","Maybe I could volunteer to learn adult literacy or help work in primary school, but on the other hand, I already have kids.",en
2089d1b0a3,Too few of you and others just planning like you've seen an ad like Federal Express?,Some people plan for things like think tank ads.,en
be6a9c798d,The 31 US CC has very limited exceptions to the permit requirements. Built on,The authorities have various exceptions.,en
da58d362b3,"""If people knew how to poison a person by mistake, then they wouldn't be taking children.",No one can poison the faults.,en
1d8c467a0e,"There is an interesting French map from 1778 that shows slave iron, traditional island costumes, and the Theater of War (theater of war) between the Americans and the British.",A Spanish map from 1776 shows a war of roses between the British and Indian nations.,en
87f34a926f,"When the war broke out, Canadian communism and Hitler's Jewish blockade of Germany damaged Canada's reputation for welcoming immigrants and refugees from around the world.",Canada has never accepted refugees.,es
4cc4b73580,"World demand grew rapidly and grew during the First World War as the automobile and electrical industry grew. In 1920, Malaya produced 53 percent of the world's rubber, whose main source of income was tin.","In 1920, Malaya produced most of the rubber in the world and for the money earned, the country dumped in the can.",en
b88327cf5b,If I can believe it,I agree because you convinced me.,en
55524b68b4,Our efforts were in vain,The problem was solved one day.,en
03347a5a80,"Program Account - A budget account available to cover the cost of direct loans or loan guarantee schemes, and these costs are paid into the financing account.",The program account is used to store certain tasks.,en
53e3593eba,Yeah I think I'll probably go with these suspenders or something,You are more likely to wear a brace.,en
e2ab186e45,"Phase two, but almost promising, are Morales from Texas, Scott Harshbarger in Massachusetts and Dennis Vacco of New York.","Vacco, from New York.",en
8d6c49b649,"Regarding the second point, Judge Newton said in a recent interview that I heard a hundred complaints.",Judge Newton opposed the second point.,en
f9ee50f08d,"With an area of ​​just 541 square kilometers (209 square kilometers), it is slightly smaller than Man Island or twice Martha Vine in Massachusetts.",Martha's farm field is four times the size of Man Island.,en
12051e5659,When is the dollar not the dollar?,"There are times when money is more valuable than usual, such as in times of war.",ar
2a7c348845,"The Crosethe Rue de Rivoli in Palais Royal, built for Cardinal Richelieu, was his residence in Paris in 1639 and was originally called the Palais Cardinal.",Crosethe Rue De Rivoli was built to house Cardinal Richelieu.,en
797f109096,"A favorite to preserve your memory in Lakeland's rugged lake countryside are clothing or blankets made from local Herdwig wool, polished coasters or sheep's wands.",Most competitors will receive a Memory package.,en
70a495721e,"Fearing the betrayal of the present, he found solitude in the east.",Consider both caches.,bg
bad35724ac,Richard Clark worries that any foreign policy will be rendered unusable when civilians are killed in Rwanda or when civilians are killed in Kosovo.,Clark is concerned about our foreign policy.,sw
f053d7735d,"Okay, and I noticed that since we moved to Texas, my husband is from Texas. But I don't, and you don't need a lot of different seasonal clothing that you wear in the north where you need it.","I noticed that since I moved to Texas, the need for a wide variety of seasonal clothing has disappeared.",en
3781e644a0,"Obviously, the federal agency responsible for FDNY, like any other response, is to play a supportive role with local, federal, state and state agencies.","FDINY does not seek assistance from any local, state or federal government.",hi
843ccc3492,The sale of goods and services in covert operations.,Goods and services are always sold publicly.,en
c58d2374af,So I have to find ways to add,This alone is enough.,en
b181ef0986,"These cadets (constitutional democrats), led by Prince Lavoff, did.",The cadets did this under the guidance of Prince Löf and achieved great success.,en
1d3427a65a,"Let me finish by answering this question, which I know will be asked by e-mail, are you really serious?",I know I have answered every question and there is nothing else to answer.,hi
840788ea6a,"Julius, confidently lying on the floor, stopped before answering his question: ""Nothing."" Was there really nothing?",Julius had time to think. Answered,en
0ce3931a1c,"Critics call the film's plot natural, but complain that it is overshadowed by Burns' sensitivity.",Critics find the film interesting.,en
747ea4221b,"However, this shallow volunteer service was ignored in the comments, making readers wiser than before.",This review shows all the information readers need to know,sw
dde8c2d337,The same is true of national consciousness.,National perception depends on the state of the economy.,zh-cn
95081db694,"In the ancestral setting, if a man chooses a more fertile-looking woman, he may have more children.",Among the dominant males there are fertile females.,en
1caffb4201,"In Louise, Olcott and Nathaniel Hawthorne settled in Pinkney Street, while other explorers boasted that historian William Prescott lived in Beacon Street, which Oliver Wendell Holmes called Sunny Street.",Hawthorne has lived on Pinkney Street for 7 years.,hi
f866706944,"Regulation M is enacted under the Securities Act, 15 USA.",The purpose of Code M is to prevent fraud.,en
f19b1bc464,Many users have commented on the effectiveness of the new technology in promoting closer relationships between service providers.,They accept powerful techniques.,en
c6db2b8b0c,"With a strong local culture and bright, fresh street life in the heart of the national aviation industry, this college town has an ingrained enthusiasm.","The city has a calm, stuffy and boring feel.",en
26d56f81b4,"Big sister! It is very difficult to see here, in the Essen monastery, the ruins of Qumran himself?",There are many great attractions and experiences here.,en
c2a62c0dee,You want to press a button and go,"You don't want to press a button, you want to press hard.",en
25c236e70e,Get an inexpensive mail flow implementation ready for anyone to use.,Everyone loves to use USPS.,en
cd41b8b517,This is the last Republican group.,It is the highest Republican center.,vi
b269007b0b,Mainly to sell themselves.,Mainly to sell themselves.,en
8d64740fa8,"As we know, most people belong to specific areas.",Only 2 newspapers.,ur
47228d065b,The victory of the winged Samothrace and the beautiful Aphrodite of Milos.,Venus and Milos have a lot of dimensions.,en
90e1e6624a,"With all hopes of overthrowing the Taliban dashed, debate has resumed to offer secret aid to the regime's opponents.",One thought is to provide covert aid to the Taliban's enemies.,el
8169b51f9e,"Connections to Nova Scotia via the New Burke Civic, Chonsto Sound, New Brunswick, became an isolated province in 1784 at the request of 14,000 patriotic refugees.",New Brunswick became a county because of its large population.,th
9eba5bd185,Then we decided to go to the office across the road to see if we could rent something,We want to see if we can rent one of their campers.,en
4ee92d7452,"The side line shows that there is still controversy about a meteorite from Mars that collided with Antarctica about 11,000 years ago, although scientists have destroyed most of the evidence that the meteorite contains living organisms, they cannot explain why the meteorite contains a molecule produced by on Earth only through biological processes.",Another unexplored process is responsible for the existence of the molecule.,en
bcf23acd14,"Yeah Al that sounds pretty crap to me, Looks like BT aint for me either",I have it too and I find it really interesting.,en
8c96cebc94,"Sigh, life can be very difficult.",Resigned.,de
4c55f116ea,"Safed (also known as Tzfat, Tzfat, Zefat and Tzfat) is located on a steep slope high in the hills of Galilee and is a delightful rural town of around 22,000 people.",Saphe lies at the foot of a valley.,en
29dd44f180,Well i found it.,This remains confidential.,en
142d1e90d0,But it would be interesting to know. Poirot looked very seriously at me and shook his head again.,Poirot looked at me and shook his head.,en
0705b5fcae,"I'm not sensitive, you know? He pushed.",He claims not to like it.,en
965aead0f9,John Hagan's analysis of Richard Dawkins's The Impossible (The Mystery of Life) is a pleasure.,Richard Dickens wrote a book called Clubbing Mount Impossible.,ur
72125071d3,Is it back? July cried out enthusiastically.,The news of his disappearance drove them to despair.,en
65da1f45bb,"In this hybrid / hybrid system, the CEO gives the company's CIO and the supporting CIO significant authority and specific authority to each division to meet its information management needs.",Gao is not available on the internet,ur
6ad61c560b,"Perhaps we can only say about the excellent performance that it is more about assimilation than accumulation, which hardly replaces the actor as a container.",A player is judged only on the quality of his performance.,en
d947ed7814,"Wow, maybe I should see him in the movies and plan to have dinner after that so we can sit down and talk.",I don't want to see this movie at all!,de
d3226effb4,AC Green is good,AC Green is a terrific player.,en
9367bcb2e8,This experience enables CIOs to work effectively with business leaders to create a shared vision to meet the needs of the mission.,He may have the same vision because of his previous involvement.,en
b036a02689,The girl Sonia began to mimic her daughter's behavior.,Sonia is a girl.,ar
fd61e08443,"One of the highlights of the city is Darcy Square and Liberty Street. In this trading center you will find local delicacies such as the famous mustard sauce, gingerbread, gooseberry liqueur and gooseberry liqueur, which turn ordinary white wine into a delicious, refreshing earth.","The best place to shop is the mall, surrounded by Darcy Plaza and Liberty Street.",en
95d51b25de,Early animal metaphors were all destroyed by words that were not related to animals.,The animal metaphor disappeared because of the cities.,fr
df02edf84e,"“The egg has to crack,” he said.",He said the egg must crack.,en
0f370e8a5f,A recent attraction of the pyramid complex is a small museum that houses the remains of bajar al-shams (rice seeds) discovered in 1954.,"The museum is quite small, but it does contain the remains of a cedar boat that was discovered in 1954.",en
12ee491f0d,"Using a team can also help integrate different perspectives, adjust the organizational structure and optimize operations.",Simplification is an area where the team can help.,en
1bf54d8e18,"Uh, we came back from Grand Rapids where we had a prom",Grand Rapids is a great place.,ru
54c381f8e9,"Lincolnland said that Maroon's Tasha Johnson helped get Social Security assistance to help her four children when a 29-year-old woman was diagnosed with Nanhan lymphoma. Dkin, a type of cancer",She had cancer and had to take care of her children.,en
b5d8670f78,"Friendly Fire, Di Joe Lovano and Greg Usby (blue records).",Books friendly flames by Joe Lovano and Greg Osby.,en
604706577e,"You can initially join the Chancellor's Circle with an unlimited annual gift for a Chancellor of 1000 or more, or give a Chancellor of 500 or more a gift to an associate of the Chancellor.",Individuals can contribute if they make large donations.,hi
0cd9abb439,"Many of its beaches are officially designated nudism (known as neutrism), the most popular being Pointe Tarare and the official Chevalier de la l? gion d'Honneur has been appointed to oversee all aspects of sun care in Buff.",There are many open beaches.,en
95718541d6,"For example, a mandatory account application is more likely to increase private savings, as such a program will require households that do not currently save, such as many low-income people or families, to deposit a certain amount in an individual account.",Mandatory account clauses prohibit savings in separate accounts.,en
9d814fe78e,And what if it looks exactly like what I'm trying to do?,I am trying to finish my project next week.,es
3be2fd98ba,"You know your kids will go to school, you know you have five kids going to school instead of one person and one kid, and so you have to pay more taxes than income for your kids to go to school, I just know. Logic T",It doesn't matter if people pay taxes on someone else's income.,en
208a5d2050,"In this law, cost means the original price and the market means the current replacement cost for the purchase or production.",The historical costs are borne by the manufacturing industry.,en
76e3102a71,The Celts arrived in the late fourth century as a result of the exile of the Romans.,The Celts did not arrive until the beginning of the 6th century.,en
9d6527cc05,The author began with a set of blocks or hypotheses that may be wrong in the management of the agency and what evidence supports or even contradicts these hypotheses.,The work provided by the author was not realistic as it concerned the administration of the agency.,en
7fb0ee0d7a,"From now on, Internet companies can not only target political movements more precisely, but they can also provide this discount.",Internet companies use demographic information to promote politicians’ campaigns.,en
65c613b740,Then fried with garlic and a little paprika,ใช้กระเทียมและพริกขี้หนูเล็กน้อยเพื่อเตรียมความพร้อม,en
f80e1d3d09,The policy has been successful and I am lucky to have the opportunity to make this contribution to my people.,I am lucky to have the opportunity to change the life of my people.,en
1cdd43743c,"In 1995 and again in 1998, the Legal Services Corporation realized that legal services programs needed to change the way we did business if they were still applicable and affordable. Desired by low-income people.",The legal services company understands that things have changed more than once in the past.,en
fdae4cee12,Policy and nature of the postal service,Postal service is regulated.,en
62a4b25585,And I put five blocks out of U2.,I work with U2 power every day for forty years.,fr
14429beca3,"Technology is known to be a good engineering school, and A and M are probably best known for computers.",Technology is considered a very good place for engineering. But I think it is exaggerated.,en
a2e2b87de9,Chinese leaders today have certain characteristics that give them a significant advantage in foreign policy.,China has a better foreign policy than the United States.,en
e2c0e188fa,His mother died in childhood and was adopted by the Brodky family.,"When his mother died, the Brodkeyler took him with him.",en
