Title,Director,Genre,Description
Tôkyô goddofâzâzu,Satoshi Kon," Adventure, Comedy","['\nOn Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.']"
Sennen joyû,Satoshi Kon," Drama, Fantasy",['\nA TV interviewer and his cameraman meet a former actress and travel through her memories and career.']
Cowboy Bebop: Tengoku no tobira,Shin'ichirô Watanabe," Action, Crime","[""\nA terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.""]"
Jûbê ninpûchô,Yoshiaki Kawajiri," Action, Adventure",['\nA vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.']
Batman: Mask of the Phantasm,Kevin Altieri," Action, Adventure",['\nBatman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.']
Majo no takkyûbin,Hayao Miyazaki," Adventure, Family","['\nA young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.']"
Kubo and the Two Strings,Travis Knight," Action, Adventure",['\nA young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.']
The Breadwinner,Nora Twomey," Drama, Family","['\nIn 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.']"
Omoide no Mânî,Hiromasa Yonebayashi," Drama, Family","[""\nDue to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.""]"
Ma vie de Courgette,Claude Barras," Comedy, Drama","['\nAfter losing his mother, a young boy is sent to an orphanage with other orphans his age where he begins to learn the meaning of trust and true love.']"
Kaze tachinu,Hayao Miyazaki," Biography, Drama","['\nA look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.']"
Toy Story 4,Josh Cooley," Adventure, Comedy","['\nWhen a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.']"
Wreck-It Ralph,Rich Moore," Adventure, Comedy","['\nA video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.']"
Le Petit Prince,Mark Osborne," Adventure, Drama","['\nA little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.']"
The Lego Movie,Phil Lord," Action, Adventure","['\nAn ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.']"
Papurika,Satoshi Kon," Drama, Fantasy","[""\nWhen a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.""]"
Toki o kakeru shôjo,Mamoru Hosoda," Adventure, Comedy","['\nA high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.']"
Tangled,Nathan Greno," Adventure, Comedy","['\nThe magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.']"
Coraline,Henry Selick," Drama, Family","['\nAn adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.']"
Les triplettes de Belleville,Sylvain Chomet," Comedy, Drama","['\nWhen her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.']"
Waking Life,Richard Linklater," Drama, Fantasy",['\nA man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.']
"South Park: Bigger, Longer & Uncut",Trey Parker," Comedy, Fantasy","['\nWhen Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.']"
Kurenai no buta,Hayao Miyazaki," Adventure, Comedy","['\nIn 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.']"
Who Framed Roger Rabbit,Robert Zemeckis," Adventure, Comedy","[""\nA toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.""]"
La planète sauvage,René Laloux, Sci-Fi,"['\nOn a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.']"
Fantasia,James Algar," Family, Fantasy","['\nA collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.']"
The Mitchells vs the Machines,Michael Rianda," Adventure, Comedy","[""\nA quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.""]"
Incredibles 2,Brad Bird," Action, Adventure",['\nThe Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.']
Moana,Ron Clements," Adventure, Comedy","[""\nIn Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.""]"
Despicable Me,Pierre Coffin," Adventure, Comedy","['\nWhen a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.']"
Gake no ue no Ponyo,Hayao Miyazaki," Adventure, Comedy","['\nA five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.']"
Kung Fu Panda,Mark Osborne," Action, Adventure","[""\nTo everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.""]"
Mulan,Tony Bancroft," Adventure, Comedy","[""\nTo save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.""]"
The Little Mermaid,Ron Clements," Adventure, Comedy","[""\nA mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.""]"
The Jungle Book,Wolfgang Reitherman," Adventure, Comedy",['\nBagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.']
Snow White and the Seven Dwarfs,William Cottrell," Adventure, Family","['\nExiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.']"
