,review_title,review_text,review_rating
37,"
Pathetic Product.. Absolute Waste of Money..!!
","
This is a pathetic product and one star is also given because there is no negative option.firstly the build quality is very poor and if one is serious even for using this product for a decent period of time, I doubt this will not work.secondly there are lots of parts missing in most of the cases. there are many who are suffering as per the review of other customers as well.In my case, strap hose is missing due to which i cannot attach strap to the guitar.Amazon does not offer facility for pickup at most of the areas except top cities even though the product is delivered and fulfilled by Amazon.. another pathetic service from Amazon part.I guess even if one is a first time user and is tight on budget, do not go for such an inferior type of guitar.
",1.0 out of 5 stars
38,"
Good
","
Nothing
",4.0 out of 5 stars
39,"
Amazon Please Replace My Guitar
","
Amazon the Product and Delivery all things were good. Just one thing i request you to replace this guitar with ""
Kadence Frontier Series,Black Acoustic Guitar Combo(Bag,strap,strings and 3 picks)
"" and take extra money from for this new guitar. Thank You Amazon.
",4.0 out of 5 stars
40,"
quality index
","
Not bad Strings are too cheap 70 % satisfied
",4.0 out of 5 stars
41,"
she is happy with this product
","
I gifted this to my wife on her birthday. she is happy with this product. even i am learning Guitar now.alternate chords + 3 strumming pad - cool design . sound little fluctuate but OK for beginner
",4.0 out of 5 stars
42,"
Low budget melody
","
Jixing, as the name sounds, is a Chineese manufacturer of musical instruments. The Jixing acoustic guitar is the best selling guitar in the Amazon online store and there’s a good reason for that.The guitar is available at a price under 3000 rupees online. That’s why it is one of the best selling guitars on the internet. As we all know, we Indians are obsessed with low price goods.
",5.0 out of 5 stars
43,"
Product is overall very good.
","
Everything is good like material, cost and dilevery, but when I open box only all three pics(tuner ) was missing.
",4.0 out of 5 stars
44,"
I have not got the belt of guitar
","
Guitar was nice but i have not got the belt which i saw while ordering
",4.0 out of 5 stars
45,"
GO...GO for it
","
Nice product, came before time, product as per photo, sound is like normal guitar, tested...and good .......BUT it did had some scratches and front suface blemish, delivery man reluctant to deliver at different time as I was not there at the time
",4.0 out of 5 stars
46,"
Fault in the product
","
This item was delivered to me on time but it has some gitches with it ... Like as it shows it has there picks , these were not there in packing. Moreover it do have belt to put on guitar but guitar have only one knob to put it ... So another fault in the issue ..
",2.0 out of 5 stars
47,"
Great
","
It's sounds goods while playing . Good for beginners, but those with big hands should try bigger guitars since it's frets are small. Extras things given are 3 picks,strings
",4.0 out of 5 stars
48,"
Nice Guitar
","
Awesome Guitar for beginner grt to handle and love to sing.....
",4.0 out of 5 stars
49,"
I actually love the guitar
","
I actually love the guitar, it look as like in the pic:):):).. Its awesome for the budget which i choose. Really loving this<3<3. But one disappointment:(:( they forget to keep the pics.
",4.0 out of 5 stars
50,"
Nice sounds
","
I like it
",4.0 out of 5 stars
51,"
Economical product
","
Product quality was good.sound quality must be improved
",4.0 out of 5 stars
52,"
Good
","
It is vary nice but distance between guitar nake and strings not comfortable
",4.0 out of 5 stars
53,"
one thing that i can't comfort
","
Well nice guitar but theiris one thing .Its not hangable on arm because on the guitar their is one hook to fix the thread there were no other side of guitar to hook it up
",4.0 out of 5 stars
54,"
Best for beginners, quality is not compromised even for professionals
","
At this price this is a more than a perfect guitar for me. Although it doesn't feel like the Rs. 8000/- guitar. this guitar is for beginners and even professionals. If you are unsure and just want to try out learning guitar ..go for this one.
",5.0 out of 5 stars
55,"
It's good...
","
I don't know about guitar so much ,but it's good quality wise n oll love it....
",4.0 out of 5 stars
56,"
Guitar
","
Ok for this amount, but not finishing on body.
",3.0 out of 5 stars
57,"
The same thing
","
Its tunning had breaked will it change ,replace or you will send another gear for it. It has one year warranty.
",3.0 out of 5 stars
58,"
Average
","
Sound quality is not that much good
",3.0 out of 5 stars
59,"
Built for Price....
","
Small.. Sounds good... Suits only Kids just to know what is Guitar, frets are not  in right place, strings can be better... It's a nice sounding toy guitar....
",3.0 out of 5 stars
60,"
I did not  get  any  warrenty  card
","
I did not  get any warrenty card
",3.0 out of 5 stars
61,"
Awesome product for the price😊
","
It's really looking  awesome.i loved it a lot nd Amazon packing was also very nice.the guitar was delivered to me within just 2days.it exactly looks as it is displayed
",4.0 out of 5 stars
62,"
excellent guitar!!!
","
Its nice guitar it sounds nice but the peaks you get are of no use it breaks in 2-3 strums and the bag is so small hence its good product
",4.0 out of 5 stars
63,"
Good product
","
Good for beginners but not for professionals
",4.0 out of 5 stars
64,"
reached me within time, but some items not received ...
","
reached me within time , but some items not received along with ordered one. In picture there are 6 items, but i received only 4 items. after complaint, 1 month later i received  only 1 item . still there is 1 item is pending that is tuner..
",3.0 out of 5 stars
65,"
Really amazing!......Beginners should definitely go for it.
","
The guitar is perfect for beginners and the other accessories were fine. The packaging was good. Was really excited and am satisfied.
",5.0 out of 5 stars
66,"
Serve the purpose of a gift and a beginner, not a professional one
","
Will serve you the purpose for a beginner. The fretboard is thicker than normal. I gifted it to my nephew, he loved it until one day it broke apart :) Anyway I am quite sure it was under a lot of rough use. The packaging and delivery was good!
",5.0 out of 5 stars
67,"
Its a good guitr.
","
Its  a  good  guitr  ...bt  its  not  a  big  size  ..normly..small  but  good ..not  bad  by  prize....cutu chhotu  guitar  :-)
",4.0 out of 5 stars
68,"
Worst material !!
","Jixing JXNG 6 Strings Acoustic Guitars With Combo (Red Sunburst)
The product has poor material. The neck broke off the second day itself while tightening the strings  to tune, i could not raise the complain just because I had presented to my daughter and she was really upset ,so I had to use fevicol layered into the sliced broken neck and stick it back. The material inside the has a black rotten wood which was visible once it came apart. I will not to recommend anybody to buy the same.
",1.0 out of 5 stars
69,"
Worth the price
","
Good one for beginners..Everything is normal and alright but it's a bit small for a pro guitar player,but this is what we get at an rate of 2.5k.
",4.0 out of 5 stars
70,"
My first acoustic guitar.
","
Its 38 inch acoustic guitar good for absolute beginners with less price. Sound is not that good. Lead will sound good on this guitar as compares to cords. But i found it very helpful for finger practices. Two years passed still playing. But not good as ibanej and kadience frontier series I play.
",5.0 out of 5 stars
71,"
Don't waste your money
","
Should not buy this. Very badly built, for beginners it is very difficult to get the sound. The distance of strings and frights are very large so need to apply very high amount of effort for pressing the strings
",2.0 out of 5 stars
72,"
Worthless
","
Just become a piece of showcase
",3.0 out of 5 stars
73,"
Worth for mony and bgnr.....
","
Im a keyboard player. And I decided to learn guitar. So I bought jixing 6 string acoustic guitar.The sound wich made me crazy. Nothing to say abt this product.Packing also gud. After u bought this, u need to tune the guitar strings. And if u dont have tuner dnt worry,  U can also use android mobile app (GUITAR TUNA)
",5.0 out of 5 stars
74,"
Not very good
","
It's sound quality is not good and the fret board broke very fast.
",3.0 out of 5 stars
75,"
watch unboxing video of this guitar
","
You can watch complete unboxing video of this guitar the link of video is given below:[...]very nice guitar in such a cheap price. good for beginner level.
",4.0 out of 5 stars
76,"
Small yet comfortable
","
I am 6 feet tall and It is small for me just a little bit but very comfortable. The quality is average but at this price point can't expect anything better.
",4.0 out of 5 stars
77,"
Nice
","
Nice
",4.0 out of 5 stars
78,"
It's great, produces sweet sound
","
It's great, produces sweet sound, strong strings, easy to carry, but it has no place to tie the strap
",4.0 out of 5 stars
79,"
It's good for who started to learn guitar. Thanks
","
Ya it is Good. It's sound quality is also well. U can buy this one in this range. Its size is perfect.
",3.0 out of 5 stars
80,"
Nice item
","
Good guitar for beginnersGood quality, good packing etc
",4.0 out of 5 stars
81,"
a waste of money you cannot go out with
","
i little small with low quality wood and sometimes produces sound of strings scratching frets .  a waste of money you cannot go out with this
",3.0 out of 5 stars
82,"
Nice
","
I purchase it one month ago. Still it is working good and nice. I will recommend to those who is beginner in the learning of Guitar. Or if you have just fond of keeping guitar. Go for it.
",5.0 out of 5 stars
83,"
Ok
","
Product was ok for that price range
",3.0 out of 5 stars
84,"
Bad
","
Quality is low
",3.0 out of 5 stars
85,"
Ok for the price . But not excellent
","
Good for beginners... The quality and performance is good for the price but not excellent... Finishing is good but on some areas on the neck finishing is not good .
",4.0 out of 5 stars
86,"
Good
","
Just a basic beginner's guitar
",4.0 out of 5 stars
87,"
Nice
","
Good for beginners. Sound quality is good but not great. Accessories are sufficient and helpful. Color is attractive.
",5.0 out of 5 stars
88,"
Gutair was not good. Not sounding properly
","
Gutair was not good.  Not sounding properly.. Friet board was not good. Bride neck not filed equally n strings have a lot of gap from Friet board...
",3.0 out of 5 stars
89,"
Starting with guitar than it is good
","
Amezon service is excellent. Order reached before the time. Product is nice for the beginner. The issue what i felt polish is not good so it is pill up on some place.
",4.0 out of 5 stars
90,"
First impression is good but after 7 months only - guitar broken from ...
","
First impression is good but after 7 months only - guitar broken from sound board, neck get separated without any physical damage.
",3.0 out of 5 stars
91,"
Good For Beginners
","
Thanks To Amazon for This Product and Thanks To Amazon Agent, Who Delivered It. If You Are BeginnerYou Can Buy It, It is Good As Price
",4.0 out of 5 stars
92,"
Practise Guitar
","
Best guitar for practice and first time users
",3.0 out of 5 stars
93,"
everything is not perfect
","
Marking is full complete.....strikers r not of good quality......a hook is missing for stiching the belt....the guitar cover is single handed.....and 2 more things is not perfect.......but the sound quality is very good
",3.0 out of 5 stars
94,"
okay product
","
Not that great! Not for professional. Buy only if u want to just to get feel of it.
",3.0 out of 5 stars
95,"
Go for shop not online
","
Not very good.... If you are going to buy a guitar.. i will suggest to go to shop rather than buy it online.
",3.0 out of 5 stars
96,"
Four Stars
","
I liked very much the product quality is good  and I love my guitar thank you
",4.0 out of 5 stars
97,"
Worth it✨
","
Very good guitar 🎸 good for the beginners so good
",5.0 out of 5 stars
98,"
Okish product
","
Good guitar for beginners. Well priced. Though the guitar I received has minor scratches on it, might be due to poor handling and logistics.
",3.0 out of 5 stars
99,"
Good at this range
","
Strings are not good ... A tough product... Good for beginners
",3.0 out of 5 stars
100,"
Hmmmm... Worth it.. value for money
","
The product is awesome at that price ... The sound quality is good but not so good ... Good for beginners and also for tutors.... But the quality is little cheap .. very delicate.. needs to be handled very carefully...but five stars because u will not find any other guitar at that price range to be so good as it is... Go for it
",5.0 out of 5 stars
101,"
Three Stars
","
Didn't received the picks...Also the distance between frets and string is too much...
",3.0 out of 5 stars
102,"
Fret Board
","
Fret board should be more well built but ok
",4.0 out of 5 stars
103,"
A
","
Nice product ,but when it delivered that time it was in time.otherwise no any problem in it
",4.0 out of 5 stars
104,"
Ok
","
Ok
",3.0 out of 5 stars
105,"
good product for this price
","
very safely packed. delivered before timing. good product for this price. recieved all the items. finally happy
",4.0 out of 5 stars
106,"
Value for money
","
Value for money
",4.0 out of 5 stars
107,"
Gap is uncomfortable
","
I love it, it's best for beginners. But gap between dashboard and string is too much please work on that.
",3.0 out of 5 stars
108,"
This guitar is good value for money
","
This guitar is good value for money,especially for beginners who would not like to go for a high cost one.I have gifted this to my 10 yr old nephew Sound quality is good .Initially i was apprehensive about its arrival condition ( after reading some poor ratings), but the packaging was  done good , arrived in scratch-less condition all the way to Guwahati.
",5.0 out of 5 stars
109,"
awesome product
","
Well this is my first guitar... I'm loving it.  No 5 stars coz of quality.. But the guitar is damn good for beginers
",4.0 out of 5 stars
110,"
Buy it, best prise and quality. I bought it for 2300.
","
Best Guitar. I will prefer this to everyone. Be reliable, because it come in best packing. One who wish to start learning this is the best start.
",4.0 out of 5 stars
111,"
The guitar is good for beginners as I am able to play it ...
","
The guitar is good for beginners as I am able to play it easily and the sound quality is ok.
",4.0 out of 5 stars
112,"
Four Stars
","
I found some scratch to the guitar but overall the product is good
",4.0 out of 5 stars
113,"
Best in price
","
Product is good on this price but their is no connection for any electronic device
",3.0 out of 5 stars
114,"
Very exciting price
","
So good
",4.0 out of 5 stars
115,"
need replacement with left hand player
","
i received on time and product is really awsome with perfect quality, but want to replacement as i want left handed player of guitar and i got right hand play guitar. this will be useless for me ... please help me for give replacement with left hand
",5.0 out of 5 stars
116,"
Great guitar
","
Great sound of the guitar. It has perfect sound and design for comfortable use.
",5.0 out of 5 stars
117,"
Good product in this range
","
Good product in this range. Good for beginners not for professional cz size is little smaller. But overall nice product
",4.0 out of 5 stars
118,"
GUD PRODUCT WITH BAD DELIVERY TIME
","
THE PACKING OF PRODUCT WAS VERY GOOD AND PRODUCT TOO IS LOOKS SOLID BUT I HAD AN ISSUE WITH UR DELIVERY DATE AS I GOT THE ITEM AFTER 8 DAYS..
",4.0 out of 5 stars
119,"
Good
","
Worth product
",3.0 out of 5 stars
120,"
Four Stars
","
Decent value for money but bit difficult to play compare to other models
",4.0 out of 5 stars
121,"
Worst Guitar
","
Guys it is the worst guitar that i have ever had... Its strings are very tight to hold on.... And Wooden is  to of very low quality... Thus i will prefer you to buy a suarez guitar but not this chinese jixing guitar... Take it in postitive way...
",1.0 out of 5 stars
122,"
It's best for beginners.
","
It's good for beginners. Amazon has best beginners guitars..
",4.0 out of 5 stars
123,"
Please be realistic
","
Product is good but the size which was been shown at Amazon was different. Moreover color is little bit dull.  Overall I will rate 3/5
",3.0 out of 5 stars
124,"
Ok
","
Didn't gave tuner in gituar
",2.0 out of 5 stars
125,"
Good
","
Good
",4.0 out of 5 stars
126,"
Good product
","
it is good guitar looks a bit fragile but did not find any mistakes or defects and at tis price i think its a good product.
",4.0 out of 5 stars
127,"
Great for beginners with low budget
","
Great product for the price. Do not expect a fine build but its OK when you are a beginner and a little tight with the funds. Go for it.
",4.0 out of 5 stars
128,"
Satisfied
","
Satisfied
",3.0 out of 5 stars
129,"
GOOD FOR BEGGINER
","
SMALLER THAN ORIGINAL GUITAR BUT LAST LONG. GOOD FOR BEGGINER
",3.0 out of 5 stars
130,"
Great Value for Money for Beginners
","
The guitar is unbelievably low priced -The best value in the market we saw. Though we wouldn't recommend it for advance guitarists - it is ideal for a beginner. The only caution is that it's an adult size guitar so not suitable for a very small kid... Please read the sizes mentioned clearly on the product.
",5.0 out of 5 stars
131,"
Ok
","
Broken neck , sound quality very bad
",2.0 out of 5 stars
132,"
Three Stars
","
Its good product for beginners ,, who want to learn guitar ,, i strongly recommend only for beginners
",3.0 out of 5 stars
133,"
Best
","
Fine
",4.0 out of 5 stars
134,"
no extra strings in the package
","
Pls give free extra 6 strings if u can pls my 1 string is broken i want to fix it there is written on the web page that extra strings are also there but it is not in my package if u can deliver then pls deliver
",5.0 out of 5 stars
135,"
Problem with the cover
","
The guitar was good but the cover was too small. The guitar could not be fitted inside. Please change it and give the correct size
",3.0 out of 5 stars
136,"
Cheap asper the Money...
","
Quality is Mediocre, go for it if this is you're ever first Guitar.....(Beginners Choice) ✌️👍
",3.0 out of 5 stars
137,"
good
","
great
",4.0 out of 5 stars
138,"
i found this a perfect match of cost and quality
","
Its my first Guitar. i was looking for something of low cost decent product. i found this a perfect match of cost and quality.
",3.0 out of 5 stars
139,"
Guitar was good. But the bag is old one and not ...
","
Guitar was good.But the bag is old one and not in good condition.
",3.0 out of 5 stars
140,"
Four Stars
","
Worth for d price paid ... sufficient to start off for beginner....was scared reguarding packaging but finally received in good condition ... thnaks
",4.0 out of 5 stars
141,"
Gap between strings and fret is more
","
Very good product but the action of guitar is more need to put more effort and pressure to play it.
",4.0 out of 5 stars
142,"
Three Stars
","
Guitar is good but there is no pinhole in guitar for the belt... So its faulty product...
",3.0 out of 5 stars
143,"
Low investment and best for beginners
","
Go for it! I was skeptical because of it's cheap price but the performance exceeded expectations. It is a bit smaller than standard size, but good enough even for a adult beginner. The quality may not be as great as other branded ones. But at less than half the price, it is best for beginners.
",5.0 out of 5 stars
144,"
check before you buy
","
small than it seems to be
",4.0 out of 5 stars
145,"
Amazing
","
Nice sound is bst in this price
",4.0 out of 5 stars
146,"
Best product at this rate..
","
Excited n choose to ignore little disappointments like recd only 2 picks instead of 3...And finishing near the fret is a bit rough...But overall, at this rate I am glad that I bought it. And superlike Amazon packing.keep it up! 😋Thank you very much.
",5.0 out of 5 stars
147,"
Good
","
Good
",3.0 out of 5 stars
148,"
Peeling edges
","
It's fine to play for my son... But it had cracks in joints and peeling edges, had initiated a exchange,,, which did not happen. I am ok since it was very cheap. But would have loved a spick and span one..  :( maybe pack it safely for others
",2.0 out of 5 stars
149,"
Before playing it plzz tune it .
","
Good for beginners🙏
",4.0 out of 5 stars
150,"
good  quqlity
","
cheap n best
",4.0 out of 5 stars
151,"
Three Stars
","
Whatever we have ordered that's good but we haven't got all of these ..
",3.0 out of 5 stars
152,"
Cool
","
Gud one!!.. if you tune well.. sound will be ok!! Well packed 👍
",4.0 out of 5 stars
153,"
Nice guitar for beginners
","
This is an amazing guitar for beginners. I just love this gift product. For more reviews on online shopping do visit [...]
",4.0 out of 5 stars
154,"
absence of playing instrument
","
It's very wondering to me that there is no any material that will use to play that guitar. 😨😨😩😩
",3.0 out of 5 stars
155,"
Nice product
","
Sound quality is very low
",3.0 out of 5 stars
156,"
Jiyo China
","
Amazon Always provide quality packaging. About Product The Guitar Is Of Awesome Quality  I Would Also Like To Thank China For Providing Indians Such An Amazing Products At Right Price Since Year 2000. Chinese Products Are True Value To Money. Indian Manufacturers Must Learn From Them.
",5.0 out of 5 stars
157,"
just okay
","
I got it when I'm a beginner but It sounds just okay.I suggest you to go for yamaha or fender
",3.0 out of 5 stars
158,"
Superb item
","
Guitar which i received looks too good and is quite good for begginers.....my nephew and niece are in love with it.......Thanku Amazon
",5.0 out of 5 stars
159,"
Good product Best For beginner And good delivery M
","
Good productBest For beginnerAnd good deliveryM happy
",4.0 out of 5 stars
160,"
good
","
good
",4.0 out of 5 stars
161,"
Waste gitar
","
Waste gitar we don't get picks,blet,strings,bag
",2.0 out of 5 stars
162,"
Guitar is good
","
Good guitar N sound is also good
",3.0 out of 5 stars
163,"
Nice
","
Nice guitar for beginners but the sound from 10th and 11th frets are not clear...
",4.0 out of 5 stars
164,"
Good for begginers
","
Good guitar if you want to learn.For beginners it's fine.
",3.0 out of 5 stars
165,"
Four Stars
","
It is a good guitar. My daughter loves to play it.Quality is also good
",4.0 out of 5 stars
166,"
beginners, don't think, just buy
","
Forget to get the same deal across any local shops or online, great quality product,simply go for it.I had played some other guitars >10,000 and considering its price (2,500 when this review was posted) it is the most amazing deal....Stock will be over soon, buy now.
",5.0 out of 5 stars
167,"
Not bad
","
Not bad
",4.0 out of 5 stars
168,"
Three Stars
","
Good basic guiter do not expect more from it like professional guiter
",3.0 out of 5 stars
169,"
Reasonable price and convenience.
","
It's a very good item at very reasonable price and at good convenience.
",4.0 out of 5 stars
170,"
Though this is a full-size guitar I bought it thinking it'd be great for my 8 year old but its too big ...
","
Absolutely apt at this price...Though this is a full-size guitar I bought it thinking it'd be great for my 8 year old but its too big for him... Otherwise product and accessories provided are good! 5 Stars for product and as expected Amazon Services.
",5.0 out of 5 stars
171,"
awesome in so less amount
","
Good product ...Delivery was so good...and safe...I got all the items...ty Amazon..
",4.0 out of 5 stars
172,"
GREAT
","
THUMBS UP TO AMAZON...THE PRODUCT WAS FANTASTICALLY PACKED AND DELIVERED IN TIME. THE GUITAR IS VALUE FOR MONEY IN THIS PRICE......BEAUTIFUL.....
",4.0 out of 5 stars
173,"
Read is before you buy .
","
Very good for beginners only .
",2.0 out of 5 stars
174,"
Good one at this cost!
","
I am a beginner trying to learn how to play it. Anyhow, a few experienced people told me it is a good piece.
",4.0 out of 5 stars
175,"
It is best for beginners
","
It is best for beginners. Great look and amazing sound. I can assure you that anyone can be completely satisfied by this product. I am actually surprised how AMAZON could sell this product in such a low price. It is much more worthy. Best experience with AMAZON. You can't have a better guitar in that range. Thank you AMAZON.
",5.0 out of 5 stars
176,"
Guitar lover
","
Nice and finally my dream come true.Thank u jixing for this.
",4.0 out of 5 stars
177,"
Not good
","
Ok not good
",3.0 out of 5 stars
178,"
Good
","
Good product at this price
",4.0 out of 5 stars
179,"
Sound quality poor
","
Sound quality poor
",2.0 out of 5 stars
180,"
Five Stars
","
Best for beginners to practice on. Good product at this cost.
",4.0 out of 5 stars
181,"
amazon is amezing
","
i am very happy with shoping in amazon is amezing very happy
",5.0 out of 5 stars
182,"
Fantastic Guitar
","
This has not expected for the purchased price. Super quality with spare parts too. I like this guitar very with its great body design, quality & price. Received whatever has shown here..
",5.0 out of 5 stars
183,"
Nicely nicely nicely nicely
","
So osmly this product ...It is a big blast for money value...And very nice product in this price...Thanks Amazon to give me a blast bommmm
",5.0 out of 5 stars
184,"
Good for beginners.... Go 4 it....!!!
","
Guitar is good but bag given was small and guitar does not fit in the bag.
",4.0 out of 5 stars
185,"
Damaged product with no warranty
","
I received a damaged product. Dents in the guitar.Also i was promised a 1 year's warranty while placing the order.I didn't receive a warranty card and nothing about warranty was mentioned on the invoice.Utterly disappointing.
",1.0 out of 5 stars
186,"
One item is missing
","
One item is missing
",3.0 out of 5 stars
187,"
Good for beginners.
","
I like it... I'm a beginner so I can't say much but it plays good.
",4.0 out of 5 stars
188,"
Average quality
","
Good
",4.0 out of 5 stars
189,"
Satisfied
","
It is good.
",4.0 out of 5 stars
190,"
Worst of all
","
Not upto the mark... Poor wood quality.. The fret is thick and it's bent.. The tuning keys r of cheap quality.. It's very hard to tune up.. The finishing is worst... And sound's awkward.. There is a damage too on the body.. Didn't get plectrum... 2star is for packing n prime delivery....
",2.0 out of 5 stars
