Country,Name of Incident,Affected Population,Outcome
India,Cripps Mission,Indian leaders,Negative
India,Bengal Famine of 1943,People of Bengal,Negative
India,Partition Plan Announced,People of India and Pakistan,Negative
India,Integration of Princely States,"Princely states, Indian Union",Positive
India,Constitution of India Adopted,Indian citizens,Positive
India,Reserve Bank of India (RBI),"Indian economy, global investors",Positive
India,Indian Space Research Organisation (ISRO),"Global scientific community, Indian population",Positive
India,Bharatiya Janata Party (BJP),Indian citizens,Positive
India,Securities and Exchange Board of India (SEBI),"Investors, financial market participants",Positive
India,Taj Mahal,"Global tourists, historians",Positive
India,Golden Temple (Harmandir Sahib),"Sikhs, global pilgrims",Positive
Pakistan,Creation of Pakistan,Muslims in Indian subcontinent,Positive
Pakistan,First IndoUnknownPak War,Residents of Kashmir,Negative
Pakistan,Pakistan Joins the United Nations,Global community,Positive
Pakistan,First Constitution of Pakistan,Pakistani citizens,Positive
Pakistan,East Pakistan demands autonomy,People of East Pakistan,Mixed
Pakistan,Independence of Bangladesh,People of Bangladesh,Mixed
Pakistan,Pakistan's Nuclear Tests (ChagaiUnknownI),International community,Mixed
Pakistan,Kargil Conflict,Citizens of India and Pakistan,Negative
Pakistan,2005 Kashmir Earthquake,Residents of Kashmir,Negative
Pakistan,Assassination of Benazir Bhutto,Pakistani citizens,Negative
Pakistan,Operation ZarbUnknowneUnknownAzb,Residents of North Waziristan,Positive
Pakistan,2014 Peshawar School Massacre,"Students, teachers, families",Negative
Pakistan,ChinaUnknownPakistan Economic Corridor (CPEC) Agreement,Pakistani citizens,Positive
Pakistan,Panama Papers Case & Disqualification of PM Nawaz Sharif,Pakistani citizens,Mixed
Pakistan,Kartarpur Corridor Opening,Sikh community,Positive
Pakistan,FATF Grey List,Pakistani economy,Negative
Pakistan,Imran Khan Elected as Prime Minister,Pakistani citizens,Positive
Pakistan,Abolition of FATA,Residents of FATA,Positive
Pakistan,2019 Pulwama Attack and IndiaUnknownPakistan Standoff,Citizens of India and Pakistan,Negative
Pakistan,MinarUnknowneUnknownPakistan Construction,Pakistani citizens,Positive
Pakistan,Lahore Resolution (Pakistan Resolution),Muslims in British India,Positive
Pakistan,Siachen Glacier Conflict,Indian & Pakistani militaries,Negative
Pakistan,Indus Water Treaty,Residents of India and Pakistan,Positive
Pakistan,Pakistan Atomic Energy Commission Establishment,Pakistani population,Positive
Pakistan,Nationalization in Pakistan,"Business owners, general public",Mixed
Pakistan,Islamabad Declaration,ECO member states,Positive
Pakistan,Motorway Network Development,Pakistani citizens,Positive
Pakistan,Women's Protection Bill,Women in Pakistan,Positive
Pakistan,Malala Yousafzai's Nobel Peace Prize,Global community,Positive
Pakistan,ChinaUnknownPakistan Friendship Highway Completion,"Residents, traders",Positive
Pakistan,Benazir Income Support Programme Launch,LowUnknownincome families,Positive
Pakistan,18th Amendment to the Constitution,Pakistani citizens,Positive
Pakistan,Pakistan's First Satellite Launch,Pakistani scientific community,Positive
Pakistan,Protection of Women Act,Women in Pakistan,Positive
Pakistan,National Database and Registration Authority (NADRA) Establishment,Pakistani citizens,Positive
Pakistan,Karachi Nuclear Power Plant Operational,Pakistani population,Positive
Pakistan,HEC Digital Library Initiative,"Students, researchers",Positive
Pakistan,Gwadar Port Development,"Pakistani economy, regional trade",Positive
Pakistan,National Action Plan Against Terrorism,Pakistani citizens,Positive
Sri Lanka,Independence from British Rule,Sri Lankan citizens,Positive
Sri Lanka,Sinhala Only Act,Sinhalese and Tamil populations,Negative
Sri Lanka,1983 Black July Riots,"Sri Lankan Tamils, general population",Negative
Sri Lanka,Tsunami Disaster,"Coastal residents, general population",Negative
Sri Lanka,End of the Civil War,"Sri Lankan citizens, especially Tamils",Positive
Sri Lanka,Introduction of Free Education Act,"Students, educators",Positive
Sri Lanka,Republican Constitution of 1972,Sri Lankan citizens,Positive
Sri Lanka,Establishment of the Mahaweli Development Project,"Residents, farmers",Positive
Sri Lanka,1987 IndoUnknownSri Lanka Accord,"Sri Lankan Tamils, general population",Mixed
Sri Lanka,2002 Ceasefire Agreement with LTTE,ConflictUnknownaffected populations,Mixed
Sri Lanka,Victory over Terrorism Day,Sri Lankan citizens,Positive
Sri Lanka,Establishment of the Central Bank of Sri Lanka,Economic sectors,Positive
Sri Lanka,First Executive President Elected,Sri Lankan citizens,Mixed
Sri Lanka,Free Health Policy Implementation,Sri Lankan citizens,Positive
Sri Lanka,2019 Easter Bombings,"Christians, tourists",Negative
Sri Lanka,Establishment of the University of Ceylon,"Students, academics",Positive
Sri Lanka,Land Reform Law Enacted,"Landless peasants, farmers",Mixed
Sri Lanka,Women's Franchise Act Passed,Women in Sri Lanka,Positive
Sri Lanka,Establishment of Sri Lanka Broadcasting Corporation,Sri Lankan citizens,Positive
Sri Lanka,Sigiriya Designated as a UNESCO World Heritage Site,Global and local tourists,Positive
China,Invention of Paper by Cai Lun,Global population,Positive
China,Introduction of Buddhism to China,Chinese society,Positive
China,Construction of the Great Wall,Chinese empire,Mixed
China,Tang Dynasty's Golden Age,Chinese and neighboring countries,Positive
China,Founding of the Song Dynasty,Chinese population,Positive
China,Mongol Conquest and the Yuan Dynasty Establishment,Chinese population,Mixed
China,Fall of the Ming Dynasty and Rise of the Qing,Chinese population,Mixed
China,The Opium Wars and Treaty of Nanjing,Chinese population,Negative
China,Taiping Rebellion,Chinese population,Negative
China,Xinhai Revolution and the End of Imperial China,Chinese population,Positive
China,Long March,CCP followers,Positive
China,Cultural Revolution,Chinese population,Negative
China,Handover of Hong Kong,Residents of Hong Kong,Mixed
China,China Hosts the Olympic Games,Global audience,Positive
China,Silk Road Establishment,"Traders, various civilizations",Positive
China,Invention of Gunpowder,Global population,Mixed
China,Invention of the Compass,Global population,Positive
China,Invention of Printing Technology,Global population,Positive
China,Battle of Red Cliffs,Chinese states,Positive
China,The Grand Canal Construction,Chinese population,Positive
China,Zheng He's Expeditions,"Asia, Africa",Positive
China,Ming Dynasty's Voyages of Zheng He,"Asia, Africa",Positive
China,Qing Dynasty's Establishment,Chinese population,Mixed
China,Boxer Rebellion,"Foreigners, Chinese Christians",Negative
China,May Fourth Movement,"Chinese intellectuals, students",Positive
China,OneUnknownChild Policy Introduced,Chinese families,Mixed
China,SinoUnknownJapanese War (Second),Chinese population,Negative
China,Deng Xiaoping's Southern Tour,Chinese citizens,Positive
China,Return of Hong Kong,Residents of Hong Kong,Mixed
China,Return of Macau,Residents of Macau,Mixed
China,2008 Beijing Olympics,Global audience,Positive
China,Shanghai Cooperation Organization Establishment,Member states,Positive
China,Three Kingdoms Period Begins,Chinese population,Mixed
China,An Lushan Rebellion,"Tang dynasty, rebels",Negative
China,Marco Polo's Visit to Yuan Dynasty China,European and Chinese societies,Positive
China,Forbidden City Completion,"Chinese emperors, court",Positive
China,Jesuit Missionaries Arrive in Ming Dynasty,Ming Dynasty society,Mixed
China,Treaty of Nanking Signed,"Qing Dynasty, British Empire",Negative
China,Establishment of the People's Republic of China,Chinese citizens,Positive
China,Economic Reform and OpeningUnknownup Policy Initiated,Chinese citizens,Positive
China,Founding of the People's Republic of China,Chinese citizens,Positive
China,Great Leap Forward,Chinese rural population,Negative
China,Cultural Revolution,Chinese population,Negative
China,SinoUnknownAmerican Rapprochement,Chinese and American populations,Positive
China,Reform and OpeningUnknownup Policy,Chinese citizens,Positive
China,Tiananmen Square Protests,"Protesters, general public",Negative
China,Hong Kong Handover,Residents of Hong Kong,Mixed
China,China Joins the World Trade Organization (WTO),"Global economy, Chinese exporters",Positive
China,2008 Beijing Olympic Games,Global audience,Positive
China,Belt and Road Initiative Announced,"Global, especially participating countries",Mixed
China,SARS Epidemic,Global population,Negative
China,AntiUnknownSecession Law Passed,Chinese and Taiwanese populations,Mixed
China,HighUnknownSpeed Rail Expansion,Chinese citizens,Positive
China,Shanghai World Expo,International visitors,Positive
China,Xi Jinping Assumes Presidency,Chinese citizens,Mixed
China,Made in China 2025 Initiative Announced,"Global economy, Chinese industries",Mixed
China,South China Sea Arbitration Ruling,Regional claimant states,Negative
China,Chang'eUnknown5 Moon Mission Success,Global scientific community,Positive
China,Comprehensive Agreement on Investment with the EU,EU and Chinese investors,Positive
Russia,Foundation of Kievan Rus',East Slavs,Positive
Russia,Mongol Invasion of Rus',Rus' principalities,Negative
Russia,Battle of Kulikovo,Russian principalities,Positive
Russia,Ivan III Tripled the Territory of Russia,Russian state,Positive
Russia,Time of Troubles,Russian population,Negative
Russia,Peter the Great's Reforms,Russian Empire,Positive
Russia,RussoUnknownJapanese War,Russian and Japanese Empires,Negative
Russia,October Revolution,Russian society,Positive
Russia,Russian Civil War,Russian population,Negative
Russia,Stalin's Great Purge,Soviet citizens,Negative
Russia,Nazi Germany Invades the Soviet Union,Soviet Union citizens,Negative
Russia,Victory in the Great Patriotic War,Soviet Union citizens,Positive
Russia,Treaty of BrestUnknownLitovsk,Russian Empire,Negative
Russia,Kronstadt Rebellion,"Sailors, Red Army",Negative
Russia,Formation of the USSR,Citizens of member republics,Positive
Russia,Collectivization of Agriculture,Peasants,Negative
Russia,First FiveUnknownYear Plan Initiated,Soviet workforce,Mixed
Russia,SovietUnknownFinnish Winter War,Finnish and Soviet military,Negative
Russia,Siege of Leningrad,"Civilians, Soviet military",Negative
Russia,Battle of Stalingrad,Soviet and German military,Positive
Russia,Moscow Conference of Foreign Ministers,Allied nations,Positive
Russia,Yalta Conference,Allied powers,Mixed
USSR,Death of Joseph Stalin,Soviet citizens,Mixed
USSR,Launch of Sputnik 1,Global population,Positive
USSR,Cuban Missile Crisis,Global population,Negative
USSR,Khrushchev's Secret Speech,"Soviet citizens, Communist Party members",Positive
USSR,The Prague Spring and its Suppression,Czechoslovak citizens,Negative
USSR,SovietUnknownAfghan War,Afghan and Soviet citizens,Negative
USSR,Perestroika and Glasnost Reforms,Soviet citizens,Positive
USSR,Chernobyl Nuclear Disaster,Global population,Negative
USSR,Fall of the Berlin Wall,East and West Germans,Positive
USSR,Dissolution of the Soviet Union,Citizens of former USSR,Positive
Russia,Boris Yeltsin Elected as First President of Russia,Russian citizens,Positive
Russia,Constitutional Crisis in Russia,Russian citizens,Negative
Russia,Financial Crisis in Russia,Russian citizens,Negative
Russia,Putin's First Presidential Term,Russian citizens,Mixed
Russia,Moscow Theater Hostage Crisis,"Hostages, terrorists",Negative
Russia,Beslan School Siege,Beslan residents,Negative
Russia,Russia's Annexation of Crimea,"Ukrainians, Russians",Negative
Russia,Intervention in the Syrian Civil War,Syrian population,Mixed
Russia,Skripal Poisoning Incident,"Skripal family, UK citizens",Negative
Japan,Asuka Period Begins,Japanese society,Positive
Japan,Taika Reforms,Japanese society,Positive
Japan,Nara Period Begins,Japanese society,Positive
Japan,Heian Period Begins,Japanese society,Positive
Japan,The Tale of Genji by Murasaki Shikibu,"Japanese literature, global readership",Positive
Japan,Kamakura Shogunate Established,Japanese society,Mixed
Japan,Mongol Invasions of Japan,Japanese defenders,Positive
Japan,Muromachi Period Begins,Japanese society,Mixed
Japan,Onin War,Japanese society,Negative
Japan,Introduction of Firearms by Portuguese,"Japanese warlords, samurai",Mixed
Japan,AzuchiUnknownMomoyama Period Begins,Japanese society,Positive
Japan,Tokugawa Shogunate Established,Japanese society,Positive
Japan,Sakoku Edict of 1635,Japanese society,Mixed
Japan,Meiji Restoration,Japanese society,Positive
Japan,SinoUnknownJapanese War,Chinese and Japanese Empires,Positive
Japan,RussoUnknownJapanese War,Russian and Japanese Empires,Positive
Japan,Taisho Democracy,Japanese society,Mixed
Japan,Japanese Invasion of Manchuria,Chinese and Japanese populations,Negative
Japan,Second SinoUnknownJapanese War,Chinese and Japanese civilians,Negative
Japan,Atomic Bombings of Hiroshima and Nagasaki,Japanese civilians,Negative
Japan,Perry Expedition and Opening of Japan,Japanese society,Mixed
Japan,Boshin War,Japanese society,Positive
Japan,Iwakura Mission,Japanese society,Positive
Japan,Satsuma Rebellion,"Japanese government, samurai",Negative
Japan,First SinoUnknownJapanese War,Chinese and Japanese Empires,Positive
Japan,JapanUnknownKorea Annexation Treaty,Korean population,Negative
Japan,Washington Naval Conference,International community,Positive
Japan,Manchurian Incident,Chinese and Japanese populations,Negative
Japan,Marco Polo Bridge Incident,Chinese and Japanese populations,Negative
Japan,Japan's Surrender in World War II,Japanese population,Negative
Japan,San Francisco Peace Treaty Signed,Japanese population,Positive
Japan,Japan Joins the United Nations,Global community,Positive
Japan,Income Doubling Plan Announced,Japanese citizens,Positive
Japan,Tokyo Olympics,Global audience,Positive
Japan,Osaka Expo '70,International visitors,Positive
Japan,Oil Crisis and Economic Shift,Japanese economy,Mixed
Japan,JapanUnknownChina Joint Communiqué,Japanese and Chinese populations,Positive
Japan,Heisei Era Begins,Japanese population,Positive
Japan,Great Hanshin Earthquake,Residents of affected area,Negative
Japan,Aum Shinrikyo Tokyo Subway Sarin Attack,"Commuters, general public",Negative
Japan,Japan's Apology for WWII Aggressions,Asian neighbors,Positive
Japan,Kyoto Protocol on Climate Change,Global community,Positive
Japan,Fukushima Daiichi Nuclear Disaster,"Residents of affected area, global community",Negative
Japan,JapanUnknownKorea Comfort Women Agreement,"Victims, South Korean and Japanese populations",Mixed
Japan,Emperor Akihito's Abdication,Japanese population,Positive
Japan,2020 Tokyo Olympics Postponement,"Global audience, athletes",Mixed
Japan,Reiwa Era Begins,Japanese population,Positive
Australia,Arrival of the First Fleet,"Indigenous Australians, British convicts",Mixed
Australia,Establishment of the Colony of Van Diemen's Land,"Tasmanian Aboriginal people, British settlers",Negative
Australia,Gold Rushes Begin,Australian colonies,Positive
Australia,Eureka Stockade,"Miners, colonial authorities",Positive
Australia,Establishment of the Commonwealth of Australia,Australian population,Positive
Australia,ANZAC troops land at Gallipoli,ANZAC soldiers,Negative
Australia,The Great Strike of 1917,"Workers, employers",Mixed
Australia,Women's Suffrage Achieved,Australian women,Positive
Australia,The Great Depression Hits Australia,Australian population,Negative
Australia,Sydney Harbour Bridge Opens,Sydney residents,Positive
Australia,Australian Citizenship Act,Australian residents,Positive
Australia,Darwin Bombing by Japanese Forces,Residents of Darwin,Negative
Australia,Kokoda Trail Campaign,"Australian soldiers, Papua New Guineans",Positive
Australia,Australian Involvement in WWII Begins,"Australian military, civilians",Mixed
Australia,Myall Creek Massacre,Wirrayaraay people,Negative
Australia,The Founding of Melbourne,"Indigenous Australians, settlers",Mixed
Australia,The Shearers' Strike,"Shearers, pastoralists",Mixed
Australia,Federation of Australia,Residents of the colonies,Positive
Australia,Australian Imperial Force's Formation,Australian volunteers,Mixed
Australia,Black Friday Bushfires,Residents of Victoria,Negative
Australia,Signing of the ANZUS Treaty,Australian citizens,Positive
Australia,Mabo v Queensland Decision,Indigenous Australians,Positive
Australia,Introduction of the Universal Health Care System,Australian citizens,Positive
Australia,Sydney Opera House Opens,International and local visitors,Positive
Australia,1967 Referendum on Indigenous Australians,"Indigenous Australians, Australian voters",Positive
Australia,Australia's Involvement in the Vietnam War,"Australian soldiers, civilians",Mixed
Australia,Whitlam Government's Dismissal,Australian citizens,Negative
Australia,Port Arthur Massacre,Australian citizens,Positive
Australia,Australia Act 1986,Australian citizens,Positive
Australia,Apology to Australia's Indigenous Peoples,Indigenous Australians,Positive
Australia,Korean War Involvement,"Australian military, Korean civilians",Mixed
Australia,ANZUS Treaty Signing,Australian citizens,Positive
Australia,Vietnam War Involvement,"Australian military, Vietnamese civilians",Negative
Australia,Aboriginal Land Rights Act,Indigenous Australians,Positive
Australia,Sydney Opera House Opens,Global and local visitors,Positive
Australia,Whitlam Government Dismissal,Australian citizens,Negative
Australia,Australia Acts 1986,Australian citizens,Positive
Australia,Mabo Decision by the High Court,Indigenous Australians,Positive
Australia,Port Arthur Massacre,Australian citizens,Positive
Australia,Sydney 2000 Summer Olympics,Global audience,Positive
Australia,Apology to the Stolen Generations,Indigenous Australians,Positive
Australia,Introduction of Goods and Services Tax (GST),Australian consumers,Mixed
Australia,SameUnknownSex Marriage Legalization,LGBTQ+ Australians,Positive
Australia,"""Tampa"" Refugee Crisis",Asylum seekers,Negative
Australia,Black Saturday Bushfires,Residents of Victoria,Negative
Australia,Repeal of Carbon Tax,Australian citizens,Negative
Australia,Royal Commission into Institutional Responses...,Abuse survivors,Positive
Australia,Australia's First Female Prime Minister,Australian citizens,Positive
New Zealand,Signing of the Treaty of Waitangi,"Māori, European settlers",Mixed
New Zealand,New Zealand Wars,"Māori, European settlers",Negative
New Zealand,Gold Rushes Begin,"European settlers, Māori",Positive
New Zealand,Introduction of the New Zealand Constitution Act,New Zealanders,Positive
New Zealand,Women's Suffrage Achieved,Women in New Zealand,Positive
New Zealand,Creation of the Welfare State,New Zealanders,Positive
New Zealand,Māori Seats Established in Parliament,Māori,Positive
New Zealand,Mount Tarawera Eruption,Residents near Tarawera,Negative
New Zealand,Refrigerated Shipping Invented,New Zealand economy,Positive
New Zealand,Anzac Forces Land at Gallipoli,ANZAC soldiers,Negative
New Zealand,Labour Party Elected for the First Time,New Zealanders,Positive
New Zealand,Ratana Movement Political Involvement,Māori,Positive
New Zealand,Social Security Act Passed,New Zealanders,Positive
New Zealand,New Zealand Expeditionary Force in WWII,"Military personnel, civilians",Mixed
New Zealand,National Party Founded,New Zealanders,Positive
New Zealand,State Housing Introduced,LowUnknownincome families,Positive
New Zealand,Waitangi Day Established,New Zealanders,Positive
New Zealand,1st Labour Government Elected,New Zealanders,Positive
New Zealand,Compulsory Military Training Introduced,Young male citizens,Mixed
New Zealand,Construction of Auckland Harbour Bridge,Auckland residents,Positive
New Zealand,Treaty of Waitangi Act 1975,"Māori, New Zealanders",Positive
New Zealand,ANZUS Treaty Suspension,New Zealanders,Positive
New Zealand,Introduction of Nuclear Free Zone,New Zealanders,Positive
New Zealand,Homosexual Law Reform Act,"LGBTQ+ Community, New Zealanders",Positive
New Zealand,Rogernomics Initiatives Begin,New Zealanders,Mixed
New Zealand,Resource Management Act Enacted,New Zealanders,Positive
New Zealand,1981 Springbok Tour Protests,"Protesters, rugby fans",Mixed
New Zealand,Waitangi Tribunal Established,Māori,Positive
New Zealand,2011 Christchurch Earthquake,"Christchurch residents, New Zealanders",Negative
New Zealand,Foreshore and Seabed Controversy,"Māori, New Zealanders",Mixed
New Zealand,New Zealand's First Female Prime Minister,New Zealanders,Positive
New Zealand,AntiUnknownNuclear Legislation Enacted,New Zealanders,Positive
New Zealand,Auckland Harbour Bridge Protests,"Māori, activists",Positive
New Zealand,MMP Electoral System Introduced,New Zealand voters,Positive
New Zealand,New Zealand Signs Kyoto Protocol,New Zealanders,Positive
New Zealand,1987 New Zealand Constitution Act,New Zealanders,Positive
New Zealand,New Zealand Bill of Rights Act,New Zealanders,Positive
New Zealand,Formation of the Māori Party,"Māori, political observers",Positive
New Zealand,Recognition of the Māori Language,"Māori, New Zealanders",Positive
New Zealand,Decriminalization of Homosexuality,"LGBTQ+ Community, New Zealanders",Positive
Korea,Establishment of Goryeo Dynasty,Korean people,Positive
Korea,Mongol Invasions of Korea,Korean people,Negative
Korea,Establishment of Joseon Dynasty,Korean people,Positive
Korea,Japanese Invasions of Korea (Imjin War),Korean people,Mixed
Korea,Manchu Invasions of Korea,Korean people,Negative
Korea,The Gabo Reform,Korean people,Mixed
Korea,Assassination of Empress Myeongseong,"Korean royal family, citizens",Negative
Korea,Korean Empire Proclaimed,Korean people,Positive
Korea,RussoUnknownJapanese War,Korean people,Negative
Korea,JapanUnknownKorea Annexation Treaty,Korean people,Negative
Korea,March 1st Movement,Korean people,Mixed
Korea,Establishment of the Provisional Government,Korean people,Positive
Korea,Korean Liberation,Korean people,Positive
Korea,Division of Korea,Korean people,Negative
South Korea,Establishment of the Republic of Korea,South Koreans,Positive
North Korea,Establishment of the Democratic People's Republic of Korea,North Koreans,Negative
South Korea,Jeju Uprising,Jeju Island residents,Negative
Korea,Korean War,"Korean people, international forces",Negative
South Korea,US Military Government in South Korea,South Koreans,Mixed
North Korea,Soviet Occupation of North Korea,North Koreans,Mixed
North Korea,Korean War,Korean people,Mixed
North Korea,Armistice Agreement,Korean people,Positive
North Korea,Establishment of the Juche Ideology,North Korean citizens,Mixed
North Korea,Pueblo Incident,"US Navy crew, North Koreans",Negative
North Korea,Kim IlUnknownsung’s Death,North Korean citizens,Negative
North Korea,North Korea's First Nuclear Test,International community,Negative
South Korea,April Revolution,South Korean citizens,Positive
South Korea,May 16 Coup,South Korean citizens,Positive
South Korea,Gwangju Uprising,Gwangju residents,Positive
South Korea,Seoul Olympics,International audience,Positive
South Korea,Kim DaeUnknownjung’s Sunshine Policy,Koreans,Positive
South Korea,2002 FIFA World Cup,Global audience,Positive
South Korea,Impeachment of President Roh MooUnknownhyun,South Korean citizens,Mixed
South Korea,THAAD Deployment Controversy,"South Korean citizens, China",Negative
South Korea,2018 InterUnknownKorean Summit,Koreans,Positive
North Korea,Second Nuclear Test,International community,Negative
North Korea,Death of Kim JongUnknownil,North Korean citizens,Mixed
North Korea,Kim JongUnknownun Assumes Power,North Korean citizens,Mixed
Vietnam,Battle of Điện Biên Phủ,"Vietnamese, French forces",Positive
Vietnam,Geneva Accords,Vietnamese people,Mixed
Vietnam,Establishment of the National Liberation Front,"South Vietnamese, Viet Cong",Mixed
Vietnam,Gulf of Tonkin Incident,"Vietnamese, US military",Negative
Vietnam,Tết Offensive,"Vietnamese, US civilians",Mixed
Vietnam,Paris Peace Accords,"Vietnamese, US military",Mixed
Vietnam,Fall of Saigon,"South Vietnamese, North Vietnamese",Positive
Vietnam,Reunification of Vietnam,Vietnamese people,Positive
Vietnam,Normalization of USUnknownVietnam Relations,"Vietnamese, Americans",Positive
Vietnam,Vietnam Joins ASEAN,Vietnamese people,Positive
Vietnam,Vietnam Joins the World Trade Organization,Vietnamese economy,Positive
Vietnam,1000th Anniversary of Hanoi,Vietnamese people,Positive
Vietnam,Vietnam Hosts APEC Summit,"Global leaders, Vietnamese people",Positive
Vietnam,"Resolution on ""Vietnam's Marine Strategy to 2020""",Vietnamese people,Positive
Vietnam,Vietnam's First Communication Satellite,Vietnamese people,Positive
Vietnam,Historic US Presidential Visit to Vietnam,"Vietnamese, Americans",Positive
Vietnam,COVIDUnknown19 Pandemic Response,Vietnamese people,Positive
Vietnam,Typhoon Damrey Strikes Vietnam,Residents of affected areas,Negative
Vietnam,Establishment of Đại Việt,Vietnamese people,Positive
Vietnam,Lý Dynasty Founded,Vietnamese people,Positive
Vietnam,Trần Dynasty Defeats Mongol Invasions,Vietnamese people,Positive
Vietnam,Hồ Dynasty's Adoption of NeoUnknownConfucianism,Vietnamese people,Mixed
Vietnam,Lê Dynasty Restoration,Vietnamese people,Positive
Vietnam,Nguyễn Dynasty's Expansion Southwards,"Vietnamese people, Khmer people",Positive
Vietnam,Tay Son Rebellion,Vietnamese people,Mixed
Vietnam,Gia Long Becomes Emperor,Vietnamese people,Positive
Vietnam,French Colonization Begins,Vietnamese people,Negative
Vietnam,Hanoi Poison Plot,"French officials, Vietnamese rebels",Negative
Vietnam,Founding of the Vietnamese Nationalist Party,Vietnamese nationalists,Mixed
Vietnam,Yên Bái Mutiny,"Vietnamese soldiers, civilians",Mixed
Vietnam,Establishment of the Indochinese Communist Party,Vietnamese people,Positive
Vietnam,Japanese Occupation of Vietnam,Vietnamese people,Mixed
Vietnam,August Revolution,Vietnamese people,Positive
Vietnam,Declaration of Independence,Vietnamese people,Positive
Vietnam,First Indochina War Begins,Vietnamese people,Negative
Vietnam,Battle of Điện Biên Phủ,"Vietnamese, French soldiers",Positive
Vietnam,Formation of the Viet Minh,Vietnamese people,Mixed
Saudi Arabia,First Saudi State Established,Arabian Peninsula,Positive
Saudi Arabia,Destruction of the First Saudi State,Arabian Peninsula,Negative
Saudi Arabia,Establishment of the Second Saudi State,Arabian Peninsula,Positive
Saudi Arabia,Annexation of Hejaz,Hejaz,Positive
Saudi Arabia,Ikhwan Revolt,Arabian Peninsula,Mixed
Saudi Arabia,Treaty of Jeddah,"Arabian Peninsula, UK",Positive
Saudi Arabia,Discovery of Oil,Saudi Arabia,Positive
Saudi Arabia,Founding of Saudi Aramco,Saudi Arabia,Positive
Saudi Arabia,Establishment of the Kingdom of Saudi Arabia,Arabian Peninsula,Positive
