region,variety,name
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Astralis Syrah 1998
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Astralis Syrah 1999
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Astralis Syrah 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Astralis Syrah 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Astralis Syrah 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Astralis Syrah 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Astralis Syrah 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Astralis Syrah 2011
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Bakers Gully Syrah 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Bakers Gully Syrah 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Bakers Gully Syrah 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 1998
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 2001
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 2002
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache 2011
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Blewitt Springs Grenache (torn labels) 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Cabernet Sauvignon 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Cabernet Sauvignon 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Cabernet Sauvignon 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Cabernet Sauvignon 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Cabernet Sauvignon 2007
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Cabernet Sauvignon 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Cabernet Sauvignon 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Merlot 2002
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Merlot 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Merlot 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Merlot 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Merlot 2007
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Merlot 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Merlot 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Merlot 2011
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 1998
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2001
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2002
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2007
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Brookman Syrah 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Clarendon Vineyard Grenache 1998
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Clarendon Vineyard Grenache 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Clarendon Vineyard Grenache 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Clarendon Vineyard Grenache 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Clarendon Vineyard Grenache 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Cabernet Sauvignon 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Cabernet Sauvignon 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Cabernet Sauvignon 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Cabernet Sauvignon 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Grenache 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Grenache 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Grenache 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Grenache 2011
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Grenache (torn labels) 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 1998
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2001
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2007
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Hickinbotham Syrah 2011
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache 1998
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache 2001
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache 2002
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Kangarilla Grenache (scuffed labels) 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Liandra Syrah 1998
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Liandra Syrah 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Liandra Syrah 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Liandra Syrah 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Liandra Syrah 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Liandra Syrah 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Moritz Syrah 2001
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Moritz Syrah 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Moritz Syrah 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Moritz Syrah 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Moritz Syrah 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Moritz Syrah 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Moritz Syrah 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Moritz Syrah 2011
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Piggott Range Syrah 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Piggott Range Syrah 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Piggott Range Syrah 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Piggott Range Syrah 2008
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Piggott Range Syrah 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2001
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2002
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2007
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2009
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Romas Grenache 2010
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Sandown Cabernet Sauvignon 1998
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Sandown Cabernet Sauvignon 2002
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Sandown Cabernet Sauvignon 2003
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Sandown Cabernet Sauvignon 2004
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Sandown Cabernet Sauvignon 2005
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Sandown Cabernet Sauvignon 2006
"McLaren Vale, South Australia, Australia",Red Wine,Clarendon Hills Sandown Cabernet Sauvignon 2010
"Napa Valley, California",Red Wine,Clark-Claudon Cabernet Sauvignon 1998
"Napa Valley, California",Red Wine,Clark-Claudon Cabernet Sauvignon 2007
"Napa Valley, California",Red Wine,Clark-Claudon Estate Cabernet Sauvignon 2009
"McLaren Vale, South Australia, Australia",Red Wine,Classic McLaren La Testa Shiraz 1997
"Loire, France",Red Wine,Clau de Nell Cabernet Franc 2014
"Loire, France",Red Wine,Clau de Nell Cabernet Franc 2015
"Loire, France",Red Wine,Clau de Nell Cuvee Violette 2012
"Loire, France",Red Wine,Clau de Nell Cuvee Violette 2013
"Loire, France",Red Wine,Clau de Nell Cuvee Violette 2014
"Loire, France",Red Wine,Clau de Nell Grolleau 2013
"Loire, France",Red Wine,Clau de Nell Grolleau 2014
"Sancerre, Loire, France",White Wine,Claude Riffault Les Boucauds Sancerre 2011
"North Coast, California",Red Wine,Claudia Springs Vittorio's Secret Red Blend 2009
"Red Hills, Lake County, North Coast, California",White Wine,Clay Shannon Chardonnay 2018
"Paso Robles, Central Coast, California",Red Wine,Clayhouse Paso Robles Cabernet Sauvignon 2013
"Sonoma Coast, Sonoma County, California",Red Wine,Claypool Cellars CC Pachyderm Pinot Noir 2013
"Mosel, Germany",White Wine,Clean Slate Riesling 2017
"Campania, Italy",White Wine,Clelia Romano Colli di Lapio Fiano di Avellino 2015
"Mosel, Germany",White Wine,Clemens Busch Riesling Spatlese Marienburg 2018
"Emilia-Romagna, Italy",Sparkling & Champagne,Cleto Chiarli Brut de Noir Rose
"Emilia-Romagna, Italy",Sparkling & Champagne,Cleto Chiarli Lambrusco di Castelvetro Vigneto Cialdini 2013
"Emilia-Romagna, Italy",Sparkling & Champagne,Cleto Chiarli Lambrusco di Sorbara Vecchia Modena
"Napa Valley, California",Red Wine,Clif Family Winery Gary's Improv Zinfandel 2007
"Napa Valley, California",Red Wine,Clif Family Winery Gary's Improv Zinfandel 2009
"Napa Valley, California",Red Wine,Clif Family Winery Kit's Killer Cab 2007
"Oak Knoll District, Napa Valley, California",White Wine,Clif Family Winery Oak Knoll Sauvignon Blanc 2018
"Mendocino, California",Pink and Rosé,Clif Family Winery Rose of Grenache 2019
"Napa Valley, California",White Wine,Clif Family Winery Rte Blanc 2018
"Napa Valley, California",White Wine,Clif Family Winery Rte Blanc 2019
"Napa Valley, California",Red Wine,Clif Family Winery The Climber Red Blend 2009
"Napa Valley, California",Red Wine,Clif Family Winery The Climber Red Blend 2010
California,White Wine,Clif Family Winery The Climber Sauvignon Blanc 2010
"Napa Valley, California",White Wine,Clif Family Winery Viognier 2018
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Beautiful Generation Cabernet Sauvignon 2012
"Napa Valley, California",Red Wine,Cliff Lede Beckstoffer To Kalon Vineyard Cabernet Sauvignon (1.5L Magnum) 2014
"Napa Valley, California",Red Wine,Cliff Lede Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2014
"Howell Mountain, Napa Valley, California",Red Wine,Cliff Lede Cinnamon Rhapsody Cabernet Sauvignon 2009
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Claret 2005
"Napa Valley, California",Red Wine,Cliff Lede High Fidelity 2010
"Napa Valley, California",Red Wine,Cliff Lede High Fidelity 2012
"Napa Valley, California",Red Wine,Cliff Lede High Fidelity 2013
"Napa Valley, California",Red Wine,Cliff Lede High Fidelity 2014
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Moondance Dream Cabernet Sauvignon 2011
"Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2001
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2005
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2006
"Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2007
"Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2008
"Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2009
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2012
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2014
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2015
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2016
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Poetry Cabernet Sauvignon 2017
"Napa Valley, California",White Wine,Cliff Lede Sauvignon Blanc 2004
"Napa Valley, California",White Wine,Cliff Lede Sauvignon Blanc 2007
"Napa Valley, California",White Wine,Cliff Lede Sauvignon Blanc 2008
"Napa Valley, California",White Wine,Cliff Lede Sauvignon Blanc 2010
"Napa Valley, California",White Wine,Cliff Lede Sauvignon Blanc 2014
"Napa Valley, California",White Wine,Cliff Lede Sauvignon Blanc 2015
"Napa Valley, California",White Wine,Cliff Lede Sauvignon Blanc 2017
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Scarlet Love Cabernet Sauvignon 2014
"Napa Valley, California",Red Wine,Cliff Lede Songbook Cabernet Sauvignon 2005
"Napa Valley, California",Red Wine,Cliff Lede Songbook Cabernet Sauvignon 2007
"Napa Valley, California",Red Wine,Cliff Lede Songbook Cabernet Sauvignon 2008
"Napa Valley, California",Red Wine,Cliff Lede Songbook Cabernet Sauvignon 2009
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Songbook Cabernet Sauvignon 2012
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Songbook Cabernet Sauvignon 2013
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon (1.5 Liter Magnum) 2012
"Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2001
"Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2002
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2005
"Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2006
"Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2007
"Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2008
"Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2009
"Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2010
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2011
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2012
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2013
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2015
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon 2016
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stags Leap District Cabernet Sauvignon (375ML half-bottle) 2016
"Stags Leap District, Napa Valley, California",Red Wine,Cliff Lede Stardust Heaven Cabernet Sauvignon 2013
"Marlborough, New Zealand",Red Wine,Clifford Bay Marlborough Pinot Noir 2010
"Marlborough, New Zealand",White Wine,Clifford Bay Sauvignon Blanc 2014
"Marlborough, New Zealand",White Wine,Clifford Bay Sauvignon Blanc 2016
California,Red Wine,Cline Ancient Vines Mourvedre 2001
California,Red Wine,Cline Ancient Vines Mourvedre 2004
California,Red Wine,Cline Ancient Vines Mourvedre 2007
California,Red Wine,Cline Ancient Vines Mourvedre 2010
"San Francisco Bay, Central Coast, California",Red Wine,Cline Ancient Vines Mourvedre 2016
"Sonoma County, California",Red Wine,Cline Ancient Vines Zinfandel 1997
"Sonoma County, California",Red Wine,Cline Ancient Vines Zinfandel 1998
California,Red Wine,Cline Ancient Vines Zinfandel 2004
California,Red Wine,Cline Ancient Vines Zinfandel 2010
California,Red Wine,Cline Ancient Vines Zinfandel 2011
"San Francisco Bay, Central Coast, California",Red Wine,Cline Ancient Vines Zinfandel 2014
"San Francisco Bay, Central Coast, California",Red Wine,Cline Ancient Vines Zinfandel 2015
California,Red Wine,Cline Ancient Vines Zinfandel (375ML half-bottle) 2014
"San Francisco Bay, Central Coast, California",Red Wine,Cline Big Break Grenache 2013
"Sonoma County, California",Red Wine,Cline Big Break Zinfandel 1997
"Sonoma County, California",Red Wine,Cline Big Break Zinfandel 1998
"Sonoma County, California",Red Wine,Cline Big Break Zinfandel 1999
California,Red Wine,Cline Big Break Zinfandel 2004
California,Red Wine,Cline Big Break Zinfandel 2007
California,Red Wine,Cline Big Break Zinfandel 2008
"San Francisco Bay, Central Coast, California",Red Wine,Cline Big Break Zinfandel 2012
"San Francisco Bay, Central Coast, California",Red Wine,Cline Big Break Zinfandel 2016
"Central Coast, California",Red Wine,Cline Bridgehead Zinfandel 1997
"Central Coast, California",Red Wine,Cline Bridgehead Zinfandel 1999
"Sonoma County, California",Red Wine,Cline Cool Climate Syrah 2006
California,White Wine,Cline Cotes de Oakley Blanc 1999
"Sonoma County, California",Red Wine,Cline Fulton Zinfandel 1999
"Sonoma County, California",Red Wine,Cline Live Oak Zinfandel 1997
"Sonoma County, California",Red Wine,Cline Live Oak Zinfandel 1998
"Sonoma County, California",Red Wine,Cline Live Oak Zinfandel 1999
"Sonoma County, California",Red Wine,Cline Live Oak Zinfandel 2000
"Lodi, California",Red Wine,Cline Lodi Zinfandel 2018
"Lodi, California",Red Wine,Cline  Lodi Zinfandel (375ML half-bottle) 2013
"Carneros, California",Red Wine,Cline Los Carneros Syrah 1999
California,Red Wine,Cline Red Truck 2002
California,Red Wine,Cline Small Berry Mourvedre 1999
"Sonoma County, California",Red Wine,Cline Sonoma Zinfandel 2004
California,Red Wine,Cline Zinfandel 1999
"Hilltops, New South Wales, Australia",Red Wine,Clonakilla Hilltops Shiraz 2015
Australia,Red Wine,Clonakilla Shiraz Viognier 2006
Australia,Red Wine,Clonakilla Shiraz Viognier 2014
"Priorat, Spain",Red Wine,Clos Abella Priorat 2005
"Corsica, France",Pink and Rosé,Clos Alivu Rose 2015
"Corsica, France",Pink and Rosé,Clos Alivu Rose 2016
Chile,Red Wine,Clos Apalta (1.5 Liter Magnum) 2013
Chile,Red Wine,Clos Apalta (1.5 Liter Magnum) 2017
Chile,Red Wine,Clos Apalta 1997
Chile,Red Wine,Clos Apalta 1999
Chile,Red Wine,Clos Apalta 2000
Chile,Red Wine,Clos Apalta 1999
"Colchagua Valley, Rapel Valley, Chile",Red Wine,Clos Apalta 2001
Chile,Red Wine,Clos Apalta 2002
Chile,Red Wine,Clos Apalta 2004
"Colchagua Valley, Rapel Valley, Chile",Red Wine,Clos Apalta 2005
Chile,Red Wine,Clos Apalta 2006
"Colchagua Valley, Rapel Valley, Chile",Red Wine,Clos Apalta 2010
"Colchagua Valley, Rapel Valley, Chile",Red Wine,Clos Apalta 2011
Chile,Red Wine,Clos Apalta 2012
Chile,Red Wine,Clos Apalta 2013
"Colchagua Valley, Rapel Valley, Chile",Red Wine,Clos Apalta 2017
"Colchagua Valley, Rapel Valley, Chile",Red Wine,Clos Apalta Le Petit Clos Apalta 2014
"Cotes du Rhone Villages, Rhone, France",White Wine,Clos Bellane Cotes du Rhone Villages Valreas Blanc 2015
"Cotes du Rhone Villages, Rhone, France",Red Wine,Clos Bellane Cotes du Rhone Villages Valreas Rouge 2014
"Cotes du Rhone Villages, Rhone, France",White Wine,Clos Bellane Les Echalas Cotes du Rhone Villages Blanc Valreas 2013
"Priorat, Spain",Red Wine,Clos Berenguer Priorat Seleccio 2009
Australia,Red Wine,Clos Clare Shiraz 2000
"Cotes de Provence, Provence, South of France, France",Pink and Rosé,Clos Clementine Cotes de Provence Rose 2011
"Saumur, Loire, France",Red Wine,Clos Cristal Cabernet Franc Saumur-Champigny 2008
Spain,Red Wine,Clos d'Agon Emporda Tinto 2009
"Terra Alta, Spain",Red Wine,Clos Dalian Garnacha Crianza 2015
France,Red Wine,Clos de la Niverdiere Chinon 2009
France,Red Wine,Clos de la Niverdiere Chinon 2010
"Beaujolais, Burgundy, France",Red Wine,Clos de la Roilette Fleurie 2006
"Santa Cruz Mountains, California",Red Wine,Clos de la Tech Domaine Lois Louise Cote Sud Pinot Noir 2010
"Santa Cruz Mountains, California",Red Wine,Clos de la Tech Domaine Lois Louise Twisty Ridge Pinot Noir 2010
"Santa Cruz Mountains, California",Red Wine,Clos de la Tech Domaine Valeta Sunny Slope Pinot Noir 2010
"Santa Cruz Mountains, California",Red Wine,Clos de la Tech Santa Cruz Mountains Estates Pinot Noir 2010
"Pomerol, Bordeaux, France",Red Wine,Clos de la Vieille Eglise Pomerol 2003
"St. Emilion, Bordeaux, France",Red Wine,Clos de l'Oratoire (1.5 Liter Magnum) 2012
"St. Emilion, Bordeaux, France",Red Wine,Clos de l'Oratoire 2011
"St. Emilion, Bordeaux, France",Red Wine,Clos de l'Oratoire 2012
"St. Emilion, Bordeaux, France",Red Wine,Clos de l'Oratoire 2014
"St. Emilion, Bordeaux, France",Red Wine,Clos de l'Oratoire 2016
"St. Emilion, Bordeaux, France",Red Wine,Clos de l'Oratoire (375ML half-bottle) 2012
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes 1998
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes 2009
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes 2010
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes 2011
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes 2012
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes 2013
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes 2014
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes 2015
"Chateauneuf-du-Pape, Rhone, France",White Wine,Clos de l'Oratoire des Papes Blanc 2012
"Chateauneuf-du-Pape, Rhone, France",White Wine,Clos de l'Oratoire des Papes Blanc 2013
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos de l'Oratoire des Papes Chateauneuf-du-Pape 2016
"St. Emilion, Bordeaux, France",Red Wine,Clos de l'Oratoire (Futures Pre-Sale) 2018
"St. Emilion, Bordeaux, France",Red Wine,Clos de l'Oratoire (Futures Pre-Sale) 2019
Argentina,Red Wine,Clos de los Siete Red Blend 2006
Argentina,Red Wine,Clos de los Siete Red Blend 2007
Argentina,Red Wine,Clos de los Siete Red Blend 2008
Argentina,Red Wine,Clos de los Siete Red Blend 2009
"Uco Valley, Mendoza, Argentina",Red Wine,Clos de los Siete Red Blend 2011
"Uco Valley, Mendoza, Argentina",Red Wine,Clos de los Siete Red Blend 2012
"Mendoza, Argentina",Red Wine,Clos de los Siete Red Blend 2013
"Mendoza, Argentina",Red Wine,Clos de los Siete Red Blend 2014
"Uco Valley, Mendoza, Argentina",Red Wine,Clos de los Siete Red Blend 2015
"Vouvray, Touraine, Loire, France",White Wine,Clos de Nouys Vouvray Estate Sec 2009
"Collioure, Roussillon, South of France, France",Red Wine,Clos de Paulilles Collioure Rouge 2000
"St. Emilion, Bordeaux, France",Red Wine,Clos de Sarpe 2006
"St. Emilion, Bordeaux, France",Red Wine,Clos de Sarpe 2008
"St. Emilion, Bordeaux, France",Red Wine,Clos de Sarpe 2011
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos des Brusquieres Chateauneuf-du-Pape 2013
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos des Brusquieres Chateauneuf-du-Pape 2015
"Cachapoal Valley, Rapel Valley, Chile",Red Wine,Clos des Fous Cabernet Sauvignon 2013
"Cachapoal Valley, Rapel Valley, Chile",Red Wine,Clos des Fous Cabernet Sauvignon 2014
"Maule Valley, Chile",Red Wine,Clos des Fous Cauquenina 2013
"Maule Valley, Chile",Red Wine,Clos des Fous Subsollum Pinot Noir 2013
"Sauternes, Bordeaux, France",White Wine,Clos des Lunes Lune Blanche 2015
"Sauternes, Bordeaux, France",White Wine,Clos des Lunes Lune Blanche 2016
"Sauternes, Bordeaux, France",White Wine,Clos des Lunes Lune Blanche 2017
"Sauternes, Bordeaux, France",White Wine,Clos des Lunes Lune d'Argent 2014
"Sauternes, Bordeaux, France",White Wine,Clos des Lunes Lune d'Argent 2015
"Sauternes, Bordeaux, France",White Wine,Clos des Lunes Lune d'Argent 2016
"Sauternes, Bordeaux, France",White Wine,Clos des Lunes Lune d'Argent 2017
"Sauternes, Bordeaux, France",White Wine,Clos des Lunes Lune d'Argent 2018
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos des Papes Chateauneuf-du-Pape (1.5 Liter Magnum) 2000
"Chateauneuf-du-Pape, Rhone, France",Red Wine,Clos des Papes Chateauneuf-du-Pape (1.5 Liter Magnum) 2003
