Title,Genre,Tags,Director
Brave New World,"Drama, Sci-Fi","TV Dramas,US TV Shows,TV Shows Based on Books,Sci-Fi TV",
Comrades: Almost a Love Story,"Drama, Romance","Romantic Dramas,Chinese Movies,Dramas,Romantic Movies,Hong Kong Movies,Romantic Favorites",Peter Ho-Sun Chan
The Closet,Comedy,"Korean Movies,Horror Movies,Mysteries",Francis Veber
The Mysterians,"Action, Family, Sci-Fi, Thriller","Sci-Fi & Fantasy,Alien Sci-Fi,Japanese Movies,Classic Movies",Ishirô Honda
No Longer Human,"Biography, Drama, Thriller","Romantic Dramas,Dramas,Romantic Movies,Japanese Movies",Mika Ninagawa
Repast,Drama,"Dramas,Movies Based on Books,Japanese Movies,Classic Movies",Mikio Naruse
Sway,"Crime, Drama","Courtroom Dramas,Dramas,Mysteries,Japanese Movies",Miwa Nishikawa
When a Woman Ascends the Stairs,Drama,"Social Issue Dramas,Dramas,Japanese Movies,Classic Movies",Mikio Naruse
Yearning,Drama,"Romantic Dramas,Dramas,Romantic Movies,Japanese Movies,Classic Movies",Mikio Naruse
Gorath,"Action, Family, Sci-Fi, Thriller","Sci-Fi & Fantasy,Japanese Movies",Ishirô Honda
Ginza Cosmetics,Drama,"Dramas,Movies Based on Books,Japanese Movies,Classic Movies",Mikio Naruse
Floating Clouds,"Drama, Romance","Romantic Dramas,Social Issue Dramas,Dramas,Romantic Movies,Movies Based on Books,Japanese Movies,Classic Movies",Mikio Naruse
Cheer Boys!!,"Animation, Drama, Sport","Teen Movies,Dramas,Sports Dramas,Movies Based on Books,Japanese Movies,Youth Movies,Japanese Youth Dramas",
365 Nights,,"Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books,Japanese Movies,Classic Movies",Kon Ichikawa
Restart After Come Back Home,"Drama, Romance","Romantic Dramas,Dramas,LGBTQ Movies,Romantic Movies,Japanese Movies",Ryûta Inoue
Trial by Fire,"Biography, Drama","Films Based on Real Life,Social Issue Dramas,Dramas",Edward Zwick
5 Minute,Comedy,"Social Issue Dramas,Dramas,LGBTQ Movies,Independent Movies",
Dilili in Paris,"Animation, Adventure, Family, Mystery","Children & Family Movies,Family Adventures,Animated Movies",Michel Ocelot
All of Us,Comedy,"Belgian Movies,Dramas,Documentary Films",
Years and Years,"Drama, Sci-Fi","TV Dramas,Political TV Shows,British",
The New Pope,Drama,"TV Dramas,Italian TV Shows",
Life and Nothing But,"Drama, War","Dramas,Period Pieces,Award-winning Dramas,French",Bertrand Tavernier
Let Joy Reign Supreme,"Drama, History, War","Dramas,Period Pieces,French",Bertrand Tavernier
Coup de Torchon,"Comedy, Crime, Drama","Dramas,Comedies,Movies Based on Books,French",Bertrand Tavernier
Valley of the Gods,"Adventure, Drama, Sci-Fi, Thriller","Dramas,Polish Movies,Polish Dramas",Lech Majewski
Framing John DeLorean,"Documentary, Biography, Drama","Biographical Documentaries,Dramas,Documentary Films","Don Argott, Sheena M. Joyce"
Critters Attack!,"Comedy, Horror, Sci-Fi","Dark Comedies,Sci-Fi & Fantasy,Comedies,Creature Features,Horror Movies,Horror Comedies",Bobby Miller
The Bold Type,Drama,"TV Comedies,TV Dramas,US TV Shows",
Alice,"Comedy, Romance","TV Mysteries,TV Dramas,Korean TV Shows,TV Thrillers,Futuristic Sci-Fi,Sci-Fi TV",Woody Allen
Lobster Cop,"Comedy, Crime","Dark Comedies,Action & Adventure,Chinese Movies,Comedies,Crime Action & Adventure,Action Comedies,Mainland Chinese Movies",Xinyun Li
Magic hour,Crime,"Korean Movies,Dramas,Independent Movies",Cole Mueller
Marionette,"Mystery, Thriller","Korean Movies,Thriller Movies,Mysteries,Crime Thrillers",Elbert van Strien
Miss Baek,Drama,"Korean Movies,Dramas",Ji-won Lee
Old Marine Boy,Documentary,"Korean Movies,Documentary Films",Mo-young Jin
Ordinary People,Drama,"Korean Movies,Thriller Movies,Crime Thrillers",Robert Redford
Outdoor Begins,"Comedy, Fantasy, Horror, Thriller","Korean Movies,Comedies,Horror Movies,Horror Comedies",Jinseung Lim
Paths of the Soul,Drama,"Chinese Movies,Dramas,Mainland Chinese Movies",Yang Zhang
Promise at Dawn,"Biography, Drama, Romance, War","Movies Based on Real Life,Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books,French",Eric Barbier
Rebel in the Rye,"Biography, Drama, Romance, War","Movies Based on Real Life,Dramas,Movies Based on Books,US Movies",Danny Strong
The Return,Drama,"Korean Movies,Dramas",Andrey Zvyagintsev
The Rookies,"Crime, Drama","Action & Adventure,Chinese Movies,Comedies,Action Comedies,Mainland Chinese Movies",
Snatch Up,"Drama, Crime, Action","Korean Movies,Thriller Movies,Crime Thrillers",Joon-Hyeong Heo
Stray,"Action, Crime, Fantasy, Thriller","Horror Movies,Russian Movies,Supernatural Horror Movies",Joe Sill
Stand by Me,"Adventure, Drama","Korean Movies,Dramas",Rob Reiner
Tea Pets,"Animation, Adventure","Children & Family Movies,Chinese Movies,Comedies,Family Features,Family Comedies,Mainland Chinese Movies",Gary Wang
A Tiger In Winter,"Drama, Romance","Korean Movies,Dramas",Kwang-kuk Lee
The Three Little Pigs,Animation,"Children & Family Movies,Chinese Movies,Animal Tales,Comedies,Action Comedies,Family Comedies,Mainland Chinese Movies",
Wonderstruck,"Adventure, Drama, Mystery","Children & Family Movies,Action & Adventure,Dramas,Adventures,Movies Based on Books,Mysteries,Family Features,US Movies",Todd Haynes
Keys To The Heart,"Comedy, Drama, Family","Korean Movies,Comedies",Sung-Hyun Choi
Intimate Strangers,"Drama, Romance, Thriller","Korean Movies,Comedies",Patrice Leconte
Homme Fatale,"Comedy, History, Romance","Social Issue Dramas,Korean Movies,Comedies,Period Pieces",Da-Jung Nam
Happy Bus Day,"Comedy, Drama","Dark Comedies,Korean Movies,Comedies,Independent Movies",Seung-Won Lee
Gonjiam: Haunted Asylum,Horror,"Korean Movies,Horror Movies,Supernatural Horror Movies",Beom-sik Jeong
Golden Slumber,"Action, Drama, Thriller","Action & Adventure,Korean Movies,Movies Based on Books,Action Thrillers",Yoshihiro Nakamura
Extreme Job,"Action, Comedy, Crime","Dark Comedies,Action & Adventure,Korean Movies,Comedies,Crime Action & Adventure,Action Comedies",Byeong-heon Lee
Default,Drama,"Social Issue Dramas,Korean Movies,Dramas",Kook-Hee Choi
Criticsized,"Action, Crime, Drama, Horror, Thriller","Psychological Thrillers,Thriller Movies,Crime Thrillers,US Movies",Carl T. Evans
Communication & Lies,"Short, Drama","Korean Movies,Dramas,Independent Movies",Christopher Banks
Clover,"Comedy, Crime, Thriller","Romantic Dramas,Dramas,Romantic Movies,Japanese Movies",Jon Abrahams
Blood Orange,Thriller,"Independent Movies,Thriller Movies,British",Toby Tobias
The Big Shot,"Crime, Drama, Film-Noir, Thriller","Action & Adventure,Chinese Movies,Crime Action & Adventure,Mainland Chinese Movies",Lewis Seiler
Angels Time,"Action, Drama, Fantasy, Thriller","Romantic Dramas,Korean Movies,Dramas,Romantic Movies",
After My Death,Drama,"Korean Movies,Dramas,Independent Movies,Mysteries",Kim Uiseok
The Age of Blood,Action,"Action & Adventure,Korean Movies,Period Pieces",Hong-sun Kim
The Accidental Detective 2: In Action,"Comedy, Crime, Thriller","Korean Movies,Comedies,Mysteries",Eon-hie Lee
12 Feet Deep,"Horror, Thriller","Horror Movies,US Movies",Matt Eskandari
1987: When the Day Comes,Drama,"Movies Based on Real Life,Social Issue Dramas,Korean Movies,Dramas",Joon-Hwan Jang
Enter the Fat Dragon,"Action, Comedy","Action & Adventure,Chinese Movies,Comedies,Action Comedies,Hong Kong Movies","Kenji Tanigaki, Aman Chang"
Operation Buffalo,"Adventure, Comedy, Drama, Thriller, War","Comedy Programmes,Drama Programmes,Australian TV Programmes",
Bigfoot Family,"Animation, Family","Children & Family Movies,Comedies,Family Features,Family Comedies","Ben Stassen, Jeremy Degruson"
The Girl on the Train,"Crime, Drama, Mystery, Thriller","Bollywood Movies,Psychological Thrillers,Crime Movies,Thriller Movies,Movies Based on Books,Mysteries,Indian Movies,Crime Thrillers,Hindi-Language Movies",Tate Taylor
Ginny & Georgia - The Afterparty,"Animation, Short","Comedies,Talk Shows,Variety TV",Susi Jirkuff
Ride Your Wave,"Animation, Comedy, Drama, Family, Fantasy, Romance","Sci-Fi & Fantasy,Anime Movies,Romantic Movies,Japanese Movies,Sci-Fi & Fantasy Anime,Romance Anime",Masaaki Yuasa
Baumbacher Syndrome,"Comedy, Drama","Comedies,German Movies,German Comedies",Gregory Kirchhoff
La Palma,"Comedy, Drama, Romance","Romantic Comedies,Comedies,Independent Movies,Romantic Movies,German Movies,German Comedies",Erec Brehmer
Fuga,"Drama, Music, Thriller","Dramas,Independent Movies,Music & Musicals,Chilean Movies & TV",Pablo Larraín
Geez & Ann,Animation,"Teen Movies,Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books,Indonesian Movies",
Capone,"Biography, Crime, Drama","Dramas,Crime Films,Crime Dramas,Gangster Films",Josh Trank
Vaterland: A Hunting Logbook,Thriller,"Dark Comedies,Czech Movies,Comedies,Thriller Movies",David Jarab
The Last Bastion,"Drama, History, War","TV Dramas,Period Pieces,Political TV Shows,Social Issue TV Dramas",
Princess Principal,"Animation, Action, Adventure, Drama, Sci-Fi","Action Anime,Anime Series,Mystery & Thriller Anime",
Above Suspicion,"Action, Biography, Crime, Thriller","Films Based on Real Life,Dramas,Crime Dramas,Thrillers,Films Based on Books,Crime Thrillers,Police Thrillers,Police Movies,Police Dramas",Phillip Noyce
A Call to Spy,"Biography, Crime, Drama, Thriller, War","Military Dramas,Films Based on Real Life,Dramas",Lydia Dean Pilcher
Red,"Action, Comedy, Crime, Thriller","Dramas,Crime Movies,Crime Dramas,Indian Movies,Telugu-Language Movies",Robert Schwentke
Made You Look: A True Story About Fake Art,Documentary,"Crime Movies,Crime Documentaries,Canadian Movies,True Crime Documentaries,Documentary Films",Barry Avrich
Il signor Diavolo,"Horror, Mystery, Thriller","Italian Movies,Horror Movies,Thriller Movies",Pupi Avati
Chihayafuru,"Animation, Comedy, Drama","Drama Anime,Anime Series,Teen TV Shows,Japanese TV Shows,Romance Anime,School Anime,Family Watch Together TV,TV Shows Based on Manga",
Classmates Minus,"Comedy, Drama","Dark Comedies,Political Comedies,Chinese Movies,Dramas,Comedies,Political Dramas,Independent Movies,Taiwanese Movies",Hsin-yao Huang
Oh My JUMP!,Drama,"TV Comedies,TV Dramas,Japanese TV Series",
The Mole Agent,Documentary,"Chilean Films & TV,Documentaries",Maite Alberdi
The Loop,Comedy,"Movies Based on Real Life,Action & Adventure,Dramas,Crime Movies,Polish Movies,Crime Dramas,Crime Action & Adventure,Polish Dramas,Gangster Movies",
I Care a Lot,"Comedy, Crime, Thriller","Dark Comedies,Crime Comedies,Satires,LGBTQ Movies,Comedies,Thriller Movies,Crime Thrillers",J Blakeson
No Escape Room,"Horror, Mystery, Thriller","Horror Movies,Supernatural Horror Movies,Teen Screams",Alex Merkin
Legacy of Lies,"Action, Thriller","Action & Adventure,Independent Films,Spy Action & Adventure,Action Thrillers,British",Adrian Bol
2067,Sci-Fi,"Sci-Fi & Fantasy,Australian Movies,Independent Movies,Thriller Movies,Sci-Fi Thrillers,Futuristic Sci-Fi,Cyberpunk",Seth Larney
Ronny & Klaid,"Comedy, Musical","Crime Comedies,Comedies,German Movies,German Crime Movies,German Comedies",Reinhold Schünzel
Burden,Drama,"Movies Based on Real Life,Dramas,Award-winning Dramas",Andrew Heckler
Collective,Documentary,"Political Documentaries,Romanian Movies,Documentaries",Alexander Nanau
Love,"Drama, Romance","Psychological Thrillers,Dramas,Thrillers,Indian Films,Malayalam-language Films",Gaspar Noé
Sisyphus,"Animation, Short","TV Action & Adventure,TV Dramas,Korean TV Shows,TV Thrillers,Sci-Fi TV",Marcell Jankovics
Eeb Allay Ooo!,"Comedy, Drama","Dark Comedies,Social Issue Dramas,Dramas,Comedies,Independent Movies,Indian Movies,Hindi-Language Movies",Prateek Vats
Behind Her Eyes,"Short, Drama","TV Mysteries,TV Dramas,US TV Shows,TV Thrillers,TV Shows Based on Books",Mark Newton
The Manson Family Massacre,"Crime, Horror, Thriller","Horror Movies,Supernatural Horror Movies,US Movies",Andrew Jones
Return of the King Huang Feihong,Action,"Action & Adventure,Chinese Movies,Martial Arts Movies,Mainland Chinese Movies",Guo Yulong
Ten Years Japan,Drama,"Sci-Fi & Fantasy,Sci-Fi Dramas,Japanese Movies","Akiyo Fujimura, Chie Hayakawa, Kei Ishikawa, Yusuke Kinoshita, Megumi Tsuno"
Love at Second Sight,"Comedy, Drama, Fantasy, Romance","Sci-Fi & Fantasy,Romantic Comedies,Comedies,Romantic Movies,Fantasy Movies,French",Hugo Gélin
Liberation,"Drama, History, Romance, War","Action & Adventure,Military Action & Adventure,Chinese Movies,Mainland Chinese Movies",Yuriy Ozerov
The King is Invincible,Action,"Action & Adventure,Chinese Movies,Martial Arts Movies,Mainland Chinese Movies","Xinyu Qiu, Kaiyi Liu"
Amanda,Drama,"Dramas,French",Mikhaël Hers
Corpus Christi,Drama,"Dramas,Polish Movies,Independent Movies",Jan Komasa
The Shadow,"Action, Adventure, Crime, Fantasy, Mystery, Thriller","Action & Adventure,Adventures,Crime Action & Adventure",Russell Mulcahy
Artysci,Drama,"TV Dramas,Polish TV Shows",
Overcoming,"Documentary, Sport","Sports Documentaries,Sports Movies,Danish Movies,Documentary Films",Tómas Gislason
Se min kjole,Drama,"Dramas,Independent Movies,Danish Movies",Hella Joof
Aftermath,"Drama, Thriller","Dramas,Danish Movies",Elliott Lester
Awara Paagal Deewana,"Action, Comedy, Crime, Drama, Thriller","Action & Adventure,Bollywood Films,Dramas,Comedies,Indian Films,Action Comedies,Hindi-language Films",Vikram Bhatt
Unhinged,"Action, Thriller",Thrillers,Derrick Borte
John Lewis: Good Trouble,Documentary,"Biographical Documentaries,Social & Cultural Documentaries,Political Documentaries,Documentaries",Dawn Porter
Repo Man,"Action, Comedy, Crime, Sci-Fi, Thriller","Comedies,Independent Movies,Classic Movies",Alex Cox
For Love of the Game,"Drama, Romance, Sport","Romantic Dramas,Sports Movies,Dramas,Sports Dramas,Romantic Movies,Movies Based on Books,Romantic Favorites",Sam Raimi
The Crew,"Comedy, Crime","TV Comedies,US TV Shows",Michael Dinner
Sweethearts,"Comedy, Drama","Crime Comedies,Comedies,Thriller Movies,Crime Thrillers,German Movies,German Crime Movies,German Comedies",Aleks Horvat
The Queen of Sin,"Drama, Mystery, Thriller",Thriller Movies,Jean-François Rivard
Uppercut,"Action, Comedy, Sport","Comedies,Italian Movies,Action Comedies",Michele Lupo
The Replacement Killers,"Action, Crime, Thriller","Action & Adventure,Crime Films,Crime Action & Adventure,Gangster Films,Action Thrillers",Antoine Fuqua
Then Came You,"Adventure, Comedy, Drama","Comedies,Romantic Films",Peter Hutchings
Story of Women,"Drama, Romance","Dramas,Period Pieces,Award-winning Dramas,French",Claude Chabrol
The Flower of Evil,Drama,"Dramas,French",Claude Chabrol
The Swindle,"Comedy, Crime, Thriller","Comedies,Thriller Movies,French",Claude Chabrol
Madame Bovary,"Drama, Romance","Romantic Dramas,Dramas,Romantic Movies,Movies Based on Books,Period Pieces,French",Sophie Barthes
LEnfer,"Comedy, Drama","Dramas,French",Babis Makridis
Betty,Comedy,"Dramas,Movies Based on Books,French",
New Amsterdam,Drama,"TV Dramas,US TV Shows,TV Shows Based on Books,Social Issue TV Dramas",
Wheel of Fortune,"Family, Game-Show","Reality TV,Competition Reality TV,US TV Shows,Family Watch Together TV",
The Big Day,"Comedy, Romance","Reality TV,Wedding & Romance Reality TV,Indian TV Shows,Lifestyle",Morten Arnfred
The Photograph,"Drama, Romance","Romantic Dramas,Dramas,Independent Movies,Romantic Movies,US Movies",Stella Meghie
Three Nobunagas,"Comedy, Drama, History","Dramas,Comedies,Japanese Movies,Period Pieces",Kei Watanabe
Monsoon,"Drama, Romance","LGBTQ Dramas,Dramas,LGBTQ Films,Independent Films,British",Hong Khaou
White House Farm,"Biography, Crime, Drama, Mystery, Thriller","Drama Programmes,Crime TV Dramas,TV Programmes Based on Books,British",
Follow Me,Documentary,"Australian Movies,Horror Movies",Asri Bendacha
Mundina Nildana,"Comedy, Drama, Romance","Romantic Dramas,Dramas,Romantic Films,Indian Films,Kannada Movies & TV",Vinay Bharadwaj
Capitani,"Crime, Drama, Mystery, Thriller","TV Dramas,Crime TV Dramas",
Romang,"Drama, Romance",,Chang-Geun Lee
SUMMER 03,"Drama, Romance","Teen Movies,Comedies,US Movies",Éric Rohmer
Weathering with You,"Animation, Drama, Fantasy, Romance","Drama Anime,Teen Movies,Anime Movies,Romantic Movies,Japanese Movies,Romantic Favorites,Romance Anime",Makoto Shinkai
Night of the Undead,"Comedy, Sci-Fi, Thriller","Dark Comedies,Sci-Fi & Fantasy,Alien Sci-Fi,Korean Movies,Comedies",Jeong-won Shin
Monster Hunt 2,"Adventure, Comedy, Fantasy, Sci-Fi","Action & Adventure,Sci-Fi & Fantasy,Comedies,Adventures,Fantasy",Raman Hui
Homecoming,"Drama, Mystery, Thriller","Children & Family Films,Comedies,Family Features,Family Comedies,Malaysian Films",
Forgotten Rules,"Comedy, Crime","Crime Comedies,Comedies,Slapstick Comedies,Classic Films,Indonesian Films",H. Tjut Djalil
Lassie Come Home,"Adventure, Drama, Family","Children & Family Movies,Dramas,Adventures,Family Dramas,Family Features,Family Adventures,German Dramas,German Movies",Fred M. Wilcox
The School Trip,"Comedy, Romance","Dark Comedies,Czech Movies,Comedies",Lars Montag
News of the World,"Action, Adventure, Drama, Western","Dramas,Westerns,Movies Based on Books",Paul Greengrass
O Filho Eterno,"Drama, Family","Brazilian Movies,Movies Based on Real Life,Brazilian Dramas,Dramas,Movies Based on Books",Paulo Machline
Paradoks,Crime,"TV Dramas,Crime TV Dramas,Polish TV Shows",
Oh Happy Day,"Comedy, Drama, Music, Romance","Romantic Dramas,Romantic Comedies,Dramas,Comedies,Romantic Movies,Danish Movies",Hella Joof
Kenny Begins,"Action, Comedy, Sci-Fi","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Alien Sci-Fi,Comedies,Sci-Fi Adventure,Adventures,Action Comedies,Swedish Movies","Mats Lindberg, Carl Åstrand"
Cold Lunch,Drama,"Dramas,Norwegian Movies",Eva Sørhaug
Spaceship Earth,Documentary,"Science & Nature Documentaries,Nature & Ecology Documentaries,Documentaries",Matt Wolf
Mr. & Mrs. Incredible,"Action, Comedy, Crime, Thriller","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Romantic Comedies,Comedies,Romantic Films,Fantasy,Slapstick Comedies,Action Comedies,Mainland Chinese Movies",Doug Liman
Golden Chickensss,"Comedy, Drama","Dark Comedies,Comedies,Hong Kong Films",Matt Chow
Golden Chicken,"Drama, Comedy","Dark Comedies,Comedies,Hong Kong Films",Leung Chun 'Samson' Chiu
American Dreams in China,Drama,"Dramas,Mainland Chinese Movies",Peter Ho-Sun Chan
12 Golden Ducks,Comedy,"Dark Comedies,Comedies,Hong Kong Films",Matt Chow
Dont be the First one,"Action, Crime, Thriller",Reality TV,Farhan Akhtar
Space Sweepers,"Action, Adventure, Drama, Fantasy, Sci-Fi","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Sci-Fi Dramas,Korean Movies,Dramas,Sci-Fi Adventure,Adventures,Futuristic Sci-Fi",Sung-hee Jo
"Strip Down, Rise Up",Documentary,Documentary Films,Michèle Ohayon
Malcolm & Marie,"Comedy, Crime, Sci-Fi","Dramas,Independent Movies",Nadia Tass
Little Big Women,Drama,"Chinese Movies,Dramas,Taiwanese Movies",Joseph Chen-Chieh Hsu
Invisible City,Documentary,"TV Dramas,Crime TV Dramas,Brazilian TV Shows,Fantasy TV Shows",Hubert Davis
Yakuza Ladies: The Final Battle,,"Action & Adventure,Dramas,Crime Dramas,Crime Action & Adventure,Movies Based on Books,Japanese Movies,Gangster Action & Adventure",Kôsaku Yamashita
Tim Maia,"Biography, Drama, Music, Romance","Brazilian Movies,Movies Based on Real Life,Brazilian Dramas,Dramas,Movies Based on Books",Mauro Lima
Doob: No Bed of Roses,Drama,"Dramas,Independent Films,Indian Films,Bengali-language Films",Mostofa Sarwar Farooki
The Yin-Yang Master: Dream Of Eternity,"Action, Drama, Fantasy, Mystery, Sci-Fi","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Chinese Movies,Fantasy Movies,Movies Based on Books,Mysteries",Jingming Guo
Ghost Buddies,Comedy,"Comedies,Malaysian Films",Simon Sek
A Febre,"Drama, History, Romance","Brazilian Movies,Brazilian Dramas,Dramas,Mysteries",
Money,"Crime, Mystery, Thriller","Dark Comedies,Comedies,Slapstick Comedies,Classic Movies,Swedish Movies",Martín Rosete
Starring Maja,"Comedy, Drama, Family","Dramas,Comedies,Swedish Movies",Teresa Fabik
Strong As A Lion,"Adventure, Drama, Family","Dramas,Swedish Movies",Manne Lindwall
The Assault,"Action, History, Thriller","Social Issue Dramas,Dramas,Political Dramas,Swedish Movies",Julien Leclercq
The Dream House,"Comedy, Drama, Fantasy","Comedies,Swedish Movies",
The Great Adventure,"Drama, Family","Children & Family Movies,Dramas,Classic Movies,Family Features,Swedish Movies",Arne Sucksdorff
The Pilgrimage to Kevlaar,Drama,"Dramas,Period Pieces,Swedish Movies",Ivan Hedqvist
The Strongest,Drama,"Sports Movies,Dramas,Sports Dramas,Classic Movies,Swedish Movies",Raoul Walsh
Karl Fredrik Reigns,"Comedy, Drama","Social Issue Dramas,Dramas,Political Dramas,Swedish Movies",Gustaf Edgren
Irl (In Real Life),Drama,"Dramas,Movies Based on Books,Swedish Movies",Erik Leijonborg
Ingeborg Holm,Drama,"Social Issue Dramas,Dramas,Classic Movies,Swedish Movies",Victor Sjöström
Hanna in Society,Comedy,"Comedies,Classic Movies,Swedish Movies",Gunnar Olsson
Erotikon,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Movies,Classic Movies,Swedish Movies",Mauritz Stiller
Career,Drama,"Romantic Dramas,Dramas,Romantic Movies,Swedish Movies",Joseph Anthony
Blackjack,"Action, Comedy, Crime, Drama, Thriller","Dramas,Music & Musicals,Swedish Movies",John Woo
Bit By Bit,Comedy,"Comedies,Swedish Movies","Pontus Klänge, Jonathan Metzger"
As Seen On Tv,"Short, Comedy","Comedies,Swedish Movies",Ryan Sage
Angel,"Action, Drama, Fantasy, Thriller","Dramas,Music & Musicals,Swedish Movies",
A Man There Was,"Drama, War","Dramas,Movies Based on Books,Classic Movies,Swedish Movies",Victor Sjöström
Firefly Lane,"Drama, Romance","TV Dramas,Romantic TV Dramas,US TV Shows,TV Shows Based on Books",
Black Beach,"Action, Adventure, Drama, Fantasy, Thriller","Action & Adventure,Action Thrillers,Spanish",Esteban Crespo
Skandal. Ewenement Molesty,"Documentary, Music","Biographical Documentaries,Hip-Hop,Polish Movies,Music & Musicals,Music & Concert Documentaries,Documentary Films",Bartosz Paduch
Kid Cosmic,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","TV Comedies,TV Cartoons,Kids&#39; TV",
The Unsettling,"Crime, Fantasy, Horror, Sci-Fi, Thriller","Teen TV Shows,TV Horror",
Zac and Mia,Drama,"TV Dramas,Romantic TV Dramas,Teen TV Shows,Romantic Favorites,TV Shows Based on Books",
My Dead Ex,Comedy,"TV Comedies,Teen TV Shows",
Love Daily,Romance,Teen TV Shows,
Stolen face,"Crime, Drama","TV Mysteries,TV Action & Adventure,TV Thrillers,TV Shows Based on Books,Japanese TV Series",Terence Fisher
The Woman Who Keeps a Murderer,Horror,"Horror Movies,Thriller Movies,Movies Based on Books,Japanese Movies",Hideo Nakata
Dragon Quest: The Adventure of Dai,"Animation, Action, Adventure, Fantasy","Children & Family Movies,Anime Movies,Japanese Movies,Kids&#39; Anime,Anime Based on Comics",
Aircraft Carrier Ibuki,"Action, Drama, Thriller, War","Action & Adventure,Military Action & Adventure,Japanese Movies,Action Thrillers",Setsurô Wakamatsu
According to Our Butler,"Crime, Drama","Dramas,Movies Based on Books,Mysteries,Japanese Movies",Shinji Kuma
Step,Documentary,"Dramas,Movies Based on Books,Japanese Movies",Amanda Lipitz
The Magician,"Comedy, Drama","Social Issue Dramas,Dramas,Middle-Eastern Films,Comedies,Egyptian Movies","Cem Yilmaz, Ali Taner Baltaci"
Tek Tek Boom,"Comedy, Drama","Social Issue Dramas,Dramas,Middle-Eastern Films,Comedies,Egyptian Movies",Ashraf Fayeq
I Love Cinema,"Drama, Comedy","Political Comedies,Social Issue Dramas,Dramas,Middle-Eastern Films,Comedies,Political Dramas,Egyptian Movies",Osama Fawzy
