director_name,genres,comb
Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller
Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
Shane Black,Action Adventure Sci-Fi,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi
Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller
Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi
Michael Bay,Action Adventure Sci-Fi,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi
Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi
John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport
Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi
Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy
McG,Action Adventure Sci-Fi,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi
James Wan,Action Crime Thriller,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller
Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi
Bryan Singer,Adventure Fantasy,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy
Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance
Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi
Michael Bay,Action Adventure Sci-Fi,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi
Steven Spielberg,Action Adventure Fantasy,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy
Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy
Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy
Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller
Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi
Brett Ratner,Action Comedy Crime Thriller,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller
Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi
Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy
Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi
Andrew Adamson,Adventure Family Fantasy,Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy
Bryan Singer,Action Adventure Sci-Fi,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi
Christopher Nolan,Action Crime Drama Thriller,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller
Pete Docter,Adventure Animation Comedy Family,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family
Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi
Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery
Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western
Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller
David Ayer,Action Adventure Comedy Sci-Fi,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi
Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy
Doug Liman,Action Adventure Sci-Fi,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi
Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller
Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller
Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi
Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy
Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance
Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi
Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy
Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi
Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy
Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi
Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy
Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi
Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy
Jonathan Mostow,Action Sci-Fi,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi
James Gunn,Action Adventure Sci-Fi,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi
Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi
Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller
Peter Jackson,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
David Fincher,Drama Fantasy Romance,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance
Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi
Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi
Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy
Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller
James Bobin,Adventure Family Fantasy,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy
Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy
Duncan Jones,Action Adventure Fantasy,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy
Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi
Michael Apted,Adventure Family Fantasy,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy
Michael Bay,Action Drama History Romance War,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
Michael Bay,Action Adventure Sci-Fi,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi
Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
David Yates,Adventure Family Fantasy Mystery,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery
Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
Peter Berg,Action Drama,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
Francis Lawrence,Drama Horror Sci-Fi,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
Christopher Nolan,Action Adventure,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,Action Sci-Fi,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi
Chris Buck,Adventure Animation Comedy Family Fantasy Musical,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy Musical
Lana Wachowski,Action Sci-Fi,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi
Alan Taylor,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy
George Miller,Action Adventure Sci-Fi Thriller,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller
Ron Howard,Mystery Thriller,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
Kenneth Branagh,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy
Byron Howard,Adventure Animation Comedy Drama Family,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family
Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
Jonathan Liebesman,Action Adventure Fantasy,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy
Tim Burton,Comedy Fantasy Horror,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy Horror
Christopher McQuarrie,Action Adventure Thriller,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure Thriller
Joe Johnston,Drama Fantasy Horror Thriller,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror Thriller
David Yates,Action Adventure Drama Romance,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
Steve Hickner,Adventure Animation Comedy Family,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner Adventure Animation Comedy Family
Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson Action Adventure Animation Comedy Family
M. Night Shyamalan,Action Adventure Family Fantasy,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan Action Adventure Family Fantasy
J.J. Abrams,Action Adventure Thriller,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams Action Adventure Thriller
Roland Emmerich,Action Drama Thriller,Channing Tatum Jake Weber Matt Craven Roland Emmerich Action Drama Thriller
Simon Wells,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells Action Adventure Animation Comedy Family Sci-Fi
David Bowers,Adventure Animation Comedy Family,Hugh Jackman Kate Winslet David Suchet David Bowers Adventure Animation Comedy Family
Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,Ty Burrell Zach Callison Karan Brar Rob Minkoff Adventure Animation Comedy Family Sci-Fi
Wolfgang Petersen,Adventure,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen Adventure
Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell Adventure Animation Comedy Family
Lee Tamahori,Action Adventure Thriller,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure Thriller
Michael Bay,Action Adventure Sci-Fi Thriller,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Sci-Fi Thriller
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith Rosario Dawson Rip Torn Barry Sonnenfeld Action Adventure Comedy Family Fantasy Mystery Sci-Fi
Robert Zemeckis,Action Adventure Animation Fantasy,Robin Wright Anthony Hopkins Sebastian Roché Robert Zemeckis Action Adventure Animation Fantasy
Alessandro Carloni,Action Adventure Animation Comedy Family,J.K. Simmons Angelina Jolie Pitt Wayne Knight Alessandro Carloni Action Adventure Animation Comedy Family
Brad Bird,Action Adventure Thriller,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird Action Adventure Thriller
Peter Ramsey,Adventure Animation Family Fantasy,Hugh Jackman Kamil McFadden Khamani Griffin Peter Ramsey Adventure Animation Family Fantasy
Dean Parisot,Comedy Crime,John Michael Higgins Richard Burgi David Herman Dean Parisot Comedy Crime
Edward Zwick,Action Drama History War,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick Action Drama History War
J.J. Abrams,Action Adventure Sci-Fi,Chris Hemsworth Leonard Nimoy Bruce Greenwood J.J. Abrams Action Adventure Sci-Fi
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
Dean DeBlois,Action Adventure Animation Comedy Family Fantasy,Gerard Butler Djimon Hounsou America Ferrera Dean DeBlois Action Adventure Animation Comedy Family Fantasy
Alex Proyas,Action Adventure Fantasy,Gerard Butler Elodie Yung Bryan Brown Alex Proyas Action Adventure Fantasy
Rob Cohen,Action Adventure Sci-Fi Thriller,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen Action Adventure Sci-Fi Thriller
Zack Snyder,Action Drama Mystery Sci-Fi,Matt Frewer Billy Crudup Stephen McHattie Zack Snyder Action Drama Mystery Sci-Fi
Richard Donner,Action Crime Thriller,Jet Li Rene Russo Darlene Love Richard Donner Action Crime Thriller
Ang Lee,Action Sci-Fi,Kevin Rankin Regi Davis Celia Weston Ang Lee Action Sci-Fi
Jon M. Chu,Action Adventure Sci-Fi Thriller,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu Action Adventure Sci-Fi Thriller
Hironobu Sakaguchi,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi Ming-Na Wen Jean Simmons Hironobu Sakaguchi Action Adventure Animation Fantasy Romance Sci-Fi
Joe Johnston,Action Adventure Sci-Fi,Chris Evans Dominic Cooper Hayley Atwell Joe Johnston Action Adventure Sci-Fi
Michael Apted,Action Adventure Thriller,Colin Salmon Maria Grazia Cucinotta Desmond Llewelyn Michael Apted Action Adventure Thriller
Peter Weir,Action Adventure Drama History War,James D'Arcy Lee Ingleby David Threlfall Peter Weir Action Adventure Drama History War
George Miller,Animation Comedy Family Musical,Robin Williams Brad Pitt Common George Miller Animation Comedy Family Musical
Louis Leterrier,Action Adventure Sci-Fi,Ty Burrell Peter Mensah William Hurt Louis Leterrier Action Adventure Sci-Fi
unknown,Action Crime Drama Mystery Thriller,Don Johnson Philip Michael Thomas John Diehl unknown Action Crime Drama Mystery Thriller
Steven Spielberg,Adventure Family Fantasy,Mark Rylance Penelope Wilton Rafe Spall Steven Spielberg Adventure Family Fantasy
Alejandro G. Iñárritu,Adventure Drama Thriller Western,Leonardo DiCaprio Tom Hardy Lukas Haas Alejandro G. Iñárritu Adventure Drama Thriller Western
David Soren,Adventure Animation Comedy Family Sport,Ryan Reynolds Snoop Dogg Ben Schwartz David Soren Adventure Animation Comedy Family Sport
Gore Verbinski,Adventure Animation Comedy Family Western,Johnny Depp Ray Winstone Stephen Root Gore Verbinski Adventure Animation Comedy Family Western
Eric Darnell,Adventure Animation Comedy Family,Benedict Cumberbatch Annet Mahendru Andy Richter Eric Darnell Adventure Animation Comedy Family
Paul Greengrass,Action Mystery Thriller,Matt Damon Edgar Ramírez Albert Finney Paul Greengrass Action Mystery Thriller
Mark Osborne,Action Adventure Animation Comedy Family,Angelina Jolie Pitt Wayne Knight Dan Fogler Mark Osborne Action Adventure Animation Comedy Family
Peyton Reed,Action Adventure Comedy Sci-Fi,Judy Greer Hayley Atwell T.I. Peyton Reed Action Adventure Comedy Sci-Fi
Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence Josh Hutcherson Sandra Ellis Lafferty Francis Lawrence Adventure Sci-Fi Thriller
Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy Romance
Steven Spielberg,Adventure Sci-Fi Thriller,Tom Cruise Lisa Ann Walter Rick Gonzalez Steven Spielberg Adventure Sci-Fi Thriller
Michael Bay,Action Comedy Crime Thriller,Will Smith Henry Rollins Jordi Mollà Michael Bay Action Comedy Crime Thriller
Chris Miller,Action Adventure Animation Comedy Family Fantasy,Salma Hayek Constance Marie Amy Sedaris Chris Miller Action Adventure Animation Comedy Family Fantasy
Phillip Noyce,Action Crime Mystery Thriller,Angelina Jolie Pitt Andre Braugher August Diehl Phillip Noyce Action Crime Mystery Thriller
Darren Aronofsky,Action Adventure Drama,Anthony Hopkins Emma Watson Logan Lerman Darren Aronofsky Action Adventure Drama
Steven Spielberg,Action Adventure Family Mystery,Toby Jones Mackenzie Crook Tony Curran Steven Spielberg Action Adventure Family Mystery
Alfonso Cuarón,Adventure Family Fantasy Mystery,Daniel Radcliffe Gary Oldman Rupert Grint Alfonso Cuarón Adventure Family Fantasy Mystery
Baz Luhrmann,Adventure Drama Romance War,Essie Davis Bryan Brown Eddie Baroo Baz Luhrmann Adventure Drama Romance War
M. Night Shyamalan,Action Adventure Sci-Fi,Will Smith Zoë Kravitz Glenn Morshower M. Night Shyamalan Action Adventure Sci-Fi
Eric Leighton,Adventure Animation Family Thriller,Alfre Woodard D.B. Sweeney Della Reese Eric Leighton Adventure Animation Family Thriller
Matt Birch,Action Fantasy,Rupert Grint Dave Legeno Ralph Ineson Matt Birch Action Fantasy
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
Tom McGrath,Action Animation Comedy Family Sci-Fi,J.K. Simmons Brad Pitt Will Ferrell Tom McGrath Action Animation Comedy Family Sci-Fi
Chris Columbus,Adventure Family Fantasy,Daniel Radcliffe Fiona Shaw Verne Troyer Chris Columbus Adventure Family Fantasy
Robert Schwentke,Action Comedy Fantasy,Ryan Reynolds Jeff Bridges Stephanie Szostak Robert Schwentke Action Comedy Fantasy
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action Adventure Drama Horror Sci-Fi
Gore Verbinski,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
Matt Birch,Fantasy,Rupert Grint Toby Jones Alfred Enoch Matt Birch Fantasy
Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi Thriller
Ron Howard,Mystery Thriller,Tom Hanks Seth Gabel Jürgen Prochnow Ron Howard Mystery Thriller
Carlos Saldanha,Adventure Animation Comedy Family Musical,Miguel Ferrer Rachel Crow Jeffrey Garcia Carlos Saldanha Adventure Animation Comedy Family Musical
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Bruce Davison Aaron Stanford Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
Justin Lin,Action Crime Thriller,Paul Walker Vin Diesel Dwayne Johnson Justin Lin Action Crime Thriller
Guy Ritchie,Action Adventure Crime Mystery Thriller,Robert Downey Jr. Eddie Marsan Paul Anderson Guy Ritchie Action Adventure Crime Mystery Thriller
John McTiernan,Action Adventure History,Tony Curran Vladimir Kulich Clive Russell John McTiernan Action Adventure History
Tony Gilroy,Action Adventure Thriller,Jeremy Renner Scott Glenn Stacy Keach Tony Gilroy Action Adventure Thriller
Joel Schumacher,Action,Michael Gough Vivica A. Fox John Glover Joel Schumacher Action
Ron Howard,Comedy Family Fantasy,Clint Howard T.J. Thyne Molly Shannon Ron Howard Comedy Family Fantasy
Roland Emmerich,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich Action Adventure Sci-Fi Thriller
John Woo,Action Adventure Thriller,Tom Cruise Dougray Scott Richard Roxburgh John Woo Action Adventure Thriller
Wolfgang Petersen,Action Adventure Drama Thriller,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen Action Adventure Drama Thriller
Tim Story,Action Adventure Sci-Fi Thriller,Chris Evans Ioan Gruffudd Andre Braugher Tim Story Action Adventure Sci-Fi Thriller
Ang Lee,Adventure Drama Fantasy,Suraj Sharma Rafe Spall Tabu Ang Lee Adventure Drama Fantasy
Mark Steven Johnson,Action Fantasy Thriller,Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson Action Fantasy Thriller
Paul Greengrass,Action Thriller,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass Action Thriller
McG,Action Adventure Comedy Crime,Demi Moore Bernie Mac Justin Theroux McG Action Adventure Comedy Crime
