Drug,Review,Rating,Condition,Year
Acetaminophen,This treatment allows me to stay functional throughout the day and able to sleep at night.,4.3,Joint Damage causing Pain and Loss of Function,2013
Acetaminophen,"I have crohns disease and take tylenol every 8 hours and have relief in 10 minutes.I do not like taking the narcotics I am prescribed as I am afraid of becoming hooked. I am a Emergency Room Physician in Ohio. And Acetaminophen is a life saver as working 12 hours a day 4 to 5 days a week is bearing as it aggravates my crohns. GREAT MEDICATION. DEFINITELY RECOMMENDED BY 99% OF DOCTORS AS NONSTEROIDAL ANTI IMMFLAMATTORY DRUGS HAVE MORE SIDE EFFECTS THAN ACETAMINOPHEN, ALTHOUGH TYLENOL HAS VERY UNLIKELY CHANCES TO CAUSE SIDE EFFECTS ALTHOUGH RARE BUT POSSIBLE.Read More Read Less",5.0,Pain,2013
Acetaminophen,"I think your drug is misclassified.  I took it for a fever, but I stopped all other  prostate supplement, and drugs.  Only used 1/2 the amount for 105 deg. temperature. and 105 blood pressure. It helped my prostate, also.    I believe this is a big problem and should rectified.  All anti-inflammable drugs and supplements should be regulated to show these anti-inflammable happenings in the human body.  NSAIDS have destroyed my body, but I stopped them all, including Tylenol and my body has responded favorably. Please help the human race and make these changes.Read More Read Less",3.7,Fever,2013
Acetaminophen,Works for me.,4.0,Backache,2013
Acetaminophen,"BACK AND NECK PAIN,HAD SURG ON LOW BACK, STILL HAVE THE SAME PAIN, PAIN MEDICATION OF HYRO 5.325 2 4 TIMES DAILY",3.3,Backache,2013
Acetaminophen,"i have fibromyalgia, 4 herniated discs in lower back from L1-L5 and a torn something, (ligament or tendon) that goes to my sacrial tailbone since april 0f 2012. Ive treid cortisone shots, ect...muscle spasms and burning everyday, allday in my lower back. numbness in both feet. also have a buldging disk at my neck, and my hands go numb and tingly. nNothing os working, I care rarely get a good nights sleep, from waking up to pain.",2.7,Muscle Pain,2013
Acetaminophen,works great for back pain,5.0,Backache,2013
Acetaminophen,Released all pain...,5.0,Head Pain,2012
Acetaminophen,i felt fuzzy,3.0,Joint Damage causing Pain and Loss of Function,2012
Acetaminophen,WORKS QUICKLY,3.0,Backache,2012
Acetaminophen,I prescribe this OTC drug to my patients who have a minor fever and/or aches and pains.,4.7,Pain,2012
Acetaminophen,didnt work to help problem,1.7,Muscle Pain,2011
Acetaminophen,Something happens to my liver function indicating that I am drinking alcohol.  Why?,1.0,Other,2011
Acetaminophen,"I clicked difficult for ease of use because my cursor wouldn't click on any other option. This product does nothing for me for any condition, and even if it did, I would  not risk the liver damage it causes.",1.0,Other,2011
Acetaminophen,"toothache,s  still there however, it;s not as bad.  i",2.7,Toothache,2011
Acetaminophen,help me to sleep.,3.7,Joint Damage causing Pain and Loss of Function,2011
Acetaminophen,Acetaminophen seems to be more affective than Advil or Aleav for my hip pain.,5.0,Pain associated with Arthritis,2010
Acetaminophen,nothing,2.3,Backache,2010
Acetaminophen,quick relief,3.7,Backache,2010
Acetaminophen,I am on 1000 mg every six hours and it has completely eliminated all of the pains  of arthritis. My physician prescribed this for me over a year ago.  No side affects.,5.0,Pain associated with Arthritis,2010
Acetaminophen,Not really doing good with the PAIN,2.7,Joint Damage causing Pain and Loss of Function,2010
Acetaminophen,"I personally cannot take Tylenol or anything with acetaminophen.  It makes me very nervous, shaky, my heart races and I cannot sleep.  Acetaminophen is in many medications, OTC and prescription, so I'm limited to what I can be given.",1.0,Other,2010
Acetaminophen,I do not get much relief of headaches with acetaminophen tho it is better than nothing but not very much.,3.7,Head Pain,2010
Acetaminophen,"I am healing a radial head fracture (broken elbow).I was on a prescription pain med containing 850mg of Acetaminophen 3 times daily for 10 days, ran out and began using OTC version as needed (500-1000mg 1-2 times daily) til my cast was removed.  Now that I'm having to move both my elbow and wrist I'm in worse pain than before.  While waiting to hear back from the Orthopedists office I started taking 1500mg of OTC Acetaminophen  every 3 to 4 hours.  Both during the scrip and especially now on the OTC, my stomach hurts!  Everything I've read says it shouldn't cause stomach upset.  I cut back to 1000mg every 4 hours but still have a sour stomach.  I can not take NSAIDS due to being on daily anti-inflammatories for arthritis.    I've taken a few doses at a time over many years for back pain or headaches, but never had this sour stomach.Read More Read Less",3.0,Other,2010
Acetaminophen,dgff,3.0,Backache,2010
Acetaminophen,my swollen balls no longer hurt,2.3,Joint Damage causing Pain and Loss of Function,2010
Acetaminophen,"After being diagnosed with a topical stress fracture of my left foot, I was instructed to take Tylenol every four hours.  For the first day it seemed to cut a bit of the edge off but in all honesty, didn't do crap for the pain when standing or moving around at all, am returning to the doctor for a follow up soon and to ask for something stronger dagnabbit.",2.3,Pain,2010
Acetaminophen,cAN IT BE USED AT THE SAME TIME AS NAPROXEN,5.0,Muscle Pain,2010
Acetaminophen,"I use Tylenol with Codeine #3 for old sports injuries such as separated tendons in the elbow, a broken upper arm “humerus”, blown out knee, ankle, and back pain from heavy lifting at work all though that has subsided since I work behind a desk now. Understand not all happen at same time, and most of the time it is my tendons that kill. But I have been taking Tylenol #3 for up to six years at four or less a day it works great.",4.0,Painful Periods,2010
Acetaminophen,Can 500g be taken with vicoden 5/500,1.0,Other,2010
Acetaminophen,it works better then any other over the counter med.,5.0,Backache,2010
Acetaminophen,it showed as positive for meth,4.3,Pain,2010
Acetaminophen,FOUND ON CHILD,1.0,Backache,2010
Acetaminophen,"very satisfied, but still have a head ache problem problem, I am waiting for a possible surgery on cervical 3-7, damage done in 2003",4.0,Head Pain,2009
Acetaminophen,pain,2.0,Joint Damage causing Pain and Loss of Function,2009
Acetaminophen,i have taken it over 14yrs for back pain and it is very effective for me.,5.0,Backache,2009
Acetaminophen,"Acetaminophen does nothing for my headaches. It's good for fevers, and that's about it.  It does not help swelling go down like aspirin or IB. AND acetaminophen is NOT as safe as most people think it is!!  If you take it a lot it causes liver damage and ulcers (that's holes in your stomach people!).  If you take it with alcohol it causes liver damage so don't take it to prevent a hangover.  If you take it in high doses for a long time it can worsen arthritis when you get older.  Just some warnings since people seem to think they can use as much as they want.Read More Read Less",2.3,Head Pain,2009
Acetaminophen,"i gain no refief from this  treatment,and it also causes me to have stomache pain.",1.0,Pain,2009
Acetaminophen,does not help,1.0,Backache,2009
Acetaminophen,taking 1300 three times a day and have no pain whatsoever,5.0,Pain associated with Arthritis,2009
Acetaminophen,it was alright,3.0,Other,2009
Acetaminophen,my auntie sez i should not take more than two tylenol every four hours i have been taking two to four every four hours my head is killing me,3.7,Head Pain,2009
Acetaminophen,this medication does not work. still feel very intense pain,2.3,Toothache,2008
Acetaminophen,Good drug,4.0,Backache,2008
Acetaminophen,"I have osteoarthritis as well as GERD. I had been on prescribed meds for the pain in my knees, back and hands with all kinds of side effects not to mention the expense. I tried arthritis strength acetaminophen and what a difference! It lasts all day, is less espensive and no side effects. My only concern is long term use because it works wells for the pain.",5.0,Pain associated with Arthritis,2008
Acetaminophen,"I use Tylenol Extra Strength, before excercise in the AM. In the evening, at bedtime, I take Tylenol PM, to ease pain and promote a less-interrupted sleep experience. I take half the recommended maximum, of 8 units/day (4). On occasion, after an extended period of physical effort, may may need to increase the frequency of my current dosage.  I have not had any after-effects from acetomenephin, which I am limited to because of my taking og a prescribed blood-thinner(Cumidin), for mild Atrial Arytmia. Read More Read Less",4.3,Pain associated with Arthritis,2008
Acetaminophen,"I would be cautious taking Acetaminophen (Tylenol) if you hav a family history of, or you yourself have an autoimmune disease. My cousin developed Lupus which eventually cleared upon stopping the use of this drug. And I myself was taking it for joint and muscle pain, my dad has rheumatoid arthritis, and autoimmune diseases run rampant on his side of the family, and I believe that the use of Acetaminophen exacerbated my symptoms and was the cause of my developing erythema nodosum. I stopped taking the Tylenol and in a little more than a month my symptoms subsided, and I could walk again. I'm not 100% sure that the Tylenol caused my condition, (pretty sure)however, I just wanted to throw this out there so that anyone this may apply to can speak with their Dr. and discuss the possibility of such reactions. Take care everyone.Read More Read Less",1.7,Other,2008
Acetaminophen,Molar extraction that was infected.,4.3,Toothache,2008
Acetaminophen,I used this medicine to try to aleviate sleeplessness. I've found that it actually CAUSED me to have migranes even though this is supposed to lessen pain. I also experienced vision changes. Unless this drug is coupled with codeine (such as with Tylenol 3) I've found it to cause more problems than it gets rid of.,2.3,Other,2008
Acetaminophen,"severe diarhea, pale, falling out",2.3,Other,2007
Acetaminophen,"DO NOT TAKE WITH LAMICTAL !!!  TYLENOL increases the rate Lamotrigine is broken down.  No Darvocet,no Lorcet,no Vicodan  OK to TAKE Vicoporphen.",3.0,Toothache,2007
Acetaminophen,"This med worked very well for me. I have continuous pain from depression and this help make the pain go away, well at least the body pain. It does not help with mental issues.",4.7,Backache,2007
Acetaminophen,"Makes me feel worse:  the original pain plus sweats, shakes and nausea",2.3,Pain,2007
Acetaminophen,"minimal to no relief from the pain in my back. I had previously tried it for headaches without success as well but was willing to use it when I hurt my back, however experienced several days of suffering due to my willingness to ""give it a try"". As a R.N. I know this drug is widely used for pain and fever control. For fever it is very effective, it however does not live up to its reputation for pain control for me and also for many many of my patients. A sad disappointment all these years. I have found for myself that plain old aspirin works better but am also aware of the dangers with that drug where other patients may not be.Read More Read Less",2.3,Backache,2007
Acetaminophen,"This is a dangerous drug.  It can cause liver problems or liver failure.  Were it just coming on the market today, it would likely not get approved.  This information came from my Daughter who has been a nurse for the past 25 years.  I myself cannot take the drug as it causes serious problems among them my lips go numb and swell terribly.",3.0,Joint Damage causing Pain and Loss of Function,2007
Acetaminophen,"It's pretty good for headaches, but not that great for body aches or fever.",3.7,Head Pain,2007
Acetaminophen,"Have used this med.(brand name and generic) off and on for years, at proper dosage.  Although I am satisfied with its effectiveness,I can't taste many foods for a day or two after taking it.",4.3,Head Pain,2007
Acetaminophen,I have migraine headaches and acetaminophen oral just doesn't cut it for my type of headaches.,2.3,Head Pain,2007
Acetaminophen,medicine to about a day or so for fever to subside with repeated use over 24 hours.,3.7,Fever,2007
Acetaminophen,had to take more than label stated to take in order for backache to ease up.,2.3,Backache,2007
Acetaminophen,i don't like it,3.3,Fever,2007
Acetaminophen,"acetaminophen has never helped me with pain or head ache pain, fever is okay, but arthritis of spine, spine surgery etc.... doesn't touch a bit of the pain,",2.3,Pain associated with Arthritis,2007
Acetaminophen,This is a pill I first take for headache and LL SORTS OF PAIN.  I even give this to my kids.  I don't experience any sourness in the stomach.. I also prescribe it over the phone for relatives who ask for fever and pain relief.  It is so safe that I take it without having eaten anything.,5.0,Head Pain,2007
Acetaminophen,"I have shoulder muscle pain, I take this and it eases up greatly and most of the time goes away.",5.0,Head Pain,2007
Acetaminophen,Didn't alleviate the pain after I fell in the area of the coxis bonee.,2.7,Muscle Pain,2007
Acetaminophen,I have flue like symptoms from a weekly injection that I take for my chronic illness.  Acetaminophen does a wonderful job of knocking out the fevers and chills that I usually get.,5.0,Fever,2007
Acetaminophen,Makes my nose run.,2.3,Pain,2007
Acetaminophen,taking for sciatica - tablets did not work at all - passed without dissolving.  Some success with chewables and fast acting caplets when taken in conjunction with aspirin.,2.3,Other,2007
Acetaminophen,"I find aceteminophen works best for muscle tension related pain, such as backache or tension headache.  I particularly use it if I'm having trouble sleeping due to my neck and shoulders being tense from stress or work at the computer.",5.0,Backache,2007
Acetaminophen,the max does per day,1.0,Backache,2007
Acetaminophen,It just doesn't seem to work for Migraines.  Ibuprofen helps as long as they aren't severe for me.,2.0,Migraine Headache,2007
Acetaminophen,I'll use tylenol for migraine if nothing else is handy. But overll it's like throwing pebbles to stop a train.,3.0,Migraine Headache,2007
Acetaminophen,Tylenol is the only OTC pain reliever/fever reducer that I can use now that I have had gastric bypass surgery. NSAIDs are too harsh on the revised gut structure of a Roux en Y patient. It has been three years since my surgery and I have relied completely on Tylenol for relief of headache pain. I also take the Tylenol PM product after a particularly rough physical day when I have body aches and need help falling asleep. It does the trick every time. I rely on Tylenol.,4.3,Fever,2007
Acetaminophen,"I was taking Tylenol for knee pain (especially at bedtime) for a few years. Sometimes I would have to take it upon awakening or even during the day, but I really needed it at night. I was disappointed that its action didn’t last longer. But I continued to use Tylenol; because I thought it was probably the safest thing to do to treat the pain, even though I sometimes had to take it several times throughout the day. I never went over the recommended daily dosage. Now, however, my doctor won’t let me use it at all. She was concerned about its affect on my liver function and had me stop it completely. My liver function tests have stabilized since I stopped taking the Tylenol. I now take Aleve. It takes fewer doses, lasts longer and hasn’t caused the problems with my liver.Read More Read Less",3.0,Pain associated with Arthritis,2007
Acetaminophen,"My only problem with Tylenol is due to its ease of use and no immediate apparent side effects AND due to the continuing pain from Fibromyalgia, it became easy to take far too much on a regular basis.  Plus, I believe there is a rebound effect to consider; the more you take the more the need for it builds, thereby losing its effectiveness.  So, after taking more than the label advised for many years to combat the pain, I slowly weaned myself off of it.  Now I use relatively little (2-3 Extra Strength Tylenol per night) to take just the edge off the pain and because I no longer overuse it, what little I take is more helpful.  (I have chosen to not otherwise use medication to treat my Fibromyalgia pain, instead relying on exercise and other lifestyle choices.)  I'm also aware that Tylenol is processed through the liver so I avoid drinking alcohol when using it, which means most of the time.  Read More Read Less",3.7,Pain,2007
Ibuprofen,"Ibuprofen my beloved. It has gotten me through some of my worst days. I often have joint pain caused by eds, headaches from bright lights, and painful periods and let me tell you, ibuprofen is a life saver for all of those situations. I've only had a few really bad migranes where it hasn't helped. 10/10 from a chronic pain haver.",5.0,Joint Inflammatory Disease in Children and Young Adults,2023
Ibuprofen,"I've used this medicine for years during my periods because the pain would be immense. But I was involved in an accident to my eye and head and am using it to treat  pain. I first noticed a build up of anxiety. I started to see a increase in my bp..it was still normal but on the brink of pre-hypertension. I also started having palpitations and feeling it if heart climbing stairs or completing little Activities. I stared to get burning when I pee and when I wasn't urinating. All of this and I never suspected this drug. I figured it out when I had another panic attack for no reason then started looking into the cause. I was blown away by what I find out. This stuff destroys liver fur and bladder AND it affects the heart and I've been on and off of it since August 22 and it's the beginning of November 22.I've had blurred vision and stomach issues, diarrhea and feeling tired, it causes aches in which you're taking it for aches... This is a trash drug. It may take away your pain but ask yourself what is it replacing it with.. Cuz the side affects are awful! I how I haven't damaged my kidneys! And yes u do drink a lot of fluids. Read More Read Less",2.7,Pain,2022
Ibuprofen,"I had chills,pain in my lower body.after I took this medication made me feel so good. Works great.",5.0,Pain,2022
Ibuprofen,Broken finger it healed broken now having lots of pain. This medication doesn’t work at all,2.0,Pain,2020
Ibuprofen,"I took this medication to relieve the pain from various joint injuries sustained 15 to 40 years ago.  I found it works very well.  I did have a serious side effect.  This is in no way related to the drug itself but the necessity to follow the dosage directions.  I started have flu like symptoms on top of the normal cold weather aches and pains I have every year.  I got a bit loose with the dosage and developed some kidney problems that required medical attention.  I do think that when taken as directed, this is a very effective medication for minor pain.  I have been told to only take acetaminophen now which is absolutely useless for my pain issues. Read More Read Less",4.0,Pain,2018
Ibuprofen,I have suffered with headaches all my life and this medication is the only thing that has given me a better quality of life. I have severe anxiety and am afraid of most pills as i am very sensitive to them. The only side effects is gas and sometimes constipation if i am using frequently.,5.0,Head Pain,2018
Ibuprofen,"Completely clears my skin from acne. Figured it out by accident when I had to take it for my wisdom tooth removal. Only thing that will clear it, but I found Boswellia to use instead as a natural alternative with less side effects.",5.0,Other,2017
Ibuprofen,"I used 800 mg for lower back pain resulting from long car trips.  I drove straight through 12 hrs the other day without back pain.  No side effects.  Works great for me, and had it recommended by two others with chronic back pain.  I do not take the drug on a regular basis, only for long car trips.",5.0,Pain,2017
Ibuprofen,"I use it for tooth pain.  Had two teeth pulled and it helps relieve pain.  My Mom's Doctor told her not to take ibuprofen since she had a bleeding ulcer and he blamed it on this drug.  he suggested Tylenol arthritis strength.  I am having side effects right now; dizziness, stomach ache, and hard to focus.  I stopped taking it and will call my doctor if the side effects persists.",3.0,Pain,2016
Ibuprofen,"My neck is fused (C2-6) and I have degenerative disc disease and arthritis in it.  When taking ibuprofen 800 mg I become extremely agitated, suffer sleeplessness, and anxious.  Will not use again at any dosage.",2.0,Pain,2016
Ibuprofen,"I have found this is the only thing that relieves menstrual cramps for me. Also take it for back pain. :)  I have noticed that mayyyyyybe, it may be making me extremely sleepy hours later.",5.0,Painful Periods,2016
Ibuprofen,"I have taken ibuprofen for decades for chronic joint pain due to congenital joint defomities and severe DJD. I take it in conjunction with narcotic pain meds and it clearly gives additional pain relief, as it helps decrease inflamation. I do not advise crushing and snorting though, as it burns the nose and throat and is of no recreational value.",3.0,Pain,2016
Ibuprofen,"very effective at relieving pain and no side effects whatsoever, have never had a problem with stomach irritation.  have taken with or without food, absolutely no difference for me.",5.0,Pain,2016
Ibuprofen,"Better than M&M's, but ineffective for anything more serious than a paper cut.",2.3,Other,2015
Ibuprofen,"I take this for sinus headaches and/or general joint or muscle pain.  I only have to take one (1) tablet which is enough to help pain subside; If I have a bad headache, i take 2 together to knock out the headache and repeat 3 to 4 hours later to completely eliminate the pain.  I drink plenty of water when I take this....no stomach upset.",4.0,Head Pain,2015
Ibuprofen,I like it but don't like that it is a blood thinner.,4.0,Painful Periods,2015
Ibuprofen,"It was suggested that I try Ibuprofen for low back and knee pain last year, and was told I could use the generic, over the counter form, in lieu of the prescription strengths, if needed. For flair-ups I was taking as many as 12 per day (far less than was recommended)with very little beneficial results. However, within 3 months I landed in the hospital with diverticulitis, for which Ibuprofen can be a major contributor. Be careful!",2.7,Joint Damage causing Pain and Loss of Function,2014
Ibuprofen,Quite effective,4.7,Joint Damage causing Pain and Loss of Function,2014
Ibuprofen,"I have had good results with joint pain, etc.  My cardiologist does not recommend it for long term use",4.0,Gout,2014
Ibuprofen,I have enlarged prostrate with pain when urinate and when I do not urinate I take one 400MG pill all symptoms are gone for most of the day. The doctors say Motrin should not have any effect and if I take it regularly it would damage my kidneys. Has anyone had this experience using this treatment for BPH. It works for me Only worry is kidney damage,4.7,Other,2014
Ibuprofen,I use this in place of my pain medicine. It helps make my days bearable; cuts down on taking pain medicine.,4.3,Pain,2014
Ibuprofen,"Only used it once became very dizzy, even had a fall while walking",1.0,Joint Damage causing Pain and Loss of Function,2014
Ibuprofen,I take this drug for joint pain.,2.3,Joint Damage causing Pain and Loss of Function,2014
Ibuprofen,i take it food in the evening from pain plantar fasciitis so i can sleep at night i take only during the day if the pain is to bad,5.0,Painful Periods,2014
Ibuprofen,"I HAVE BEEN USING IBUPROFEN FOR 37 YEARS NOW AND IT DOES NOT EVEN WORK ON ME TO TAKE THE PAIN AWAY AND IT HAS INFECTED ME WITH THE EYES AND STOMACH PAINS NOW. AND ALL OF THE OTHER SYSTOMS. BUT NOW I HAD NECK SURGERY AND NEED LOWER BACK SOON.AND THE DOC'S GIVE ME OTHER MED'S LIKE PERC'S BUT LOW MG'S AND NOW THEY ARE GIVEN ME VIC'S WITH THE LOWEST MG. WHICH DOES HELP BETTER THEN IBUPROFEN BUT NOT BY MUCH. I DO NOT LIKE TAKING MUCH OF PILL'S SO I ASKED MY DOC'S TO GIVE ME HIGHER DOSE SO I CAN TAKE LESS A DAY OR IF I DON'T NEED THAT MUCH OF A DOSE I WILL CUT THE PILL IN HALF. BUT IT'S A SHAME THAT I AM PUT IN THE SAME BASKET AS OTHER PEOPLE THAT I JUST MIGHT GET HOOKED.SO I DO NOT GET PAIN RELIEF TO HELP ME KEEP GOING AND GETTING THINGS DONE. CAUSE AT THE END OF THE DAY I HURT SO BAD AND WHEN I GET UP I HURT EVEN WORSE. I HAVE HIGH BLOOD PRESSURE AND THYROID PROBLEMS AND IT SAY'S IBUPROFEN WILL MAKE IT WORSE AND MAY CAUSE A STROKE OR HEART ATTACK THAT RUN'S THROUGH MY FAMILY AND THE DOCTORS KNOW THIS AND STILL WILL TRY TO GIVE IT TO ME INSTAND OF WHAT I NEED. IT IS A SHAME CAUSE DOC'S WILL THINK OF THEM SELFS INSTAND OF YOU CAUSE THERE SCARED OF GETTING SUED INSTAND OF YOUR HEALTH. THEY NEED NOT PUT EVERYONE IN THE SAME BASKET AND GET TO KNOW YOU FOR WHO YOU ARE. I BELIEVE MOST DOCTORS AND NURSES DO NOT HAVE GOOD COMMUNICATION SKILLS AND NO COMPASSION ANY MORE. IT'S ALL ABOUT THEM AND THE MONEY. SHAME,SHAME,SHAME ON THEM. I DO NOT TRUST THEM IN ANY SHAPE OR FORM.  Read More Read Less",1.3,Joint Damage causing Pain and Loss of Function,2014
Ibuprofen,I used this when i got kicked on the head and it was swollen it took the pain away a little the swelling did go down after.,4.3,Pain,2014
Ibuprofen,"I am experiencing a NEW allergy to taking ibuprofen,not sure why, but within 2 hours, I develop full blown head cold, sore throat, and asthma symptoms.  Scary.  will NOT take it any more, but not sure why it just came on, I am 61 yrs old, and never had this problem before.",2.0,Migraine Headache,2014
Ibuprofen,"I take it for degenerative disc disease in my neck and back (I am 72), and ""severe"" (per MD) arthritis in my knee. With this med, I have NO pain and feel wonderful. I have been given vicodin for severe pain, but don't like the foggy feeling I get. I take the prescribed dose (800mg) of IBUB 2 times daily, but sometimes,I have to have a third, if I am overdoing it.",5.0,Pain,2014
Ibuprofen,"Taken for 10 days to treat sinus headache. e, Taken 10pm, effective pain killer. However, by 7am woke up with disturbing dreams, sleep apnea and very high blood pressure. Also noticeable lack of sex drive during those 10 days. Stopped Ibuprofen and immediately noticed that bad dreams and sleep apnea were gone, sex drive is back.",3.7,Head Pain,2014
Ibuprofen,My tummy is killing me,1.0,Pain,2014
Ibuprofen,Given Ibuprofen for shingles pain. Helped the pain but now the shingles has gone for the first time in my life have registered high blood pressure so will never take Ibuprofen  again. Hoping blood pressure will be lower when I see doctor tomorrow as it is two weeks since I took any.   I also found it annoying that I had to eat something when taking it.,3.7,Pain,2014
Ibuprofen,NBack and back pain and spasms,4.0,Joint Damage causing Pain and Loss of Function,2014
Ibuprofen,"Advil was quite effective , and that is why I used it for such a long time, but beware there are dangerous side affect!  I now have kidney disease, which the doctor believes is related to my use of Advil.",4.0,Head Pain,2013
Ibuprofen,I had back surgery so the nerves in my leg an feet really give me a lot of problems but with the nerve med. and the ibuprofen I can do my day to day chores.,5.0,Other,2013
Ibuprofen,"I finally realized I am allergic to Ibuprofen. I didn't put it together for over a year. BUT it makes me sneeze like crazy, itchy eyes, throat, runny nose, and brings on mild asthma.   Just want other people to be aware so they are able to recognize this if it happens to them. It is absolutely possible and can become life threatening.",1.3,Pain,2013
