Title,Director,Cast
The Godfather: Part II,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G.D. Spradlin, Richard Bright, Gastone Moschin, Tom Rosqui, Bruno Kirby, Frank Sivero, Francesca De Sapio, Morgana King, Marianna Hill, Leopoldo Trieste"
The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach, Sean Bean, Cate Blanchett, Billy Boyd, Sadwyn Brophy, Alistair Browning, Marton Csokas, Richard Edge, Jason Fitch, Bernard Hill"
Sandesham,Sathyan Anthikad,"Sreenivasan, Jayaram, Thilakan, Maathu, Kaviyoor Ponnamma, Rahul Lakshman, Siddique, Oduvil Unnikrishnan, Mala Aravindan, K.P.A.C. Lalitha, Mammukoya, Sankaradi, Innocent Vareed Thekkethala, Bobby Kottarakkara, T.P. Madhavan, T.R. Omana, Byon, Kalabhavan Haneef"
Oggatonama,Tauquir Ahmed,"Shahiduzzaman Selim, Ashraful Tushar, Mosharraf Karim, Nipun, Fazlur Rahman Babu, Abul Hayat, Shatabdi Wadud, Shahed Sharif Khan, Shahed Ali, Ziaul Hasan Kislu, Rounok Shahriar Aayat, Apon, Iqbal Babu, Nazmul Huda Bachchu, Ranojit Chakraborty, Momena Chowdhury, Shafiq Khan Dilu, Pronob Ghosh"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Billy Boyd, Andy Serkis, Marton Csokas, Viggo Mortensen, Megan Edwards, Michael Elsworth, Cate Blanchett, Mark Ferguson, Ian Holm, Christopher Lee"
Pulp Fiction,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth, Amanda Plummer, Laura Lovelace, Phil LaMarr, Frank Whaley, Burr Steers, Ving Rhames, Paul Calderon, Bronagh Gallagher, Rosanna Arquette, Eric Stoltz, Jerome Patrick Hoban, Michael Gilden, Gary Shorelle"
I'm Still Here,Walter Salles,"Fernanda Torres, Fernanda Montenegro, Selton Mello, Valentina Herszage, Maria Manoella, Bárbara Luz, Gabriela Carneiro da Cunha, Luiza Kosovski, Marjorie Estiano, Guilherme Silveira, Antonio Saboia, Cora Mora, Olívia Torres, Pri Helena, Humberto Carrão, Charles Fricks, Maeve Jinkings, Luana Nastas"
O.J.: Made in America,Ezra Edelman,"Willie Brown, Harry Edwards, John McKay, Harry Alfred Khasigian, Steve Lehmer, Jeffrey Toobin, Danny Bakewell, Walter Mosley, Dwight Tucker, David Gascon, Bernard Parks, Jim Newton, Carl Douglas, Mark Ridley Thomas, Joe Saltzman, Joe Bell, Jim Brown, Robert Lipsyte"
The Message,Moustapha Akkad,"Abdallah Gheith, Mona Wassef, Hamdy Gheith, Ali Ahmed Salem, Mahmoud Saeed, Ahmed Marei, Mohamed El Arabi, Ronald Chenery, Michael Godfrey, Mohammed Tawfik, Habib Ageli, George Camiller, Mounir Maasri, Sanaa Gameel, Bruno Barnabe, John Humphry, John Bennet, Mohamed Wafik"
Tosun Pasa,Kartal Tibet,"Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen, Aysen Gruda, Ergin Orbey, Ihsan Bilsev, Zihni Göktay, Tuncay Gürel, Günfer Feray, Oya Aydonat, Filiz Toprak, Mete Sezer, Bilge Zobu, Oktar Durukan, Akil Öztuna, Sitki Akçatepe, Nevin Güler"
Mirror Game,Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George, Syed Gaosul Alam Shaon, Brindabon Das, Bijori Barkatullah, Amitabh Reza Chowdhury, Heera Chowdhury, Sheikh Mahim Edward, Mohammed Faysal, Samiul Hafiz, Md Mahedi Hasan, Arafat Hossain, Kamrul Hossain, Amjad Hossen, Delowar Hossen, Litan Molla"
Hababam Sinifi: Sinifta Kaldi,Ertem Egilmez,"Münir Özkul, Tarik Akan, Kemal Sunal, Adile Nasit, Halit Akçatepe, Semra Özdamar, Sener Sen, Tayfun Akalin, Tuncay Akça, Leman Akçatepe, Sitki Akçatepe, Ahmet Ariman, Orhan Aydinbas, Teoman Ayik, Ertugrul Bilda, Talat Dumanli, Ekrem Dümer, Dilaver Gür"
Kireedam,Sibi Malayil,"Mohanlal, Thilakan, Kaviyoor Ponnamma, Parvathi, Sankaradi, Murali, Jagathy Sreekumar, Maniyanpilla Raju, Mohan Raj, Mammukoya, Jagadish, Oduvil Unnikrishnan, Usha, Yadu Krishnan, Cochin Hanifa, Johny"
Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan, Taylor Geare, Johnathan Geare, Tohoru Masamune"
Fight Club,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Helena Bonham Carter, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell"
Forrest Gump,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis"
12th Fail,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi, Anshuman Pushkar, Geeta Agrawal Sharma, Harish Khanna, Sarita Joshi, Priyanshu Chatterjee, Vikas Divyakirti, Abhishek Sengupta, Triaksh Chhabra, Darius Chinoy, Vijay Kumar Dogra, Fasi Khan, Sam Mohan, Rahul Dev Shetty, Suraj Naagar, Sanjay Bishnoi"
"Il Buono, Il Brutto, Il Cattivo",Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli, Rada Rassimov, Enzo Petito, Claudio Scarchilli, John Bartha, Livio Lorenzon, Antonio Casale, Sandro Scarchilli, Benito Stefanelli, Angelo Novi, Antonio Casas, Aldo Sambrell, Al Mulock, Sergio Mendizábal"
The Lord of the Rings: The Two Towers,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett, Billy Boyd, Jed Brophy, Sam Comery, Brad Dourif, Calum Gittins, Bernard Hill, Bruce Hopkins, Paris Howe Strewe, Christopher Lee"
The Phantom of the Opera at the Royal Albert Hall,"Nick Morris, Laurence Connor","Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson, Barry James, Gareth Snook, Liz Robertson, Wynne Evans, Sergei Polunin, Daisy Maywood, Nick Holder, Earl Carpenter, Philip Griffiths, Simon Green, Stephen John Davis, Garðar Cortes, Heather Jackson, Ellen Jackson"
Demon Slayer: Tsuzumi Mansion Arc,Haruo Sotozaki,
Les Misérables in Concert: The 25th Anniversary,"Nick Morris, Laurence Connor, James Powell","Alfie Boe, Norm Lewis, Matt Lucas, Jenny Galloway, Lea Salonga, Samantha Barks, Nick Jonas, Katie Hall, Ramin Karimloo, Earl Carpenter, Hadley Fraser, Jonathan Williams, Mike Sterling, Tom Pearce, Gerónimo Rauch, Nic Greenshields, Tony Whittle, Graham Gill"
The Human Condition III: A Soldier's Prayer,Masaki Kobayashi,"Tatsuya Nakadai, Michiyo Aratama, Tamao Nakamura, Yûsuke Kawazu, Chishû Ryû, Taketoshi Naitô, Kyôko Kishida, Reiko Hitomi, Keijirô Morozumi, Kôji Kiyomura, Nobuo Kaneko, Fujio Suga, Tatsuya Ishiguro, Kazuo Kitamura, Toshio Takahara, Akira Yamanouchi, Hiroshi Nihon'yanagi, Kôichi Hayashi"
#Home,Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai, Naslen, Kainakary Thankaraj, Johny Antony, Maniyanpilla Raju, Vijay Babu, Deepa Thomas, Srikant Murali, K.P.A.C. Lalitha, Anoop Menon, Aju Varghese, Dev Mohan, Pauly Valsan, Geethi Sangeetha, Linchu Joseph, Jianna Ros Rijin"
Balkanski spijun,"Dusan Kovacevic, Bozidar 'Bota' Nikolic","Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac, Sonja Savic, Zvonko Lepetic, Velimir 'Bata' Zivojinovic, Predrag Lakovic, Branka Petric, Milivoje 'Mica' Tomic, Milan Strljic, Milan 'Caci' Mihailovic, Vladan Zivkovic, Ljiljana Jovanovic, Zoran Ratkovic, Dragoljub Petrovic, Tomislav Pejcic, Milorad Novakovic, Ratko Novakovic"
Maratonci trce pocasni krug,Slobodan Sijan,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic, Mija Aleksic, Milivoje 'Mica' Tomic, Radislav Lazarevic, Zoran Radmilovic, Jelisaveta 'Seka' Sablic, Bora Todorovic, Melita Bihali, Fahro Konjhodzic, Veljko Mandic, Mihajlo 'Bata' Paskaljevic, Dragoljub Milosavljevic-Gula, Miroslav Jovanovic, Dragoslav Jovanovic, Milovan Tasic, Milan Janjic"
The Last Farmer,M. Manikandan,"Nallandi, Vijay Sethupathi, Yogi Babu, Ravi Prakash, Raichal Rabecca"
Natsamrat,"Mahesh Manjrekar, Satish Padwal","Nana Patekar, Medha Manjrekar, Mrunmayee Deshpande, Sunil Barve, Vikram Gokhale, Ajit Parab, Neha Pendse, Samir Chandra, Nilesh Divekar, Jitendra Joshi, Shridhar Limaye, Savita Malpekar, Sandeep Pathak, Pooja Sawant, Aniket Vishwasrao, Jaywant Wadkar"
Süt Kardesler,Ertem Egilmez,"Kemal Sunal, Sener Sen, Halit Akçatepe, Hale Soygazi, Adile Nasit, Aysen Gruda, Ali Sen, Yasemin Esmergül, Jale Altug, Tayfun Akalin, Taci Ersan, Enis Fosforoglu, Cengiz Nezir, Ergin Orbey, Ata Saka, Türker Tekin, Murat Tok, Dinçer Çekmez"
C/O Kancharapalem,Venkatesh Maha,"Radha Bessy, Subba Rao Vepada, Praneeta Patnaik, Karthik Rathnam, Praveena Paruchuri, Mohan Bhagat, Nithyasree Goru, Kesava Karri, Appa Rao Adari, Janakiramayya Adari, Ramesh Aditya, Mohan Alla, Akula Anil, Apparao, Brahmanandam Atta, Kumar Avinash, Ammoru Babu, Sravani Bessy"
Monpura,"Md. Hafizur Rahman, Giasuddin Selim","Chanchal Chowdhury, Farhana Mili, Shirin Alam, Mohiuddin Bahar, Rocky Chowdury, Md Mahedi Hasan, Siam Howlader, Nawar Hussain, Fardin Kamal, Ahsanul Haq Minu, Mohammad Amir Mohsin, Mahtim Munna, Imran Nazim, Fazlur Rahman Babu, Arafatur Rahman, Mamunur Rashid, Md Nahidul Islam Riaz, Monir Khan Shimul"
Nadodikkattu,Sathyan Anthikad,"Mohanlal, Sreenivasan, Shobana, Thilakan, Innocent Vareed Thekkethala, Janardanan, Captain Raju, Mammukoya, Meena, Sankaradi, Johny, Kollam Ajith, Santha Devi, C.I. Paul, T.P. Madhavan, Bobby Kottarakkara, Kothuku Nanappan, Rajan Padoor"
Aparajito,Anik Datta,"Jeetu Kamal, Saayoni Ghosh, Debashis Roy, Paran Banerjee, Ritwick Purkait, Saunak Samanta, Anjana Basu, Anusha Viswanathan, Ayushmaan Mukherjee, Haro Kumar Gupta, Anusuya Majumdar, Barun Chanda, Samik Bandyopadhyay, Rohit Basfore, Rishav Basu, Sanjay Biswas, Mahul Brahma, Bimal Chakraborty"
Nuvvu Naaku Nachchav,Vijay K. Bhaskar,"Venkatesh Daggubati, Aarthi Agarwal, Suhasini, Ananth, Babu Mohan, Joy Badlani, Tanikella Bharani, Brahmanandam, Sabyasachi Chakrabarty, Chandramohan, Kallu Chidambaram, Vajja Venkata Giridhar, Hema, Mallikharjunarao, Melkote, M.S. Narayana, Pruthvi, Prakash Raj"
Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck"
GoodFellas,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low, Frank DiLeo, Henny Youngman, Gina Mastrogiacomo, Catherine Scorsese, Charles Scorsese, Suzanne Shepherd, Debi Mazar, Margo Winkler"
The Matrix,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden Gray, Ada Nicodemou, Deni Gordon, Rowan Witt"
One Flew Over the Cuckoo's Nest,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown, Scatman Crothers, Mwako Cumbuka, Danny DeVito, William Duell, Josip Elic, Lan Fendors, Nathan George, Ken Kenny, Mel Lambert, Sydney Lassick, Kay Lee, Christopher Lloyd"
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Kenny Baker, Frank Oz, Alec Guinness, Jeremy Bulloch, John Hollis, Jack Purvis, Des Webb, Clive Revill, Kenneth Colley, Julian Glover, Michael Sheard"
Jai Bhim,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan, Prakash Raj, Rao Ramesh, Guru Somasundaram, M.S. Bhaskar, V. Jayaprakash, Sibi Thomas, Ilavarasu, Jayarao, Sujatha Sivakumar, Ravi Venkatraman, Tamizh, Supergood Subramani, Bala Hasan, Raja Rani Pandian"
Kill Bill: The Whole Bloody Affair,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen, Daryl Hannah, David Carradine, Julie Dreyfus, Chiaki Kuriyama, Shin'ichi Chiba, Chia-Hui Liu, Michael Parks, Michael Bowen, Jun Kunimura, Kenji Ôba, Yuki Kazamatsuri, James Parks, Sakichi Sato, Jonathan Loughran"
Stop Making Sense,Jonathan Demme,"David Byrne, Bernie Worrell, Alex Weir, Steven Scales, Lynn Mabry, Ednah Holt, Tina Weymouth, Jerry Harrison, Chris Frantz, Talking Heads"
Sabari,Anilkatz,"Varalaxmi Sarathkumar, Ganesh Venkatraman, Shashank Siddamsetty, Mime Gopi, Rajshri Nair, Madhunandan, Bhadram, Ashrita Vemuganti, Krishna Teja, Baby Niveksha, Archana Ananth, Rajsekhar Aningi, Sunaina Badam, Keshav Deepak, Harshini Koduru, Meena Kumari, Bindhu Pagidimarri, Jabardasth Phani"
Kalinga,Dhruva Vaayu,"Dhruva Vaayu, Pragya Nayan, Aadukalam Naren, Laxman Meesala, Tanikella Bharani, Shiju, Muralidhar Goud, Sammeta Gandhi, Preeti Sundar Kumar, Balgam Sudhakar, Prardhini, Sanjay Krishna, Siddharth Gollapudi, Sreemani"
Soorarai Pottru,Sudha Kongara,"Suriya, Aparna Balamurali, Paresh Rawal, Urvashi, Mohan Babu, 'Poo' Ram, Karunas, Krishnakumar Balasubramanian, Vivek Prasanna, Kaali Venkat, Vinodhini Vaidynathan, Prakash Belawadi, Achyuth Kumar, Dan Dhanoa, R.S. Shivaji, Raams, Gnanasambandan Gurunathan, Vishalini"
Shoah,Claude Lanzmann,"Simon Srebnik, Michael Podchlebnik, Motke Zaïdl, Hanna Zaïdl, Jan Piwonski, Itzhak Dugin, Richard Glazar, Paula Biren, Helena Pietyra, Pan Filipowicz, Pan Falborski, Abraham Bomba, Czeslaw Borowi, Henrik Gawkowski, Rudolf Vrba, Inge Deutschkron, Franz Suchomel, Filip Müller"
777 Charlie,Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty, Bobby Simha, Danish Sait, Sharvari, Aniruddh Roy, Harini, Siddharth Bhat, Praanya P. Rao, Anirudh Mahesh, Gopalkrishna Deshpande, Abhijit Mahesh, Bengaluru Nagesh, Salman Ahmed, Dhanraj Shivkumar, Vijay Vikram Singh"
Toma,"Dragan Bjelogrlic, Zoran Lisinac","Milan Maric, Tamara Dragicevic, Petar Bencina, Andrija Kuzmanovic, Sanja Markovic, Milena Radulovic, Paulina Manov, Milan Kolak, Mirjana Karanovic, Ivan Zekic, Olivera Bacic, Stojsa Oljacic, Nebojsa Ilic, Djordje Stojkovic, Filip Hajdukovic, Marko Janketic, Radomir Nikolic, Sasa Vuckovic"
Nayakan,Mani Ratnam,"Kamal Haasan, Saranya Ponvannan, Delhi Ganesh, Janakaraj, Karthika, Nassar, Tinnu Anand, Nizhalgal Ravi, M.V. Vasudeva Rao, Aditya Modi, Pradeep Shakti"
Rocketry: The Nambi Effect,Madhavan,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra, Misha Ghoshal, Shyam Renganathan, Muralidaran, Karthik Kumar, Sam Mohan, Rajeev Ravindranathan, Dinesh Prabhakar, Mohan Raman, Ron Donachie, Phyllis Logan, Vincent Riotta, Bijou Thaangjam, Jagan, Amaan"
Daman,"Lenka Debiprasad, Vishal Mourya","Karan Kandhapan, Babushan Mohanty, Dipanwit Dashmohapatra, Manaswani Takri, Sriharsa Purohit, Ashok Tripathy, Karan Kadam, Damaru, Abhay Behera, Prasanna Kumar, Devika Priyadarshini, Sudam Bisoi, Deepak, Sameer Mohapatra, Bijay Kumar Patra, Mirmay Sarkar, Jitendra Mohan Sahu, Swati Sathpathy"
Manichitrathazhu,Fazil,"Mohanlal, Shobana, Suresh Gopi, Vinaya Prasad, Nedumudi Venu, Innocent Vareed Thekkethala, K.P.A.C. Lalitha, Sudheesh, Thilakan, Ganesh Kumar, Rudra, Kuthiravattam Pappu, Sridhar, Bhagyalakshmi, Durga Sundararajan, Fazil"
Peranbu,Ram,"Mammootty, Sadhana, Anjali, Anjali Ameer, Samuthirakani, Pavel Navageethan, Livingston, Vadivukkarasi, Aruldoss, Shanmugarajan, Abbas, Gr Adithya, Anand, Anees, Lizzie Antony, Archana, Arianna, Arumugam"
Saban Oglu Saban,Ertem Egilmez,"Kemal Sunal, Halit Akçatepe, Sener Sen, Adile Nasit, Aysen Gruda, Sevket Altug, Sevda Aktolga, Sevil Üstekin, Güler Ökten, Sitki Akçatepe, Ayben Erman, Dinçer Çekmez, Ihsan Yüce, Ergin Orbey, Necdet Yakin, Dündar Aydinli, Talat Dumanli, Aslan Gul"
Ko to Tamo Peva?,Slobodan Sijan,"Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic, Aleksandar Bercek, Neda Arneric, Milivoje 'Mica' Tomic, Tasko Nacic, Boro Stjepanovic, Slavko Stimac, Miodrag Kostic, Nenad Kostic, Bora Todorovic, Slobodan Aligrudic, Petar Lupa, Stanojlo Milinkovic, Ljubomir Cipranic, Djenadija Rogic, Milovan Tasic"
Pariyerum Perumal,Mari Selvaraj,"Kathir, Anandhi, Yogi Babu, Lijeesh, Hari Krishnan, Shanmugarajan, G. Marimuthu, 'Poo' Ram, Karate Venkatesan, Anthony Dasan, Lizzie Antony, Lingesh, Hossein Rahmani Manesh, Porkodi, Garry Sahota"
Thevar Magan,Bharathan,"Kamal Haasan, Shivaji Ganesan, Nassar, Revathi, Gautami, Vadivelu, Thalaivasal Vijay, Madhan Bob, S.N. Lakshmi, Sangili Murugan, Kalapart Natarajan, Kaka Radhakrishnan, Neelima Rani, Renuka"
Kimetsu No Yaiba: Natagumo Yama Hen,Haruo Sotozaki,
Devasuram,I.V. Sasi,"Mohanlal, Napolean, Revathi, Innocent Vareed Thekkethala, Nedumudi Venu, Maniyanpilla Raju, V.K. Sriraman, Ramu, Augustine, Cochin Hanifa, Janardanan, Chitra, Seeta, Bharathi, Delhi Ganesh, Sankaradi, Oduvil Unnikrishnan, Bheeman Raghu"
Kibar Feyzo,Atif Yilmaz,"Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen, Erdal Özyagcilar, Ilyas Salman, Ihsan Yüce, Resit Çildam, Bahri Ates, Abdullah Ferah, Selim Acar, Arap Celal, Sevtap Erdemli, Sabahat Izgü, Hüseyin Kasif, Yilmaz Kurt, Tuncer Sevi, Güzin Özyagcilar"
Zügürt Aga,Nesli Çölgeçen,"Sener Sen, Erdal Özyagcilar, Nilgün Nazli, Füsun Demirel, Atilla Yigit, Bahri Selin, Can Kolukisa, Celal Perk, Filiz Küçüktepe, Mehmet Akdil, Ali Osman Okumus, Ayla Arslancan, Kemal Inci, Sabah Aysavki, Salih Kalyon, Müsfik Kenter, Tilbe Saran, Zerrin Sümer"
Neseli Günler,Orhan Aksoy,"Münir Özkul, Adile Nasit, Sener Sen, Aysen Gruda, Oya Aydogan, Ahmet Sezerel, Ihsan Yüce, Mürüvvet Sim, Selim Nasit Özcan, Ali Sururi, Dogu Erkan, Ahmet Ariman, Feridun Savli, Ekrem Dümer, Cevdet Arikan, Gökhan Mete, Gülsen Gürsoy, Yaman Coskun"
Hababam Sinifi: Uyaniyor,Ertem Egilmez,"Münir Özkul, Kemal Sunal, Halit Akçatepe, Adile Nasit, Sevket Altug, Sener Sen, Ahmet Sezerel, Muharrem Gürses, Ali Çamlica, Tayfun Akalin, Tuncay Akça, Sitki Akçatepe, Ahmet Ariman, Ertugrul Bilda, Ihsan Bilsev, Talat Dumanli, Cem Gürdap, Bülent Igdiroglu"
Oru Vadakkan Veeragatha,T. Hariharan,"Mammootty, Madhavi, Devan, Suresh Gopi, Balan K. Nair, Oduvil Unnikrishnan, Ramu, Tony, Soorya, Chitra, Sukumari, Captain Raju, V.K. Sriraman, Geetha, Kumari Joemol, Bheeman Raghu, Johny, Vineeth Kumar"
Se7en,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker, Daniel Zacapa, Gwyneth Paltrow, John Cassini, Bob Mack, Peter Crombie, Reg E. Cathey, R. Lee Ermey, George Christy, Endre Hules, Hawthorne James, William Davidson, Bob Collins, Jimmy Dale Hartsell, Richard Roundtree"
The Silence of the Lambs,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker, Kasi Lemmons, Charles Napier, Tracey Walter, Roger Corman, Ron Vawter, Danny Darst, Jeffrie Lane, Frankie Faison, Paul Lazar, Dan Butler, Chris Isaak"
It's a Wonderful Life,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton, Charles Williams, Sarah Edwards, William Edmunds"
Spider-man: Across the Spider-verse,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson, Oscar Isaac, Jason Schwartzman, Issa Rae, Daniel Kaluuya, Karan Soni, Shea Whigham, Greta Lee, Mahershala Ali, Amandla Stenberg, Jharrel Jerome, Andy Samberg, Jack Quaid, Rachel Dratch"
Saving Private Ryan,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Ted Danson, Paul Giamatti, Dennis Farina, Joerg Stadler, Max Martini, Dylan Bruno, Daniel Cerqueira, Demetri Goritsas, Ian Porter"
The Green Mile,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Patricia Clarkson, Harry Dean Stanton, Dabbs Greer, Eve Brent, William Sadler, Mack Miles, Rai Tasco"
