title,description,age_rating
Boyy Friend,"Ramesh, a college student, lives a quiet life with his widowed mother. A minister is murdered, and their normal life takes a turn for the worse.",U/A 13+
Sister,"Serving her duties at a COVID ward, a young nurse gets pushed to her extreme after she closely witnesses death. Will she get over the emotional turmoil?",U/A 16+
Women of Honour: Destination Army,The special feature follows two lady cadets through their journey at the Officer’s Training Academy where they undergo rigorous training to join the Indian Army.,U/A 7+
Ford v Ferrari,Caroll Shelby and Ken Miles battle against all the odds to build a race car for Ford Motor Company and take on the dominant Ferraris at the Le Mans in 1966.,U/A 16+
Nirop,Shekhar and Jui decide to go on a holiday before he leaves for France. What starts off as a goodbye trip soon ends as a life-altering holiday for the couple.,U
Mannequin,Story of a husband whose wife is a compulsive shopaholic with a twist. Watch this comical take on the life of a married couple.,U/A 13+
Bogan,"Vikram, a police officer, is on a mission to hunt Adithya, a criminal mastermind. A vicious game unfolds when Adithya cleverly switches his soul with Vikram's.",U/A 13+
Ek Villain,"Guru, a goon, marries Aisha and decides to make a fresh start. However, their happiness is short lived when a serial killer makes an entry.",U/A 16+
Ballem,A happy-go-lucky man falls in love with a village belle. Problems arise when the area's influential man also sets his eyes on her.,U/A 13+
Lift Kodla,"Krishna plans a mass suicide trip for depressed people who want to die. But when they are on the bus that is to meet with an accident, they realise their folly.",U/A 7+
Ek Mulaqat,"Two strangers, Avi and Nikita meet at a party and a random conversation leads to an interesting evening.",U
Aralida Hoo,"When your own mother becomes an outcast, childhood can be tough. Young Sina bears the brunt of being shunned, which in turn affects his future as well.",U/A 13+
Waqt Hamara Hai,"Friends Vikas and Sunil plan a phoney kidnapping of their girlfriends, Ayesha and Mamta, which turns completely awry when a notorious terrorist intervenes.",U/A 7+
Bibhatsu,A warrior apprentice marks his accomplishment on receiving a medallion from his master. Has the student finally become the teacher in martial arts?,U/A 13+
Youtube Revolution,The inside story of Youtube's meteoric rise from a start-up to a major corporate player.,U/A 13+
Vishwaroopam,"When Nirupama tries to find a reason to divorce Vishva, she is unaware of his ties to the underworld. However, she finds out, and all hell breaks loose.",U/A 16+
Black Widow,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,U/A 13+
Vikram Vedha,"Police officer Vikram finally captures Vedha, a dreaded gangster. When the latter engages Vikram in a mind game, it challenges his notion of good and evil.",U/A 16+
Amanusha,"On an untamed island, a photoshoot goes awry and the models and crew members get killed mysteriously. But there is one survivor who may have all the answers.",U/A 16+
Jigarthanda,"To impress an art film director who critiqued his earlier attempts, Karthik decides to shoot a film on the life of a demented gangster, Assault Sethu.",U/A 16+
Kanmadam,"Vishwanathan, a thug, accidentally kills Damodaran. Later, he falls in love with Bhanu, Damodaran's sister. Will he reveal his true identity to her?",U/A 13+
Lakhon Me Ek,"Bhola, a homeless orphan, lives at the mercy of the residents of a building who treat him badly. But everything changes when a rich man claims to be his father.",U
Jungle Cruise,A rollicking thrill-ride down the Amazon with wisecracking skipper Frank Wolff and intrepid researcher Dr. Lily Houghton.,U/A 13+
Very Ralph,"The movie reveals the man behind the creation of Ralph Lauren, one of the most successful brands in fashion history.",U/A 7+
Vandanam,Professor Kurian Fernandez escapes from jail. Inspectors Unnikrishnan and K. Purushothaman Nair land in Bangalore thinking he would visit his daughter there.,U/A 13+
Yaraana,"Forced to marry a psychopath, Lalita escapes from his clutches on her wedding day. However, the past soon haunts her.",U
Anubhuti,Tale of a writer trying to break his writer's block. He finds solace in an old typewriter that turns everything written on it into reality.,A
Johnny Gaddaar,"A corrupt cop hatches a plan that can get his gang Rs. 5 crore. However, its mayhem all the way when the youngest member runs away with all the money.",A
Oppam,"Jayaraman, a blind elevator operator gets framed for a murder that he didn't commit. A cat and mouse game ensues as he fights back to prove his innocence.",U/A 13+
The Wild,"Samson, The Lion's son is accidentally shipped off to Africa, it's up to him and his curling team to rescue him. The group embarks upon a rollicking adventure.",U/A 7+
Mandhira Punnagai,"Kathir is an architect who attracts Nandini's attention but rejects her advances. However, things get violent when she starts dating someone else.",U/A 16+
Lewis Black: Black On Broadway,Lewis Black goes on tirade after tirade about stupidity in America. He covers everything from corporate greed and Martha Stewart to WMDs and homeland security,A
The Maze Runner,Thomas wakes up in an elevator and finds himself in a strange world of young boys who are trying to escape through the Maze that surrounds their living space.,U/A 16+
Tum Bin,"To atone for his guilt, Shekhar decides to look after the family of the man he accidentally killed. What happens when falls in love with his fiance?",U
Jagathguru Adisankaran,"Adisankaran gets banished by society because of his caste. Yet, he tries to bring about a spiritual movement and a change in social norms with his philosophies.",U
The Last Letter,"A sweet, endearing tale of two old-school lovers and their conversations, carried out over shy, fond letters.",U/A 7+
Twenty One Grams,"An ingenious cop, Nandakishore, sets out to untangle a string of mysterious murders in Kochi. As the secrets unveil themselves, he finds himself in a dilemma.",U/A 13+
Jane,"Brett Morgen tells the story of Jane, a woman whose groundbreaking chimpanzee research has revolutionized our understanding of the natural world.",U
Chicken Little,"When the sky is falling, who will rise to save the day? Together with friends, Chicken Little must hatch a plan to save the planet.",U
Brindhaavanam,"Kannan, a deaf and mute boy is loved by everyone. Vivek is a reigning comedian and Kannan’s idol. When they meet, what starts is an emotional roller coaster.",U
Premisthe,"Aishwarya, who comes from a rich family, elopes with Murugan, who is only a mechanic. But her family wants to separate them. Will they live happily ever after?",U/A 13+
Preethi Nee Shashwathana,"Photographer Akshay fails to express his love for Nandini. By the time he musters enough courage to approach her, Nandini gets trapped in a nefarious plot.",U/A 13+
Tu Hai Mera Sunday,"In this age of sky scrapers, five friends struggle to find an open space to play football on Sundays, will they find it?",U/A 13+
Last Time,"A groom meets his ex-girlfriend in a cafe on his wedding day. What could he possibly want with her, when everyone is waiting for him at the wedding venue?",U/A 13+
The Porter,"After the death of her husband, Manju Devi decides to own up her responsibilities and becomes the first female porter of India.",U/A 7+
Mumbai Meri Jaan - Animated Visual Short Film,A beautiful encapsulation of Mumbai city through animation signifying the overall experience our narrator got whilst her stay in this city.,U/A 7+
Samarth,"A gardener is not getting his salary, but still comes to work during lockdown. However, a kind person decides to help him in a unique way.",U/A 7+
The Burning Train,"Vinod’s dream project, Super Express, India’s fast travelling passenger train goes out of control on its inaugural run. Now hundreds of lives are at stake.",U/A 13+
Sambhavami Yuge Yuge,Three jobless guys cheat people and make merry. What happens when they learn that one of them is the son of a rich man?,U
Poomarathanalil,"Poomarathanalil is a Malayalam drama movie starring Sreenivasa Varma, Devan, Anju, Vijayakumar, Ushakumari, Janardhanan, Mala Aravindan and directed by A K Muraleedharan. Nancy is the only daughter of Susanna. After her father's death, their family business is run by Nancy's uncle who is determined to rob her of her inheritance. Watch the full movie, Poomarathanalil, online, only on Hotstar.",U/A 16+
Black Label,"In order to retrieve his share from a diamond heist, a guilt driven Mumbai cop confronts his drug-addict partner who's hiding in a shady neighborhood",U/A 13+
Laila O Laila,"While it's love at first for Karthik, Nandhini can barely stand his sight. However, despite rejecting him, she ends up getting engaged to him.",U/A 13+
Baby,"Post 26/11 Mumbai attacks, a special intelligence task force will stop at nothing to foil another such assault on the Indian soil.",U/A 16+
The Garden of Evening Mists,"Embittered from atrocities of the World War II in Malaya, Teoh Yun Ling seeks solace in the rolling hills of Cameron Highlands.",U/A 16+
Khat,"The relationship between a father and son is truly special. However, with time, this relationship always holds different challenges.",U/A 13+
Diving with Dolphins,"From surfing with dolphins to dancing with humpback whales, the filmmakers go to great lengths to shed new light on the ocean's mysteries.",U
Saavira Mettilu,"College student Shanthi falls in love with Shekhar, but Ramu, who is after her, prevents their wedding. Later, he gets murdered, and Shanthi is blamed for it.",U/A 13+
Malayala Masom Chingam Onnu,"Womaniser Preman is married to Rukmini who stammers. Things take a turn for the worse when he tries to seduce and blackmail his neighbour Appu's wife, Renuka.",U/A 13+
Grimcutty,A suburban teen girl and her little brother must stop a terrifying internet meme brought to life by the hysteria of their parents.,A
Hungama,Two wastrels pretend to be billionaires with an intention of marrying into rich families. But what will happen when they fall in love for real?,U/A 13+
Prometheus,"In the year 2093, a group of explorers on a secret mission to an alien planet discover the remains of an ancient civilization, but their excitement is short-lived as the Weyland Corporation has ulterior motives.",U/A 16+
Tinker Bell,Tinker Bell sets out on an adventure with her friends to acquire nature talent so that she can visit the mainland.,U
Puthan Panam,"A Kasaragod-based financier, Nithyananda, seeks revenge against an ex-minister who swindled him hours before demonetisation got implemented.",U/A 16+
The King's Man,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",U/A 16+
Ikkareyanente Manasam,"After returning from the Gulf, Kuttiraman plans to marry his girlfriend. But his family has other plans with the money he has made.",U
Nokketha doorathu Kannum Nattu,"A young girl visits Kunjoonjamma and claims to be her granddaughter, changing the old woman's life for the better. However, what is the girl's motive?",U
The Santa Clause 3: The Escape Clause,"Santa, aka Scott Calvin, is faced with double-duty: how to keep his new family happy, and how to stop Jack Frost from sabotaging the toy factory.",U
Night at the Museum: Kahmunrah Rises Again,"Nick Daley is the new night watchman at the American Museum of Natural History. When the maniacal ruler Kahmunrah escapes, it is up to Nick to save the museum once.",U/A 7+
The Metro,"Five friends travelling to Palai to deliver a package from the Gulf take cover in the darkness of a city. While facing hurdles, will they complete their task?",U/A 16+
Make Her Happy,"After living together for some time, Nandita and Rahul decide to get married. However, problems arise as Rahul’s old flame Suhana re-enters his life.",U/A 16+
Chithram,Vishnu agrees to act as Kalyani's husband for a fee that kick-starts a hilarious journey. Things takes a striking turn when Vishnu reveals his true identity.,U
Kingsman: The Secret Service,"When Gary Unwin meets suave agent Harry Hart, he realizes his great potential and enlists Gary as a trainee in the secret service.",U/A 16+
Aakasam,Mechanic Manoharan leads a happy and simple life with his family. But his life takes a turn for the worse when the sketch of a bomb-blast accused resembles him.,U/A 7+
The Tale,The Tale is an investigation of one woman's memory as she re-examines her first sexual relationship.,A
Manu Uncle,Manu accompanies a group of neighbourhood kids to an art museum where the sword of Marthanda Varma gets stolen. Thus begins the chase to catch the culprits.,U/A 13+
Baghban,Elderly couple Raj and Priya wish for their children to take care of them. But what they got in return was a lot of pain.,U/A 7+
Poovinu Puthiya Poonthennal,Kiran has not been able to recover from the tragic death of his family. He finds a deaf-mute boy who witnessed his mother's murder and adopts him.,U/A 13+
Ajnabee,"Raj and Priya befriend their neighbours Vikram and Sonia in Switzerland. When Sonia is found dead a few days later, the blame falls on Raj. Is he the killer?",U/A 7+
Sultan: The Saviour,"Newcomers in the big city, Raja and his sister struggle to lead a peaceful life. However, Raja has a hidden agenda behind moving places.",U/A 13+
Nee Naan Naam,"Circumstances force Raja Ram and Nazeera to lead separate lives in different countries. Years later, their daughters strive to reunite the estranged couple.",U
Not Out,"A guy comes to Mumbai with a dream of making it big. He struggles and fails to succeed, but is he ready to give up?",U/A 7+
Hudugaru,"Three guys help their friend to marry his love against her father's wishes. But, when they find themselves in trouble, they are forced to question the lovers.",U/A 7+
Nautanki Saala!,A theatre artist saves a depressed man from committing suicide. He also tries to reunite him with his ex-girlfriend but ends up falling for her.,U/A 13+
Allari Bullodu,"Two lookalikes approach a family, one of them wants to help the family and the other wants to harm them. Where will this case of mistaken identities end?",U/A 13+
Paglu 2,"College student Dev falls in love with Riya. However, things turn ugly when Riya is kidnapped by a group of hoodlums.",U/A 13+
Shudhikalasham,"Kumar returns home after years. When G.K. Menon sets out to ruin him, Kumar calls his friend Ravi for his help to tackle the business tycoon.",U/A 13+
Avengers: Infinity War,"With the powerful Thanos on the verge of raining destruction upon the universe, the Avengers will have to risk everything to stop him.",U/A 13+
Maula Baksh De,"In the aftermath of the 2002 riots in Gujarat, a Hindu man suffers from guilt. In his fight between reason and religion, what will he choose?",U/A 16+
Surya Vs Surya,"Surya suffers from porphyria, which makes him sensitive to sunlight. It ends up causing problems in his love life. How will he win against the disease?",U/A 13+
Warm Springs,The stirring true story of Franklin D. Roosevelt's battle with polio in 1921.,U/A 13+
Signal,"Stranded due to a landslide, a hotelier saunters around in a forest engrossed in search of mobile connectivity, only to discover the night of his life.",U/A 13+
SMS 6260,"Casanova Roshan meets Janu, a call centre employee, at a bash and befriends her. However, a mysterious photo at her house has him distancing himself from her.",U/A 13+
Boy and Girl,"Over the course of a night, a pregnant woman experiences peculiar happenings around the house. What’s the mystery about?",U/A 13+
The Sound Of Music,"Maria arrives at the Von Trapp mansion as governess to the seven children of a widowed naval captain bringing love, life, and music into their lives.",U
He Named Me Malala,"The movie recounts the events of Malala Yousafzai, from being shot by the Taliban for pursuing an education to her miraculous recovery.",U/A 13+
I'm Home,"Soon-to-be parents, a young couple moves into a new house. Things take a frightening turn when the wife experiences strange happenings around the house.",U/A 13+
Bhaktha Sankara,"When his parents are paralysed, Sankara prays to Lord Shiva asking him to cure them. However, every boon comes with a sacrifice. What will he have to trade?",U/A 13+
Mathai Kuzhappakkaranalla,"Auto driver Mathai always helps the needy. However, on the day of a strike, he tries to resolve a doctor and his wife's fight, leading to a series of conflicts.",U
Vardhakyapuranam,"To keep themselves busy, retired citizens Omanakuttan Pillai, Cherian Thomas and Mahendran Thambi decide to set up a drama troupe. But there are hurdles ahead.",U/A 7+
Will Ferrell: You're Welcome America. A Final Night With George W Bush,Discover Will Ferrell in his heralded Broadway play based on his impression of then outgoing US President George W. Bush.,A
Tooth Fairy 2,"After a man accidentally tells the kids he's doing volunteer work with that the Tooth Fairy is make-believe, he is transformed into a tutu-clad fairy with the ""sentence"" of collecting teeth.",U/A 7+
Rambabu,"When your girl accepts your proposal, it's better not to analyse it too much. However, over-thinker Rambabu does the exact opposite and royally messes up.",U/A 13+
Dhoni,"Young Karthik dreams of becoming a wicketkeeper and batsman like Dhoni. However, his adamant father has other plans for him.",U
Andha Oru Nimisham,"Jo and Swathi's lives get intertwined after a scientist reveals that they are leading parallel lives. However, things take an ugly turn when Swathi is killed.",U/A 16+
Machha,"A young man, aspiring to become a police officer, finds himself working for the underworld.",U/A 16+
Meen,"A fisherman returns to his village. On not finding his lover, he gets married to another woman. Years later, his son seeks revenge for leaving his mother.",U/A 16+
Lullaby,"In the realm of Neil's memories of his mother, his present is at risk without him being aware of it. Will he overcome his problem or slip into it permanently?",U/A 16+
Deva,Deva shares a close bond with his gangster brother and is employed by him as well. What happens when a misunderstanding leads to losing someone dear to them?,U
Dr. Saleem,"Saleem is a doctor who does quite a lot of social work and lives a happily engaged life, until he takes on the case of a gangrape victim.",U/A 13+
Danger,Five friends get lost in a forest while escaping cops. They witness a shocking incident that changes their lives forever.,U/A 13+
Kaashmora,"Absconding with a minister's money, a conman and his family get trapped inside a haunted bungalow. In order to escape ghosts, he must go back the past.",U/A 16+
Hitlist,"Directed by Sasi Mohan, this film stars Rahman, Baiju, Chembakam, and Narendra Prasad in lead roles.",U/A 16+
Mooladhanam,"Mammootty and Ravi are freedom fighters, who face many challenges and hardships when they fight against the British during India's freedom struggle.",U/A 13+
The Princess Diaries 2: Royal Engagement,"With Genovian law stating that princesses must be married before being crowned, Mia's in for a parade of suitors who'd all like to be her king.",U/A 7+
Star Wars: The Force Awakens,Unlikely heroes brought together by fate are the galaxy's only hope at thwarting The First Order's reign of evil led by the Supreme Leader Snoke and Kylo Ren.,U/A 13+
Chemparathy,"Shobhana, an innocent girl, works as a maid at a men's lodge but gets raped. When she becomes pregnant, she sets out to find the culprit.",U/A 13+
Janeman,Two strangers Deba and Riya meet due to an odd turn of circumstances and find themselves on a road trip that alters their lives forever.,U/A 13+
Ammoru Thalli,Small-time reporter Engels' life changes drastically when he meets his ancestral goddess Ammoru Thalli. What happens when she puts forth an intriguing plea?,U/A 13+
Taxi Ride,It just takes a moment to shape one’s perspective! A taxi trip makes two passengers confront their stone-cast views of the world. Will it change their outlook?,U/A 13+
Ajju,Ajay and Ranjitha are best friends. Ranjitha's father disapproves of this friendship. Things get complicated when they fall in love with each other.,U/A 13+
Mr. Painter,"Two painters, who assigned a job to paint a house before an upcoming marriage, end up resolving the problems that the family is facing.",U/A 13+
Kanyakumari Express,"When a decorated policeman is suspected of killing the murderers of his wife and children, he is left with no choice but to unearth the actual culprit.",U/A 13+
83,"Chronicling the historic 1983 Cricket World Cup, thirteen underdogs led by Kapil Dev fight and win against all odds to put India on the map.",U/A 7+
Bal Ganesh and the Pomzom Planet,"When his dear friend Moushak is captured on an unknown planet, Pomzom, Bal Ganesha comes to battle the evil forces and rescue him.",U
Maharajin,"In many sects, women are prohibited from entering cremation grounds. Gulab Maharajin broke all rules and has performed rituals in Allahabad, for over 60 Years.",U/A 16+
Attahasa,Notorious sandalwood kingpin Veerappan's life is an open book. This film focuses on his childhood and other less-explored aspects of his life.,U/A 16+
From Justin To Kelly,"Despite the best efforts of a jealous friend, Kelly and Justin, two college students meet and fall in love during Spring Break in Fort Lauderdale.",U/A 13+
Hosa Varsha,Somanath and his friends rape Malani and Madhu. Malani decides to take revenge and kill the perpetrators.,U/A 13+
Appunni,"Ammu is in love with Appunni, but her father stands against them and fixes her marriage with Menon, a schoolteacher. Whom will Ammu choose?",U
Well Done Abba,"Tired of bureaucratic delays, chauffeur Armaan Ali takes matters into his own hands to save his draught-stricken village. But can he fight the big guns?",U/A 13+
Aam Log,"Cast down by the differences and bickering of humans, Buddy, a pet dog tries to wrap his head around human minds and their interpersonal relationships.",U
Sneham,Diwakar and Chandram's friendship goes through a turmoil when the former falls for the village head's daughter. Will Diwakar part ways with Chandram for love?,U/A 13+
Gayatri 1920,"When Arjun gets an assignment to rebuild a mansion, he realises that it is haunted after his wife gets possessed. How will he save his wife from the spirit?",U/A 16+
Magaadu,"Geetha falls for a local musician, Babu. However, the two will have to strive hard to win her parents' approval. Will they pay a heavy price for it?",U/A 13+
Megafactories: Lego,"From R&D and engineering to robotic assembly lines, get behind the scenes at LEGO as a manufacturing plant turns into a playground of imagination.",U/A 7+
Ghulam The Revolt,"A local goon takes care of orphans and strives to give them a good education. But, when his rivals create problems, he is forced to bring out his violent side.",U/A 16+
Independence Day,"After a devastating alien attack, the President, an Air Force Marshall and a satellite expert devise a counterattack to save the world.",U/A 13+
23rd March 1931 Shaheed,"Chronicling the life of Shaheed Bhagat Singh, this rebellious freedom fighter, along with Rajguru and Sukhdev, happily gave his life for the country.",U
Iron Man 3,"Tony Stark encounters a formidable foe called the Mandarin, and after failing to him, he embarks on a journey with relentless consequences.",U/A 13+
Charitra Varnan,"A cab driver comes across a woman standing and crying along the roadside. He tries to help her, but what happens next will leave you stunned.",U/A 16+
Avatar,"Former Marine Jake Sully is deployed as an Avatar on a mission to Pandora but, he ultimately finds himself torn between two worlds.",U/A 13+
Naanu Police Agthini,"It was always Ramu's goal to become a police officer. However, when his dream comes true, he realises that it is not an easy job to don the khaki uniform.",U/A 13+
Poojari,A Brahmin boy faces dire consequences when he refuses his classmate's love for him and an underworld don gets involved. Now he has no choice but seek revenge.,U/A 16+
Priyamina Nestam,"The son of a poor farmer gets adopted by a rich man, just so he can convince the father of the girl of his dreams to marry her. But is money enough?",U/A 13+
F2: Fun and Frustration,"To teach their respective wives a lesson, Venky and Varun leave their home. What happens when they fall in their own trap?",U/A 13+
Johny Johny Yes Appa,"Being a thief is what Johny is good at. However, his career of ill-repute takes a hit when he meets an orphan.",U/A 7+
Hailesa,A wheelchair-bound man's desperate attempts to trace his lost love and daughter lead to well-meaning guys 'finding' his offspring and chaos ensue.,U/A 13+
Chandrakala,"When a family decides to sell off their ancestral house in the village, a series of spooky murders reveal the tragic story of a wandering soul.",U/A 16+
Raja Rajathan,"A visually impaired man, who is also a trained fighter, is assigned to protect the daughter of a police officer from his enemies.",U/A 13+
Isle of Dogs,"Atari sets off to Trash Island in search of his bodyguard-dog, Spots. He begins an epic journey that will decide the fate of the Megasaki Prefecture.",U/A 13+
Mohini,"Vaishnavi and Sandeep's love life takes a spooky turn when Vaishnavi gets possessed by Mohini's spirit, who looks exactly like her. A sinister coincidence?",U/A 13+
En Kaathalukku Naane Villan,"Gautham, an orphan, wants to marry Vaishnavi, a girl from a joint family. However, their love story hits a road block when Vaishnavi's father reveals his plan.",U/A 13+
Lunch Stories Chapter 2 | The 'Date' Story,"A journey of two females, in pursuit of freedom.",U/A 13+
2B not 2B,"A boy discovers a magic pencil that can bring to life whatever he draws. All seems to be going well, until he breathes life into a picture of a pretty girl.",U/A 16+
MAYA,"Unhappy in her marriage, Asmita wants to become rich and enjoy life. She becomes companion of a enigmatic rich old man. Is she willing to pay the price?",U/A 13+
A Promise To Carolyn,"Based on true-life events, two estranged sisters reopen the investigation of their baby sister, Carolyn who died 37 years ago supposedly by accident.",U/A 16+
Udne Do,An all too real story of a child molested by a trusted figure and how she stands up for herself with the help of friends and supportive adults.,U/A 16+
Daag - The Fire,"When Karan discovers that his father was wrongly jailed, which led to his suicide, he sets out to avenge him. But revenge is not easy.",U/A 16+
Artemis Fowl,"Artemis Fowl, a 12-year-old genius and descendant of a long line of criminal masterminds, is investigating his father's disappearance.",U/A 7+
Siripuram Chinnodu,"Ravi is a driver by profession and helps Sarathi complete his studies. Years later, Sarathi is well-settled and the two drift apart. How will they reunite?",U/A 13+
Peeran,"Peeran is a short story by Saadat Hasan Manto. The story revolves around Brijmohan, an assistant director in films and his friend Peeran who he knows is unlucky for him yet their bond is one of a kind. This short film explores how deals with her 'unlucky' factor.",U/A 13+
Akasathekkoru Kilivathil,Kannan is an unemployed youth in a village. His parents send him to their relative's place in the city to make a life. But he ends up falling in love.,U/A 7+
Cinema Pichodu,"Rambabu moves to the city to become an actor, leaving behind his family and lover, Seetha. Will he come back an actor, or is something worse in store for him?",U/A 13+
Looking for Mr. Right,"Story of two NRIs, Rohan and Tara, who are trying to find a perfect someone. A satirical take on South Asian dating and match-making in America.",U/A 13+
Ranjan,"School going kid, Pratap falls in love with his classmate Madhu. However, to win her heart, he must fullfil her bizarre condition.",U/A 13+
Gouravam,Arjun heads to his village to meet his friend Shanmugam only to find out that he has eloped with his lover. He sets out on a search to find his friend.,U/A 13+
Mazhabi Laddu,"Azeem’s love for the supreme sweet- Laddu makes him embark on a fun escapade, albeit with assistance from his friends. Will he make it through the roadblocks?",U/A 16+
Alien3,"When a series of strange events occur after Ellen Ripley's arrival on planet Fiorina 161, she realizes that she has brought along an unwelcome visitor.",A
The Favourite,"An acerbic tale of royal intrigue, passion, envy and betrayal in the court of Queen Anne in early 18th century England.",A
Shanghai Noon,"When a Chinese princess is kidnapped and taken to the American West, misfit Imperial guard Chon Wang tags along with a small-time thief on the rescue mission.",U/A 13+
Love Express,"Laal, who has a strict father, is about to be disowned by him when he commits his 100th mistake. Then he meets Nilasha, who accompanies him on an adventurous journey.",U
Dumdaar Khiladi,"It's hate at first sight for Sanju and Anu. But, as time passes, they develop a strong friendship, which is tested when they choose different life partners.",U
Mayaponman,"Prasad, a mechanic, and his friend Freddy set out to save a girl whose extended family is trying to steal her wealth.",U/A 7+
