Unnamed: 0,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
3799,100,Ariana Grande & Justin Bieber,Stuck With U,91,1,18,2020-09-19
445,46,Old Dominion,One Man Band,36,20,22,2020-02-01
5129,30,Ava Max,Kings & Queens,22,13,19,2020-12-26
1882,83,YoungBoy Never Broke Again,Ain't Easy,0,83,1,2020-05-09
4643,44,Miley Cyrus,Midnight Sky,82,14,13,2020-11-21
2067,68,Kehlani,Toxic,0,68,1,2020-05-23
1776,77,JP Saxe Featuring Julia Michaels,If The World Was Ending,73,73,4,2020-05-02
4186,87,SZA Featuring Ty Dolla $ign,Hit Different,75,29,5,2020-10-17
195,96,Doja Cat,Candy,96,86,6,2020-01-11
2538,39,Maroon 5,Memories,32,2,39,2020-06-27
101,2,Maroon 5,Memories,9,2,15,2020-01-11
1772,73,Jordan Davis,Slow Dance In A Parking Lot,50,37,16,2020-05-02
1482,83,YoungBoy Never Broke Again,Make No Sense,96,57,20,2020-04-11
2735,36,Roddy Ricch Featuring Mustard,High Fashion,31,20,27,2020-07-11
1690,91,Lil Baby & 42 Dugg,Grace,100,48,7,2020-04-25
