game_id,turn_number,nickname,rack,location,move,points,score,turn_type
o2B2TXjz,30,magnolia,EIIR,10K,REI,+11,406,Play
o2B2TXjz,31,BasicBot,MNS,C1,.....S,+13,379,Play
o2B2TXjz,32,magnolia,I,6E,.I.,+5,411,Play
o2B2TXjz,33,magnolia,,,(MN),+8,419,End
AquFMAZz,1,cafarr,ABEIIIT,,-III,+0,0,Exchange
AquFMAZz,2,BasicBot,ADILNTU,8D,ADULT,+14,14,Play
AquFMAZz,3,cafarr,ABEJORT,F5,ABO.T,+13,13,Play
AquFMAZz,4,BasicBot,?AEINRV,5E,V.RIANcE,+90,104,Play
AquFMAZz,5,cafarr,EEJNORR,J2,JEO.,+27,40,Play
AquFMAZz,6,BasicBot,AGHKORS,4L,HOG,+24,128,Play
AquFMAZz,7,cafarr,AENRRSV,O1,VARS,+33,73,Play
AquFMAZz,8,BasicBot,ACFKRSY,G7,F.AKY,+32,160,Play
AquFMAZz,9,cafarr,EEEHNPR,11E,HE.,+18,91,Play
AquFMAZz,10,BasicBot,CDEIORS,12A,CREDO,+27,187,Play
AquFMAZz,11,cafarr,EEMNPRS,A12,.ERE,+18,109,Play
AquFMAZz,12,BasicBot,GIIPSUY,13E,GUY,+18,205,Play
AquFMAZz,13,cafarr,AEMNNPS,14F,PANE,+27,136,Play
AquFMAZz,14,BasicBot,IIINOPS,,-II,+0,205,Exchange
AquFMAZz,15,cafarr,ILMNSUZ,15H,UM,+22,158,Play
AquFMAZz,16,BasicBot,FIINOPS,N4,.IF,+15,220,Play
AquFMAZz,17,cafarr,CGILNSZ,J10,ZINCS,+47,205,Play
AquFMAZz,18,BasicBot,AEINOPS,O6,APE,+20,240,Play
AquFMAZz,19,cafarr,DGLLNQT,11I,Q.N,+24,229,Play
AquFMAZz,20,BasicBot,IMNNORS,C11,M.N,+10,250,Play
AquFMAZz,21,cafarr,DGILLTT,10J,.ILL,+15,244,Play
AquFMAZz,22,BasicBot,EINORSW,C9,WO...,+14,264,Play
AquFMAZz,23,cafarr,ADDGOTT,K1,GOD,+17,261,Play
AquFMAZz,24,BasicBot,?EINORS,12I,I.NS,+22,286,Play
AquFMAZz,25,cafarr,ABDOTTW,B10,BA.,+25,286,Play
AquFMAZz,26,BasicBot,?AEIORX,9N,OX,+22,308,Play
AquFMAZz,27,cafarr,DIOTTUW,L1,OW,+23,309,Play
AquFMAZz,28,BasicBot,?AEIRST,L4,..AT,+7,315,Play
AquFMAZz,29,cafarr,DIIRTTU,15G,R..,+11,320,Play
AquFMAZz,30,BasicBot,?EEILRS,2J,...L,+14,329,Play
AquFMAZz,31,cafarr,DIIITTU,I4,T.UT,+7,327,Play
AquFMAZz,32,BasicBot,?EEEIRS,8J,RISE,+14,343,Play
AquFMAZz,33,cafarr,DEIIIT,B14,ED,+13,340,Play
AquFMAZz,34,BasicBot,?EE,G2,pEE.,+4,347,Play
AquFMAZz,35,BasicBot,,,(IIIT),+8,355,End
hpNzoMZe,1,magnolia,AEGIIMR,8D,GRIME,+20,20,Play
hpNzoMZe,2,BasicBot,ABRRTUU,E5,BUR.,+12,12,Play
hpNzoMZe,3,magnolia,AEIINOW,D4,ION,+12,32,Play
hpNzoMZe,4,BasicBot,ACEORTU,G8,.U,+5,17,Play
hpNzoMZe,5,magnolia,AADEHIW,C3,WAD,+22,54,Play
hpNzoMZe,6,BasicBot,ACEORTT,3A,TO.,+6,23,Play
hpNzoMZe,7,magnolia,AEEHIJS,A1,JE.E,+36,90,Play
hpNzoMZe,8,BasicBot,AACEERT,5B,A...E,+8,31,Play
hpNzoMZe,9,magnolia,AHIOOPS,B1,OH.,+31,121,Play
hpNzoMZe,10,BasicBot,ACEIRTV,F2,VIC.,+17,48,Play
hpNzoMZe,11,magnolia,AEIOPST,7G,APT,+17,138,Play
hpNzoMZe,12,BasicBot,?AEGIRT,4F,.ATERInG,+72,120,Play
hpNzoMZe,13,magnolia,?EIINOS,10B,lIONISE,+64,202,Play
hpNzoMZe,14,BasicBot,BCDEMST,C9,C.TED,+22,142,Play
hpNzoMZe,15,magnolia,AIOOORT,11C,.OOT,+16,218,Play
hpNzoMZe,16,BasicBot,BDILMNS,K3,L.MB,+16,158,Play
hpNzoMZe,17,magnolia,AEIKLOR,H1,KIL.,+24,242,Play
hpNzoMZe,18,BasicBot,DFILLNS,H10,.LFIN,+12,170,Play
hpNzoMZe,19,magnolia,AAAEORY,6A,AY,+26,268,Play
hpNzoMZe,20,BasicBot,DILPSUV,13G,V.D,+13,183,Play
hpNzoMZe,21,magnolia,AAAEORR,A6,.REA,+12,280,Play
hpNzoMZe,22,BasicBot,ILPQRSU,6K,.LIP,+14,197,Play
hpNzoMZe,23,magnolia,AAENORT,J10,NOTE,+14,294,Play
hpNzoMZe,24,BasicBot,NOQRSUU,D2,UN...,+12,209,Play
hpNzoMZe,25,magnolia,AADERSY,O6,SAY,+27,321,Play
hpNzoMZe,26,BasicBot,AFOQRSU,8L,QUA.,+26,235,Play
hpNzoMZe,27,magnolia,ADEERSW,K10,AWE,+26,347,Play
hpNzoMZe,28,BasicBot,FHNORSX,N8,.XONS,+14,249,Play
hpNzoMZe,29,magnolia,DEEGRSZ,12A,ZE.S,+52,399,Play
hpNzoMZe,30,BasicBot,FHR,10M,F.R,+6,255,Play
hpNzoMZe,31,magnolia,DEGR,L12,GED,+18,417,Play
hpNzoMZe,32,BasicBot,H,8A,.H,+5,260,Play
hpNzoMZe,33,BasicBot,,,(R),+2,262,End
SAFeAwmn,1,Lucx12,EENTUVW,,-EUVW,+0,0,Exchange
SAFeAwmn,2,BasicBot,ILNOORT,8G,LOTION,+14,14,Play
SAFeAwmn,3,Lucx12,AEEMNOT,L8,.EONATE,+14,14,Play
SAFeAwmn,4,BasicBot,AFFGORV,14H,GAFF.,+20,34,Play
SAFeAwmn,5,Lucx12,ACEHLMN,13G,HAM,+25,39,Play
SAFeAwmn,6,BasicBot,BCOQRSV,15F,BROS,+35,69,Play
SAFeAwmn,7,Lucx12,ACELMNR,M9,MEAL,+22,61,Play
SAFeAwmn,8,BasicBot,ACENOQV,K4,CONV.,+20,89,Play
SAFeAwmn,9,Lucx12,CEEINRT,I1,RETICEN.,+62,123,Play
SAFeAwmn,10,BasicBot,AAEEIOQ,1G,AE.O,+12,101,Play
SAFeAwmn,11,Lucx12,DIRTVWY,2H,D.WY,+35,158,Play
SAFeAwmn,12,BasicBot,AEEIIQS,,-AEIIQ,+0,101,Exchange
SAFeAwmn,13,Lucx12,ADIKRTV,6F,VID.,+16,174,Play
SAFeAwmn,14,BasicBot,AENNSUU,,-NUU,+0,101,Exchange
SAFeAwmn,15,Lucx12,AIJKRST,4K,.RIT,+12,186,Play
SAFeAwmn,16,BasicBot,AEEINRS,15L,SINE,+24,125,Play
SAFeAwmn,17,Lucx12,AJKSUUY,O1,JAYS,+53,239,Play
SAFeAwmn,18,BasicBot,AEEGOOR,F2,GROO.E,+14,139,Play
SAFeAwmn,19,Lucx12,AIKQRUU,7B,QUAK.,+19,258,Play
SAFeAwmn,20,BasicBot,AEGIPRS,8A,GI,+20,159,Play
SAFeAwmn,21,Lucx12,IIINRUZ,2N,Z.,+22,280,Play
SAFeAwmn,22,BasicBot,?AAEPRS,13L,.SAR,+22,181,Play
SAFeAwmn,23,Lucx12,DIIINRU,4C,DIN.,+10,290,Play
SAFeAwmn,24,BasicBot,?AEEPTU,3A,PEE,+16,197,Play
SAFeAwmn,25,Lucx12,?DIIPRU,A1,PU.Il,+27,317,Play
SAFeAwmn,26,BasicBot,?AELTTU,A8,.AUnTLET,+77,274,Play
SAFeAwmn,27,Lucx12,BDEILRW,12A,.WIRL,+16,333,Play
SAFeAwmn,28,BasicBot,HUX,M3,X.,+18,292,Play
SAFeAwmn,29,Lucx12,BDE,C11,B.DE,+14,347,Play
SAFeAwmn,30,Lucx12,,,(HU),+10,357,End
SAFeAwmn,31,Lucx12,,,(time),-10,347,Timeout
76mfsw3d,1,Nancy19809,AABEINT,8E,BEAN,+12,12,Play
76mfsw3d,2,BasicBot,EHLMRRV,G7,M.RVEL,+15,15,Play
76mfsw3d,3,Nancy19809,AGIILNT,H12,AGIN,+21,33,Play
76mfsw3d,4,BasicBot,AAAAGHR,7C,AHA,+11,26,Play
76mfsw3d,5,Nancy19809,DEILNTU,8A,LUD,+15,48,Play
76mfsw3d,6,BasicBot,AAGKORY,I9,OKAY,+18,44,Play
76mfsw3d,7,Nancy19809,EEINNTT,J9,NIT,+17,65,Play
76mfsw3d,8,BasicBot,ADEEGRS,6D,AG,+14,58,Play
76mfsw3d,9,Nancy19809,EEEHNST,11D,THE.,+14,79,Play
76mfsw3d,10,BasicBot,DEEOQRS,14G,Q.,+11,69,Play
76mfsw3d,11,Nancy19809,EENSVWX,K10,NEW,+25,104,Play
76mfsw3d,12,BasicBot,DEEJORS,C6,J..ED,+26,95,Play
76mfsw3d,13,Nancy19809,EEOSTVX,L12,OX,+28,132,Play
76mfsw3d,14,BasicBot,EELORST,12C,LO,+8,103,Play
76mfsw3d,15,Nancy19809,EEGSTVY,L8,VEG,+20,152,Play
76mfsw3d,16,BasicBot,CEEERST,A5,REE.ECTS,+61,164,Play
76mfsw3d,17,Nancy19809,DESSTUY,8L,.ETS,+21,173,Play
76mfsw3d,18,BasicBot,ACFIILN,M3,FIANC.,+28,192,Play
76mfsw3d,19,Nancy19809,DOSSUUY,14L,YOU,+25,198,Play
76mfsw3d,20,BasicBot,EEILNRT,O10,ENTIRE,+28,220,Play
76mfsw3d,21,Nancy19809,DIRSSUZ,6K,ZI.,+12,210,Play
76mfsw3d,22,BasicBot,?FILPPR,L2,PIP,+27,247,Play
76mfsw3d,23,Nancy19809,?DORSSU,13B,ROD,+16,226,Play
76mfsw3d,24,BasicBot,?FILORR,3K,R..F,+10,257,Play
76mfsw3d,25,Nancy19809,?ABISSU,O1,BUS,+26,252,Play
76mfsw3d,26,BasicBot,?DILORT,15F,LI.T,+15,272,Play
76mfsw3d,27,Nancy19809,?AAIIMS,7G,.AMA,+13,265,Play
76mfsw3d,28,BasicBot,?DOOORW,F2,WOODs,+27,299,Play
76mfsw3d,29,Nancy19809,?IISU,M13,I.n,+22,287,Play
76mfsw3d,30,BasicBot,OR,1M,OR.,+5,304,Play
76mfsw3d,31,BasicBot,,,(ISU),+6,310,End
5vPXcWbe,1,MISSOOI,DIMNPRS,8D,PRIMS,+24,24,Play
5vPXcWbe,2,BasicBot,BEEIIIT,H5,IBI.,+6,6,Play
5vPXcWbe,3,MISSOOI,AABDNOT,E6,AB.OAD,+18,42,Play
5vPXcWbe,4,BasicBot,EEEITWW,D11,EWE,+15,21,Play
5vPXcWbe,5,MISSOOI,IINRTUX,F4,TUX,+51,93,Play
5vPXcWbe,6,BasicBot,EIIPSTW,D4,WIT,+22,43,Play
5vPXcWbe,7,MISSOOI,?EIINOR,C12,ORE,+15,108,Play
5vPXcWbe,8,BasicBot,EILNPSS,15C,SPLINE,+37,80,Play
5vPXcWbe,9,MISSOOI,??EIINY,B12,NoY,+28,136,Play
5vPXcWbe,10,BasicBot,LLORSUZ,6H,.ULL,+8,88,Play
5vPXcWbe,11,MISSOOI,?EFIIIR,A13,FER,+30,166,Play
5vPXcWbe,12,BasicBot,JOORSTZ,3B,JOT,+27,115,Play
5vPXcWbe,13,MISSOOI,?AHIIIU,B1,HA.I,+28,194,Play
5vPXcWbe,14,BasicBot,AEORSTZ,1A,R.O,+18,133,Play
5vPXcWbe,15,MISSOOI,?EIINTU,A4,TUNIc,+18,212,Play
5vPXcWbe,16,BasicBot,AAEOSTZ,K3,ZEA.,+26,159,Play
5vPXcWbe,17,MISSOOI,ACDEGIU,3I,GA.ED,+36,248,Play
5vPXcWbe,18,BasicBot,AEHNOST,14F,HO,+28,187,Play
5vPXcWbe,19,MISSOOI,CDEIMTU,13G,MUD,+19,267,Play
5vPXcWbe,20,BasicBot,ACEENST,11C,C..E,+14,201,Play
5vPXcWbe,21,MISSOOI,ACEFITV,2L,FAVE,+28,295,Play
5vPXcWbe,22,BasicBot,AAEGNST,O1,N.GATE,+24,225,Play
5vPXcWbe,23,MISSOOI,CEINOST,J9,NICEST,+19,314,Play
5vPXcWbe,24,BasicBot,AENOQSY,N6,YON,+27,252,Play
5vPXcWbe,25,MISSOOI,AGKLORV,8L,RA.K,+27,341,Play
5vPXcWbe,26,BasicBot,ADEOQRS,10I,Q.,+11,263,Play
5vPXcWbe,27,MISSOOI,GILOV,J1,VI.,+8,349,Play
5vPXcWbe,28,BasicBot,ADEORS,1G,DRO.E,+27,290,Play
5vPXcWbe,29,MISSOOI,GLO,11J,.LOG,+14,363,Play
5vPXcWbe,30,MISSOOI,,,(AS),+4,367,End
ahfPuxZp,1,BasicBot,AELNORR,8H,ENROL,+12,12,Play
ahfPuxZp,2,cafarr,ABILMOP,7J,OBA,+13,13,Play
ahfPuxZp,3,BasicBot,ABEHRTU,7F,HUB,+13,25,Play
ahfPuxZp,4,cafarr,IILMNPR,9F,LIN,+9,22,Play
ahfPuxZp,5,BasicBot,AEFILRT,J6,F..,+14,39,Play
ahfPuxZp,6,cafarr,AIMPRSW,6F,AM,+17,39,Play
ahfPuxZp,7,BasicBot,AEIILRT,5E,IRE,+17,56,Play
ahfPuxZp,8,cafarr,EIPRSWY,H1,WIPES,+37,76,Play
ahfPuxZp,9,BasicBot,AILOOTT,3H,.OTATO,+18,74,Play
ahfPuxZp,10,cafarr,AEGRUYY,4C,YAG,+17,93,Play
ahfPuxZp,11,BasicBot,AEILMNV,C1,LEV.,+20,94,Play
ahfPuxZp,12,cafarr,ENRSTUY,1A,RU.Y,+33,126,Play
ahfPuxZp,13,BasicBot,ADEIMNU,J6,...UM,+16,110,Play
ahfPuxZp,14,cafarr,AEEENST,2B,N.E,+15,141,Play
ahfPuxZp,15,BasicBot,ADEEINT,4L,AIDE,+18,128,Play
ahfPuxZp,16,cafarr,?AEEJST,O1,AJE.,+33,174,Play
ahfPuxZp,17,BasicBot,DENORST,L3,..D,+4,132,Play
ahfPuxZp,18,cafarr,??EHNST,11D,lENgTHS,+77,251,Play
ahfPuxZp,19,BasicBot,AENORST,6I,O.,+5,137,Play
ahfPuxZp,20,cafarr,ACIILRR,H11,.RAIL,+18,269,Play
ahfPuxZp,21,BasicBot,AENORST,10I,A.,+9,146,Play
ahfPuxZp,22,cafarr,CDEIIRS,12C,CIRE,+18,287,Play
ahfPuxZp,23,BasicBot,ENOQRST,14G,Q.,+11,157,Play
ahfPuxZp,24,cafarr,ADIISUZ,C12,.UZ,+28,315,Play
ahfPuxZp,25,BasicBot,ENORSTT,6E,T..,+9,166,Play
ahfPuxZp,26,cafarr,ACDFIIS,14A,FI.,+30,345,Play
ahfPuxZp,27,BasicBot,EGNORST,A13,O.T,+18,184,Play
ahfPuxZp,28,cafarr,ACDIKST,M8,SIC,+12,357,Play
ahfPuxZp,29,BasicBot,EEGNORS,N4,.OG,+9,193,Play
ahfPuxZp,30,cafarr,ADEGKOT,O6,OKA,+24,381,Play
ahfPuxZp,31,BasicBot,EEINRSW,13H,.WE,+10,203,Play
ahfPuxZp,32,cafarr,DDEGTVX,J13,.X,+25,406,Play
ahfPuxZp,33,BasicBot,EINNPRS,15D,PERI.,+21,224,Play
ahfPuxZp,34,cafarr,DDEGTV,13H,...D,+8,414,Play
ahfPuxZp,35,BasicBot,NNS,15D,.....S,+8,232,Play
ahfPuxZp,36,cafarr,DEGTV,11L,VEG,+13,427,Play
ahfPuxZp,37,BasicBot,NN,2H,.N,+4,236,Play
ahfPuxZp,38,cafarr,DT,2B,...D,+5,432,Play
ahfPuxZp,39,BasicBot,N,,-,+0,236,Pass
ahfPuxZp,40,cafarr,T,9L,T.,+5,437,Play
ahfPuxZp,41,cafarr,,,(N),+2,439,End
BKstYL6m,1,BasicBot,?EEIMOR,8F,EMO,+10,10,Play
BKstYL6m,2,Nancy19809,AAAHIIR,7E,AAH,+23,23,Play
BKstYL6m,3,BasicBot,?EIOPRX,6G,OR,+10,20,Play
BKstYL6m,4,Nancy19809,AEEGIIR,6F,G..IER,+21,44,Play
BKstYL6m,5,BasicBot,?EGILPX,K5,t.IPLEX,+60,80,Play
BKstYL6m,6,Nancy19809,ADEIIOS,L9,ADIOS,+26,70,Play
BKstYL6m,7,BasicBot,FGLLOPT,M6,GLOP,+19,99,Play
BKstYL6m,8,Nancy19809,EEIIIIW,8M,.WE,+18,88,Play
BKstYL6m,9,BasicBot,FLLQSTU,O7,F.LL,+7,106,Play
BKstYL6m,10,Nancy19809,EIIIIOT,,-IIIO,+0,88,Exchange
BKstYL6m,11,BasicBot,EQRSTUY,13I,QUE.TS,+50,156,Play
BKstYL6m,12,Nancy19809,AEIMNTU,14H,AIM,+32,120,Play
BKstYL6m,13,BasicBot,ENNNRTY,15E,RENT,+18,174,Play
BKstYL6m,14,Nancy19809,?EENTTU,L2,TUNE,+9,129,Play
BKstYL6m,15,BasicBot,CNNNOSY,3K,S.NNY,+16,190,Play
BKstYL6m,16,Nancy19809,?EIJORT,2J,JO.,+28,157,Play
BKstYL6m,17,BasicBot,CEHNOTT,O1,TH.,+27,217,Play
BKstYL6m,18,Nancy19809,?EEINRT,10H,TIR..,+8,165,Play
BKstYL6m,19,BasicBot,ABCENOT,13G,BE......,+25,242,Play
BKstYL6m,20,Nancy19809,?AEEFNU,11E,FANE,+16,181,Play
BKstYL6m,21,BasicBot,ACINOTY,F10,Y.,+13,255,Play
BKstYL6m,22,Nancy19809,?EERUVZ,12C,ZEE,+29,210,Play
BKstYL6m,23,BasicBot,AACINOT,2N,A.,+14,269,Play
BKstYL6m,24,Nancy19809,?DGORUV,H1,DeVOU.,+30,240,Play
BKstYL6m,25,BasicBot,ACEINOT,C12,.ETA,+26,295,Play
BKstYL6m,26,Nancy19809,GIIRRUW,15A,RI.,+9,249,Play
BKstYL6m,27,BasicBot,CDDINOS,4D,COND.,+16,311,Play
BKstYL6m,28,Nancy19809,AGIORUW,E2,GR.W,+16,265,Play
BKstYL6m,29,BasicBot,ABCDISV,N11,BA.IC,+18,329,Play
BKstYL6m,30,Nancy19809,AIIKOU,15M,I.K,+27,292,Play
BKstYL6m,31,BasicBot,DSV,15L,D...,+13,342,Play
BKstYL6m,32,Nancy19809,AIOU,F1,AI,+9,301,Play
BKstYL6m,33,BasicBot,SV,2E,..V.,+7,349,Play
BKstYL6m,34,Nancy19809,OU,6M,.O,+5,306,Play
BKstYL6m,35,BasicBot,S,G6,...S,+10,359,Play
BKstYL6m,36,BasicBot,,,(U),+2,361,End
hQCmbKgy,1,BasicBot,AEEEMOW,8G,MEOW,+18,18,Play
hQCmbKgy,2,Lucx12,CEGIRSV,K3,GIVERS,+30,30,Play
hQCmbKgy,3,BasicBot,AEEEKNW,6G,WEAK.N,+23,41,Play
hQCmbKgy,4,Lucx12,ACRSTTT,M2,TACTS,+28,58,Play
hQCmbKgy,5,BasicBot,AEEFGGH,N1,GAG,+17,58,Play
hQCmbKgy,6,Lucx12,?BDIORT,5B,ORBITeD,+75,133,Play
hQCmbKgy,7,BasicBot,EEFHISV,C1,FEVE.ISH,+86,144,Play
hQCmbKgy,8,Lucx12,DELLMNT,D8,MELD,+20,153,Play
hQCmbKgy,9,BasicBot,AEILOUX,F1,EXUL.,+28,172,Play
hQCmbKgy,10,Lucx12,BLNPTUZ,1E,P.LT,+18,171,Play
hQCmbKgy,11,BasicBot,AEINOOR,O1,IRON,+31,203,Play
hQCmbKgy,12,Lucx12,BENNOUZ,9F,ZONE,+25,196,Play
hQCmbKgy,13,BasicBot,AADEEIO,1A,OA.,+18,221,Play
hQCmbKgy,14,Lucx12,ABILNPU,10F,AB,+26,222,Play
hQCmbKgy,15,BasicBot,ADEEIIR,2A,ID.A,+18,239,Play
hQCmbKgy,16,Lucx12,IIJLNPU,11D,.IP,+26,248,Play
hQCmbKgy,17,BasicBot,EEFINOR,B8,OF,+13,252,Play
hQCmbKgy,18,Lucx12,IIJLNQU,3I,JI.,+19,267,Play
hQCmbKgy,19,BasicBot,EEHINOR,6B,H.,+26,278,Play
hQCmbKgy,20,Lucx12,AILNQUY,J2,Q.,+31,298,Play
hQCmbKgy,21,BasicBot,EEINORR,A9,OR,+7,285,Play
hQCmbKgy,22,Lucx12,AILNUUY,4A,AN.,+10,308,Play
hQCmbKgy,23,BasicBot,CEEEINR,3E,C.E,+6,291,Play
hQCmbKgy,24,Lucx12,?ILUUYY,2F,.I,+12,320,Play
hQCmbKgy,25,BasicBot,AEEINNR,,-EN,+0,291,Exchange
hQCmbKgy,26,Lucx12,?LTUUYY,,-UUYY,+0,320,Exchange
hQCmbKgy,27,BasicBot,ADEINRS,12F,SARDINE,+83,374,Play
hQCmbKgy,28,Lucx12,?ALOTTU,,(time),-10,310,Timeout
6fSudcEP,1,BasicBot,AALMOOT,8G,LOAM,+12,12,Play
6fSudcEP,2,evmcdee,EEEHIRZ,I7,Z.IRE,+25,25,Play
6fSudcEP,3,BasicBot,ANOPRTT,11E,PATT.RN,+36,48,Play
6fSudcEP,4,evmcdee,EEFHHOT,10E,OH,+30,55,Play
6fSudcEP,5,BasicBot,DEINOTW,H11,.WINE,+36,84,Play
6fSudcEP,6,evmcdee,DEEFHTU,14F,FE.D,+16,71,Play
6fSudcEP,7,BasicBot,DIIINOT,12A,IDIOT,+19,103,Play
6fSudcEP,8,evmcdee,AEHISTU,L10,ASH,+22,93,Play
6fSudcEP,9,BasicBot,ACIIMNN,B11,A.MIN,+16,119,Play
6fSudcEP,10,evmcdee,AEGILTU,J6,GA.,+21,114,Play
6fSudcEP,11,BasicBot,CEEINNY,13L,YIN,+22,141,Play
wbPVZ7vh,1,Lucx12,ACEEFGN,8D,FENCE,+28,28,Play
wbPVZ7vh,2,BasicBot,BEFILNT,E5,BEN.FIT,+48,48,Play
wbPVZ7vh,3,Lucx12,AAEGJVW,D4,JAW,+35,63,Play
wbPVZ7vh,4,BasicBot,ELNOOTZ,C5,TON,+15,63,Play
wbPVZ7vh,5,Lucx12,ACEGKVV,10D,V.VA,+18,81,Play
wbPVZ7vh,6,BasicBot,DELMOOZ,H4,ZOOM.D,+28,91,Play
wbPVZ7vh,7,Lucx12,CEEGKLO,11G,GECKO,+27,108,Play
wbPVZ7vh,8,BasicBot,EEILNQT,H11,.LITE,+18,109,Play
wbPVZ7vh,9,Lucx12,EEELLRU,7H,.ULLER,+10,118,Play
wbPVZ7vh,10,BasicBot,DEHNNQR,5G,H.RNED,+20,129,Play
wbPVZ7vh,11,Lucx12,AEEEPRT,14F,PA.TER,+16,134,Play
wbPVZ7vh,12,BasicBot,ABLNQUW,4K,WAN,+23,152,Play
wbPVZ7vh,13,Lucx12,AEEHIIU,3K,AHI,+29,163,Play
wbPVZ7vh,14,BasicBot,?BGLQRU,K9,BL.G,+7,159,Play
wbPVZ7vh,15,Lucx12,EEEIOOU,,-EEIOOU,+0,163,Exchange
wbPVZ7vh,16,BasicBot,?ADOQRU,12A,QUADs,+60,219,Play
wbPVZ7vh,17,Lucx12,AEEIINS,9K,.INE,+7,170,Play
wbPVZ7vh,18,BasicBot,AGORSYY,B10,YO.RS,+32,251,Play
